step,lr,train_loss,eval_loss
0,3.75e-06,5.7091064453125,5.62662535905838
20,7.875e-05,5.295440437912278,3.8441322445869446
40,0.00015375,4.717659823244042,3.202878415584564
60,0.00022875,4.117962163135789,2.753082901239395
80,0.00030375000000000004,3.6135311749279597,2.483256757259369
100,0.00037875,3.196644508572686,2.260841339826584
120,0.00045375,2.8562920406704806,2.10578790307045
140,0.00052875,2.583436649926572,1.966778427362442
160,0.00060375,2.359805902052924,1.8538424968719482
180,0.00067875,2.1716936512875424,1.752644121646881
200,0.00075375,2.0283386966174115,1.6814789772033691
220,0.00082875,1.9073796461973043,1.6286334842443466
240,0.00090375,1.8155601873038267,1.5952941328287125
260,0.00097875,1.7433232643211798,1.5595517754554749
280,0.00105375,1.687715091346765,1.5486082136631012
300,0.00112875,1.637819859199156,1.517980769276619
320,0.00120375,1.603296864925887,1.503573253750801
340,0.0012787500000000002,1.5777509067618811,1.5050297379493713
360,0.00135375,1.555882812804838,1.4933419227600098
380,0.0014287500000000001,1.5376664170642917,1.4694831818342209
400,0.0015,1.5254261654905732,1.464247852563858
420,0.0015,1.5119192595331297,1.4591507464647293
440,0.0015,1.4985276260037854,1.4533452689647675
460,0.0015,1.4857852578361446,1.4478949755430222
480,0.0015,1.4753883160395693,1.4277873486280441
500,0.0015,1.4658478512863962,1.425922840833664
520,0.0015,1.4532150094442537,1.4188973903656006
540,0.0015,1.441863168523338,1.4151010364294052
560,0.0015,1.4328930440283434,1.3856998980045319
580,0.0015,1.4249652763538767,1.3898048996925354
600,0.0015,1.419188664638532,1.3822790384292603
620,0.0015,1.4117357681677052,1.372964322566986
640,0.0015,1.4056010534088295,1.3767210394144058
660,0.0015,1.3987120035408218,1.3653774112462997
680,0.0015,1.393044292271043,1.3509831130504608
700,0.0015,1.3852312195443743,1.3443391621112823
720,0.0015,1.3806296420017485,1.3411410003900528
740,0.0015,1.3761683661250517,1.35561965405941
760,0.0015,1.3703456217275083,1.3470312803983688
780,0.0015,1.3650474145088116,1.3435077369213104
800,0.0015,1.3616878873591258,1.3242453187704086
820,0.0015,1.3576430606093417,1.3301700949668884
840,0.0015,1.3529238747745609,1.33178149163723
860,0.0015,1.3482859380550407,1.3260121941566467
880,0.0015,1.3469982260011817,1.3175671249628067
900,0.0015,1.344985090276053,1.306202918291092
920,0.0015,1.340467002623826,1.3180373311042786
940,0.0015,1.33888111724099,1.297402560710907
960,0.0015,1.3345093528247138,1.3049614876508713
980,0.0015,1.3301176375602517,1.3009636104106903
1000,0.0015,1.327843024403413,1.3018343299627304
1020,0.0015,1.3244896982711232,1.3042725175619125
1040,0.0015,1.3205530417202496,1.2945989966392517
1060,0.0015,1.315540367829712,1.2881364822387695
