step,lr,train_loss,eval_loss
0,3.75e-06,5.7091064453125,5.6266361474990845
20,7.875e-05,5.525574564933777,3.844121277332306
40,0.00015375,5.297403132915497,3.202909469604492
60,0.00022875,5.044937142133714,2.7531172335147858
80,0.00030375000000000004,4.791548712611199,2.4826242923736572
100,0.00037875,4.540407857501508,2.2962664663791656
120,0.00045375,4.296589721325637,2.1043149530887604
140,0.00052875,4.063020267263295,1.9625596851110458
160,0.00060375,3.842534611977853,1.8555428236722946
180,0.00067875,3.6362384352305988,1.7578341960906982
200,0.00075375,3.445460086454701,1.6873835921287537
220,0.00082875,3.265243511250393,1.6360445022583008
240,0.00090375,3.107417852447131,1.6014537066221237
260,0.00097875,2.9556100524357247,1.559742197394371
280,0.00105375,2.8210968396268448,1.5644496232271194
300,0.00112875,2.6894692380311036,1.520199477672577
320,0.00120375,2.575108057178433,1.5099099725484848
340,0.0012787500000000002,2.4723605328059572,1.5051959604024887
360,0.00135375,2.3759263288905963,1.4904633462429047
380,0.0014287500000000001,2.2916889129815172,1.466550961136818
400,0.0015,2.208888561016709,1.4571980834007263
420,0.0015,2.1332680497941885,1.4618764370679855
440,0.0015,2.064122198317425,1.4463678300380707
460,0.0015,2.002697561646083,1.4492507576942444
480,0.0015,1.9442935715299061,1.4265501201152802
500,0.0015,1.8961479363007439,1.4323408752679825
520,0.0015,1.849229725941696,1.4198289215564728
540,0.0015,1.803675347040306,1.4173297435045242
560,0.0015,1.761820340278933,1.386464387178421
580,0.0015,1.7225493169932273,1.3911418318748474
600,0.0015,1.6899367788829245,1.3823879957199097
620,0.0015,1.6597884374318574,1.3709413707256317
640,0.0015,1.6332540283314634,1.37559075653553
660,0.0015,1.6114536913972124,1.3636458814144135
680,0.0015,1.5940435283846581,1.3555903881788254
700,0.0015,1.5753028828025093,1.339470013976097
720,0.0015,1.553462580274364,1.3441600054502487
740,0.0015,1.5378160316623635,1.3504671305418015
760,0.0015,1.5170863007495452,1.35029137134552
780,0.0015,1.4977107585957334,1.3493231981992722
800,0.0015,1.4777252681396025,1.3288511037826538
820,0.0015,1.4623385316736952,1.332144245505333
840,0.0015,1.449501685494851,1.3316542953252792
860,0.0015,1.4387605299305954,1.3295006155967712
880,0.0015,1.4301223614590202,1.3162522912025452
900,0.0015,1.428124164829567,1.3063086122274399
920,0.0015,1.4160508530943825,1.3147718161344528
940,0.0015,1.4088440851219806,1.296892449259758
960,0.0015,1.3958057149513048,1.3039542734622955
980,0.0015,1.3878436551329627,1.2950475066900253
1000,0.0015,1.3839323102686227,1.302100270986557
1020,0.0015,1.376129756503113,1.3054837435483932
1040,0.0015,1.3709820241923403,1.2967492491006851
1060,0.0015,1.3620585678096357,1.2866930961608887
1080,0.0015,1.359211380309678,1.2786849588155746
1100,0.0015,1.3512861028553398,1.2889866530895233
1120,0.0015,1.3483910407341735,1.2904690951108932
1140,0.0015,1.342939565692891,1.2738404870033264
1160,0.0015,1.3361053378414058,1.2839858531951904
1180,0.0015,1.336764005812789,1.2805766761302948
1200,0.0015,1.334992266886936,1.2811885327100754
1220,0.0015,1.3304019843281862,1.269376054406166
1240,0.0015,1.3275240011282168,1.2657309770584106
1260,0.0015,1.3218193185866536,1.2608782947063446
1280,0.0015,1.3205492257363196,1.2724739611148834
1300,0.0015,1.319085624154204,1.2771940678358078
1320,0.0015,1.3130289909265582,1.26576067507267
1340,0.0015,1.310038071604563,1.2660016566514969
1360,0.0015,1.307809896825546,1.2765160351991653
1380,0.0015,1.3042619474757857,1.2640467882156372
1400,0.0015,1.302367637875302,1.2657379508018494
1420,0.0015,1.2931326064371675,1.2566608935594559
1440,0.0015,1.2926744669291625,1.2482293397188187
1460,0.0015,1.2903064891350196,1.2514827400445938
1480,0.0015,1.2864959840165309,1.2556130588054657
1500,0.0015,1.2840947810578405,1.2460271418094635
1520,0.0015,1.2850710723192744,1.2340558767318726
1540,0.0015,1.2853246009401607,1.2389052361249924
1560,0.0015,1.282144201640975,1.241861641407013
1580,0.0015,1.2762925858897192,1.2451265454292297
1600,0.0015,1.2727794261815153,1.2415121346712112
1620,0.0015,1.2702871929444675,1.2442984730005264
1640,0.0015,1.2669989917431297,1.235835999250412
1660,0.0015,1.2656549442190548,1.241517037153244
1680,0.0015,1.2675038065056758,1.2350846827030182
1700,0.0015,1.2649224775022945,1.2315519750118256
1720,0.0015,1.266104058353902,1.2264975756406784
1740,0.0015,1.265331658061267,1.2347848266363144
1760,0.0015,1.259711091818739,1.2229106277227402
1780,0.0015,1.2590443597158754,1.2278849929571152
1800,0.0015,1.2578067695427804,1.2404317110776901
1820,0.0015,1.2562946601506058,1.230153739452362
1840,0.0015,1.2490641108568892,1.2232090383768082
1860,0.0015,1.2461587397530425,1.2380090802907944
1880,0.0015,1.244840354467161,1.215848907828331
1900,0.0015,1.2392767525417157,1.2177564948797226
1920,0.0015,1.2305881252916944,1.2125439643859863
1940,0.0015,1.2314528647988103,1.2196322232484818
1960,0.0015,1.2314306638177392,1.216135948896408
1980,0.0015,1.227395725983634,1.202828973531723
2000,0.0015,1.2285529310151229,1.2088551670312881
2020,0.0015,1.2275866688469907,1.2288462072610855
2040,0.0015,1.2275146145683404,1.2059211134910583
2060,0.0015,1.2295964866037856,1.2097434550523758
2080,0.0015,1.2315036096414052,1.1914680749177933
2100,0.0015,1.226250234684955,1.217608779668808
2120,0.0015,1.2249784440770246,1.2099774479866028
2140,0.0015,1.2230222795284835,1.2132084369659424
2160,0.0015,1.2175639069566473,1.214015170931816
2180,0.0015,1.217925262137295,1.2001543790102005
2200,0.0015,1.2171201393163573,1.2030107080936432
2220,0.0015,1.2121960835298633,1.1960810124874115
2240,0.0015,1.2122951135016145,1.2012226581573486
2260,0.0015,1.2145478652396795,1.1928568184375763
2280,0.0015,1.2090835982393322,1.2028842270374298
2300,0.0015,1.2106340182272581,1.206439197063446
2320,0.0015,1.2106886016530982,1.1897870153188705
2340,0.0015,1.2104842162611953,1.2082230895757675
2360,0.0015,1.2161754873230641,1.1950754225254059
2380,0.0015,1.2155304408223557,1.184905618429184
2400,0.0015,1.2104554464952166,1.1990468949079514
2420,0.0015,1.2120862743737713,1.1934820711612701
2440,0.0015,1.2121502943172229,1.1999546885490417
2460,0.0015,1.2064817655683315,1.1989324986934662
2480,0.0015,1.204358474189111,1.1899373531341553
2500,0.0015,1.2035833738214388,1.1821399182081223
2520,0.0015,1.2016357310384467,1.1822464317083359
2540,0.0015,1.198814916113313,1.1899083107709885
2560,0.0015,1.197905189543333,1.180613175034523
2580,0.0015,1.199977642371684,1.1754175573587418
2600,0.0015,1.2009635621974732,1.1895548552274704
2620,0.0015,1.2004648674729348,1.1968422830104828
2640,0.0015,1.2036536660077763,1.1831002533435822
2660,0.0015,1.2014478557958537,1.1753886491060257
2680,0.0015,1.2030741673994958,1.175823301076889
2700,0.0015,1.1974265845676273,1.1820153146982193
2720,0.0015,1.1958402638489016,1.1831665337085724
2740,0.0015,1.1979117135573036,1.1832425147294998
2760,0.0015,1.1948776847453662,1.1771844178438187
2780,0.0015,1.1963290637432111,1.1708536893129349
2800,0.0015,1.1959120749561702,1.170141115784645
2820,0.0015,1.1941760944541142,1.174511194229126
2840,0.0015,1.1984537035717826,1.1867236346006393
2860,0.0015,1.1951712123001452,1.1808390021324158
2880,0.0015,1.1958716647128613,1.1746918559074402
2900,0.0015,1.1941514435082987,1.1684649586677551
2920,0.0015,1.1912058135274335,1.173562228679657
2940,0.0015,1.19000755015641,1.1652493625879288
2960,0.0015,1.1907611214843055,1.165736585855484
2980,0.0015,1.1890651753896468,1.1674651801586151
3000,0.0015,1.1904838536400193,1.1820483952760696
3020,0.0015,1.1928550768690045,1.1684028953313828
3040,0.0015,1.1938617439982357,1.1672249883413315
3060,0.0015,1.1930120896026848,1.1662711650133133
3080,0.0015,1.1883720020108244,1.175966590642929
3100,0.0015,1.1862726324486275,1.16012741625309
3120,0.0015,1.1866281372625418,1.157892495393753
3140,0.0015,1.1829787083553183,1.1650334745645523
3160,0.0015,1.182537197001598,1.1486445665359497
3180,0.0015,1.1837183585117654,1.164407178759575
3200,0.0015,1.1831309512570856,1.1599560528993607
3220,0.0015,1.1819549186809681,1.1598338037729263
3240,0.0015,1.1845639750764212,1.1621496975421906
3260,0.0015,1.1848899428908921,1.1616728901863098
3280,0.0015,1.185621396142086,1.1651492714881897
3300,0.0015,1.18332766482637,1.1602768003940582
3320,0.0015,1.1843608408219128,1.1532613635063171
3340,0.0015,1.1891014625769714,1.155842736363411
3360,0.0015,1.187237434101867,1.1677671819925308
3380,0.0015,1.1820974819476313,1.1663255989551544
3400,0.0015,1.18048220330014,1.168464481830597
3420,0.0015,1.179613293291934,1.140842467546463
3440,0.0015,1.179028875602908,1.1618289053440094
3460,0.0015,1.1762638869645836,1.15686596930027
3480,0.0015,1.1744938477363565,1.139825463294983
3500,0.0015,1.1733216689067822,1.149977132678032
3520,0.0015,1.1719596725139985,1.1702642142772675
3540,0.0015,1.1692744202703806,1.1575468480587006
3560,0.0015,1.1651144004425917,1.158241167664528
3580,0.0015,1.166489897062914,1.149252936244011
3600,0.0015,1.165978221199396,1.1544928550720215
3620,0.0015,1.1625237000895885,1.1638478934764862
3640,0.0015,1.1601849972826255,1.1645662784576416
3660,0.0015,1.1647788923640858,1.1370301991701126
3680,0.0015,1.1636443234973979,1.1579587161540985
3700,0.0015,1.1652533022308795,1.137473464012146
3720,0.0015,1.1654612369308872,1.151015266776085
3740,0.0015,1.1649728310379388,1.1664036959409714
3760,0.0015,1.1648859702592793,1.1477939039468765
3780,0.0015,1.1648595919947955,1.1425092220306396
3800,0.0015,1.1631127051181613,1.1474906653165817
3820,0.0015,1.1639700399339514,1.1450426280498505
3840,0.0015,1.1617600023597763,1.139597237110138
3860,0.0015,1.1562565356359142,1.1547100096940994
3880,0.0015,1.1574589779852562,1.1433677673339844
3900,0.0015,1.156491217393762,1.1429629027843475
3920,0.0015,1.1569750225953037,1.1267641484737396
3940,0.0015,1.1572125121723211,1.1462994664907455
3960,0.0015,1.1555343179199633,1.1282247751951218
3980,0.0015,1.154108390953559,1.1367292404174805
4000,0.0015,1.1569966665623352,1.1357275247573853
4020,0.0014795569646507002,1.1576605849013715,1.1245989054441452
4040,0.0014592541926417902,1.1593115758191932,1.1445520371198654
4060,0.0014390916839732701,1.1632627753577878,1.14560766518116
4080,0.00141906943864514,1.1611077047731504,1.1435333043336868
4100,0.001399187456657399,1.1596179536592388,1.1248669028282166
4120,0.0013794457380100487,1.160171198690959,1.129484087228775
4140,0.0013598442827030882,1.1600823591754095,1.1380968391895294
4160,0.001340383090736518,1.158837859982722,1.1341440677642822
4180,0.0013210621621103373,1.1571713434050737,1.1376595795154572
