step,lr,train_loss,eval_loss
0,3.75e-06,5.7091064453125,5.626886034011841
20,7.875e-05,5.525578951835632,3.8420063495635985
40,0.00015375,5.297421028614044,3.2144765615463258
60,0.00022875,5.044849226236344,2.739660859107971
80,0.00030375000000000004,4.791905703568459,2.495130777359009
100,0.00037875,4.539295347712041,2.2596682786941527
120,0.00045375,4.295883624716044,2.090724492073059
140,0.00052875,4.063176449206567,1.9732956290245056
160,0.00060375,3.8420359039906535,1.8388160705566405
180,0.00067875,3.6354230294767502,1.752851128578186
200,0.00075375,3.44371414632888,1.6886373519897462
220,0.00082875,3.2633716742809837,1.6409930348396302
240,0.00090375,3.1059938979699817,1.5979168653488158
260,0.00097875,2.954933194448466,1.5591479659080505
280,0.00105375,2.8207212222783995,1.5389736890792847
300,0.00112875,2.689286428675285,1.5300577878952026
320,0.00120375,2.5741820198165457,1.5008792877197266
340,0.0012787500000000002,2.4712971444607152,1.5080827116966247
360,0.00135375,2.37540962657455,1.4968581438064574
380,0.0014287500000000001,2.2903385254245108,1.4751163125038147
400,0.0015,2.208309098407725,1.4893751859664917
420,0.0015,2.1337169447467623,1.466638708114624
440,0.0015,2.0653904353611976,1.462675356864929
460,0.0015,2.0047382302612045,1.4447294116020202
480,0.0015,1.9458788801011424,1.433587372303009
500,0.0015,1.8977679641941472,1.4136557459831238
520,0.0015,1.8511443226247386,1.4169080018997193
540,0.0015,1.8056521852650662,1.3965237259864807
560,0.0015,1.7632133281086464,1.384608507156372
580,0.0015,1.7240094884504003,1.3907664895057679
600,0.0015,1.6915013919117263,1.3956327080726623
620,0.0015,1.6610450026251864,1.3860256552696228
640,0.0015,1.6346675822309844,1.3719616532325745
660,0.0015,1.612505448088544,1.3637884497642516
680,0.0015,1.5955011000265158,1.3594395399093628
700,0.0015,1.5768123462822565,1.3516891956329347
720,0.0015,1.5548321361863489,1.3496304631233216
740,0.0015,1.540004404383052,1.334348165988922
760,0.0015,1.5189580249760886,1.3416019678115845
780,0.0015,1.500492906091303,1.3301932215690613
800,0.0015,1.4809231062391615,1.340221881866455
820,0.0015,1.4656415909224048,1.3428343892097474
840,0.0015,1.4521668907725778,1.3236501693725586
860,0.0015,1.4410414955071182,1.3068936586380004
880,0.0015,1.431279575322709,1.3251993298530578
900,0.0015,1.4300532062303797,1.3174919486045837
920,0.0015,1.4177852975832024,1.3103079319000244
940,0.0015,1.4105933523929057,1.311716043949127
960,0.0015,1.3972287073811236,1.3096096873283387
980,0.0015,1.3891273523938963,1.296671164035797
1000,0.0015,1.3853735493635218,1.2908095240592956
1020,0.0015,1.3775952548100125,1.3018582463264465
1040,0.0015,1.3726165792626357,1.3001307606697083
1060,0.0015,1.3635950417472913,1.2948665976524354
1080,0.0015,1.3603451548058385,1.3020160675048829
1100,0.0015,1.3526239780818161,1.301055872440338
1120,0.0015,1.3500739563913409,1.2918219566345215
1140,0.0015,1.3443785514901219,1.2876695156097413
1160,0.0015,1.3370765214982752,1.2779727458953858
1180,0.0015,1.337481549306791,1.2798844695091247
1200,0.0015,1.3357446768201122,1.276026999950409
1220,0.0015,1.3312033216640409,1.273292362689972
1240,0.0015,1.3281853735880604,1.2636422395706177
1260,0.0015,1.3231446391734378,1.2739498972892762
1280,0.0015,1.3217995089047758,1.2763392567634582
1300,0.0015,1.319847469486619,1.2682209014892578
1320,0.0015,1.313376741073571,1.2764908790588378
1340,0.0015,1.311098429377713,1.269243061542511
1360,0.0015,1.3085996146343692,1.2564546585083007
1380,0.0015,1.304722592414249,1.256646502017975
1400,0.0015,1.3027813004083892,1.2576188802719117
1420,0.0015,1.293925318118405,1.2504104375839233
1440,0.0015,1.292954045232956,1.2716781497001648
1460,0.0015,1.2908124068649034,1.2476214289665222
1480,0.0015,1.286850852305122,1.25335031747818
1500,0.0015,1.2854657076607001,1.2526795983314514
1520,0.0015,1.2859558018573987,1.2363791823387147
1540,0.0015,1.2873445408817112,1.252336859703064
1560,0.0015,1.284017722959159,1.230908417701721
1580,0.0015,1.2784947644068343,1.2395963072776794
1600,0.0015,1.2738422116989083,1.2404724478721618
1620,0.0015,1.2719166005868483,1.2447126030921936
1640,0.0015,1.2683986298935503,1.232492733001709
1660,0.0015,1.2669973378804527,1.2209919810295105
1680,0.0015,1.2689441328132631,1.2482866525650025
1700,0.0015,1.2673722402648164,1.2282624959945678
1720,0.0015,1.2686421063300402,1.241036856174469
1740,0.0015,1.2674688685020594,1.225766134262085
1760,0.0015,1.262088625557493,1.2301568269729615
1780,0.0015,1.2619715293591656,1.2133339881896972
1800,0.0015,1.2606260919879768,1.223235583305359
1820,0.0015,1.2583484421054327,1.2289554595947265
1840,0.0015,1.2514737042677226,1.2286527752876282
1860,0.0015,1.2482529991470417,1.225251019001007
1880,0.0015,1.246701894426582,1.2305484533309936
1900,0.0015,1.241093723378394,1.2100896835327148
1920,0.0015,1.232603903176022,1.2202552795410155
1940,0.0015,1.2340458114996247,1.2173578858375549
1960,0.0015,1.2338266027022624,1.233662211894989
1980,0.0015,1.2287551449581289,1.2105225205421448
2000,0.0015,1.2296205419460806,1.2093462347984314
2020,0.0015,1.2277432732128986,1.2173709511756896
2040,0.0015,1.22813388577198,1.202854609489441
2060,0.0015,1.2304700452485233,1.2101465225219727
2080,0.0015,1.2328297708986893,1.2229241609573365
2100,0.0015,1.2276318086289193,1.2061398863792419
2120,0.0015,1.2257155668529414,1.2084853768348693
2140,0.0015,1.2234285675101766,1.2051641345024109
2160,0.0015,1.2184818389368017,1.2079206466674806
2180,0.0015,1.2193052234368287,1.2055285215377807
2200,0.0015,1.2183731671080078,1.1995979070663452
2220,0.0015,1.2138074287091274,1.2048195004463196
2240,0.0015,1.2129487915320318,1.1971750020980836
2260,0.0015,1.2156279853120258,1.2086015582084655
2280,0.0015,1.2106361363352667,1.2182562589645385
2300,0.0015,1.2119287586827276,1.194891059398651
2320,0.0015,1.2122459474163532,1.198710560798645
2340,0.0015,1.211172216799016,1.198435652256012
2360,0.0015,1.2164495411510665,1.1997411727905274
2380,0.0015,1.2165720006521403,1.1890226483345032
2400,0.0015,1.2110210723307007,1.1993128418922425
2420,0.0015,1.2128358900510914,1.2024847388267517
2440,0.0015,1.2132698374954145,1.1833717465400695
2460,0.0015,1.2079346488088918,1.2028068780899048
2480,0.0015,1.2062442460808653,1.184224796295166
2500,0.0015,1.2053207658964544,1.190056598186493
2520,0.0015,1.2024324747834936,1.177967083454132
2540,0.0015,1.1994278323275747,1.1923566460609436
2560,0.0015,1.1980530284306021,1.190838134288788
2580,0.0015,1.2000745769554924,1.1769695520401
2600,0.0015,1.200827119011988,1.1915582060813903
2620,0.0015,1.2005626296335248,1.1809589982032775
2640,0.0015,1.2035046400428226,1.1807011604309081
2660,0.0015,1.2014134271562467,1.178373396396637
2680,0.0015,1.2033619711059662,1.1766501188278198
2700,0.0015,1.1974949445657432,1.1924410343170166
2720,0.0015,1.1959155565201491,1.187322199344635
2740,0.0015,1.1974516063063667,1.1752034306526185
2760,0.0015,1.1946460857208963,1.1842304348945618
2780,0.0015,1.196369593222415,1.161585772037506
2800,0.0015,1.1960019453282436,1.175149154663086
2820,0.0015,1.194774524919565,1.1933394908905028
2840,0.0015,1.1986891775301476,1.1814499497413635
2860,0.0015,1.1959757043991726,1.1705034494400024
2880,0.0015,1.1969917208618737,1.1786097049713136
2900,0.0015,1.1948707333803312,1.1903927206993103
2920,0.0015,1.1923138467908028,1.1686689972877502
2940,0.0015,1.1914237172997109,1.1803490400314331
2960,0.0015,1.1923991529580453,1.1590916991233826
2980,0.0015,1.190503795901224,1.1811471462249756
3000,0.0015,1.1920310377710626,1.1867765069007874
3020,0.0015,1.1940707552105396,1.1658751010894775
3040,0.0015,1.1950531054440328,1.1757537603378296
3060,0.0015,1.1938558979841938,1.1672800660133362
3080,0.0015,1.188932052017409,1.1742018461227417
3100,0.0015,1.1871319330583439,1.1675721168518067
3120,0.0015,1.1878438934848095,1.1627326965332032
3140,0.0015,1.1838758359997317,1.1514036893844604
3160,0.0015,1.1832015249713224,1.1596853256225585
3180,0.0015,1.184146261237618,1.1593973278999328
3200,0.0015,1.1835204386912792,1.1500237107276916
3220,0.0015,1.1823374650659868,1.1570539474487305
3240,0.0015,1.1852342923089305,1.1685715794563294
3260,0.0015,1.1849646782521404,1.1664849519729614
3280,0.0015,1.1859311415830847,1.1500935435295105
3300,0.0015,1.183789946503603,1.1643385648727418
3320,0.0015,1.184788767576662,1.1591955304145813
3340,0.0015,1.1894500351671404,1.1660061836242677
3360,0.0015,1.1877742734602712,1.1494917631149293
3380,0.0015,1.1827102297888656,1.179551327228546
3400,0.0015,1.1811200792503171,1.1664736032485963
3420,0.0015,1.1805298460941147,1.1640580773353577
3440,0.0015,1.1798168659288257,1.1532919764518739
3460,0.0015,1.1773015952180539,1.157197618484497
3480,0.0015,1.1752823736730855,1.1679888248443604
3500,0.0015,1.17450534222695,1.157008159160614
3520,0.0015,1.173273696763868,1.147988986968994
3540,0.0015,1.170377708313067,1.1537253260612488
3560,0.0015,1.1665287883614297,1.1491652369499206
3580,0.0015,1.1676779572547789,1.1578510642051696
3600,0.0015,1.1671525464398846,1.14600613117218
3620,0.0015,1.163459857637571,1.1524528980255127
3640,0.0015,1.1625527980937542,1.1502815365791321
3660,0.0015,1.1666289129567726,1.1590976476669312
3680,0.0015,1.1663587890904472,1.1523061752319337
3700,0.0015,1.1683893563903565,1.143234944343567
3720,0.0015,1.1690256085297939,1.1595921516418457
3740,0.0015,1.1690699952514298,1.1478514313697814
3760,0.0015,1.168635239988982,1.1403547525405884
3780,0.0015,1.1684100187931235,1.1465350985527039
3800,0.0015,1.16634090755407,1.136826229095459
3820,0.0015,1.1661820770563842,1.1429372072219848
3840,0.0015,1.1639822806056286,1.1607163906097413
3860,0.0015,1.1592969255270908,1.1477006077766418
3880,0.0015,1.159812953170152,1.13809232711792
3900,0.0015,1.1579197640085324,1.1568443655967713
3904,0.0015,1.1580187792954537,1.1387420535087585
3908,0.0015,1.1578861041704738,1.144468355178833
3912,0.0015,1.1569418636417321,1.1518073201179504
3916,0.0015,1.156511759232515,1.1549110770225526
