step,dS,probe_loss,nclip,lp1,lp2,lp3,lp4,lp5,lp6,lp7,lp8,lp9,lp10,lp11,lp12,lp13,lp14,lp15,lp16,res_p,lr1,lr2,lr3,lr4,lr5,lr6,lr7,lr8,lr9,lr10,lr11,lr12,lr13,lr14,lr15,lr16,res_r
3000,0,1.1809988915920258,0,7157.536816988853,4420.216931006988,3821.577614947247,3414.700533246211,3349.2230834430607,3191.825762372269,3135.9168313821756,3038.670093466507,2932.9578992549204,2845.2411638167205,2746.703218898026,2630.952320510701,2582.775526916708,2472.567380890341,2388.624835009486,2334.9730211676056,1.4138013665718055e-15,13.699174985177262,10.965698013617102,8.88335177935296,7.166539007045237,5.707795785007628,4.469048705429016,3.7221723278873653,3.650502042053606,3.4290253702750335,3.0323340460661488,2.7534847697539147,2.5365374444425246,2.2781261411832117,2.0174699600493264,1.6433969414618095,1.247919386262365,0.27850609999288256
3010,10,1.174521118402481,0,8208.161702047551,3268.6727166148517,3076.666212339193,2825.4770080572366,2643.8486955392927,2481.9947165553904,2468.1746888660427,2391.896488540209,2331.1236929664724,2215.673489005586,2154.191212793484,2131.779510851535,2097.317388599302,2073.0585503995517,2036.9460051066103,1992.2213593922013,3.120306963820084e-17,13.761908485253983,11.015857816290701,8.92456176675155,7.203264010643439,5.748558935908679,4.512049663694134,3.732339695247402,3.515194955251877,3.449401651915632,3.0920239530811116,2.784284569828035,2.601118368949145,2.287791976707863,2.022590371115889,1.6857911710646298,1.2625808545054014,0.27774712600898727
3025,25,1.1675188541412354,0,2846.6987019706576,2392.6752820424817,2284.786253873752,2054.297874014376,1962.5512780397703,1924.8640056750196,1850.3139381319934,1834.7819718717094,1825.999951446548,1745.0677222084198,1651.4618822387508,1583.3256251537566,1578.5971678053934,1514.3626040012798,1456.75886938991,1394.4191788738262,6.563139367407756e-17,10.38394894933649,8.219371127811739,6.577120936238777,5.231859050252841,4.1191591926368485,3.76357465150199,3.4774921689949063,3.3953253341126377,3.0997144352442016,2.9215799669831743,2.80849501991831,2.3432868225071117,2.1602376662765357,1.9045022569090002,1.6099725383522558,1.2363926088217494,0.2957875939436665
3050,50,1.1610355079174042,0,3125.5723816474538,2575.353636879038,2140.8345371373816,1923.0573204633579,1853.075406683918,1732.1864590339135,1706.311889342661,1683.500619418898,1555.7570358408377,1520.81400537924,1443.898482787057,1441.1227342139066,1422.3167408833003,1396.922011987213,1340.4718305692404,1280.9067759805318,3.9770177337416194e-19,9.56663285404948,7.552279081665668,6.02612325960382,4.781574879860008,3.774149731853773,3.718332774287959,3.472030623604185,3.17385436280323,3.0357785875101673,2.71009123078247,2.6292862167312028,2.2324257467009656,2.0652126277898923,1.8486651655718334,1.5175633912607143,1.1938675087094648,0.29861294412875317
3100,100,1.15353524684906,0,5907.372977904454,2662.4261248057637,2060.465857984396,1905.221913145299,1880.7331594570533,1780.6770039334874,1684.3901709680301,1680.3759987080555,1627.4227404650765,1573.558584215954,1506.8269536872067,1446.5837683212412,1427.8093935834422,1369.5170988838697,1332.88894287477,1316.8459281614246,1.6835734240701152e-16,10.077032321960152,7.97173907709562,6.375119455432357,5.068814258474462,3.9942244223537506,3.645410706081915,3.420041937402076,3.260370523433851,2.9995116702619273,2.804418518195088,2.696068115977032,2.246165901728547,2.076160298101332,1.8365100710203432,1.5457874516919137,1.188153712158474,0.29624706412998125
3200,200,1.1457379162311554,0,9810.431934592267,2758.508622275755,2497.4586530655374,2123.6409354779507,2048.8190853246615,1999.0253972281043,1880.1482119118791,1875.7759650142816,1823.4373795734207,1726.2227267310473,1719.72395934646,1694.192077717568,1638.8404833903892,1611.307353228303,1579.28861345842,1496.7606334499346,1.1505051024098377e-13,10.683575396083668,8.472146515392726,6.792974649283462,5.415807269136993,4.272429781390462,3.612681054298616,3.477416585793677,3.4115940196541774,2.984095717264253,2.8993256746075464,2.626918109784604,2.3131316726137436,2.0429152242655624,1.835626323529039,1.5571055987372213,1.1671943910010159,0.293019304159007
3400,400,1.1377217173576355,0,116735.22427155758,50856.02399106326,38569.23657191582,30023.39104752368,25504.00435250724,24180.35330267091,21985.69312405204,19798.751069949525,18405.228456537676,17332.823138334505,16509.057672718394,16138.248791085978,15114.947241842001,13724.383502432765,12440.415912052615,12275.74677458192,1.2588755173954516e-27,11.6693638032696,9.277675803156047,7.459262242389799,5.9679412869692925,4.73569999751289,3.795660542966282,3.655968202597524,3.437161018886707,3.0728682876345608,3.0219739848931186,2.692420813285059,2.368003543423782,2.1217994220162306,1.8948178084290495,1.592215837077059,1.198180427642737,0.288487701839027
3800,800,1.1276651322841644,0,3335.9200885906275,2862.0164827566955,2295.8977032750686,2100.7156915136175,1820.1918567730286,1769.2789252149257,1739.1491319900636,1630.9950402497939,1524.5239097899762,1499.071486758706,1441.7233106693066,1370.568842278783,1320.0414536761143,1300.6841972347752,1231.5668786633028,1215.158096314426,8.210094370330493e-25,11.898135837806784,9.480147586619236,7.640426768804721,6.130444161972739,4.875265724448491,3.894566201878824,3.5758393446657073,3.280947334234861,3.151099401494755,2.919267226981115,2.6487838384131606,2.409408693472025,2.0668887365320288,1.8692719776546158,1.574508538679419,1.1546113617258005,0.28498468452693143
4600,1600,1.1186075806617737,0,4638.298114556654,3112.0554748433433,2577.5379781075303,2253.529599414069,1941.4772224169528,1877.2922606728216,1833.3593270255062,1762.3800385215272,1656.1646334152629,1603.4416036530422,1568.798009075852,1507.3090681966967,1500.239985848386,1438.0359023204703,1408.403840497065,1363.7508802250939,3.012581312110086e-24,10.777782238612255,8.554162917536074,6.8652392479030935,5.481560009574161,4.345425982750482,3.510035570487452,3.491163270879214,3.369836698714411,2.9612384755707235,2.8311687335116593,2.62107098561115,2.253814938311151,1.9920811600656247,1.814425263755754,1.4967069374275246,1.168410978924823,0.2908728735067938
5400,2400,1.1121759712696075,0,53365.00263256406,27678.8361828818,24668.925170227623,19139.9774704064,17587.087543263817,17183.945461101477,15468.66015813574,12302.198727348605,11633.51347730104,10831.945523889344,10185.79042755603,9756.06963324387,9163.74684120593,8786.222040246179,8239.104954658334,7356.280535702959,1.0396208575929137e-27,10.83009838361273,8.621356643034346,6.942816302901857,5.56727395518559,4.413126973105412,3.517133593022973,3.44466219888777,3.2165989519913145,2.8291046698995674,2.6780571296155307,2.5526028398722085,2.144305630555334,1.9438361831871527,1.7735311590682157,1.413548004028972,1.109600721899515,0.28591177079252833
6200,3200,1.1087742447853088,0,10695.317594839617,6016.564772979236,4909.536224120703,4482.819594626788,3949.2172345091253,3544.3961817518907,3418.4600412912346,3132.7654750118727,3037.132788022882,2785.650932924269,2468.685825673134,2387.792676258198,2311.003473596402,2172.336861425216,2128.7633123625765,2048.452740294764,9.750434098558316e-30,10.411743408794651,8.252237375446352,6.61403349436669,5.282113203243977,4.208631077165492,3.454635532783304,3.3565198380590884,3.238943234477717,2.8091554484273495,2.6522971800163533,2.5366071711190528,2.1644597043586944,1.988542972160013,1.7573567533302528,1.438155868422868,1.1404008647575823,0.2899577804288365
