step,lr,train_loss,eval_loss
0,2.4e-06,171.9493811040978,171.9493811040978
20,5.04e-05,18.68301491129078,18.68301491129078
40,9.839999999999999e-05,11.626730672669066,11.626730672669066
60,0.00014639999999999998,8.963695462018308,8.963695462018308
80,0.00019439999999999998,7.541492728117488,7.541492728117488
100,0.00024239999999999998,6.648419148430862,6.648419148430862
120,0.00029039999999999996,6.031900005381627,6.031900005381627
140,0.00033839999999999993,5.58153658887214,5.58153658887214
160,0.00038639999999999996,5.232717225362333,5.232717225362333
180,0.00043439999999999993,4.959450775245633,4.959450775245633
200,0.00048239999999999996,4.73365910086146,4.73365910086146
220,0.0005304,4.546139041128968,4.546139041128968
240,0.0005784,4.390322006763666,4.390322006763666
260,0.0006263999999999999,4.254280108271505,4.254280108271505
280,0.0006744,4.138429813689909,4.138429813689909
300,0.0007223999999999999,4.034869784692192,4.034869784692192
320,0.0007704,3.944180204459069,3.944180204459069
340,0.0008183999999999999,3.8638343452414445,3.8638343452414445
360,0.0008663999999999999,3.7907476322367795,3.7907476322367795
380,0.0009143999999999999,3.7257402639850214,3.7257402639850214
400,0.0009624,3.6670684061179624,3.6670684061179624
420,0.0010103999999999998,3.613544542443499,3.613544542443499
440,0.0010584,3.5654457226202276,3.5654457226202276
460,0.0011064,3.5195980658679678,3.5195980658679678
480,0.0011543999999999999,3.4761497481782033,3.4761497481782033
500,0.0012,3.4381184905935562,3.4381184905935562
520,0.0012,3.4028904567274734,3.4028904567274734
540,0.0012,3.3706423596234143,3.3706423596234143
560,0.0012,3.3419990464757388,3.3419990464757388
580,0.0012,3.315790560214047,3.315790560214047
600,0.0012,3.291951389559398,3.291951389559398
620,0.0012,3.269772787169216,3.269772787169216
640,0.0012,3.2489265078452814,3.2489265078452814
660,0.0012,3.229243603832933,3.229243603832933
680,0.0012,3.2128401283050656,3.2128401283050656
700,0.0012,3.195473634810285,3.195473634810285
720,0.0012,3.1793179348316696,3.1793179348316696
740,0.0012,3.1670223701992373,3.1670223701992373
760,0.0012,3.1527803026214456,3.1527803026214456
780,0.0012,3.138308231271102,3.138308231271102
800,0.0012,3.1261374358863394,3.1261374358863394
820,0.0012,3.114725087785814,3.114725087785814
840,0.0012,3.101671955302605,3.101671955302605
860,0.0012,3.0931126552610766,3.0931126552610766
880,0.0012,3.081971825551267,3.081971825551267
900,0.0012,3.073073728784662,3.073073728784662
920,0.0012,3.063841784199638,3.063841784199638
940,0.0012,3.0534395227786675,3.0534395227786675
960,0.0012,3.0464498368160178,3.0464498368160178
980,0.0012,3.0375263527940803,3.0375263527940803
1000,0.0012,3.029599687470922,3.029599687470922
1020,0.0012,3.021455629003162,3.021455629003162
1040,0.0012,3.0133778583128783,3.0133778583128783
1060,0.0012,3.0060460783222593,3.0060460783222593
1080,0.0012,3.0000048681081677,3.0000048681081677
1100,0.0012,2.9937847562039908,2.9937847562039908
1120,0.0012,2.9887502109464164,2.9887502109464164
1140,0.0012,2.981134740767637,2.981134740767637
1160,0.0012,2.974560334640487,2.974560334640487
1180,0.0012,2.968227718799434,2.968227718799434
1200,0.0012,2.9650183977467464,2.9650183977467464
1220,0.0012,2.9580961442276092,2.9580961442276092
1240,0.0012,2.952344339299102,2.952344339299102
1260,0.0012,2.9482852883603616,2.9482852883603616
1280,0.0012,2.9420235285218497,2.9420235285218497
1300,0.0012,2.938242537498011,2.938242537498011
1320,0.0012,2.932967623170597,2.932967623170597
1340,0.0012,2.928209932995568,2.928209932995568
1360,0.0012,2.9239549517518997,2.9239549517518997
1380,0.0012,2.9206456641721137,2.9206456641721137
1400,0.0012,2.9150374776170915,2.9150374776170915
1420,0.0012,2.9124943582338325,2.9124943582338325
1440,0.0012,2.907470613975826,2.907470613975826
1460,0.0012,2.9013319040298016,2.9013319040298016
1480,0.0012,2.8993824080574395,2.8993824080574395
1500,0.0012,2.895847724408822,2.895847724408822
1520,0.0012,2.890995335768094,2.890995335768094
1540,0.0012,2.8888530327475515,2.8888530327475515
1560,0.0012,2.884917375112513,2.884917375112513
1580,0.0012,2.881241034437269,2.881241034437269
1600,0.0012,2.8779467169485162,2.8779467169485162
1620,0.0012,2.8742453771308116,2.8742453771308116
1640,0.0012,2.8698995798047497,2.8698995798047497
1660,0.0012,2.867915703978687,2.867915703978687
1680,0.0012,2.8636126955163017,2.8636126955163017
1700,0.0012,2.8625107422423284,2.8625107422423284
1720,0.0012,2.8579339100510466,2.8579339100510466
1740,0.0012,2.856209537298341,2.856209537298341
1760,0.0012,2.8539817794667637,2.8539817794667637
1780,0.0012,2.849064108424993,2.849064108424993
1800,0.0012,2.8468000449277016,2.8468000449277016
1820,0.0012,2.8444410330643835,2.8444410330643835
1840,0.0012,2.8419786430183174,2.8419786430183174
1860,0.0012,2.8399364052382254,2.8399364052382254
1880,0.0012,2.8370165387351416,2.8370165387351416
1900,0.0012,2.8349408066996777,2.8349408066996777
1920,0.0012,2.830950948769983,2.830950948769983
1940,0.0012,2.829362479997972,2.829362479997972
1960,0.0012,2.8269502425713653,2.8269502425713653
1980,0.0012,2.8244799826564724,2.8244799826564724
2000,0.0012,2.822867620287032,2.822867620287032
2020,0.0012,2.8204165736458333,2.8204165736458333
2040,0.0012,2.8179708911622687,2.8179708911622687
2060,0.0012,2.8157379983900226,2.8157379983900226
2080,0.0012,2.8128808658907576,2.8128808658907576
2100,0.0012,2.810866862618459,2.810866862618459
2120,0.0012,2.809176407804253,2.809176407804253
2140,0.0012,2.8062467978060286,2.8062467978060286
2160,0.0012,2.805389560636686,2.805389560636686
2180,0.0012,2.803607957609317,2.803607957609317
2200,0.0012,2.8002545558275043,2.8002545558275043
2220,0.0012,2.797626109241786,2.797626109241786
2240,0.0012,2.7971840898223777,2.7971840898223777
2260,0.0012,2.795075590280371,2.795075590280371
2280,0.0012,2.791818963979379,2.791818963979379
2300,0.0012,2.791489952058951,2.791489952058951
2320,0.0012,2.790341947484137,2.790341947484137
2340,0.0012,2.7874956105620297,2.7874956105620297
2360,0.0012,2.7863405953647473,2.7863405953647473
2380,0.0012,2.78366397270428,2.78366397270428
2400,0.0012,2.7821984366600017,2.7821984366600017
2420,0.0012,2.7811668331317847,2.7811668331317847
2440,0.0012,2.779103229971755,2.779103229971755
2460,0.0012,2.776519218641985,2.776519218641985
2480,0.0012,2.7728438738405674,2.7728438738405674
2500,0.0012,2.774055286914318,2.774055286914318
2520,0.0012,2.7719298019145358,2.7719298019145358
2540,0.0012,2.770681199198008,2.770681199198008
2560,0.0012,2.769598760250803,2.769598760250803
2580,0.0012,2.7653473267852884,2.7653473267852884
2600,0.0012,2.766926145459621,2.766926145459621
2620,0.0012,2.7645146675870738,2.7645146675870738
2640,0.0012,2.763102864368034,2.763102864368034
2660,0.0012,2.7610203252538392,2.7610203252538392
2680,0.0012,2.760844069436223,2.760844069436223
2700,0.0012,2.756320346990024,2.756320346990024
2720,0.0012,2.75733559455189,2.75733559455189
2740,0.0012,2.756550560594497,2.756550560594497
2760,0.0012,2.755584911658921,2.755584911658921
2780,0.0012,2.7542651610385565,2.7542651610385565
2800,0.0012,2.750607764620895,2.750607764620895
2820,0.0012,2.7497306331619296,2.7497306331619296
2840,0.0012,2.7491904576877744,2.7491904576877744
2860,0.0012,2.7477730180665474,2.7477730180665474
2880,0.0012,2.745275736450854,2.745275736450854
2900,0.0012,2.7444540920737115,2.7444540920737115
2920,0.0012,2.743782076817095,2.743782076817095
2940,0.0012,2.742024595184355,2.742024595184355
2960,0.0012,2.741560536504328,2.741560536504328
2980,0.0012,2.740192946502998,2.740192946502998
3000,0.0012,2.739391005894596,2.739391005894596
3020,0.0012,2.738668376514839,2.738668376514839
3040,0.0012,2.7359788271804915,2.7359788271804915
3060,0.0012,2.7348742041371263,2.7348742041371263
3080,0.0012,2.7358804800730874,2.7358804800730874
3100,0.0012,2.7325384993423625,2.7325384993423625
3120,0.0012,2.73247826169172,2.73247826169172
3140,0.0012,2.7314934747661677,2.7314934747661677
3160,0.0012,2.7301547931832206,2.7301547931832206
3180,0.0012,2.7291099931398946,2.7291099931398946
3200,0.0012,2.726494444791527,2.726494444791527
3220,0.0012,2.7263628552720114,2.7263628552720114
3240,0.0012,2.7246029054886365,2.7246029054886365
3260,0.0012,2.7239617353490666,2.7239617353490666
3280,0.0012,2.723377292198318,2.723377292198318
3300,0.0012,2.7199080796431607,2.7199080796431607
3320,0.0012,2.7214817983006934,2.7214817983006934
3340,0.0012,2.720341884404632,2.720341884404632
3360,0.0012,2.7176870042775683,2.7176870042775683
3380,0.0012,2.7189437269975127,2.7189437269975127
3400,0.0012,2.71701161018141,2.71701161018141
3420,0.0012,2.717072406903115,2.717072406903115
3440,0.0012,2.713282700406377,2.713282700406377
3460,0.0012,2.7142995579121836,2.7142995579121836
3480,0.0012,2.7131969877211786,2.7131969877211786
3500,0.0012,2.7110753274689827,2.7110753274689827
3520,0.0012,2.711162418190739,2.711162418190739
3540,0.0012,2.71060788614907,2.71060788614907
3560,0.0012,2.707502830953524,2.707502830953524
3580,0.0012,2.7090398724458837,2.7090398724458837
3600,0.0012,2.707791481657756,2.707791481657756
3620,0.0012,2.706144567852239,2.706144567852239
3640,0.0012,2.7028324865842728,2.7028324865842728
3660,0.0012,2.705810794310917,2.705810794310917
3680,0.0012,2.7050582075538445,2.7050582075538445
3700,0.0012,2.7032227645291056,2.7032227645291056
3720,0.0012,2.7010273672755045,2.7010273672755045
3740,0.0012,2.7004578937780717,2.7004578937780717
3760,0.0012,2.7008765147951355,2.7008765147951355
3780,0.0012,2.698580284130865,2.698580284130865
3800,0.0012,2.6977987578786045,2.6977987578786045
3820,0.0012,2.6971708924224638,2.6971708924224638
3840,0.0012,2.696611378156713,2.696611378156713
3860,0.0012,2.6971448413196595,2.6971448413196595
3880,0.0012,2.693769521928833,2.693769521928833
3900,0.0012,2.6948647261171432,2.6948647261171432
3920,0.0012,2.6935756067391496,2.6935756067391496
3940,0.0012,2.691876451872787,2.691876451872787
3960,0.0012,2.692699056053412,2.692699056053412
3964,0.0012,2.6924014432765397,2.6924014432765397
3968,0.0012,2.6908888792269727,2.6908888792269727
3972,0.0012,2.6908290148945198,2.6908290148945198
3976,0.0012,2.692429958441541,2.692429958441541
3980,0.0012,2.6921128973393094,2.6921128973393094
3984,0.0012,2.690835122411971,2.690835122411971
3988,0.0012,2.692186236577266,2.692186236577266
3992,0.0012,2.6913892789359384,2.6913892789359384
3996,0.0012,2.690203662588698,2.690203662588698
4000,0.0001,2.691726928225142,2.691726928225142
4004,0.0001,2.6165250622787792,2.6165250622787792
4008,0.0001,2.564552640717861,2.564552640717861
4012,0.0001,2.5227992438161433,2.5227992438161433
4016,0.0001,2.492526221238614,2.492526221238614
4020,0.0001,2.4674137625219594,2.4674137625219594
4024,0.0001,2.4449452953859834,2.4449452953859834
4028,0.0001,2.425865573365804,2.425865573365804
4032,0.0001,2.410880593456256,2.410880593456256
4036,0.0001,2.3970509861953615,2.3970509861953615
4040,0.0001,2.3853684441129803,2.3853684441129803
4044,0.0001,2.374356370761389,2.374356370761389
4048,0.0001,2.3651329304781963,2.3651329304781963
4052,0.0001,2.3548079431175637,2.3548079431175637
4056,0.0001,2.347021832558582,2.347021832558582
4060,0.0001,2.338482197340371,2.338482197340371
4064,0.0001,2.3337103365964986,2.3337103365964986
4068,0.0001,2.328590376272925,2.328590376272925
4072,0.0001,2.3215284139301993,2.3215284139301993
4076,0.0001,2.3165027955994035,2.3165027955994035
4080,0.0001,2.3109918877600872,2.3109918877600872
4084,0.0001,2.306995712853595,2.306995712853595
4088,0.0001,2.3022331190718686,2.3022331190718686
4092,0.0001,2.299148863713425,2.299148863713425
4096,0.0001,2.294130670634537,2.294130670634537
4100,0.0001,2.289623118422595,2.289623118422595
4104,0.0001,2.286833420839544,2.286833420839544
4108,0.0001,2.285052048391729,2.285052048391729
