step,lr,train_loss,eval_loss
0,2.4e-06,358.0231782529316,358.0231782529316
20,5.04e-05,26.358560712913565,26.358560712913565
40,9.839999999999999e-05,15.09971930618931,15.09971930618931
60,0.00014639999999999998,11.163984410130286,11.163984410130286
80,0.00019439999999999998,9.161025167211267,9.161025167211267
100,0.00024239999999999998,7.947156268394736,7.947156268394736
120,0.00029039999999999996,7.133943057270234,7.133943057270234
140,0.00033839999999999993,6.54833588803289,6.54833588803289
160,0.00038639999999999996,6.108126607006147,6.108126607006147
180,0.00043439999999999993,5.766229767305787,5.766229767305787
200,0.00048239999999999996,5.492083110067259,5.492083110067259
220,0.0005304,5.266163843417853,5.266163843417853
240,0.0005784,5.077956690279151,5.077956690279151
260,0.0006263999999999999,4.919113929235529,4.919113929235529
280,0.0006744,4.783949442264408,4.783949442264408
300,0.0007223999999999999,4.664923289992167,4.664923289992167
320,0.0007704,4.5613563740963174,4.5613563740963174
340,0.0008183999999999999,4.470618988151326,4.470618988151326
360,0.0008663999999999999,4.388215532407434,4.388215532407434
380,0.0009143999999999999,4.3155685991959585,4.3155685991959585
400,0.0009624,4.250910762348641,4.250910762348641
420,0.0010103999999999998,4.190198571307156,4.190198571307156
440,0.0010584,4.137539752823955,4.137539752823955
460,0.0011064,4.087262031019581,4.087262031019581
480,0.0011543999999999999,4.043499820346746,4.043499820346746
500,0.0012,4.000780367950289,4.000780367950289
520,0.0012,3.9641558849006766,3.9641558849006766
540,0.0012,3.929236500859622,3.929236500859622
560,0.0012,3.8992513783568516,3.8992513783568516
580,0.0012,3.8711051678723525,3.8711051678723525
600,0.0012,3.845870918576222,3.845870918576222
620,0.0012,3.8222286535856886,3.8222286535856886
640,0.0012,3.80528355295838,3.80528355295838
660,0.0012,3.78303665094465,3.78303665094465
680,0.0012,3.7638197350589473,3.7638197350589473
700,0.0012,3.74698609725957,3.74698609725957
720,0.0012,3.731184059361609,3.731184059361609
740,0.0012,3.715990607674283,3.715990607674283
760,0.0012,3.701574435315629,3.701574435315629
780,0.0012,3.6881936726987785,3.6881936726987785
800,0.0012,3.6756220483748,3.6756220483748
820,0.0012,3.6636516836641917,3.6636516836641917
840,0.0012,3.652779711671453,3.652779711671453
860,0.0012,3.643769549553574,3.643769549553574
880,0.0012,3.633603777334271,3.633603777334271
900,0.0012,3.6224655305865197,3.6224655305865197
920,0.0012,3.6139653036072086,3.6139653036072086
940,0.0012,3.6047867802100737,3.6047867802100737
960,0.0012,3.5966435805201784,3.5966435805201784
980,0.0012,3.587278030045765,3.587278030045765
1000,0.0012,3.5799513879668012,3.5799513879668012
1020,0.0012,3.5716979262356534,3.5716979262356534
1040,0.0012,3.565716991647674,3.565716991647674
1060,0.0012,3.5579640066966065,3.5579640066966065
1080,0.0012,3.552225545321374,3.552225545321374
1100,0.0012,3.5449709176728623,3.5449709176728623
1120,0.0012,3.537612299175547,3.537612299175547
1140,0.0012,3.5301402385375606,3.5301402385375606
1160,0.0012,3.525772388570991,3.525772388570991
1180,0.0012,3.518585730621539,3.518585730621539
1200,0.0012,3.515242649924924,3.515242649924924
1220,0.0012,3.508049905624111,3.508049905624111
1240,0.0012,3.5038729141641842,3.5038729141641842
1260,0.0012,3.5003454436002137,3.5003454436002137
1280,0.0012,3.4944189508171166,3.4944189508171166
1300,0.0012,3.4888458089416297,3.4888458089416297
1320,0.0012,3.4849403335092584,3.4849403335092584
1340,0.0012,3.480904249067682,3.480904249067682
1360,0.0012,3.4760247141566376,3.4760247141566376
1380,0.0012,3.472461981699887,3.472461981699887
1400,0.0012,3.4690686085117184,3.4690686085117184
1420,0.0012,3.4649680109175196,3.4649680109175196
1440,0.0012,3.4585075386994335,3.4585075386994335
1460,0.0012,3.4542051613260703,3.4542051613260703
1480,0.0012,3.4517209513684235,3.4517209513684235
1500,0.0012,3.4473324322340666,3.4473324322340666
1520,0.0012,3.4441898856391413,3.4441898856391413
1540,0.0012,3.442181839394622,3.442181839394622
1560,0.0012,3.4386391613663196,3.4386391613663196
1580,0.0012,3.4342626052446996,3.4342626052446996
1600,0.0012,3.432481144580439,3.432481144580439
1620,0.0012,3.428763464082287,3.428763464082287
1640,0.0012,3.426666675616597,3.426666675616597
1660,0.0012,3.4206828137307332,3.4206828137307332
1680,0.0012,3.4205373790879166,3.4205373790879166
1700,0.0012,3.4164081348499886,3.4164081348499886
1720,0.0012,3.414287229992286,3.414287229992286
1740,0.0012,3.4110117287072654,3.4110117287072654
1760,0.0012,3.4110006440881233,3.4110006440881233
1780,0.0012,3.4057732778432137,3.4057732778432137
1800,0.0012,3.402671364496307,3.402671364496307
1820,0.0012,3.4007239357331223,3.4007239357331223
1840,0.0012,3.3982816270667775,3.3982816270667775
1860,0.0012,3.39640734099454,3.39640734099454
1880,0.0012,3.392721122887235,3.392721122887235
1900,0.0012,3.391035564319179,3.391035564319179
1920,0.0012,3.3901504414502086,3.3901504414502086
1940,0.0012,3.387252023048165,3.387252023048165
1960,0.0012,3.383618536639984,3.383618536639984
1980,0.0012,3.3795989090934846,3.3795989090934846
2000,0.0012,3.380218817629336,3.380218817629336
2020,0.0012,3.377177906401241,3.377177906401241
2040,0.0012,3.3739190178258482,3.3739190178258482
2060,0.0012,3.373543769169136,3.373543769169136
2080,0.0012,3.370455095917486,3.370455095917486
2100,0.0012,3.3693853135568537,3.3693853135568537
2120,0.0012,3.3659267356613594,3.3659267356613594
2140,0.0012,3.365011873377928,3.365011873377928
2160,0.0012,3.3629755152389245,3.3629755152389245
2180,0.0012,3.3620446994502524,3.3620446994502524
2200,0.0012,3.359787780193815,3.359787780193815
2220,0.0012,3.35789776014682,3.35789776014682
2240,0.0012,3.356331523595351,3.356331523595351
2260,0.0012,3.354250547949349,3.354250547949349
2280,0.0012,3.3516611672753656,3.3516611672753656
2300,0.0012,3.350094939485984,3.350094939485984
2320,0.0012,3.34701161931671,3.34701161931671
2340,0.0012,3.3466898171128436,3.3466898171128436
2360,0.0012,3.3459341523438733,3.3459341523438733
2380,0.0012,3.343997209778711,3.343997209778711
2400,0.0012,3.341457161590463,3.341457161590463
2420,0.0012,3.3408176664622236,3.3408176664622236
2440,0.0012,3.33874068978395,3.33874068978395
2460,0.0012,3.337273838225778,3.337273838225778
2480,0.0012,3.3372082873118583,3.3372082873118583
2500,0.0012,3.3349188536205077,3.3349188536205077
2520,0.0012,3.332132368617962,3.332132368617962
2540,0.0012,3.3313219646495607,3.3313219646495607
2560,0.0012,3.3300753027146945,3.3300753027146945
2580,0.0012,3.3292666338121637,3.3292666338121637
2600,0.0012,3.3287325972265305,3.3287325972265305
2620,0.0012,3.326019417776333,3.326019417776333
2640,0.0012,3.325721716848407,3.325721716848407
2660,0.0012,3.3234040287858444,3.3234040287858444
2680,0.0012,3.322216937858877,3.322216937858877
2700,0.0012,3.3208107445784343,3.3208107445784343
2720,0.0012,3.319528391976925,3.319528391976925
2740,0.0012,3.3179301281764957,3.3179301281764957
2760,0.0012,3.3160961168970258,3.3160961168970258
2780,0.0012,3.315638959407832,3.315638959407832
2800,0.0012,3.3139226351385,3.3139226351385
2820,0.0012,3.312489772215175,3.312489772215175
2840,0.0012,3.3120241686173477,3.3120241686173477
2860,0.0012,3.312513034771668,3.312513034771668
2880,0.0012,3.308874231125144,3.308874231125144
2900,0.0012,3.3078109477439224,3.3078109477439224
2920,0.0012,3.3066613344109967,3.3066613344109967
2940,0.0012,3.305731043561331,3.305731043561331
2960,0.0012,3.303937199903041,3.303937199903041
2980,0.0012,3.3025023019931057,3.3025023019931057
3000,0.0012,3.302310480081311,3.302310480081311
3020,0.0012,3.300517139109749,3.300517139109749
3040,0.0012,3.3007220105282014,3.3007220105282014
3060,0.0012,3.2971689208885167,3.2971689208885167
3080,0.0012,3.298490067394725,3.298490067394725
3100,0.0012,3.297076163997624,3.297076163997624
3120,0.0012,3.296204242913374,3.296204242913374
3140,0.0012,3.2944130923008497,3.2944130923008497
3160,0.0012,3.295423063512607,3.295423063512607
3180,0.0012,3.29237506156008,3.29237506156008
3200,0.0012,3.2912070234113786,3.2912070234113786
3220,0.0012,3.2915775974169885,3.2915775974169885
3240,0.0012,3.291514474873459,3.291514474873459
3260,0.0012,3.2877199326684816,3.2877199326684816
3280,0.0012,3.2881168188424583,3.2881168188424583
3300,0.0012,3.2875999898577426,3.2875999898577426
3320,0.0012,3.285518692745283,3.285518692745283
3340,0.0012,3.28379704417886,3.28379704417886
3360,0.0012,3.2853828333480903,3.2853828333480903
3380,0.0012,3.283662154848684,3.283662154848684
3400,0.0012,3.283363731222284,3.283363731222284
3420,0.0012,3.2812125379321504,3.2812125379321504
3440,0.0012,3.2789531539415577,3.2789531539415577
3460,0.0012,3.2807607958328866,3.2807607958328866
3480,0.0012,3.2786071963637924,3.2786071963637924
3500,0.0012,3.278137374708216,3.278137374708216
3520,0.0012,3.2764173559810565,3.2764173559810565
3540,0.0012,3.276590049381015,3.276590049381015
3560,0.0012,3.2767199441448565,3.2767199441448565
3580,0.0012,3.2767816327848225,3.2767816327848225
3600,0.0012,3.273929844035509,3.273929844035509
3620,0.0012,3.2731812055161402,3.2731812055161402
3640,0.0012,3.273234275759099,3.273234275759099
3660,0.0012,3.2714336428796478,3.2714336428796478
3680,0.0012,3.271260013563709,3.271260013563709
3700,0.0012,3.2703382092844975,3.2703382092844975
3720,0.0012,3.26760395300376,3.26760395300376
3740,0.0012,3.2677296405698946,3.2677296405698946
3760,0.0012,3.267347607392888,3.267347607392888
3780,0.0012,3.2678395331695764,3.2678395331695764
3800,0.0012,3.2674578568374844,3.2674578568374844
3820,0.0012,3.264930415555236,3.264930415555236
3840,0.0012,3.2650317963621935,3.2650317963621935
3860,0.0012,3.2646821012870464,3.2646821012870464
3880,0.0012,3.264957353845669,3.264957353845669
3900,0.0012,3.26124566317852,3.26124566317852
3920,0.0012,3.2619058356288484,3.2619058356288484
3940,0.0012,3.261856220254521,3.261856220254521
3960,0.0012,3.2609344646147,3.2609344646147
3980,0.0012,3.2593241757449998,3.2593241757449998
4000,0.0012,3.2598112346504307,3.2598112346504307
4020,0.0012,3.2581511297081858,3.2581511297081858
4040,0.0012,3.258003993045763,3.258003993045763
4060,0.0012,3.258531088330178,3.258531088330178
4080,0.0012,3.2571597604903357,3.2571597604903357
4100,0.0012,3.255898293880127,3.255898293880127
4120,0.0012,3.254269687995131,3.254269687995131
4140,0.0012,3.2548926145376353,3.2548926145376353
4160,0.0012,3.2540425663531,3.2540425663531
4180,0.0012,3.253920973760349,3.253920973760349
4200,0.0012,3.25222783575941,3.25222783575941
4220,0.0012,3.2509921251883176,3.2509921251883176
4240,0.0012,3.251609678009519,3.251609678009519
4260,0.0012,3.250818088694798,3.250818088694798
4280,0.0012,3.2501820877968775,3.2501820877968775
4300,0.0012,3.2505991105650205,3.2505991105650205
4320,0.0012,3.2489045258412133,3.2489045258412133
4340,0.0012,3.2487148782581254,3.2487148782581254
4360,0.0012,3.246945049956279,3.246945049956279
4380,0.0012,3.246494732674733,3.246494732674733
4400,0.0012,3.246591251824627,3.246591251824627
4420,0.0012,3.2457165125243317,3.2457165125243317
4440,0.0012,3.245441724890598,3.245441724890598
4460,0.0012,3.2431674243183934,3.2431674243183934
4480,0.0012,3.243651799950413,3.243651799950413
4500,0.0012,3.2418679190232265,3.2418679190232265
4520,0.0012,3.2435208221340583,3.2435208221340583
4540,0.0012,3.2413362083650203,3.2413362083650203
4560,0.0012,3.2420762469777946,3.2420762469777946
4580,0.0012,3.241739248407508,3.241739248407508
4600,0.0012,3.241694907331221,3.241694907331221
4620,0.0012,3.239774043105748,3.239774043105748
4640,0.0012,3.240239967976137,3.240239967976137
4660,0.0012,3.2386185904407423,3.2386185904407423
4680,0.0012,3.237761362808984,3.237761362808984
4700,0.0012,3.2371011928922497,3.2371011928922497
4720,0.0012,3.2366883698307216,3.2366883698307216
4740,0.0012,3.23687564100352,3.23687564100352
4760,0.0012,3.2361408935096727,3.2361408935096727
4780,0.0012,3.2359593838362883,3.2359593838362883
4800,0.0012,3.2350545645068403,3.2350545645068403
4820,0.0012,3.2339016708675103,3.2339016708675103
4840,0.0012,3.235199118492437,3.235199118492437
4860,0.0012,3.2335140713190977,3.2335140713190977
4880,0.0012,3.233210849624165,3.233210849624165
4900,0.0012,3.2324891726819898,3.2324891726819898
4920,0.0012,3.232352172820808,3.232352172820808
4940,0.0012,3.2311887661077763,3.2311887661077763
4960,0.0012,3.2308899548881658,3.2308899548881658
4980,0.0012,3.230902467183402,3.230902467183402
5000,0.0012,3.2305846973579166,3.2305846973579166
5020,0.0012,3.229457692810148,3.229457692810148
5040,0.0012,3.2304330142767768,3.2304330142767768
5060,0.0012,3.227451915602127,3.227451915602127
5080,0.0012,3.227940335678315,3.227940335678315
5100,0.0012,3.228022391573864,3.228022391573864
5120,0.0012,3.227243635104366,3.227243635104366
5140,0.0012,3.2269248847032546,3.2269248847032546
5160,0.0012,3.227688884612871,3.227688884612871
5180,0.0012,3.2270950544067563,3.2270950544067563
5200,0.0012,3.2277543911656936,3.2277543911656936
5220,0.0012,3.224679849468647,3.224679849468647
5240,0.0012,3.224242626931458,3.224242626931458
5260,0.0012,3.224450303319964,3.224450303319964
5280,0.0012,3.2248115806885167,3.2248115806885167
5300,0.0012,3.2226638331604645,3.2226638331604645
5320,0.0012,3.2244664099325284,3.2244664099325284
5340,0.0012,3.2244901388438585,3.2244901388438585
5360,0.0012,3.2217761711298127,3.2217761711298127
5380,0.0012,3.223159556167312,3.223159556167312
5400,0.0012,3.2213123497592226,3.2213123497592226
5420,0.0012,3.221376576028052,3.221376576028052
5440,0.0012,3.220070711570478,3.220070711570478
5460,0.0012,3.2211082538755367,3.2211082538755367
5480,0.0012,3.218719209449607,3.218719209449607
5500,0.0012,3.218664387101392,3.218664387101392
5520,0.0012,3.217981769572854,3.217981769572854
5540,0.0012,3.2185661774173004,3.2185661774173004
5560,0.0012,3.216618045094453,3.216618045094453
5580,0.0012,3.2172903501346957,3.2172903501346957
5600,0.0012,3.216276906167574,3.216276906167574
5620,0.0012,3.216867173734947,3.216867173734947
5640,0.0012,3.2161850256495237,3.2161850256495237
5660,0.0012,3.2167776211346677,3.2167776211346677
5680,0.0012,3.2162353886682276,3.2162353886682276
5700,0.0012,3.2145414242063928,3.2145414242063928
5720,0.0012,3.2153310022200574,3.2153310022200574
5740,0.0012,3.212794866683275,3.212794866683275
5760,0.0012,3.2138879254363943,3.2138879254363943
5780,0.0012,3.2127036871912633,3.2127036871912633
5800,0.0012,3.213096028842502,3.213096028842502
5820,0.0012,3.214635196629481,3.214635196629481
5840,0.0012,3.212150989748329,3.212150989748329
5860,0.0012,3.2121315514672752,3.2121315514672752
5880,0.0012,3.2113861003715316,3.2113861003715316
