base_config_id,config_id,max_mode,mean_delta,mean_kappa,mean_source_retention,mean_target_retention,median_delta,nonharm,nuisance_lambda,retention_power,rho,ridge_tau,rows,smooth_fit_start,smooth_lambda,step_fit_start,step_lambda,wins,worst_delta
36027,1045,8,-34.56755861251256,0.039772357264341515,0.022627376073310994,0.5431959145327,-41.25529542515547,15,0.05,0.25,0.4,0.05,15,3000,4.0,12000,20.0,15,-5.8729794757903075
36153,981,12,-34.56728407896998,0.03977223578809311,0.022623524033628037,0.5429345910734116,-41.253656489776866,15,0.05,0.25,0.4,0.05,15,3000,4.0,12000,20.0,15,-5.872787264888157
36279,917,16,-34.567260343507,0.039772203062466246,0.022623289017660933,0.5428919853183819,-41.253522361141236,15,0.05,0.25,0.4,0.05,15,3000,4.0,12000,20.0,15,-5.872773152926669
59585,36,12,-34.52649842227391,0.04702331494324205,0.02015016796119049,0.4746148908293079,-40.873168385152916,15,0.02,0.0,0.75,0.05,15,8000,7.0,8000,20.0,15,-6.081117679037651
59459,100,8,-34.523736971191475,0.04702634546372782,0.02016252651380646,0.475275719197431,-40.874599903224805,15,0.02,0.0,0.75,0.05,15,8000,7.0,8000,20.0,15,-6.0812286163267615
35647,661,8,-34.51742025257066,0.03909613958235203,0.021144490403322738,0.5261887482191262,-40.38406578060007,15,0.04,0.25,0.2,0.05,15,3000,4.0,12000,20.0,15,-5.693378562670048
35773,597,12,-34.516522799994924,0.039095673133746706,0.02113967962659001,0.5258623854471114,-40.3816649850422,15,0.04,0.25,0.2,0.05,15,3000,4.0,12000,20.0,15,-5.693089631006732
35899,533,16,-34.516467546012215,0.03909560516824218,0.021139385917226583,0.5258091386717108,-40.38145737504774,15,0.04,0.25,0.2,0.05,15,3000,4.0,12000,20.0,15,-5.69306853678111
59585,28,12,-34.512605999189056,0.04811131816823598,0.020420732788775296,0.4746148908293079,-36.7491475917852,15,0.02,0.0,0.75,0.05,15,5000,7.0,8000,20.0,15,-6.081117679037651
59459,92,8,-34.510935926137606,0.04811399782595534,0.02043353260539265,0.475275719197431,-36.75567377884651,15,0.02,0.0,0.75,0.05,15,5000,7.0,8000,20.0,15,-6.0812286163267615
35394,404,12,-34.35396498768879,0.04064604125530499,0.02053131686913199,0.5045922690852699,-40.26865834153875,15,0.03,0.25,0.0,0.05,15,3000,4.0,8000,20.0,15,-6.0143198770992505
35520,340,16,-34.353836248715325,0.04064591107046683,0.02053085715618565,0.5045212965250775,-40.2684059870979,15,0.03,0.25,0.0,0.05,15,3000,4.0,8000,20.0,15,-6.014264609424513
35268,468,8,-34.353559363183635,0.04064857584487512,0.02053888013995032,0.5050267730742137,-40.27125352117977,15,0.03,0.25,0.0,0.05,15,3000,4.0,8000,20.0,15,-6.014715959277694
35899,549,16,-34.348867771449925,0.03814418631937551,0.020930014701261105,0.5258091386717108,-41.743425232416996,15,0.04,0.25,0.2,0.05,15,8000,4.0,12000,20.0,15,-5.69306853678111
35773,613,12,-34.348807595105065,0.03814419891619938,0.020930294952240684,0.5258623854471114,-41.743297046131836,15,0.04,0.25,0.2,0.05,15,8000,4.0,12000,20.0,15,-5.693089631006732
35647,677,8,-34.348746629480594,0.038145218142914064,0.020934906359947394,0.5261887482191262,-41.74300361900652,15,0.04,0.25,0.2,0.05,15,8000,4.0,12000,20.0,15,-5.693378562670048
35647,669,8,-34.307103493634486,0.038369043964440845,0.021061891822055232,0.5261887482191262,-40.731165010376934,15,0.04,0.25,0.2,0.05,15,5000,4.0,12000,20.0,15,-5.693378562670048
35773,605,12,-34.30693381972421,0.038368071665637465,0.021057167072832842,0.5258623854471114,-40.72935038158458,15,0.04,0.25,0.2,0.05,15,5000,4.0,12000,20.0,15,-5.693089631006732
35899,541,16,-34.30691368526074,0.03836802142543301,0.02105687917766644,0.5258091386717108,-40.72901279803346,15,0.04,0.25,0.2,0.05,15,5000,4.0,12000,20.0,15,-5.69306853678111
59207,146,12,-34.30639404758015,0.045565384415119155,0.020283589530997237,0.45546476997885227,-39.08730979339875,15,0.015,0.0,0.75,0.05,15,3000,7.0,3000,20.0,15,-6.289579347448537
59333,210,16,-34.30624323607237,0.0455647846559589,0.020282320088245032,0.45531874975747144,-39.08550350246402,15,0.015,0.0,0.75,0.05,15,3000,7.0,3000,20.0,15,-6.289566272098146
59081,274,8,-34.305139791471326,0.04556252586633987,0.020304402054112755,0.456343264080668,-39.10192809121881,15,0.015,0.0,0.75,0.05,15,3000,7.0,3000,20.0,15,-6.287910028526755
36279,933,16,-34.27334919492407,0.03902220449838776,0.022425685264988504,0.5428919853183819,-41.56064253147701,15,0.05,0.25,0.4,0.05,15,8000,4.0,12000,20.0,15,-5.872773152926669
36153,997,12,-34.27328912035502,0.039022202158275184,0.022425909512026426,0.5429345910734116,-41.56047874325105,15,0.05,0.25,0.4,0.05,15,8000,4.0,12000,20.0,15,-5.872787264888157
36027,1061,8,-34.27293443726824,0.039022720574460254,0.022429601917763064,0.5431959145327,-41.55993084402727,15,0.05,0.25,0.4,0.05,15,8000,4.0,12000,20.0,15,-5.8729794757903075
36279,925,16,-34.25898692534123,0.039183231609855894,0.022545279597054945,0.5428919853183819,-41.42608123437809,15,0.05,0.25,0.4,0.05,15,5000,4.0,12000,20.0,15,-5.872773152926669
36153,989,12,-34.25897937527846,0.039183253236812744,0.022545509960682143,0.5429345910734116,-41.426264293966376,15,0.05,0.25,0.4,0.05,15,5000,4.0,12000,20.0,15,-5.872787264888157
36027,1053,8,-34.258772499629494,0.03918372384640582,0.02254929311749184,0.5431959145327,-41.42742453056807,15,0.05,0.25,0.4,0.05,15,5000,4.0,12000,20.0,15,-5.8729794757903075
59459,101,8,-34.12595281464712,0.0438519507741403,0.01890992861321532,0.475275719197431,-40.874599903224805,15,0.02,0.0,0.75,0.05,15,8000,7.0,12000,20.0,15,-5.450077043551705
59585,37,12,-34.124950491516024,0.043850685371153615,0.01889930244078084,0.4746148908293079,-40.873168385152916,15,0.02,0.0,0.75,0.05,15,8000,7.0,12000,20.0,15,-5.449623484573085
59459,93,8,-34.11315176959326,0.04493960313636783,0.01918093470480151,0.475275719197431,-36.75567377884651,15,0.02,0.0,0.75,0.05,15,5000,7.0,12000,20.0,15,-5.450077043551705
59585,29,12,-34.111058068431156,0.04493868859614754,0.01916986726836565,0.4746148908293079,-36.7491475917852,15,0.02,0.0,0.75,0.05,15,5000,7.0,12000,20.0,15,-5.449623484573085
35394,412,12,-34.07589748193462,0.039725703623885826,0.020442369200812573,0.5045922690852699,-40.773636697577395,15,0.03,0.25,0.0,0.05,15,5000,4.0,8000,20.0,15,-6.0143198770992505
35520,348,16,-34.0758074575269,0.039725604824390096,0.020441917237401835,0.5045212965250775,-40.773163497894224,15,0.03,0.25,0.0,0.05,15,5000,4.0,8000,20.0,15,-6.014264609424513
35268,476,8,-34.0744671607202,0.03972903969357459,0.020449817936966493,0.5050267730742137,-40.77535383750964,15,0.03,0.25,0.0,0.05,15,5000,4.0,8000,20.0,15,-6.014715959277694
