base_config_id,config_id,fit_start_step,max_mode,mean_delta,mean_kappa,mean_source_retention,mean_target_retention,median_delta,nonharm,nuisance_lambda,retention_power,rho,ridge_tau,rows,smooth_lambda,step_lambda,wins,worst_delta
35650,0,0,8,-31.264752288009344,0.03822031273381774,0.02383698379449106,0.5261887482191262,-25.213615561587755,15,0.04,0.25,0.5,0.05,15,4.0,20.0,15,-6.14035873473272
35650,1,2160,8,-31.264752288009344,0.03822031273381774,0.02383698379449106,0.5261887482191262,-25.213615561587755,15,0.04,0.25,0.5,0.05,15,4.0,20.0,15,-6.14035873473272
35650,2,3000,8,-32.077578196027055,0.03734379519692402,0.023591600332567006,0.5261887482191262,-34.34860844625971,15,0.04,0.25,0.5,0.05,15,4.0,20.0,15,-6.118433147556946
35650,3,5000,8,-30.989040687305987,0.03504417865879279,0.02298983680508745,0.5261887482191262,-34.7302757083049,15,0.04,0.25,0.5,0.05,15,4.0,20.0,15,-5.639315949643819
35650,4,8000,8,-30.07786704115696,0.033077022793610605,0.02207427302616203,0.5261887482191262,-33.96233911344307,15,0.04,0.25,0.5,0.05,15,4.0,20.0,15,-5.261681001838625
35650,5,12000,8,-28.101339716889697,0.029958452945190162,0.020758536241926775,0.5261887482191262,-31.15715599443105,15,0.04,0.25,0.5,0.05,15,4.0,20.0,15,-4.758435413615958
35650,6,16000,8,-25.16671048091975,0.026239019415663294,0.019318912073845833,0.5261887482191262,-27.920964773312086,15,0.04,0.25,0.5,0.05,15,4.0,20.0,15,-4.2338935598019045
35650,7,24000,8,-18.255926989730593,0.018185155511605686,0.016214244132316317,0.5261887482191262,-20.21374552529178,15,0.04,0.25,0.5,0.05,15,4.0,20.0,15,-3.184807346019236
35776,8,0,12,-31.264450740656056,0.03822051472138336,0.02382974190819143,0.5258623854471114,-25.209415421715363,15,0.04,0.25,0.5,0.05,15,4.0,20.0,15,-6.138676894938988
35776,9,2160,12,-31.264450740656056,0.03822051472138336,0.02382974190819143,0.5258623854471114,-25.209415421715363,15,0.04,0.25,0.5,0.05,15,4.0,20.0,15,-6.138676894938988
35776,10,3000,12,-32.07931839013821,0.03734332965938343,0.023584650902780318,0.5258623854471114,-34.34747368456148,15,0.04,0.25,0.5,0.05,15,4.0,20.0,15,-6.118532673373345
35776,11,5000,12,-30.98924935240884,0.03504254038530395,0.02298351707228866,0.5258623854471114,-34.728582439852914,15,0.04,0.25,0.5,0.05,15,4.0,20.0,15,-5.639133541631547
35776,12,8000,12,-30.07772808253286,0.03307559467225084,0.022068791535611042,0.5258623854471114,-33.96321710851444,15,0.04,0.25,0.5,0.05,15,4.0,20.0,15,-5.261491833639154
35776,13,12000,12,-28.10124151980406,0.029957729389659068,0.020754062733478327,0.5258623854471114,-31.158022885666348,15,0.04,0.25,0.5,0.05,15,4.0,20.0,15,-4.758204268285137
35776,14,16000,12,-25.16679337913157,0.026238725692391465,0.01931532626948806,0.5258623854471114,-27.92169241067558,15,0.04,0.25,0.5,0.05,15,4.0,20.0,15,-4.23366549755857
35776,15,24000,12,-18.255020527311487,0.018183946803842253,0.01621201791922693,0.5258623854471114,-20.213769689427995,15,0.04,0.25,0.5,0.05,15,4.0,20.0,15,-3.184625082172965
35902,16,0,16,-31.264418304402625,0.038220391627477236,0.02382930310678908,0.5258091386717108,-25.209108706697027,15,0.04,0.25,0.5,0.05,15,4.0,20.0,15,-6.138607877636093
35902,17,2160,16,-31.264418304402625,0.038220391627477236,0.02382930310678908,0.5258091386717108,-25.209108706697027,15,0.04,0.25,0.5,0.05,15,4.0,20.0,15,-6.138607877636093
35902,18,3000,16,-32.0793831045177,0.03734319073532521,0.023584230145408874,0.5258091386717108,-34.34727330490305,15,0.04,0.25,0.5,0.05,15,4.0,20.0,15,-6.118518438851817
35902,19,5000,16,-30.98925712705305,0.03504242614178669,0.022983134844941477,0.5258091386717108,-34.728569473052474,15,0.04,0.25,0.5,0.05,15,4.0,20.0,15,-5.639100221259186
35902,20,8000,16,-30.07779251960275,0.03307559374438687,0.02206846009054953,0.5258091386717108,-33.963600668577385,15,0.04,0.25,0.5,0.05,15,4.0,20.0,15,-5.2614646891129935
35902,21,12000,16,-28.101249100074554,0.029957692175868092,0.020753791683534643,0.5258091386717108,-31.158153823570345,15,0.04,0.25,0.5,0.05,15,4.0,20.0,15,-4.758187392903879
35902,22,16000,16,-25.16673417437838,0.02623864568445188,0.01931510800085155,0.5258091386717108,-27.921591062440342,15,0.04,0.25,0.5,0.05,15,4.0,20.0,15,-4.233653112035896
35902,23,24000,16,-18.255050283894256,0.018183972196787093,0.01621188039124771,0.5258091386717108,-20.21380877601886,15,0.04,0.25,0.5,0.05,15,4.0,20.0,15,-3.1846271958403283
35649,24,0,8,-31.19192681312519,0.04095033507194758,0.02383698379449106,0.5261887482191262,-27.014588101701175,15,0.04,0.25,0.4,0.05,15,4.0,20.0,15,-5.167474996718868
35649,25,2160,8,-31.19192681312519,0.04095033507194758,0.02383698379449106,0.5261887482191262,-27.014588101701175,15,0.04,0.25,0.4,0.05,15,4.0,20.0,15,-5.167474996718868
35649,26,3000,8,-32.609165088500724,0.04001120913956146,0.023591600332567006,0.5261887482191262,-36.80208047813514,15,0.04,0.25,0.4,0.05,15,4.0,20.0,15,-5.818835799741562
35649,27,5000,8,-32.217843122232246,0.037547334277277994,0.02298983680508745,0.5261887482191262,-37.211009687469534,15,0.04,0.25,0.4,0.05,15,4.0,20.0,15,-5.969362601947504
35649,28,8000,8,-31.67747821129958,0.0354396672788685,0.02207427302616203,0.5261887482191262,-36.38822047868883,15,0.04,0.25,0.4,0.05,15,4.0,20.0,15,-5.564753729298788
35649,29,12000,8,-29.819506162330267,0.03209834244127518,0.020758536241926775,0.5261887482191262,-33.38266713689043,15,0.04,0.25,0.4,0.05,15,4.0,20.0,15,-5.025562027631181
35649,30,16000,8,-26.809785895279212,0.02811323508821067,0.019318912073845833,0.5261887482191262,-29.915319399977324,15,0.04,0.25,0.4,0.05,15,4.0,20.0,15,-4.4635528985454425
35649,31,24000,8,-19.46415169652936,0.01948409519100609,0.016214244132316317,0.5261887482191262,-21.657584491384164,15,0.04,0.25,0.4,0.05,15,4.0,20.0,15,-3.339531955206121
35775,32,0,12,-31.189703114348234,0.04095055148719646,0.02382974190819143,0.5258623854471114,-27.010087951837647,15,0.04,0.25,0.4,0.05,15,4.0,20.0,15,-5.170568483449866
35775,33,2160,12,-31.189703114348234,0.04095055148719646,0.02382974190819143,0.5258623854471114,-27.010087951837647,15,0.04,0.25,0.4,0.05,15,4.0,20.0,15,-5.170568483449866
35775,34,3000,12,-32.61138108372399,0.04001071034933938,0.023584650902780318,0.5258623854471114,-36.80086466203015,15,0.04,0.25,0.4,0.05,15,4.0,20.0,15,-5.822548432212904
35775,35,5000,12,-32.21950463772388,0.03754557898425425,0.02298351707228866,0.5258623854471114,-37.20919547127094,15,0.04,0.25,0.4,0.05,15,4.0,20.0,15,-5.969167164790701
35775,36,8000,12,-31.67752704690684,0.035438137148840185,0.022068791535611042,0.5258623854471114,-36.38916118769404,15,0.04,0.25,0.4,0.05,15,4.0,20.0,15,-5.564551049085342
35775,37,12000,12,-29.819439751325653,0.03209756720320614,0.020754062733478327,0.5258623854471114,-33.38359594892854,15,0.04,0.25,0.4,0.05,15,4.0,20.0,15,-5.025314371919388
35775,38,16000,12,-26.809872813092642,0.02811292038470514,0.01931532626948806,0.5258623854471114,-29.916099011438234,15,0.04,0.25,0.4,0.05,15,4.0,20.0,15,-4.463308546141365
35775,39,24000,12,-19.463180809284868,0.01948280014697384,0.01621201791922693,0.5258623854471114,-21.657610381530223,15,0.04,0.25,0.4,0.05,15,4.0,20.0,15,-3.339336672513493
35901,40,0,16,-31.189585296309833,0.04095041960086846,0.02382930310678908,0.5258091386717108,-27.009759328604154,15,0.04,0.25,0.4,0.05,15,4.0,20.0,15,-5.1708915561599955
35901,41,2160,16,-31.189585296309833,0.04095041960086846,0.02382930310678908,0.5258091386717108,-27.009759328604154,15,0.04,0.25,0.4,0.05,15,4.0,20.0,15,-5.1708915561599955
35901,42,3000,16,-32.611504077617035,0.040010561502134154,0.023584230145408874,0.5258091386717108,-36.80064996953853,15,0.04,0.25,0.4,0.05,15,4.0,20.0,15,-5.822867184764902
35901,43,5000,16,-32.2195731935011,0.037545456580485755,0.022983134844941477,0.5258091386717108,-37.20918157827061,15,0.04,0.25,0.4,0.05,15,4.0,20.0,15,-5.9691314643919196
35901,44,8000,16,-31.677595853475115,0.03543813615470023,0.02206846009054953,0.5258091386717108,-36.38957214490409,15,0.04,0.25,0.4,0.05,15,4.0,20.0,15,-5.56452196566497
35901,45,12000,16,-29.819450489987567,0.032097527331287255,0.020753791683534643,0.5258091386717108,-33.383736239539694,15,0.04,0.25,0.4,0.05,15,4.0,20.0,15,-5.025296291154746
35901,46,16000,16,-26.809810063732503,0.02811283466191273,0.01931510800085155,0.5258091386717108,-29.91599042404317,15,0.04,0.25,0.4,0.05,15,4.0,20.0,15,-4.463295275939904
35901,47,24000,16,-19.46321269400022,0.019482827353700462,0.01621188039124771,0.5258091386717108,-21.65765226002011,15,0.04,0.25,0.4,0.05,15,4.0,20.0,15,-3.339338937158798
35269,48,0,8,-31.137698881881132,0.03890614865823859,0.02220864395474713,0.5050267730742137,-24.48776113283625,15,0.03,0.25,0.2,0.05,15,4.0,20.0,15,-5.7996030229133355
35269,49,2160,8,-31.137698881881132,0.03890614865823859,0.02220864395474713,0.5050267730742137,-24.48776113283625,15,0.03,0.25,0.2,0.05,15,4.0,20.0,15,-5.7996030229133355
35269,50,3000,8,-32.748909387504405,0.03784873640998498,0.021941922876793987,0.5050267730742137,-34.77669052586306,15,0.03,0.25,0.2,0.05,15,4.0,20.0,15,-6.163416034714187
35269,51,5000,8,-31.348457143481948,0.035096759673580315,0.02129320437014027,0.5050267730742137,-34.99432024207509,15,0.03,0.25,0.2,0.05,15,4.0,20.0,15,-5.605072318283877
35269,52,8000,8,-30.21500403933589,0.03285188379975476,0.020313099787434372,0.5050267730742137,-34.90100491500995,15,0.03,0.25,0.2,0.05,15,4.0,20.0,15,-5.182040435630819
35269,53,12000,8,-27.93414837637978,0.02947610868619035,0.01891894721584691,0.5050267730742137,-31.628490149368037,15,0.03,0.25,0.2,0.05,15,4.0,20.0,15,-4.640520966636785
35269,54,16000,8,-24.82540284929396,0.025597142636278495,0.01741513596200472,0.5050267730742137,-28.098243571188096,15,0.03,0.25,0.2,0.05,15,4.0,20.0,15,-4.096554479436376
35269,55,24000,8,-17.872372818356894,0.0175953613692405,0.01425782791183484,0.5050267730742137,-20.18687009103225,15,0.03,0.25,0.2,0.05,15,4.0,20.0,15,-3.069234011634814
35395,56,0,12,-31.133724520552263,0.038905957504369995,0.022199002425559104,0.5045922690852699,-24.479353977901084,15,0.03,0.25,0.2,0.05,15,4.0,20.0,15,-5.79687958105305
35395,57,2160,12,-31.133724520552263,0.038905957504369995,0.022199002425559104,0.5045922690852699,-24.479353977901084,15,0.03,0.25,0.2,0.05,15,4.0,20.0,15,-5.79687958105305
35395,58,3000,12,-32.75050893570953,0.03784744397208974,0.021932670698574398,0.5045922690852699,-34.773386615390756,15,0.03,0.25,0.2,0.05,15,4.0,20.0,15,-6.163555762952511
35395,59,5000,12,-31.348123800456623,0.03509354514781369,0.021284790541085893,0.5045922690852699,-34.99011499417107,15,0.03,0.25,0.2,0.05,15,4.0,20.0,15,-5.604748914248015
35395,60,8000,12,-30.214109807878682,0.03284907819271361,0.020305801957504328,0.5045922690852699,-34.901472822030264,15,0.03,0.25,0.2,0.05,15,4.0,20.0,15,-5.1817103671493285
35395,61,12000,12,-27.933484145540334,0.029474567433705842,0.01891299136374668,0.5045922690852699,-31.62912229618673,15,0.03,0.25,0.2,0.05,15,4.0,20.0,15,-4.640126575399128
35395,62,16000,12,-24.82522668218228,0.02559639901123371,0.01741036195134429,0.5045922690852699,-28.098827003785164,15,0.03,0.25,0.2,0.05,15,4.0,20.0,15,-4.09616977916899
35395,63,24000,12,-17.870674838619262,0.017593210805083293,0.014254863985027568,0.5045922690852699,-20.186562560418164,15,0.03,0.25,0.2,0.05,15,4.0,20.0,15,-3.068931281223508
35521,64,0,16,-31.133494457269883,0.038905716145667145,0.022198417559106565,0.5045212965250775,-24.478746735188928,15,0.03,0.25,0.2,0.05,15,4.0,20.0,15,-5.796768842855881
35521,65,2160,16,-31.133494457269883,0.038905716145667145,0.022198417559106565,0.5045212965250775,-24.478746735188928,15,0.03,0.25,0.2,0.05,15,4.0,20.0,15,-5.796768842855881
35521,66,3000,16,-32.75051450943953,0.037847177040510986,0.021932109882187707,0.5045212965250775,-34.77295216296902,15,0.03,0.25,0.2,0.05,15,4.0,20.0,15,-6.163530578685239
35521,67,5000,16,-31.34809413861303,0.0350933231318048,0.02128428108019272,0.5045212965250775,-34.99000671966257,15,0.03,0.25,0.2,0.05,15,4.0,20.0,15,-5.6046922929253835
35521,68,8000,16,-30.214184697788394,0.03284905042509447,0.02030536018290052,0.5045212965250775,-34.902065107714954,15,0.03,0.25,0.2,0.05,15,4.0,20.0,15,-5.181664310753598
35521,69,12000,16,-27.933463706260802,0.02947448342364261,0.018912630088099,0.5045212965250775,-31.629291619801204,15,0.03,0.25,0.2,0.05,15,4.0,20.0,15,-4.640097906355145
35521,70,16000,16,-24.825104615685266,0.02559624801285231,0.017410071026410356,0.5045212965250775,-28.098606912734336,15,0.03,0.25,0.2,0.05,15,4.0,20.0,15,-4.096148828957114
35521,71,24000,16,-17.87071510528251,0.017593245710648124,0.014254680677056793,0.5045212965250775,-20.186607414814773,15,0.03,0.25,0.2,0.05,15,4.0,20.0,15,-3.0689346073336954
36155,72,0,12,-31.072248222441733,0.03822666922921532,0.02514425465234799,0.5429345910734116,-25.749230268352363,15,0.05,0.25,0.75,0.05,15,4.0,20.0,15,-6.169767001911353
36155,73,2160,12,-31.072248222441733,0.03822666922921532,0.02514425465234799,0.5429345910734116,-25.749230268352363,15,0.05,0.25,0.75,0.05,15,4.0,20.0,15,-6.169767001911353
36155,74,3000,12,-31.725985034224774,0.03746314937164726,0.024917287095477268,0.5429345910734116,-34.37835509148367,15,0.05,0.25,0.75,0.05,15,4.0,20.0,15,-6.160813697949186
36155,75,5000,12,-30.964731032141007,0.035441269350521956,0.024356850742001453,0.5429345910734116,-34.872597923354256,15,0.05,0.25,0.75,0.05,15,4.0,20.0,15,-5.728018101789811
36155,76,8000,12,-30.228067464932803,0.033662610614184615,0.02350030066247175,0.5429345910734116,-33.60536105999101,15,0.05,0.25,0.75,0.05,15,4.0,20.0,15,-5.380548156269393
36155,77,12000,12,-28.48474518631261,0.030707496453780035,0.022260734496773696,0.5429345910734116,-31.080716694146993,15,0.05,0.25,0.75,0.05,15,4.0,20.0,15,-4.901962375390445
36155,78,16000,12,-25.697873539710436,0.027065435480504503,0.02088970768992256,0.5429345910734116,-28.008760818518287,15,0.05,0.25,0.75,0.05,15,4.0,20.0,15,-4.387044119171913
36155,79,24000,12,-18.7401637182047,0.01886723376684304,0.017867160282919112,0.5429345910734116,-20.359261664414053,15,0.05,0.25,0.75,0.05,15,4.0,20.0,15,-3.3084853106941203
36281,80,0,16,-31.072245792456204,0.03822659767877294,0.025143903538437852,0.5428919853183819,-25.749051927703583,15,0.05,0.25,0.75,0.05,15,4.0,20.0,15,-6.169718018809212
36281,81,2160,16,-31.072245792456204,0.03822659767877294,0.025143903538437852,0.5428919853183819,-25.749051927703583,15,0.05,0.25,0.75,0.05,15,4.0,20.0,15,-6.169718018809212
36281,82,3000,16,-31.72606105789856,0.03746306669805041,0.024916950419904674,0.5428919853183819,-34.3782517789589,15,0.05,0.25,0.75,0.05,15,4.0,20.0,15,-6.160804548626386
36281,83,5000,16,-30.964752250289827,0.03544120231248114,0.024356544896885636,0.5428919853183819,-34.87261839744211,15,0.05,0.25,0.75,0.05,15,4.0,20.0,15,-5.727995749897607
36281,84,8000,16,-30.228122552975897,0.03366261936215589,0.023500035451621826,0.5428919853183819,-33.605639459050764,15,0.05,0.25,0.75,0.05,15,4.0,20.0,15,-5.380529937039402
36281,85,12000,16,-28.48476056131307,0.03070747881510975,0.022260517612055657,0.5428919853183819,-31.080822599898983,15,0.05,0.25,0.75,0.05,15,4.0,20.0,15,-4.9019510858201105
36281,86,16000,16,-25.697840912477922,0.027065386958372607,0.020889533039025337,0.5428919853183819,-28.008708215107337,15,0.05,0.25,0.75,0.05,15,4.0,20.0,15,-4.387035811156659
36281,87,24000,16,-18.74018730822405,0.01886725379112393,0.017867050237963495,0.5428919853183819,-20.359295019323397,15,0.05,0.25,0.75,0.05,15,4.0,20.0,15,-3.308486858606907
36029,88,0,8,-31.07212019894853,0.0382263429141421,0.025150053328194397,0.5431959145327,-25.751639735694297,15,0.05,0.25,0.75,0.05,15,4.0,20.0,15,-6.170949836770556
36029,89,2160,8,-31.07212019894853,0.0382263429141421,0.025150053328194397,0.5431959145327,-25.751639735694297,15,0.05,0.25,0.75,0.05,15,4.0,20.0,15,-6.170949836770556
36029,90,3000,8,-31.724375763723643,0.03746328410732664,0.024922851592835877,0.5431959145327,-34.37865317871642,15,0.05,0.25,0.75,0.05,15,4.0,20.0,15,-6.160734869626805
36029,91,5000,8,-30.964313715451983,0.035442218393267805,0.024361911031878094,0.5431959145327,-34.8732888315727,15,0.05,0.25,0.75,0.05,15,4.0,20.0,15,-5.728134667731011
36029,92,8000,8,-30.22794634706787,0.03366343625426767,0.023504689760579664,0.5431959145327,-33.60442976820791,15,0.05,0.25,0.75,0.05,15,4.0,20.0,15,-5.38067105025063
36029,93,12000,8,-28.484657494746678,0.030707871359510457,0.022264316488146026,0.5431959145327,-31.079853667740277,15,0.05,0.25,0.75,0.05,15,4.0,20.0,15,-4.902116144112679
36029,94,16000,8,-25.697709160677796,0.027065545306609866,0.020892578881506408,0.5431959145327,-28.008054676716952,15,0.05,0.25,0.75,0.05,15,4.0,20.0,15,-4.387197545706368
36029,95,24000,8,-18.740720969315877,0.01886801295890727,0.017868942825609954,0.5431959145327,-20.359131912428097,15,0.05,0.25,0.75,0.05,15,4.0,20.0,15,-3.3086097555541927
35648,96,0,8,-30.806822308730716,0.04246701414868637,0.02383698379449106,0.5261887482191262,-28.015128401764144,15,0.04,0.25,0.35,0.05,15,4.0,20.0,15,-4.154398439846673
35648,97,2160,8,-30.806822308730716,0.04246701414868637,0.02383698379449106,0.5261887482191262,-28.015128401764144,15,0.04,0.25,0.35,0.05,15,4.0,20.0,15,-4.154398439846673
35648,98,3000,8,-32.58426450948671,0.04149310577436003,0.023591600332567006,0.5261887482191262,-38.165120495843766,15,0.04,0.25,0.35,0.05,15,4.0,20.0,15,-4.829883717055328
35648,99,5000,8,-32.5774330902269,0.03893797628754756,0.02298983680508745,0.5261887482191262,-38.58919523144999,15,0.04,0.25,0.35,0.05,15,4.0,20.0,15,-6.095700915412183
35648,100,8000,8,-32.46630248455487,0.03675224754845621,0.02207427302616203,0.5261887482191262,-37.73593234826986,15,0.04,0.25,0.35,0.05,15,4.0,20.0,15,-5.733127466776211
35648,101,12000,8,-30.713427661760836,0.033287169939100185,0.020758536241926775,0.5261887482191262,-34.619062216034635,15,0.04,0.25,0.35,0.05,15,4.0,20.0,15,-5.173965702084993
35648,102,16000,8,-27.717839682599806,0.029154466017403662,0.019318912073845833,0.5261887482191262,-31.023294192569008,15,0.04,0.25,0.35,0.05,15,4.0,20.0,15,-4.591141420069378
35648,103,24000,8,-20.13537156304417,0.020205728346228535,0.016214244132316317,0.5261887482191262,-22.459717250324307,15,0.04,0.25,0.35,0.05,15,4.0,20.0,15,-3.4254900714215886
35774,104,0,12,-30.80419336315583,0.04246723857931486,0.02382974190819143,0.5258623854471114,-28.010461579683753,15,0.04,0.25,0.35,0.05,15,4.0,20.0,15,-4.157606500160238
35774,105,2160,12,-30.80419336315583,0.04246723857931486,0.02382974190819143,0.5258623854471114,-28.010461579683753,15,0.04,0.25,0.35,0.05,15,4.0,20.0,15,-4.157606500160238
35774,106,3000,12,-32.586551294313104,0.041492588510426025,0.023584650902780318,0.5258623854471114,-38.1638596495127,15,0.04,0.25,0.35,0.05,15,4.0,20.0,15,-4.833733854433042
35774,107,5000,12,-32.57926233994731,0.03893615598367106,0.02298351707228866,0.5258623854471114,-38.5873138220588,15,0.04,0.25,0.35,0.05,15,4.0,20.0,15,-6.10003609034867
35774,108,8000,12,-32.46706448624936,0.03675066074694537,0.022068791535611042,0.5258623854471114,-37.736907898349315,15,0.04,0.25,0.35,0.05,15,4.0,20.0,15,-5.732917279888827
35774,109,12000,12,-30.713477317571105,0.03328636598851007,0.020754062733478327,0.5258623854471114,-34.62002542851833,15,0.04,0.25,0.35,0.05,15,4.0,20.0,15,-5.173708873938931
