adaptive_delta_pct,adaptive_lambda,adaptive_mae,channel,mpl_mae,scale,test_curve,test_label,window_delta_pct,window_fit_start,window_lambda,window_mae
-25.213615561587755,4.0,0.002549008537316123,smooth,0.003408385839825258,25,wsd_20000_24000.csv,WSD sharp,-40.873168385152916,8000,7.0,0.0020152705562977717
-18.986120758717494,4.0,0.0025406726415061307,smooth,0.0031360955249893426,25,wsdld_20000_24000.csv,WSD linear,-33.01334508818162,8000,7.0,0.00210076548702959
-53.62670977182863,20.0,0.002080856548414082,step,0.004487187642230267,25,wsdcon_3.csv,WSD-con 3e-5,-59.22548845635623,8000,20.0,0.001829628843166137
-22.169648051523605,20.0,0.0022776918404889238,step,0.002926482771138891,25,wsdcon_9.csv,WSD-con 9e-5,-20.67532158278339,8000,20.0,0.002321423047141174
-11.119725344352682,20.0,0.0022262899728667084,step,0.002504818961791151,25,wsdcon_18.csv,WSD-con 18e-5,-12.275643817487925,8000,20.0,0.0021973363077687704
-43.14495490848622,4.0,0.0021309671853881325,smooth,0.0037480705220761528,100,wsd_20000_24000.csv,WSD sharp,-56.3505572637391,8000,7.0,0.0016360118962483055
-34.49224374598423,4.0,0.00212789744760068,smooth,0.003248313740665229,100,wsdld_20000_24000.csv,WSD linear,-46.640638783202895,8000,7.0,0.0017332794623364134
-46.638518684957795,20.0,0.003025275679781737,step,0.0056693997340904675,100,wsdcon_3.csv,WSD-con 3e-5,-44.466579146558146,8000,20.0,0.0031484116141963724
-6.991012799088658,20.0,0.004589643248600832,step,0.004934623402238123,100,wsdcon_9.csv,WSD-con 9e-5,-6.288234382364233,8000,20.0,0.004624322716818394
-9.663333048143086,20.0,0.0012481279173331718,step,0.0013816404339982303,100,wsdcon_18.csv,WSD-con 18e-5,-9.163402204667037,8000,20.0,0.0012550351640086652
-63.41907887253999,4.0,0.0017200345142450912,smooth,0.004701998914275349,400,wsd_20000_24000.csv,WSD sharp,-58.61759644367087,8000,7.0,0.0019458001659196388
-53.949387929922175,4.0,0.001774586306994599,smooth,0.0038535563963712593,400,wsdld_20000_24000.csv,WSD linear,-51.972631833015825,8000,7.0,0.0018507617180075926
-60.268632372511746,20.0,0.0032474857577103693,step,0.008173606778800102,400,wsdcon_3.csv,WSD-con 3e-5,-58.37660390871391,8000,20.0,0.0034021327244841766
-13.14794373576339,20.0,0.005808062747602599,step,0.006687305974578527,400,wsdcon_9.csv,WSD-con 9e-5,-13.877147359176945,8000,20.0,0.0057592986701272214
-6.14035873473272,20.0,0.0024008866304129095,step,0.0025579541942073844,400,wsdcon_18.csv,WSD-con 18e-5,-6.081117679037651,8000,20.0,0.002402401989481754
