base_config_id,config_id,fit_start_step,max_mode,mean_delta,mean_kappa,mean_source_retention,mean_target_retention,median_delta,nonharm,nuisance_lambda,retention_power,rho,ridge_tau,rows,smooth_lambda,step_lambda,wins,worst_delta
59585,1580,8000,12,-34.52649842227391,0.04702331494324205,0.02015016796119049,0.4746148908293079,-40.873168385152916,15,0.02,0.0,0.75,0.05,15,7.0,20.0,15,-6.081117679037651
59459,1564,8000,8,-34.523736971191475,0.04702634546372782,0.02016252651380646,0.475275719197431,-40.874599903224805,15,0.02,0.0,0.75,0.05,15,7.0,20.0,15,-6.0812286163267615
59207,466,3000,12,-34.30639404758015,0.045565384415119155,0.020283589530997237,0.45546476997885227,-39.08730979339875,15,0.015,0.0,0.75,0.05,15,7.0,20.0,15,-6.289579347448537
59333,474,3000,16,-34.30624323607237,0.0455647846559589,0.020282320088245032,0.45531874975747144,-39.08550350246402,15,0.015,0.0,0.75,0.05,15,7.0,20.0,15,-6.289566272098146
59081,434,3000,8,-34.305139791471326,0.04556252586633987,0.020304402054112755,0.456343264080668,-39.10192809121881,15,0.015,0.0,0.75,0.05,15,7.0,20.0,15,-6.287910028526755
35520,1220,8000,16,-34.040116587307004,0.03941886051011337,0.02030536018290052,0.5045212965250775,-41.50201217562669,15,0.03,0.25,0.0,0.05,15,4.0,20.0,15,-6.014264609424513
35394,1212,8000,12,-34.04007101600008,0.03941889383125633,0.020305801957504328,0.5045922690852699,-41.501677659251065,15,0.03,0.25,0.0,0.05,15,4.0,20.0,15,-6.0143198770992505
35268,1204,8000,8,-34.038305443976554,0.03942226055970572,0.020313099787434372,0.5050267730742137,-41.501413390562945,15,0.03,0.25,0.0,0.05,15,4.0,20.0,15,-6.014715959277694
35899,1308,8000,16,-33.85501911322391,0.0413444921804836,0.02206846009054953,0.5258091386717108,-38.89545158454049,15,0.04,0.25,0.2,0.05,15,4.0,20.0,15,-4.485574530105662
35773,1316,8000,12,-33.854978184397076,0.04134449334031355,0.022068791535611042,0.5258623854471114,-38.89528243634056,15,0.04,0.25,0.2,0.05,15,4.0,20.0,15,-4.485519798515581
35647,1300,8000,8,-33.85327380964372,0.04134627849201325,0.02207427302616203,0.5261887482191262,-38.88387427354362,15,0.04,0.25,0.2,0.05,15,4.0,20.0,15,-4.4818284385829905
35142,210,3000,16,-33.61371692736785,0.0397097574787963,0.020905345337958747,0.4914458786400873,-36.407334538530165,15,0.025,0.25,0.0,0.05,15,4.0,20.0,15,-6.40484910621042
35016,202,3000,12,-33.61354978906992,0.039710170250429486,0.020906018132027544,0.4915310235101395,-36.408044163980705,15,0.025,0.25,0.0,0.05,15,4.0,20.0,15,-6.404886401506571
34890,194,3000,8,-33.61008067324224,0.039712443050855896,0.02091710760091021,0.49205180941371895,-36.41397406450868,15,0.025,0.25,0.0,0.05,15,4.0,20.0,15,-6.4047046088036685
35899,1309,12000,16,-33.52008173052874,0.037447115219835125,0.020753791683534643,0.5258091386717108,-38.9476922794629,15,0.04,0.25,0.2,0.05,15,4.0,20.0,15,-5.69306853678111
35773,1317,12000,12,-33.520043754892605,0.03744716173707384,0.020754062733478327,0.5258623854471114,-38.94752860708323,15,0.04,0.25,0.2,0.05,15,4.0,20.0,15,-5.693089631006732
35647,1301,12000,8,-33.51963816719065,0.03744806618148771,0.020758536241926775,0.5261887482191262,-38.946444993038675,15,0.04,0.25,0.2,0.05,15,4.0,20.0,15,-5.693378562670048
59585,1579,5000,12,-33.51749354746078,0.05047443926454255,0.02131147995263134,0.4746148908293079,-36.7491475917852,15,0.02,0.0,0.75,0.05,15,7.0,20.0,15,-4.784730712576479
59459,1563,5000,8,-33.51461128080971,0.05047742946290436,0.021325723103067667,0.475275719197431,-36.75567377884651,15,0.02,0.0,0.75,0.05,15,7.0,20.0,15,-4.772557327221493
36279,1237,12000,16,-33.49639711889627,0.03838434851888718,0.022260517612055657,0.5428919853183819,-38.8510282498737,15,0.05,0.25,0.4,0.05,15,4.0,20.0,15,-5.872773152926669
36153,1245,12000,12,-33.4963563050673,0.03838437056722505,0.022260734496773696,0.5429345910734116,-38.85089586768353,15,0.05,0.25,0.4,0.05,15,4.0,20.0,15,-5.872787264888157
36027,1229,12000,8,-33.495783347153576,0.03838483919938808,0.022264316488146026,0.5431959145327,-38.84981708467541,15,0.05,0.25,0.4,0.05,15,4.0,20.0,15,-5.8729794757903075
36279,1236,8000,16,-33.40628194791571,0.0420782742026949,0.023500035451621826,0.5428919853183819,-36.039810658838654,15,0.05,0.25,0.4,0.05,15,4.0,20.0,15,-3.5615696151353404
36153,1244,8000,12,-33.406233126342244,0.042078263267730766,0.02350030066247175,0.5429345910734116,-36.0397028625451,15,0.05,0.25,0.4,0.05,15,4.0,20.0,15,-3.5615347352935034
36027,1228,8000,8,-33.4047927407453,0.04207929531783459,0.023504689760579664,0.5431959145327,-36.03200401633507,15,0.05,0.25,0.4,0.05,15,4.0,20.0,15,-3.5590436056583075
11332,1293,12000,16,-33.231326564952354,0.03310450397305934,0.02042193032904349,0.546816278389047,-37.42102055812745,15,0.05,0.25,0.5,0.05,15,2.0,20.0,15,-5.549165797224487
11206,1285,12000,12,-33.23130123661328,0.03310453028553752,0.02042212554354259,0.5468581394829484,-37.42092944857395,15,0.05,0.25,0.5,0.05,15,2.0,20.0,15,-5.549178968387968
11080,1277,12000,8,-33.23092786796965,0.03310501413355553,0.02042536865637655,0.5471152382567782,-37.41977540407706,15,0.05,0.25,0.5,0.05,15,2.0,20.0,15,-5.549358365230772
35520,1219,5000,16,-33.18124856266276,0.042111987758165756,0.02128428108019272,0.5045212965250775,-39.0961831242573,15,0.03,0.25,0.0,0.05,15,4.0,20.0,15,-4.550525598574651
35394,1211,5000,12,-33.181160132903166,0.04211225417737643,0.021284790541085893,0.5045922690852699,-39.09490433256203,15,0.03,0.25,0.0,0.05,15,4.0,20.0,15,-4.550111817625757
35268,1203,5000,8,-33.17817632641822,0.04211611160829638,0.02129320437014027,0.5050267730742137,-39.07050647935322,15,0.03,0.25,0.0,0.05,15,4.0,20.0,15,-4.542217360000967
11332,1292,8000,16,-33.13672944942354,0.0358912724310957,0.0215804724524408,0.546816278389047,-38.78528695856986,15,0.05,0.25,0.5,0.05,15,2.0,20.0,15,-5.492167776277834
11206,1284,8000,12,-33.13667927520391,0.03589127187026165,0.021580711339535066,0.5468581394829484,-38.78512120552999,15,0.05,0.25,0.5,0.05,15,2.0,20.0,15,-5.492135221758332
11080,1276,8000,8,-33.13546056311391,0.03589228561659219,0.02158468977505172,0.5471152382567782,-38.78455260714144,15,0.05,0.25,0.5,0.05,15,2.0,20.0,15,-5.489810167432041
59585,1581,12000,12,-33.10945592541457,0.04216573683961409,0.018520596854298355,0.4746148908293079,-38.87492657989367,15,0.02,0.0,0.75,0.05,15,7.0,20.0,15,-5.449623484573085
59459,1565,12000,8,-33.109121287580315,0.04216628169184736,0.018530687724008846,0.475275719197431,-38.87320945166572,15,0.02,0.0,0.75,0.05,15,7.0,20.0,15,-5.450077043551705
36280,188,8000,16,-32.98190871201605,0.03927305592251522,0.023500035451621826,0.5428919853183819,-39.20657936889286,15,0.05,0.25,0.5,0.05,15,4.0,20.0,15,-5.492167776277834
36154,180,8000,12,-32.98185414196661,0.03927304571654872,0.02350030066247175,0.5429345910734116,-39.20625456998924,15,0.05,0.25,0.5,0.05,15,4.0,20.0,15,-5.492135221758332
36028,172,8000,8,-32.98069680975541,0.03927400896331228,0.023504689760579664,0.5431959145327,-39.205168062909465,15,0.05,0.25,0.5,0.05,15,4.0,20.0,15,-5.489810167432041
10952,1028,8000,16,-32.88695901202683,0.03367041636279484,0.020244359050666186,0.5295845112279992,-38.23146801283169,15,0.04,0.25,0.35,0.05,15,2.0,20.0,15,-5.732887119303887
10826,1020,8000,12,-32.88687940517175,0.03367042573945584,0.02024465759781862,0.5296368273522087,-38.23111204621623,15,0.04,0.25,0.35,0.05,15,2.0,20.0,15,-5.732917279888827
10700,1012,8000,8,-32.885960349653985,0.03367200324361583,0.02024962621406203,0.529957914697898,-38.230225090220834,15,0.04,0.25,0.35,0.05,15,2.0,20.0,15,-5.733127466776211
35521,66,3000,16,-32.75051450943953,0.037847177040510986,0.021932109882187707,0.5045212965250775,-34.77295216296902,15,0.03,0.25,0.2,0.05,15,4.0,20.0,15,-6.163530578685239
