config_id,max_mode,mean_delta,mean_kappa,mean_source_retention,mean_target_retention,median_delta,nonharm,nuisance_lambda,retention_power,rho,ridge_tau,rows,smooth_lambda,step_lambda,wins,worst_delta
35650,8,-31.264752288009344,0.03822031273381774,0.02383698379449106,0.5261887482191262,-25.213615561587755,15,0.04,0.25,0.5,0.05,15,4.0,20.0,15,-6.14035873473272
35776,12,-31.264450740656056,0.03822051472138336,0.02382974190819143,0.5258623854471114,-25.209415421715363,15,0.04,0.25,0.5,0.05,15,4.0,20.0,15,-6.138676894938988
35902,16,-31.264418304402625,0.038220391627477236,0.02382930310678908,0.5258091386717108,-25.209108706697027,15,0.04,0.25,0.5,0.05,15,4.0,20.0,15,-6.138607877636093
35649,8,-31.19192681312519,0.04095033507194758,0.02383698379449106,0.5261887482191262,-27.014588101701175,15,0.04,0.25,0.4,0.05,15,4.0,20.0,15,-5.167474996718868
35775,12,-31.189703114348234,0.04095055148719646,0.02382974190819143,0.5258623854471114,-27.010087951837647,15,0.04,0.25,0.4,0.05,15,4.0,20.0,15,-5.170568483449866
35901,16,-31.189585296309833,0.04095041960086846,0.02382930310678908,0.5258091386717108,-27.009759328604154,15,0.04,0.25,0.4,0.05,15,4.0,20.0,15,-5.1708915561599955
35269,8,-31.137698881881132,0.03890614865823859,0.02220864395474713,0.5050267730742137,-24.48776113283625,15,0.03,0.25,0.2,0.05,15,4.0,20.0,15,-5.7996030229133355
35395,12,-31.133724520552263,0.038905957504369995,0.022199002425559104,0.5045922690852699,-24.479353977901084,15,0.03,0.25,0.2,0.05,15,4.0,20.0,15,-5.79687958105305
35521,16,-31.133494457269883,0.038905716145667145,0.022198417559106565,0.5045212965250775,-24.478746735188928,15,0.03,0.25,0.2,0.05,15,4.0,20.0,15,-5.796768842855881
36155,12,-31.072248222441733,0.03822666922921532,0.02514425465234799,0.5429345910734116,-25.749230268352363,15,0.05,0.25,0.75,0.05,15,4.0,20.0,15,-6.169767001911353
36281,16,-31.072245792456204,0.03822659767877294,0.025143903538437852,0.5428919853183819,-25.749051927703583,15,0.05,0.25,0.75,0.05,15,4.0,20.0,15,-6.169718018809212
36029,8,-31.07212019894853,0.0382263429141421,0.025150053328194397,0.5431959145327,-25.751639735694297,15,0.05,0.25,0.75,0.05,15,4.0,20.0,15,-6.170949836770556
35648,8,-30.806822308730716,0.04246701414868637,0.02383698379449106,0.5261887482191262,-28.015128401764144,15,0.04,0.25,0.35,0.05,15,4.0,20.0,15,-4.154398439846673
35774,12,-30.80419336315583,0.04246723857931486,0.02382974190819143,0.5258623854471114,-28.010461579683753,15,0.04,0.25,0.35,0.05,15,4.0,20.0,15,-4.157606500160238
35900,16,-30.804072384998108,0.04246710180830803,0.02382930310678908,0.5258091386717108,-28.01012078521913,15,0.04,0.25,0.35,0.05,15,4.0,20.0,15,-4.1579415385267655
65512,8,-30.60481237199401,0.05567882329970227,0.03476095678765765,0.6098821514750948,-36.946917902198884,15,0.07,0.25,0.5,0.05,15,7.0,30.0,15,-0.5743608990341875
65638,12,-30.603861348014718,0.05567889532792959,0.03475572022166058,0.6096882320816112,-36.94496871902804,15,0.07,0.25,0.5,0.05,15,7.0,30.0,15,-0.5739035244513135
65764,16,-30.603807307482075,0.05567882516953851,0.03475540974883831,0.609655265648604,-36.94481674864739,15,0.07,0.25,0.5,0.05,15,7.0,30.0,15,-0.5738864146243583
65131,8,-30.3549682790805,0.05557301943640117,0.03212820019189193,0.5858739081380205,-36.78295778072895,15,0.05,0.25,0.2,0.05,15,7.0,30.0,15,-0.6506826490393469
65257,12,-30.353049327305353,0.05557283117050941,0.032120876502885434,0.5856026953649198,-36.7788056949377,15,0.05,0.25,0.2,0.05,15,7.0,30.0,15,-0.649879646583118
65383,16,-30.35293592180683,0.055572686995439755,0.032120441944146656,0.58555655243579,-36.77849061557325,15,0.05,0.25,0.2,0.05,15,7.0,30.0,15,-0.6498493462505195
36028,8,-30.192614571992596,0.04459740006649913,0.025150053328194397,0.5431959145327,-30.043579691643373,15,0.05,0.25,0.5,0.05,15,4.0,20.0,15,-2.2283982717578255
36154,12,-30.191369694815148,0.04459778076741787,0.02514425465234799,0.5429345910734116,-30.040768646411063,15,0.05,0.25,0.5,0.05,15,4.0,20.0,15,-2.230649174000199
36280,16,-30.191340716700005,0.04459769729190178,0.025143903538437852,0.5428919853183819,-30.040560582321042,15,0.05,0.25,0.5,0.05,15,4.0,20.0,15,-2.2308868453658315
34890,8,-30.131568605541762,0.04093893900057998,0.021195131750140997,0.49205180941371895,-24.704734406020247,15,0.025,0.25,0.0,0.05,15,4.0,20.0,15,-4.994094027579276
35016,12,-30.123696822598404,0.04093824142934961,0.021183575626008685,0.4915310235101395,-24.69143992571221,15,0.025,0.25,0.0,0.05,15,4.0,20.0,15,-4.990238143996617
35142,16,-30.123276595175348,0.040937864787373796,0.02118287398015218,0.4914458786400873,-24.690483745317938,15,0.025,0.25,0.0,0.05,15,4.0,20.0,15,-4.990082066191337
65132,8,-30.072659579327926,0.049398239499023264,0.03212820019189193,0.5858739081380205,-32.92177839959815,15,0.05,0.25,0.35,0.05,15,7.0,30.0,15,-0.9244566490274941
65258,12,-30.07199563705075,0.0493980721515639,0.032120876502885434,0.5856026953649198,-32.91785791936167,15,0.05,0.25,0.35,0.05,15,7.0,30.0,15,-0.9244580097625299
65384,16,-30.0719234805915,0.04939794399594645,0.032120441944146656,0.58555655243579,-32.91756041529158,15,0.05,0.25,0.35,0.05,15,7.0,30.0,15,-0.9244580611080799
10702,8,-30.007749012478165,0.03439452051850321,0.02186466017060501,0.529957914697898,-22.169648051523605,15,0.04,0.25,0.5,0.05,15,2.0,20.0,15,-6.14035873473272
10828,12,-30.006948337400647,0.0343943760820453,0.02185808567847677,0.5296368273522087,-22.169859628213406,15,0.04,0.25,0.5,0.05,15,2.0,20.0,15,-6.138676894938988
10954,16,-30.00689418572209,0.034394254013666144,0.021857690112652112,0.5295845112279992,-22.169875398022356,15,0.04,0.25,0.5,0.05,15,2.0,20.0,15,-6.138607877636093
59838,8,-29.950900361308957,0.04433447102707474,0.023817320408746272,0.4904456927364108,-24.984707679282803,15,0.025,0.25,0.0,0.05,15,7.0,20.0,15,-4.994094027579276
59964,12,-29.947587922620052,0.044333468206009724,0.02380424957706484,0.48991608588963115,-24.969782977628064,15,0.025,0.25,0.0,0.05,15,7.0,20.0,15,-4.990238143996617
60090,16,-29.947366747105207,0.04433303553615559,0.02380345454531596,0.489828382329441,-24.968682726587755,15,0.025,0.25,0.0,0.05,15,7.0,20.0,15,-4.990082066191337
40565,8,-29.92912401029173,0.04328266107310992,0.03150763058784203,0.6124827069376649,-32.20929018277423,15,0.07,0.25,0.75,0.05,15,4.0,30.0,15,-0.9238951524269456
40691,12,-29.928022764091054,0.043282711901252886,0.03150293748336916,0.6122919550268947,-32.20806230097168,15,0.07,0.25,0.75,0.05,15,4.0,30.0,15,-0.923895899794791
40817,16,-29.927947069734994,0.04328265996852792,0.03150266039825504,0.6122599033538468,-32.20796840078758,15,0.07,0.25,0.75,0.05,15,4.0,30.0,15,-0.9238959277535153
64752,8,-29.914184475917054,0.056882465277437746,0.03047215509327028,0.5704150825901971,-37.125049379107686,15,0.04,0.25,0.0,0.05,15,7.0,30.0,15,-0.37888114441299026
64878,12,-29.911245327498538,0.05688190376614992,0.030463008673595318,0.5700763661615958,-37.11846169257343,15,0.04,0.25,0.0,0.05,15,7.0,30.0,15,-0.3776719737461298
65004,16,-29.911079223874204,0.05688166849063018,0.03046246558801289,0.5700186985176494,-37.117968060059326,15,0.04,0.25,0.0,0.05,15,7.0,30.0,15,-0.377626005286813
60597,8,-29.90735682734555,0.04452834541208624,0.026757846048468384,0.5240515289483985,-26.78810203708646,15,0.04,0.25,0.4,0.05,15,7.0,20.0,15,-5.167474996718868
60723,12,-29.906632497672472,0.044528463040724234,0.026749654928173754,0.5237196356200525,-26.782501160258033,15,0.04,0.25,0.4,0.05,15,7.0,20.0,15,-5.170568483449866
60849,16,-29.906580603498206,0.04452830725850878,0.026749157724258486,0.5236647887020268,-26.782081471965512,15,0.04,0.25,0.4,0.05,15,7.0,20.0,15,-5.1708915561599955
60596,8,-29.90500464324718,0.046177543390311646,0.026757846048468384,0.5240515289483985,-27.78025396438609,15,0.04,0.25,0.35,0.05,15,7.0,20.0,15,-4.154398439846673
