center,config_id,gate_sign,gate_tau,mean_delta,median_delta,nonharm,rows,shrink_gate,target,time_power,width,wins,worst_delta
0.5,790,signed,0.01,-57.93438615330057,-59.471582918227604,3,3,1,wsdcon_3.csv,0.0,0.1,3,-48.91134932393009
0.5,791,signed,0.01,-57.933730782508555,-59.46923445271906,3,3,0,wsdcon_3.csv,0.0,0.1,3,-48.91504975530151
0.5,810,signed,0.01,-57.90159490538133,-59.50762534617592,3,3,1,wsdcon_3.csv,1.0,0.1,3,-48.61264262836335
0.5,811,signed,0.01,-57.90112035203228,-59.5060580150613,3,3,0,wsdcon_3.csv,1.0,0.1,3,-48.61542926249602
0.5,918,signed,0.1,-57.88956621712068,-59.40848821519283,3,3,1,wsdcon_3.csv,0.0,0.25,3,-48.48482029326654
0.5,786,signed,0.003,-57.86214728748314,-59.33386877216845,3,3,1,wsdcon_3.csv,0.0,0.1,3,-49.09851516940622
0.5,787,signed,0.003,-57.86046326851584,-59.331186715598115,3,3,0,wsdcon_3.csv,0.0,0.1,3,-49.10205793423462
0.5,782,signed,0.001,-57.85335363629749,-59.31986747297764,3,3,1,wsdcon_3.csv,0.0,0.1,3,-49.11702756191973
0.5,783,signed,0.001,-57.8516483222825,-59.317151500441454,3,3,0,wsdcon_3.csv,0.0,0.1,3,-49.12061512680658
0.5,854,signed,0.03,-57.84205655649447,-58.94496395742688,3,3,1,wsdcon_3.csv,0.0,0.15,3,-49.197992667012
0.4,619,signed,0.1,-57.822431250597994,-59.52351802110461,3,3,0,wsdcon_3.csv,0.0,0.15,3,-48.11292002322878
0.5,919,signed,0.1,-57.821092918353365,-58.8998835124563,3,3,0,wsdcon_3.csv,0.0,0.25,3,-49.025889024909894
0.5,875,signed,0.03,-57.82025203756208,-59.61263973421159,3,3,0,wsdcon_3.csv,1.0,0.15,3,-47.933474850032184
0.5,831,signed,0.01,-57.805345636547884,-59.62366920806757,3,3,0,wsdcon_3.csv,2.0,0.1,3,-47.981682477015276
0.5,830,signed,0.01,-57.804949947396665,-59.62421622564293,3,3,1,wsdcon_3.csv,2.0,0.1,3,-47.97960358324852
0.4,554,signed,0.03,-57.79802409520511,-59.26803664557113,3,3,1,wsdcon_3.csv,0.0,0.1,3,-48.397270237317635
0.4,555,signed,0.03,-57.78667777411264,-59.15612553169169,3,3,0,wsdcon_3.csv,0.0,0.1,3,-48.53556596398371
0.5,874,signed,0.03,-57.778016548641915,-59.652430256964706,3,3,1,wsdcon_3.csv,1.0,0.15,3,-47.760534423076194
0.5,795,signed,0.03,-57.77615396400673,-59.61371452613735,3,3,0,wsdcon_3.csv,0.0,0.1,3,-47.85643582470299
0.5,794,signed,0.03,-57.77508316929042,-59.61278261040655,3,3,1,wsdcon_3.csv,0.0,0.1,3,-47.85359816654091
0.4,526,signed,0.003,-57.76855694406839,-59.499458251576584,3,3,1,wsdcon_3.csv,2.0,0.05,3,-48.044116235439915
0.4,527,signed,0.003,-57.76855692561508,-59.49945812638233,3,3,0,wsdcon_3.csv,2.0,0.05,3,-48.044116324615835
0.4,522,signed,0.001,-57.76761392634261,-59.454015425298245,3,3,1,wsdcon_3.csv,2.0,0.05,3,-48.10441998779127
0.4,523,signed,0.001,-57.76761390699846,-59.45401529406185,3,3,0,wsdcon_3.csv,2.0,0.05,3,-48.104420081271094
0.4,506,signed,0.003,-57.75979977998046,-59.46652706947684,3,3,1,wsdcon_3.csv,1.0,0.05,3,-48.06694866190168
0.4,507,signed,0.003,-57.759799771284996,-59.46652693907573,3,3,0,wsdcon_3.csv,1.0,0.05,3,-48.06694879935136
0.4,502,signed,0.001,-57.75926222684075,-59.447979901177725,3,3,1,wsdcon_3.csv,1.0,0.05,3,-48.091164063974986
0.4,503,signed,0.001,-57.759262217979796,-59.44797976829417,3,3,0,wsdcon_3.csv,1.0,0.05,3,-48.091164204041426
0.2,78,signed,0.1,-57.75885944264578,-59.05176994374488,3,3,1,wsdcon_3.csv,0.0,0.1,3,-48.477339658144224
0.3,314,signed,0.03,-57.75160554520994,-58.77582098983915,3,3,1,wsdcon_3.csv,0.0,0.1,3,-48.72601493948734
0.4,486,signed,0.003,-57.75127619834087,-59.45427559091683,3,3,1,wsdcon_3.csv,0.0,0.05,3,-48.06179248762405
0.4,487,signed,0.003,-57.7512761934199,-59.45427545095225,3,3,0,wsdcon_3.csv,0.0,0.05,3,-48.06179266770464
0.4,482,signed,0.001,-57.751003168327316,-59.44693664311116,3,3,1,wsdcon_3.csv,0.0,0.05,3,-48.07121699715285
0.4,483,signed,0.001,-57.75100316336966,-59.446936502105864,3,3,0,wsdcon_3.csv,0.0,0.05,3,-48.07121717857233
0.4,491,signed,0.01,-57.75079509054873,-59.523009249815594,3,3,0,wsdcon_3.csv,0.0,0.05,3,-47.961359672645884
0.4,490,signed,0.01,-57.75079507701062,-59.52300934041042,3,3,1,wsdcon_3.csv,0.0,0.05,3,-47.961359490809016
0.4,698,signed,0.1,-57.73760132106164,-59.65473394641479,3,3,1,wsdcon_3.csv,1.0,0.25,3,-47.56301847844545
0.4,511,signed,0.01,-57.73715276422809,-59.56812053107563,3,3,0,wsdcon_3.csv,1.0,0.05,3,-47.83038678782595
0.4,510,signed,0.01,-57.737152742346076,-59.568120566202175,3,3,1,wsdcon_3.csv,1.0,0.05,3,-47.830386659726386
0.4,699,signed,0.1,-57.73535378957274,-59.32703102936454,3,3,0,wsdcon_3.csv,1.0,0.25,3,-47.95784019098497
0.4,618,signed,0.1,-57.732847933139716,-59.63128758659699,3,3,1,wsdcon_3.csv,0.0,0.15,3,-47.6941853559343
0.4,591,signed,0.01,-57.73171656632345,-59.51674266402062,3,3,0,wsdcon_3.csv,2.0,0.1,3,-47.72655033575624
0.4,590,signed,0.01,-57.727660685595104,-59.600861170079746,3,3,1,wsdcon_3.csv,2.0,0.1,3,-47.6249721454813
0.3,399,signed,0.1,-57.7194356925323,-59.51188027140888,3,3,0,wsdcon_3.csv,1.0,0.15,3,-47.64171282721665
0.3,458,signed,0.1,-57.7182940093136,-59.368261248974406,3,3,1,wsdcon_3.csv,1.0,0.25,3,-47.83743523120458
0.2,218,signed,0.1,-57.71253366698384,-59.38045004910355,3,3,1,wsdcon_3.csv,1.0,0.25,3,-47.816483630755535
