cfg_curvature_lambda,cfg_curvature_mode,cfg_curvature_tau,cfg_fit_start_step,cfg_max_mode,cfg_nuisance_lambda,cfg_response_lambda,cfg_retention_power,cfg_rho,cfg_ridge_tau,cfg_shrink_curvature,cfg_signed_curvature_coef,config,delta_first_vs_pure_pct,delta_refit_mpl_vs_pure_pct,delta_vs_first_error_pct,delta_vs_pure_pct,final_error_mae,final_step_curvature_coef,final_step_primary_coef,final_target_retention,first_error_mae,first_step_curvature_coef,first_step_primary_coef,first_target_retention,forced_channel,pure_mpl_mae,refit_mpl_mae,scale,test_curve,test_label,win_vs_first_error,win_vs_pure
4.0,signed_d2_lr,0.01,3000,8,0.03,20.0,0.25,0.2,0.05,False,False,forced_step_best_mean,-10.575233949580653,-2.2330924156262033,-2.619455393336345,-12.917675806866768,0.003747436039650961,0.011045812002034593,0.030630095059806524,0.21073524759610526,0.0038482389421701053,0.01003869322103989,0.03050207966302227,0.2107368106222786,step,0.004303325702859985,0.004207228462969725,25,wsd_20000_24000.csv,WSD sharp,1,1
4.0,signed_d2_lr,0.01,3000,8,0.03,20.0,0.25,0.2,0.05,False,False,forced_step_best_mean,-8.061555288776889,-2.823549774787193,-3.1084681346276177,-10.919432546097486,0.003439046500654706,0.011045812002034593,0.030630095059806524,0.27507115261371434,0.0035493777778569427,0.01003869322103989,0.03050207966302227,0.2750607988414631,step,0.003860602372604268,0.003751596343007171,25,wsdld_20000_24000.csv,WSD linear,1,1
4.0,signed_d2_lr,0.01,3000,8,0.03,20.0,0.25,0.2,0.05,False,False,forced_step_best_mean,-38.98254453601419,0.08141136145205508,-0.4161819517267573,-39.236488173058206,0.005220440036011327,0.011045812002034593,0.030630095059806524,0.40008638056273016,0.005242257365027639,0.01003869322103989,0.03050207966302227,0.4009842697557403,step,0.008591406057766149,0.008598400438405651,25,wsdcon_3.csv,WSD-con 3e-5,1,1
4.0,signed_d2_lr,0.01,3000,8,0.03,20.0,0.25,0.2,0.05,False,False,forced_step_best_mean,-16.468588541097617,-1.0599819352946516,-1.216264188488625,-17.484551184811327,0.004994010207450767,0.011045812002034593,0.030630095059806524,0.6936262986408328,0.005055498424335567,0.01003869322103989,0.03050207966302227,0.6952424857041681,step,0.006052212378600692,0.005988060020701858,25,wsdcon_9.csv,WSD-con 9e-5,1,1
4.0,signed_d2_lr,0.01,3000,8,0.03,20.0,0.25,0.2,0.05,False,False,forced_step_best_mean,-7.405206445045398,-0.8991523821912151,-0.8999833935805057,-8.238544210360143,0.0037937745367195293,0.011045812002034593,0.030630095059806524,0.8229552299330861,0.003828227952560985,0.01003869322103989,0.03050207966302227,0.8249322624291742,step,0.004134387912738256,0.004097213465331845,25,wsdcon_18.csv,WSD-con 18e-5,1,1
4.0,signed_d2_lr,0.01,3000,8,0.03,20.0,0.25,0.2,0.05,False,False,forced_step_best_mean,-13.353100990013722,-1.2325394363191688,-1.6469068567492084,-14.780094710969749,0.0037027114029859606,0.0,0.03703056747484748,0.21269542538101482,0.0037647127148232947,0.0,0.03684513827234557,0.2126954253810148,step,0.004344890305179187,0.0042913378187030456,100,wsd_20000_24000.csv,WSD sharp,1,1
4.0,signed_d2_lr,0.01,3000,8,0.03,20.0,0.25,0.2,0.05,False,False,forced_step_best_mean,-11.46083846629441,-1.7019130883846656,-2.3168855064260363,-13.512189467379965,0.0031290258664493564,0.0,0.03703056747484748,0.2773057238999391,0.0032032412998617052,0.0,0.03684513827234557,0.2773057238999391,step,0.0036178807709199698,0.0035563075845575307,100,wsdld_20000_24000.csv,WSD linear,1,1
4.0,signed_d2_lr,0.01,3000,8,0.03,20.0,0.25,0.2,0.05,False,False,forced_step_best_mean,-44.59867162733268,1.9145639818083815,2.463019028882285,-43.234126367260316,0.004500440610432363,0.0,0.03703056747484748,0.45161232306614585,0.0043922584490349425,0.0,0.03684513827234557,0.4516123230661458,step,0.007928074250295227,0.008079862304342406,100,wsdcon_3.csv,WSD-con 3e-5,0,1
4.0,signed_d2_lr,0.01,3000,8,0.03,20.0,0.25,0.2,0.05,False,False,forced_step_best_mean,-16.98553364335226,0.40737013651876985,0.2974771771045326,-16.738584552246106,0.005209414493452345,0.0,0.03703056747484748,0.7518194660690937,0.005193963637045027,0.0,0.03684513827234557,0.7518194660690937,step,0.0062566970131816045,0.006282184928345769,100,wsdcon_9.csv,WSD-con 9e-5,0,1
4.0,signed_d2_lr,0.01,3000,8,0.03,20.0,0.25,0.2,0.05,False,False,forced_step_best_mean,-13.536883867011241,-1.036636785459455,-1.3517447988537712,-14.705644542265805,0.0022784033942967615,0.0,0.03703056747484748,0.8676936727892207,0.0023096236113360957,0.0,0.03684513827234557,0.8676936727892207,step,0.0026712241180200675,0.0026435332261906066,100,wsdcon_18.csv,WSD-con 18e-5,1,1
