baseline,mean_delta,median_delta,nonharm,rows,variant,weight,wins,worst_delta
pure_mpl,-33.67742240460806,-29.5084918638418,15,15,smooth_only,0.0,15,-14.273967180468016
first_error,0.0,0.0,15,15,smooth_only,0.0,0,0.0
pure_mpl,-33.649181956165755,-29.371683327446195,15,15,smooth_only,0.05,15,-13.384142594844683
first_error,-0.21492394251082597,-0.20767702170134683,10,15,smooth_only,0.05,10,4.12998292661646
pure_mpl,-33.39669041838387,-29.619658078588085,15,15,smooth_only,0.1,15,-10.426906611633846
first_error,-0.019708010596348864,-0.405206909125988,10,15,smooth_only,0.1,10,8.949851293297506
pure_mpl,-32.94229165136734,-29.2414192147613,15,15,smooth_only,0.15,15,-7.140807045332087
first_error,0.5519056072933163,-0.6043744905511739,10,15,smooth_only,0.15,10,13.831891564108933
pure_mpl,-32.32344085142678,-28.748297954458003,15,15,smooth_only,0.2,15,-3.712867948152987
first_error,1.4399223026991956,-0.6622065661101018,10,15,smooth_only,0.2,10,18.749849361343006
pure_mpl,-31.5752533389279,-28.82135003979758,15,15,smooth_only,0.25,15,-0.2650937848777013
first_error,2.555652051091662,-0.040930868687005795,8,15,smooth_only,0.25,8,23.69806932779712
pure_mpl,-30.749569729168062,-28.973345981370514,14,15,smooth_only,0.3,14,3.1826803783987945
first_error,3.807009764887085,-0.007510815309064167,8,15,smooth_only,0.3,8,28.64628929425226
pure_mpl,-29.84592490053744,-29.12264807387729,14,15,smooth_only,0.35,14,6.63045454168365
first_error,5.195017229164049,0.027485185400122347,7,15,smooth_only,0.35,7,33.59450926071583
pure_mpl,-28.8924903628489,-29.265281577490466,14,15,smooth_only,0.4,14,10.100797799866235
first_error,6.652636213152716,0.06248118611102971,7,15,smooth_only,0.4,7,38.54272922717521
pure_mpl,-27.874243322625674,-29.572657704445902,13,15,smooth_only,0.45,13,13.573894768419525
first_error,8.197201856753727,0.10764087236272424,7,15,smooth_only,0.45,7,43.49094919363872
pure_mpl,-26.77778888782489,-29.91608079081144,12,15,smooth_only,0.5,12,17.046991736966334
first_error,9.840913436094155,0.17236708903423104,7,15,smooth_only,0.5,7,48.43916916009417
pure_mpl,-25.572992437751292,-29.608586228791566,12,15,smooth_only,0.55,12,20.52585869662027
first_error,11.62575053055994,0.2431995737728565,7,15,smooth_only,0.55,7,57.88320862417442
pure_mpl,-24.27423026248647,-29.7073744797705,12,15,smooth_only,0.6,12,24.020345036247992
first_error,13.573396099872774,0.3410751443803983,7,15,smooth_only,0.6,7,67.64462877409716
pure_mpl,-22.920735928335272,-29.7888867065063,12,15,smooth_only,0.65,12,27.517432660511922
first_error,15.597613168565426,0.44891847864843015,7,15,smooth_only,0.65,7,77.40604892402129
pure_mpl,-21.524183866096,-29.86404853008916,12,15,smooth_only,0.7,12,31.014520284773383
first_error,17.681699239957027,0.5743054110322054,7,15,smooth_only,0.7,7,87.16746907394321
pure_mpl,-20.122033437800667,-29.93760471449114,11,15,smooth_only,0.75,11,34.51160790903693
first_error,19.77400743244527,0.699692343414271,6,15,smooth_only,0.75,6,96.92888922386702
pure_mpl,-18.708382253646153,-29.987773427802942,11,15,smooth_only,0.8,11,38.035386048716106
first_error,21.88313725875178,0.8250792757968917,6,15,smooth_only,0.8,6,106.69030937378965
pure_mpl,-17.29295907809235,-30.036501999855137,9,15,smooth_only,0.85,9,41.565093601821324
first_error,23.994805024362144,1.2171456823274918,6,15,smooth_only,0.85,6,116.45172952371263
pure_mpl,-15.875929875395718,-30.081646820366302,9,15,smooth_only,0.9,9,45.09517078865017
first_error,26.10897296074719,1.7514001112172162,6,15,smooth_only,0.9,6,126.21378043551768
pure_mpl,-14.443636164007222,-30.095452006542533,9,15,smooth_only,0.95,9,48.63101552356959
first_error,28.24740311855555,2.285654540106785,6,15,smooth_only,0.95,6,135.98567338628754
pure_mpl,-13.001624263939867,-30.09667902314793,9,15,smooth_only,1.0,9,52.166860258488114
first_error,30.40106012417031,2.819908968996554,6,15,smooth_only,1.0,6,145.75756633705862
pure_mpl,-33.67742240460806,-29.5084918638418,15,15,smooth_plus_step,0.0,15,-14.273967180468016
first_error,0.0,0.0,15,15,smooth_plus_step,0.0,0,0.0
