base_config_id,config_id,fit_start_step,max_mode,mean_delta,mean_kappa,mean_source_retention,mean_target_retention,median_delta,nonharm,nuisance_lambda,retention_power,rho_smooth,rho_step,ridge_tau,rows,smooth_lambda,step_lambda,wins,worst_delta
1229,2112,12000,8,-35.26140619248208,0.04160385944703268,0.022264316488146026,0.5431959145327,-40.477293275340145,15,0.05,0.25,0.2,0.35,0.05,15,4.0,20.0,15,-5.525889670235474
1245,2012,12000,12,-35.261330549372865,0.04160342900237281,0.022260734496773696,0.5429345910734116,-40.47614276278092,15,0.05,0.25,0.2,0.35,0.05,15,4.0,20.0,15,-5.5267298019221585
1237,1912,12000,16,-35.261324647312385,0.04160340963985169,0.022260517612055657,0.5428919853183819,-40.47600157834289,15,0.05,0.25,0.2,0.35,0.05,15,4.0,20.0,15,-5.526786700487363
1229,2113,12000,8,-35.230165912791875,0.03906109708522996,0.022264316488146026,0.5431959145327,-40.477293275340145,15,0.05,0.25,0.2,0.5,0.05,15,4.0,20.0,15,-5.549358365230772
1245,2013,12000,12,-35.22974863354221,0.039060759674861015,0.022260734496773696,0.5429345910734116,-40.47614276278092,15,0.05,0.25,0.2,0.5,0.05,15,4.0,20.0,15,-5.549178968387968
1237,1913,12000,16,-35.22972730671782,0.039060745400771694,0.022260517612055657,0.5428919853183819,-40.47600157834289,15,0.05,0.25,0.2,0.5,0.05,15,4.0,20.0,15,-5.549165797224487
1301,1601,12000,8,-35.215871128623924,0.04021655846867283,0.020758536241926775,0.5261887482191262,-39.148021331309835,15,0.04,0.25,0.0,0.2,0.05,15,4.0,20.0,15,-5.693378562670048
1317,1501,12000,12,-35.21541449960637,0.04021574344231801,0.020754062733478327,0.5258623854471114,-39.14678555204869,15,0.04,0.25,0.0,0.2,0.05,15,4.0,20.0,15,-5.693089631006732
1309,1401,12000,16,-35.21539617597161,0.04021570246029302,0.020753791683534643,0.5258091386717108,-39.1465988961693,15,0.04,0.25,0.0,0.2,0.05,15,4.0,20.0,15,-5.69306853678111
1565,3534,12000,8,-35.113368457721535,0.04756989128856321,0.018530687724008846,0.475275719197431,-39.71462899117536,15,0.02,0.0,0.5,0.6,0.05,15,7.0,20.0,15,-5.865522127253476
