base_config_id,config_id,fit_start_step,max_mode,mean_delta,median_delta,nonharm,nuisance_lambda,retention_power,rho_smooth,rho_step,ridge_tau,rows,smooth_lambda,step_lambda,wins,worst_delta
1580,0,8000,12,-26.753188736110033,-24.833620108635422,14,0.02,0.0,0.0,0.0,0.05,15,7.0,20.0,14,3.1153530666638396
1580,1,8000,12,-26.973069674085743,-26.16006071207897,14,0.02,0.0,0.0,0.2,0.05,15,7.0,20.0,14,3.1153530666638396
1580,2,8000,12,-25.92120365957997,-23.263394553617,14,0.02,0.0,0.0,0.35,0.05,15,7.0,20.0,14,3.1153530666638396
1580,3,8000,12,-24.167017481123846,-20.946061626847534,14,0.02,0.0,0.0,0.5,0.05,15,7.0,20.0,14,3.1153530666638396
1580,4,8000,12,-23.124455632798558,-19.642561855539352,14,0.02,0.0,0.0,0.6,0.05,15,7.0,20.0,14,3.1153530666638396
1580,5,8000,12,-21.76614082288846,-18.060024650598073,14,0.02,0.0,0.0,0.75,0.05,15,7.0,20.0,14,3.1153530666638396
1580,6,8000,12,-20.613431019629388,-17.907672910955952,14,0.02,0.0,0.0,0.9,0.05,15,7.0,20.0,14,3.1153530666638396
1580,7,8000,12,-19.937349321025852,-17.015691764948592,14,0.02,0.0,0.0,1.0,0.05,15,7.0,20.0,14,3.1153530666638396
1580,8,8000,12,-18.50253775874358,-15.13262045671102,14,0.02,0.0,0.0,1.25,0.05,15,7.0,20.0,14,3.1153530666638396
1580,9,8000,12,-17.34845637445679,-13.626163410120318,14,0.02,0.0,0.0,1.5,0.05,15,7.0,20.0,14,3.1153530666638396
1580,10,8000,12,-30.488498700707613,-27.88150648797615,15,0.02,0.0,0.2,0.0,0.05,15,7.0,20.0,15,-4.915096130932284
1580,11,8000,12,-30.708379638683315,-27.1114535138515,15,0.02,0.0,0.2,0.2,0.05,15,7.0,20.0,15,-4.915096130932284
1580,12,8000,12,-29.65651362417755,-25.107004091015085,15,0.02,0.0,0.2,0.35,0.05,15,7.0,20.0,15,-4.915096130932284
1580,13,8000,12,-27.902327445721426,-22.652399813520883,15,0.02,0.0,0.2,0.5,0.05,15,7.0,20.0,15,-4.915096130932284
1580,14,8000,12,-26.859765597396134,-21.252602208483708,15,0.02,0.0,0.2,0.6,0.05,15,7.0,20.0,15,-4.915096130932284
1580,15,8000,12,-25.501450787486036,-19.493404106708756,15,0.02,0.0,0.2,0.75,0.05,15,7.0,20.0,15,-4.915096130932284
1580,16,8000,12,-24.34874098422697,-17.954451150915986,15,0.02,0.0,0.2,0.9,0.05,15,7.0,20.0,15,-4.915096130932284
1580,17,8000,12,-23.672659285623432,-17.05672859336975,15,0.02,0.0,0.2,1.0,0.05,15,7.0,20.0,15,-4.915096130932284
1580,18,8000,12,-22.237847723341154,-15.16153652744019,15,0.02,0.0,0.2,1.25,0.05,15,7.0,20.0,15,-4.915096130932284
1580,19,8000,12,-21.083766339054364,-13.645382874696022,15,0.02,0.0,0.2,1.5,0.05,15,7.0,20.0,15,-4.915096130932284
1580,20,8000,12,-31.70876029881531,-27.88150648797615,15,0.02,0.0,0.35,0.0,0.05,15,7.0,20.0,15,-9.37645679626341
1580,21,8000,12,-31.928641236791016,-27.1114535138515,15,0.02,0.0,0.35,0.2,0.05,15,7.0,20.0,15,-9.37645679626341
1580,22,8000,12,-30.876775222285243,-25.257989565113135,15,0.02,0.0,0.35,0.35,0.05,15,7.0,20.0,15,-9.37645679626341
1580,23,8000,12,-29.12258904382912,-22.742304791160105,15,0.02,0.0,0.35,0.5,0.05,15,7.0,20.0,15,-9.37645679626341
1580,24,8000,12,-28.08002719550383,-21.32091074171236,15,0.02,0.0,0.35,0.6,0.05,15,7.0,20.0,15,-9.350269545503643
1580,25,8000,12,-26.721712385593733,-19.493404106708756,15,0.02,0.0,0.35,0.75,0.05,15,7.0,20.0,15,-8.548817870174986
1580,26,8000,12,-25.569002582334665,-18.124297874306837,15,0.02,0.0,0.35,0.9,0.05,15,7.0,20.0,15,-7.873911196213479
1580,27,8000,12,-24.892920883731126,-18.124297874306837,15,0.02,0.0,0.35,1.0,0.05,15,7.0,20.0,15,-7.4802156364029315
1580,28,8000,12,-23.458109321448852,-18.124297874306837,15,0.02,0.0,0.35,1.25,0.05,15,7.0,20.0,15,-6.649080565691657
1580,29,8000,12,-22.304027937162058,-18.124297874306837,15,0.02,0.0,0.35,1.5,0.05,15,7.0,20.0,15,-5.984172509122354
1580,30,8000,12,-32.530535227511024,-30.447688621581104,15,0.02,0.0,0.5,0.0,0.05,15,7.0,20.0,15,-12.945545328528485
1580,31,8000,12,-32.750416165486726,-27.217772634611027,15,0.02,0.0,0.5,0.2,0.05,15,7.0,20.0,15,-12.46702606067146
1580,32,8000,12,-31.698550150980957,-25.257989565113135,15,0.02,0.0,0.5,0.35,0.05,15,7.0,20.0,15,-11.081800942819386
1580,33,8000,12,-29.944363972524833,-22.742304791160105,15,0.02,0.0,0.5,0.5,0.05,15,7.0,20.0,15,-9.973620848537369
1580,34,8000,12,-28.90180212419954,-22.68787895249398,15,0.02,0.0,0.5,0.6,0.05,15,7.0,20.0,15,-9.350269545503643
1580,35,8000,12,-27.543487314289443,-22.68787895249398,15,0.02,0.0,0.5,0.75,0.05,15,7.0,20.0,15,-8.548817870174986
1580,36,8000,12,-26.39077751103037,-22.68787895249398,15,0.02,0.0,0.5,0.9,0.05,15,7.0,20.0,15,-7.873911196213479
1580,37,8000,12,-25.714695812426836,-22.68787895249398,15,0.02,0.0,0.5,1.0,0.05,15,7.0,20.0,15,-7.4802156364029315
1580,38,8000,12,-24.279884250144562,-22.68787895249398,15,0.02,0.0,0.5,1.25,0.05,15,7.0,20.0,15,-6.649080565691657
1580,39,8000,12,-23.12580286585777,-22.68787895249398,15,0.02,0.0,0.5,1.5,0.05,15,7.0,20.0,15,-5.984172509122354
1580,40,8000,12,-32.49921475812026,-30.447688621581104,15,0.02,0.0,0.6,0.0,0.05,15,7.0,20.0,15,-14.953157627927538
1580,41,8000,12,-32.71909569609597,-27.217772634611027,15,0.02,0.0,0.6,0.2,0.05,15,7.0,20.0,15,-12.46702606067146
1580,42,8000,12,-31.667229681590197,-25.257989565113135,15,0.02,0.0,0.6,0.35,0.05,15,7.0,20.0,15,-11.081800942819386
1580,43,8000,12,-29.913043503134077,-25.25489330897428,15,0.02,0.0,0.6,0.5,0.05,15,7.0,20.0,15,-9.973620848537369
1580,44,8000,12,-28.87048165480878,-25.25489330897428,15,0.02,0.0,0.6,0.6,0.05,15,7.0,20.0,15,-9.350269545503643
1580,45,8000,12,-27.512166844898683,-25.25489330897428,15,0.02,0.0,0.6,0.75,0.05,15,7.0,20.0,15,-8.548817870174986
1580,46,8000,12,-26.35945704163961,-25.25489330897428,15,0.02,0.0,0.6,0.9,0.05,15,7.0,20.0,15,-7.873911196213479
1580,47,8000,12,-25.683375343036076,-25.25489330897428,15,0.02,0.0,0.6,1.0,0.05,15,7.0,20.0,15,-7.4802156364029315
1580,48,8000,12,-24.248563780753802,-25.25489330897428,15,0.02,0.0,0.6,1.25,0.05,15,7.0,20.0,15,-6.649080565691657
1580,49,8000,12,-23.09448239646701,-25.25489330897428,15,0.02,0.0,0.6,1.5,0.05,15,7.0,20.0,15,-5.984172509122354
