base_config_id,config_id,fit_start_step,max_mode,mean_delta,median_delta,nonharm,nuisance_lambda,retention_power,rho_smooth,rho_step,ridge_tau,rows,smooth_lambda,step_lambda,wins,worst_delta
1581,3430,12000,12,-33.12269432251904,-28.846960571900937,15,0.02,0.0,0.5,0.0,0.05,15,7.0,20.0,15,-13.156629475377601
1565,3530,12000,8,-33.122372810232044,-28.852209932243156,15,0.02,0.0,0.5,0.0,0.05,15,7.0,20.0,15,-13.160385733913415
1565,3540,12000,8,-33.103374433487005,-28.852209932243156,15,0.02,0.0,0.6,0.0,0.05,15,7.0,20.0,15,-13.160385733913415
1581,3440,12000,12,-33.10297749946803,-28.846960571900937,15,0.02,0.0,0.6,0.0,0.05,15,7.0,20.0,15,-13.156629475377601
1276,3300,8000,8,-33.02344984319585,-29.43127417646636,15,0.05,0.25,0.0,0.0,0.05,15,2.0,20.0,15,-11.867123017814007
1284,3200,8000,12,-33.02299909677614,-29.431384828900896,15,0.05,0.25,0.0,0.0,0.05,15,2.0,20.0,15,-11.865987148311618
1292,3100,8000,16,-33.022974810255725,-29.43135637325318,15,0.05,0.25,0.0,0.0,0.05,15,2.0,20.0,15,-11.866001928195224
1228,2410,8000,8,-32.7893123909582,-29.561802111424175,15,0.05,0.25,0.2,0.0,0.05,15,4.0,20.0,15,-11.867123017814007
172,3810,8000,8,-32.7893123909582,-29.561802111424175,15,0.05,0.25,0.2,0.0,0.05,15,4.0,20.0,15,-11.867123017814007
1244,2310,8000,12,-32.788669711467115,-29.56177764333886,15,0.05,0.25,0.2,0.0,0.05,15,4.0,20.0,15,-11.865987148311618
180,3710,8000,12,-32.788669711467115,-29.56177764333886,15,0.05,0.25,0.2,0.0,0.05,15,4.0,20.0,15,-11.865987148311618
1236,2210,8000,16,-32.78864531386693,-29.561783894253324,15,0.05,0.25,0.2,0.0,0.05,15,4.0,20.0,15,-11.866001928195224
188,3610,8000,16,-32.78864531386693,-29.561783894253324,15,0.05,0.25,0.2,0.0,0.05,15,4.0,20.0,15,-11.866001928195224
1580,31,8000,12,-32.750416165486726,-27.217772634611027,15,0.02,0.0,0.5,0.2,0.05,15,7.0,20.0,15,-12.46702606067146
1564,131,8000,8,-32.75036478483911,-27.2198160502644,15,0.02,0.0,0.5,0.2,0.05,15,7.0,20.0,15,-12.471263342941919
1564,141,8000,8,-32.72093147414184,-27.2198160502644,15,0.02,0.0,0.6,0.2,0.05,15,7.0,20.0,15,-12.471263342941919
1580,41,8000,12,-32.71909569609597,-27.217772634611027,15,0.02,0.0,0.6,0.2,0.05,15,7.0,20.0,15,-12.46702606067146
171,7100,5000,8,-32.699087355400266,-27.362797477710345,15,0.05,0.25,0.0,0.0,0.05,15,4.0,20.0,15,-12.819321259801375
1227,10700,5000,8,-32.699087355400266,-27.362797477710345,15,0.05,0.25,0.0,0.0,0.05,15,4.0,20.0,15,-12.819321259801375
