mean_delta,median_delta,nonharm,pair_config_id,rows,smooth_config_id,smooth_fit_start_step,smooth_lambda,smooth_max_mode,smooth_nuisance_lambda,smooth_retention_power,smooth_rho,step_config_id,step_fit_start_step,step_lambda,step_max_mode,step_nuisance_lambda,step_retention_power,step_rho,wins,worst_delta
-33.35221720329127,-29.5084918638418,15,15704,15,2110,12000,4.0,8,0.05,0.25,0.2,3410,12000,20.0,12,0.02,0.0,0.0,15,-13.156629475377601
-33.35221720329127,-29.5084918638418,15,15705,15,2110,12000,4.0,8,0.05,0.25,0.2,3420,12000,20.0,12,0.02,0.0,0.0,15,-13.156629475377601
-33.35221720329127,-29.5084918638418,15,15707,15,2110,12000,4.0,8,0.05,0.25,0.2,3430,12000,20.0,12,0.02,0.0,0.0,15,-13.156629475377601
-33.35221720329127,-29.5084918638418,15,15709,15,2110,12000,4.0,8,0.05,0.25,0.2,3440,12000,20.0,12,0.02,0.0,0.0,15,-13.156629475377601
-33.35221720329127,-29.5084918638418,15,15711,15,2110,12000,4.0,8,0.05,0.25,0.2,3450,12000,20.0,12,0.02,0.0,0.0,15,-13.156629475377601
-33.35221720329127,-29.5084918638418,15,15713,15,2110,12000,4.0,8,0.05,0.25,0.2,3460,12000,20.0,12,0.02,0.0,0.0,15,-13.156629475377601
-33.35221720329127,-29.5084918638418,15,15715,15,2110,12000,4.0,8,0.05,0.25,0.2,3470,12000,20.0,12,0.02,0.0,0.0,15,-13.156629475377601
-33.35221720329127,-29.5084918638418,15,34304,15,8610,12000,4.0,8,0.05,0.25,0.2,3410,12000,20.0,12,0.02,0.0,0.0,15,-13.156629475377601
-33.35221720329127,-29.5084918638418,15,34305,15,8610,12000,4.0,8,0.05,0.25,0.2,3420,12000,20.0,12,0.02,0.0,0.0,15,-13.156629475377601
-33.35221720329127,-29.5084918638418,15,34307,15,8610,12000,4.0,8,0.05,0.25,0.2,3430,12000,20.0,12,0.02,0.0,0.0,15,-13.156629475377601
-33.35221720329127,-29.5084918638418,15,34309,15,8610,12000,4.0,8,0.05,0.25,0.2,3440,12000,20.0,12,0.02,0.0,0.0,15,-13.156629475377601
-33.35221720329127,-29.5084918638418,15,34311,15,8610,12000,4.0,8,0.05,0.25,0.2,3450,12000,20.0,12,0.02,0.0,0.0,15,-13.156629475377601
-33.35221720329127,-29.5084918638418,15,34313,15,8610,12000,4.0,8,0.05,0.25,0.2,3460,12000,20.0,12,0.02,0.0,0.0,15,-13.156629475377601
-33.35221720329127,-29.5084918638418,15,34315,15,8610,12000,4.0,8,0.05,0.25,0.2,3470,12000,20.0,12,0.02,0.0,0.0,15,-13.156629475377601
-33.35219275969399,-29.5084918638418,15,15716,15,2110,12000,4.0,8,0.05,0.25,0.2,3510,12000,20.0,8,0.02,0.0,0.0,15,-13.160385733913415
-33.35219275969399,-29.5084918638418,15,15717,15,2110,12000,4.0,8,0.05,0.25,0.2,3520,12000,20.0,8,0.02,0.0,0.0,15,-13.160385733913415
-33.35219275969399,-29.5084918638418,15,15719,15,2110,12000,4.0,8,0.05,0.25,0.2,3530,12000,20.0,8,0.02,0.0,0.0,15,-13.160385733913415
-33.35219275969399,-29.5084918638418,15,15721,15,2110,12000,4.0,8,0.05,0.25,0.2,3540,12000,20.0,8,0.02,0.0,0.0,15,-13.160385733913415
