config_id,curvature_lambda,curvature_mode,curvature_tau,mean_delta,mean_step_curvature_coef,mean_step_primary_coef,median_delta,nonharm,rows,shrink_curvature,signed_curvature_coef,wins,worst_delta
0,4.0,signed_d2_lr,0.001,-13.995067362463296,0.19264513296492825,0.0391231370817812,-17.283586789488027,12,15,1,0,12,51.25610840156924
1,4.0,signed_d2_lr,0.001,13.464484407223361,-0.3204155296865556,0.03918123179185004,15.861740333601816,7,15,1,1,7,114.48816709883398
2,4.0,signed_d2_lr,0.001,-4.427298108520157,0.3371289826886244,0.0391231370817812,-17.283586789488027,12,15,0,0,12,103.69259188852445
3,4.0,signed_d2_lr,0.001,45.847092808662595,-0.5607271769514726,0.03918123179185004,43.19572851673006,6,15,0,1,6,220.4231556554283
4,4.0,signed_d2_lr,0.003,-25.247043059192933,0.02285128390743047,0.039142561518917186,-29.5084918638418,15,15,1,0,15,-2.0114567861035715
5,4.0,signed_d2_lr,0.003,-24.580318197689355,-0.037959400173498824,0.039149447325501546,-29.5084918638418,15,15,1,1,15,-2.0114567861035715
6,4.0,signed_d2_lr,0.003,-24.11212826421375,0.03998974683800332,0.039142561518917186,-29.112847490432458,14,15,0,0,14,3.1523270811031567
7,4.0,signed_d2_lr,0.003,-20.741732122298355,-0.06642895030362293,0.039149447325501546,-29.112847490432458,13,15,0,1,13,3.1523270811031567
8,4.0,signed_d2_lr,0.01,-26.62399993451409,0.0020725445647401786,0.03914493860924389,-29.5084918638418,15,15,1,0,15,-8.273744799737525
9,4.0,signed_d2_lr,0.01,-26.950907022623706,-0.003442277117155104,0.03914556307304381,-29.5084918638418,15,15,1,1,15,-8.273744799737525
10,4.0,signed_d2_lr,0.01,-26.52107369416959,0.0036269529882953125,0.03914493860924389,-29.5084918638418,15,15,0,0,15,-7.805512862367847
11,4.0,signed_d2_lr,0.01,-27.09299714619709,-0.006023984955021433,0.03914556307304381,-29.5084918638418,15,15,0,1,15,-7.805512862367847
12,4.0,signed_d2_lr,0.03,-26.74606483508789,0.00023043963613002925,0.03914514934627342,-29.5084918638418,15,15,1,0,15,-8.828813468971486
13,4.0,signed_d2_lr,0.03,-26.78241238536247,-0.00038273062426218,0.039145218777838074,-29.5084918638418,15,15,1,1,15,-8.828813468971486
14,4.0,signed_d2_lr,0.03,-26.73462079389474,0.0004032693632275512,0.03914514934627342,-29.5084918638418,15,15,0,0,15,-8.776752249584629
15,4.0,signed_d2_lr,0.03,-26.79821077766546,-0.0006697785924588152,0.039145218777838074,-29.5084918638418,15,15,0,1,15,-8.776752249584629
16,4.0,signed_d2_lr,0.05,-26.755837213484043,8.296279124572241e-05,0.03914516621764255,-29.5084918638418,15,15,1,0,15,-8.873251641174583
17,4.0,signed_d2_lr,0.05,-26.76892303886471,-0.00013779038524463474,0.0391451912143517,-29.5084918638418,15,15,1,1,15,-8.873251641174583
18,4.0,signed_d2_lr,0.05,-26.75171713407209,0.00014518488468001422,0.03914516621764255,-29.5084918638418,15,15,0,0,15,-8.854508580525078
19,4.0,signed_d2_lr,0.05,-26.774610765618203,-0.00024113317417811083,0.0391451912143517,-29.5084918638418,15,15,0,1,15,-8.854508580525078
20,4.0,signed_d2_lr,0.1,-26.759960255177592,2.0741174803285253e-05,0.03914517333580309,-29.5084918638418,15,15,1,0,15,-8.892000448204652
21,4.0,signed_d2_lr,0.1,-26.763231786124674,-3.444837267396354e-05,0.039145179585122335,-29.5084918638418,15,15,1,1,15,-8.892000448204652
22,4.0,signed_d2_lr,0.1,-26.75893021163635,3.629705590574919e-05,0.03914517333580309,-29.5084918638418,15,15,0,0,15,-8.88731457527987
23,4.0,signed_d2_lr,0.1,-26.764653750038715,-6.028465217943621e-05,0.039145179585122335,-29.5084918638418,15,15,0,1,15,-8.88731457527987
24,4.0,signed_d2_lr,0.2,-26.760991045232732,5.18532351366925e-06,0.03914517511539438,-29.5084918638418,15,15,1,0,15,-8.89668778470767
25,4.0,signed_d2_lr,0.2,-26.76180893263222,-8.612141692533674e-06,0.03914517667773307,-29.5084918638418,15,15,1,1,15,-8.89668778470767
