config_id,curvature_lambda,curvature_mode,curvature_tau,mean_delta,mean_step_curvature_coef,mean_step_primary_coef,median_delta,nonharm,rows,shrink_curvature,signed_curvature_coef,wins,worst_delta
672,30.0,diff_drop,0.001,-33.67742240460806,0.015506215923771586,0.06914708696656997,-29.5084918638418,15,15,1,0,15,-14.273967180468016
674,30.0,diff_drop,0.001,-33.67742240460806,0.015506215923771586,0.06914708696656997,-29.5084918638418,15,15,0,0,15,-14.273967180468016
673,30.0,diff_drop,0.001,-33.67742240460806,0.015506215923771586,0.06914708696656997,-29.5084918638418,15,15,1,1,15,-14.273967180468016
705,30.0,neg_diff_drop,0.001,-33.67742240460806,-0.015506215923771586,0.06914708696656997,-29.5084918638418,15,15,1,1,15,-14.273967180468016
675,30.0,diff_drop,0.001,-33.67742240460806,0.015506215923771586,0.06914708696656997,-29.5084918638418,15,15,0,1,15,-14.273967180468016
707,30.0,neg_diff_drop,0.001,-33.67742240460806,-0.015506215923771586,0.06914708696656997,-29.5084918638418,15,15,0,1,15,-14.273967180468016
641,30.0,signed_d2_lr,0.001,-33.67674309736159,-0.015506215923771586,0.06914708696656997,-29.5084918638418,15,15,1,1,15,-14.272320319948795
643,30.0,signed_d2_lr,0.001,-33.67674309736159,-0.015506215923771586,0.06914708696656997,-29.5084918638418,15,15,0,1,15,-14.272320319948795
105,4.0,abs_diff_drop,0.01,-33.666228885207985,-0.0010105052406367396,0.06914716571655827,-29.5084918638418,15,15,1,1,15,-11.880781755381808
107,4.0,abs_diff_drop,0.01,-33.666228885207985,-0.0010105052406367396,0.06914716571655827,-29.5084918638418,15,15,0,1,15,-11.880781755381808
544,20.0,diff_drop,0.001,-33.565206571421896,0.02279471896582353,0.06914693326463743,-29.5084918638418,15,15,1,0,15,-14.301719197291296
546,20.0,diff_drop,0.001,-33.565206571421896,0.02279471896582353,0.06914693326463743,-29.5084918638418,15,15,0,0,15,-14.301719197291296
545,20.0,diff_drop,0.001,-33.565206571421896,0.02279471896582353,0.06914693326463743,-29.5084918638418,15,15,1,1,15,-14.301719197291296
577,20.0,neg_diff_drop,0.001,-33.565206571421896,-0.02279471896582353,0.06914693326463743,-29.5084918638418,15,15,1,1,15,-14.301719197291296
547,20.0,diff_drop,0.001,-33.565206571421896,0.02279471896582353,0.06914693326463743,-29.5084918638418,15,15,0,1,15,-14.301719197291296
