config_id,curvature_lambda,curvature_mode,curvature_tau,mean_delta,mean_step_curvature_coef,mean_step_primary_coef,median_delta,nonharm,rows,shrink_curvature,signed_curvature_coef,wins,worst_delta
0,4.0,signed_d2_lr,0.001,26.84393086154299,0.9569945036545653,0.04134374365144536,-32.90369570993084,10,15,1,0,10,354.5626466900179
1,4.0,signed_d2_lr,0.001,26.84393086154299,0.9569945036545653,0.04134374365144536,-32.90369570993084,10,15,1,1,10,354.5626466900179
2,4.0,signed_d2_lr,0.001,78.32467182121334,1.6747403813954893,0.04134374365144536,-15.490548356061007,8,15,0,0,8,637.8686977116605
3,4.0,signed_d2_lr,0.001,78.32467182121334,1.6747403813954893,0.04134374365144536,-15.490548356061007,8,15,0,1,8,637.8686977116605
4,4.0,signed_d2_lr,0.003,-32.549908562010465,0.11327101320712421,0.04143754374388848,-40.42433128608847,13,15,1,0,13,22.27658485173576
5,4.0,signed_d2_lr,0.003,-32.549908562010465,0.11327101320712421,0.04143754374388848,-40.42433128608847,13,15,1,1,13,22.27658485173576
6,4.0,signed_d2_lr,0.003,-27.428270760812076,0.19822427311246743,0.04143754374388848,-33.11707850120887,13,15,0,0,13,55.70792811417844
7,4.0,signed_d2_lr,0.003,-27.428270760812076,0.19822427311246743,0.04143754374388848,-33.11707850120887,13,15,0,1,13,55.70792811417844
8,4.0,signed_d2_lr,0.01,-36.920485503017154,0.010270623142312382,0.04144899477758193,-40.477293275340145,15,15,1,0,15,-9.266328367319165
9,4.0,signed_d2_lr,0.01,-36.920485503017154,0.010270623142312382,0.04144899477758193,-40.477293275340145,15,15,1,1,15,-9.266328367319165
10,4.0,signed_d2_lr,0.01,-37.474984881105655,0.01797359049904667,0.04144899477758193,-40.477293275340145,15,15,0,0,15,-9.432007815100329
11,4.0,signed_d2_lr,0.01,-37.474984881105655,0.01797359049904667,0.04144899477758193,-40.477293275340145,15,15,0,1,15,-9.432007815100329
12,4.0,signed_d2_lr,0.03,-36.26346340485581,0.0011419310460503407,0.04145000965760107,-40.477293275340145,15,15,1,0,15,-6.743639135530066
13,4.0,signed_d2_lr,0.03,-36.26346340485581,0.0011419310460503407,0.04145000965760107,-40.477293275340145,15,15,1,1,15,-6.743639135530066
14,4.0,signed_d2_lr,0.03,-36.32511504989897,0.0019983793305880966,0.04145000965760107,-40.477293275340145,15,15,0,0,15,-7.08421718067731
15,4.0,signed_d2_lr,0.03,-36.32511504989897,0.0019983793305880966,0.04145000965760107,-40.477293275340145,15,15,0,1,15,-7.08421718067731
16,4.0,signed_d2_lr,0.05,-36.210864224476225,0.00041111681201151147,0.04145009090569271,-40.477293275340145,15,15,1,0,15,-6.45304107887652
17,4.0,signed_d2_lr,0.05,-36.210864224476225,0.00041111681201151147,0.04145009090569271,-40.477293275340145,15,15,1,1,15,-6.45304107887652
18,4.0,signed_d2_lr,0.05,-36.23305998689171,0.0007194544210201452,0.04145009090569271,-40.477293275340145,15,15,0,0,15,-6.575655607527531
19,4.0,signed_d2_lr,0.05,-36.23305998689171,0.0007194544210201452,0.04145009090569271,-40.477293275340145,15,15,0,1,15,-6.575655607527531
