channel,curvature_delta_pct,curvature_mae,curvature_target_retention,decoupled_delta_pct,decoupled_mae,decoupled_target_retention,mpl_mae,scale,test_curve,test_label
smooth,-40.477293275340145,0.002028763507484023,0.2662406679882105,-40.477293275340145,0.002028763507484023,0.2662406679882105,0.003408385839825258,25,wsd_20000_24000.csv,WSD sharp
smooth,-33.11707850120887,0.0020975123081057234,0.3198517221283153,-33.11707850120887,0.0020975123081057234,0.3198517221283153,0.0031360955249893426,25,wsdld_20000_24000.csv,WSD linear
step,-59.929898468179864,0.0017980206441649542,0.3624855375124594,-59.64185352382931,0.0018109457613119213,0.3663942360693222,0.004487187642230267,25,wsdcon_3.csv,WSD-con 3e-5
step,-21.4246258531228,0.002299494786766283,0.6747669115895301,-21.08114879604681,0.002309546583664427,0.6796844693526151,0.002926482771138891,25,wsdcon_9.csv,WSD-con 9e-5
step,-12.406401251654176,0.0021940610707638225,0.8187366754659827,-12.175165279884947,0.00219985311323118,0.8227402815643823,0.002504818961791151,25,wsdcon_18.csv,WSD-con 18e-5
smooth,-58.20753202008486,0.0015664111728033144,0.2686449951276333,-58.20753202008486,0.0015664111728033144,0.2686449951276333,0.0037480705220761528,100,wsd_20000_24000.csv,WSD sharp
smooth,-50.664602484115804,0.0016025684965202782,0.32237714656014427,-50.664602484115804,0.0016025684965202782,0.32237714656014427,0.003248313740665229,100,wsdld_20000_24000.csv,WSD linear
step,-47.711035089673445,0.0029644704375847114,0.3969157435284519,-47.275759389004214,0.0029891479570010137,0.4029640057432261,0.0056693997340904675,100,wsdcon_3.csv,WSD-con 3e-5
step,-9.432007815100329,0.004469189337293253,0.7063384146932475,-9.045298593448237,0.004488271981043511,0.7136177618734403,0.004934623402238123,100,wsdcon_9.csv,WSD-con 9e-5
step,-11.916341232237782,0.0012169994452804302,0.8378966698034583,-11.124676773949826,0.0012279374015377296,0.8438320066437183,0.0013816404339982303,100,wsdcon_18.csv,WSD-con 18e-5
smooth,-64.09885037963525,0.0016880716653619192,0.26545908515575306,-64.09885037963525,0.0016880716653619192,0.26545908515575306,0.004701998914275349,400,wsd_20000_24000.csv,WSD sharp
smooth,-55.20264825444758,0.0017262912135956674,0.31973859000646515,-55.20264825444758,0.0017262912135956674,0.31973859000646515,0.0038535563963712593,400,wsdld_20000_24000.csv,WSD linear
step,-65.43469066269624,0.0028252324671070852,0.3906086432321906,-60.41591016855363,0.003235447849789422,0.4029640057432261,0.008173606778800102,400,wsdcon_3.csv,WSD-con 3e-5
step,-18.66503026679952,0.005439118290389952,0.694068640447846,-13.901737508275735,0.00575765425161738,0.7136177618734403,0.006687305974578527,400,wsdcon_9.csv,WSD-con 9e-5
step,-13.436737662288268,0.0022142485996102385,0.8198986007746868,-6.289566272098146,0.002397069969952797,0.8438320066437183,0.0025579541942073844,400,wsdcon_18.csv,WSD-con 18e-5
