config_id,curvature_lambda,curvature_mode,curvature_tau,mean_delta,mean_step_curvature_coef,mean_step_primary_coef,median_delta,nonharm,rows,shrink_curvature,signed_curvature_coef,wins,worst_delta
10,4.0,signed_d2_lr,0.01,-37.474984881105655,0.01797359049904667,0.04144899477758193,-40.477293275340145,15,15,0,0,15,-9.432007815100329
11,4.0,signed_d2_lr,0.01,-37.474984881105655,0.01797359049904667,0.04144899477758193,-40.477293275340145,15,15,0,1,15,-9.432007815100329
262,10.0,signed_d2_lr,0.003,-37.398269949456235,0.024156794606580285,0.04145027878287932,-40.477293275340145,15,15,0,0,15,-9.725894571824545
263,10.0,signed_d2_lr,0.003,-37.20279366593103,0.022609365626017185,0.04145027038041939,-40.477293275340145,15,15,0,1,15,-9.725894571824545
260,10.0,signed_d2_lr,0.003,-37.16528110544646,0.01380388263233159,0.04145027878287932,-40.477293275340145,15,15,1,0,15,-9.434202832881233
261,10.0,signed_d2_lr,0.003,-37.053580650007206,0.012919637500581248,0.04145027038041939,-40.477293275340145,15,15,1,1,15,-9.434202832881233
8,4.0,signed_d2_lr,0.01,-36.920485503017154,0.010270623142312382,0.04144899477758193,-40.477293275340145,15,15,1,0,15,-9.266328367319165
9,4.0,signed_d2_lr,0.01,-36.920485503017154,0.010270623142312382,0.04144899477758193,-40.477293275340145,15,15,1,1,15,-9.266328367319165
384,14.0,signed_d2_lr,0.001,-36.89029015412414,0.02710733655150404,0.04145055223243425,-40.477293275340145,15,15,1,0,15,-9.045298593448237
132,7.0,signed_d2_lr,0.003,-36.62463702194406,0.039272621585663,0.041449650518183216,-40.477293275340145,15,15,1,0,15,-6.8776961647887935
138,7.0,signed_d2_lr,0.01,-36.62450436173437,0.006191728071069662,0.0414500928185823,-40.477293275340145,15,15,0,0,15,-8.752534540879575
139,7.0,signed_d2_lr,0.01,-36.604927129134246,0.006036794061386736,0.041450094058136405,-40.477293275340145,15,15,0,1,15,-8.752534540879575
390,14.0,signed_d2_lr,0.003,-36.54199324822415,0.00527159002369381,0.04145018279790605,-40.477293275340145,15,15,0,0,15,-8.57420567986007
133,7.0,signed_d2_lr,0.003,-36.50047092947375,0.038289976058553804,0.041449664276131,-40.477293275340145,15,15,1,1,15,-6.8776961647887935
136,7.0,signed_d2_lr,0.01,-36.43454683471554,0.003538130326325521,0.0414500928185823,-40.477293275340145,15,15,1,0,15,-7.696972143684322
137,7.0,signed_d2_lr,0.01,-36.42335980364642,0.003449596606506706,0.041450094058136405,-40.477293275340145,15,15,1,1,15,-7.696972143684322
388,14.0,signed_d2_lr,0.003,-36.387402027070706,0.003012337156396463,0.04145018279790605,-40.477293275340145,15,15,1,0,15,-7.595079810625604
391,14.0,signed_d2_lr,0.003,-36.384383721169314,0.003991846846074151,0.04145017182477908,-40.477293275340145,15,15,0,1,15,-8.57420567986007
266,10.0,signed_d2_lr,0.01,-36.336279563276335,0.002174459104064364,0.04145014940897133,-40.477293275340145,15,15,0,0,15,-7.163236261633788
14,4.0,signed_d2_lr,0.03,-36.32511504989897,0.0019983793305880966,0.04145000965760107,-40.477293275340145,15,15,0,0,15,-7.08421718067731
15,4.0,signed_d2_lr,0.03,-36.32511504989897,0.0019983793305880966,0.04145000965760107,-40.477293275340145,15,15,0,1,15,-7.08421718067731
267,10.0,signed_d2_lr,0.01,-36.318683627008554,0.002035166187143807,0.04145014865261794,-40.477293275340145,15,15,0,1,15,-7.163236261633788
389,14.0,signed_d2_lr,0.003,-36.29733979074379,0.0022810553406138003,0.04145017182477908,-40.477293275340145,15,15,1,1,15,-7.595079810625604
105,4.0,abs_diff_drop,0.01,-36.28612157048067,-0.0006491412423417259,0.04145010197144583,-40.477293275340145,15,15,1,1,15,-6.219951025630888
264,10.0,signed_d2_lr,0.01,-36.269849531494856,0.0012425480594653508,0.04145014940897133,-40.477293275340145,15,15,1,0,15,-6.78880763765587
12,4.0,signed_d2_lr,0.03,-36.26346340485581,0.0011419310460503407,0.04145000965760107,-40.477293275340145,15,15,1,0,15,-6.743639135530066
13,4.0,signed_d2_lr,0.03,-36.26346340485581,0.0011419310460503407,0.04145000965760107,-40.477293275340145,15,15,1,1,15,-6.743639135530066
265,10.0,signed_d2_lr,0.01,-36.25979473579511,0.0011629521069393182,0.04145014865261794,-40.477293275340145,15,15,1,1,15,-6.78880763765587
111,4.0,abs_diff_drop,0.03,-36.25600146203526,-0.00012622198216546542,0.04145013276260542,-40.477293275340145,15,15,0,1,15,-6.290401229919085
18,4.0,signed_d2_lr,0.05,-36.23305998689171,0.0007194544210201452,0.04145009090569271,-40.477293275340145,15,15,0,0,15,-6.575655607527531
19,4.0,signed_d2_lr,0.05,-36.23305998689171,0.0007194544210201452,0.04145009090569271,-40.477293275340145,15,15,0,1,15,-6.575655607527531
142,7.0,signed_d2_lr,0.03,-36.23052689857146,0.0006880312961353352,0.04145013174518746,-40.477293275340145,15,15,0,0,15,-6.563253743929498
143,7.0,signed_d2_lr,0.03,-36.228351443719745,0.0006708147696770748,0.04145013188292879,-40.477293275340145,15,15,0,1,15,-6.563253743929498
109,4.0,abs_diff_drop,0.03,-36.2273324981444,-7.212684695169451e-05,0.04145013276260542,-40.477293275340145,15,15,1,1,15,-6.290043206337548
394,14.0,signed_d2_lr,0.01,-36.21373991678548,0.0004744504642955705,0.041450140768343684,-40.477293275340145,15,15,0,0,15,-6.495187009463688
115,4.0,abs_diff_drop,0.05,-36.21132034103417,-4.5439915708820616e-05,0.041450135225899735,-40.477293275340145,15,15,0,1,15,-6.289866856928372
16,4.0,signed_d2_lr,0.05,-36.210864224476225,0.00041111681201151147,0.04145009090569271,-40.477293275340145,15,15,1,0,15,-6.45304107887652
17,4.0,signed_d2_lr,0.05,-36.210864224476225,0.00041111681201151147,0.04145009090569271,-40.477293275340145,15,15,1,1,15,-6.45304107887652
140,7.0,signed_d2_lr,0.03,-36.209418614211096,0.000393160740648763,0.04145013174518746,-40.477293275340145,15,15,1,0,15,-6.445958605576552
141,7.0,signed_d2_lr,0.03,-36.20817549259568,0.000383322725529757,0.04145013188292879,-40.477293275340145,15,15,1,1,15,-6.445958605576552
997,80.0,abs_diff_drop,0.003,-36.204421169119435,-0.0004993310572445474,0.04145013493900641,-40.477293275340145,15,15,1,1,15,-6.346653772252154
999,80.0,abs_diff_drop,0.003,-36.200568488284375,-0.0008738293501779579,0.04145013493900641,-40.477293275340145,15,15,0,1,15,-6.389469541200854
392,14.0,signed_d2_lr,0.01,-36.19982649098365,0.00027111455102604026,0.041450140768343684,-40.477293275340145,15,15,1,0,15,-6.407064313811494
395,14.0,signed_d2_lr,0.01,-36.199554809274744,0.00035927154776725753,0.041450139780744855,-40.477293275340145,15,15,0,1,15,-6.495187009463688
