channel,decoupled_delta_pct,decoupled_mae,decoupled_target_retention,mpl_mae,scale,shared_target_retention,shared_window_delta_pct,shared_window_mae,test_curve,test_label
smooth,-40.477293275340145,0.002028763507484023,0.2662406679882105,0.003408385839825258,25,0.17518561557655415,-40.873168385152916,0.0020152705562977717,wsd_20000_24000.csv,WSD sharp
smooth,-33.11707850120887,0.0020975123081057234,0.3198517221283153,0.0031360955249893426,25,0.22005000471832278,-33.01334508818162,0.00210076548702959,wsdld_20000_24000.csv,WSD linear
step,-59.64185352382931,0.0018109457613119213,0.3663942360693222,0.004487187642230267,25,0.38740718093876747,-59.22548845635623,0.001829628843166137,wsdcon_3.csv,WSD-con 3e-5
step,-21.08114879604681,0.002309546583664427,0.6796844693526151,0.002926482771138891,25,0.6966606946155736,-20.67532158278339,0.002321423047141174,wsdcon_9.csv,WSD-con 9e-5
step,-12.175165279884947,0.00219985311323118,0.8227402815643823,0.002504818961791151,25,0.8336059969555624,-12.275643817487925,0.0021973363077687704,wsdcon_18.csv,WSD-con 18e-5
smooth,-58.20753202008486,0.0015664111728033144,0.2686449951276333,0.0037480705220761528,100,0.17711808489103906,-56.3505572637391,0.0016360118962483055,wsd_20000_24000.csv,WSD sharp
smooth,-50.664602484115804,0.0016025684965202782,0.32237714656014427,0.003248313740665229,100,0.2223430495187658,-46.640638783202895,0.0017332794623364134,wsdld_20000_24000.csv,WSD linear
step,-47.275759389004214,0.0029891479570010137,0.4029640057432261,0.0056693997340904675,100,0.4223534000775548,-44.466579146558146,0.0031484116141963724,wsdcon_3.csv,WSD-con 3e-5
step,-9.045298593448237,0.004488271981043511,0.7136177618734403,0.004934623402238123,100,0.7295470445133029,-6.288234382364233,0.004624322716818394,wsdcon_9.csv,WSD-con 9e-5
step,-11.124676773949826,0.0012279374015377296,0.8438320066437183,0.0013816404339982303,100,0.8538245542947901,-9.163402204667037,0.0012550351640086652,wsdcon_18.csv,WSD-con 18e-5
smooth,-64.09885037963525,0.0016880716653619192,0.26545908515575306,0.004701998914275349,400,0.174837799151775,-58.61759644367087,0.0019458001659196388,wsd_20000_24000.csv,WSD sharp
smooth,-55.20264825444758,0.0017262912135956674,0.31973859000646515,0.0038535563963712593,400,0.2205649383019635,-51.972631833015825,0.0018507617180075926,wsdld_20000_24000.csv,WSD linear
step,-60.41591016855363,0.003235447849789422,0.4029640057432261,0.008173606778800102,400,0.4223534000775548,-58.37660390871391,0.0034021327244841766,wsdcon_3.csv,WSD-con 3e-5
step,-13.901737508275735,0.00575765425161738,0.7136177618734403,0.006687305974578527,400,0.7295470445133029,-13.877147359176945,0.0057592986701272214,wsdcon_9.csv,WSD-con 9e-5
step,-6.289566272098146,0.002397069969952797,0.8438320066437183,0.0025579541942073844,400,0.8538245542947901,-6.081117679037651,0.002402401989481754,wsdcon_18.csv,WSD-con 18e-5
