mean_delta,median_delta,nonharm,pair_config_id,rows,smooth_config_id,smooth_fit_start_step,smooth_lambda,smooth_max_mode,smooth_nuisance_lambda,smooth_retention_power,smooth_rho,smooth_ridge_tau,step_config_id,step_fit_start_step,step_lambda,step_max_mode,step_nuisance_lambda,step_retention_power,step_rho,step_ridge_tau,wins,worst_delta
-36.181274747994884,-40.477293275340145,15,9817,15,2112,12000,4.0,8,0.05,0.25,0.2,0.05,335,3000,20.0,16,0.015,0.0,0.75,0.05,15,-6.289566272098146
-36.181274747994884,-40.477293275340145,15,9818,15,2112,12000,4.0,8,0.05,0.25,0.2,0.05,345,3000,20.0,16,0.015,0.0,0.75,0.05,15,-6.289566272098146
-36.181274747994884,-40.477293275340145,15,9819,15,2112,12000,4.0,8,0.05,0.25,0.2,0.05,355,3000,20.0,16,0.015,0.0,0.75,0.05,15,-6.289566272098146
-36.181274747994884,-40.477293275340145,15,10017,15,2113,12000,4.0,8,0.05,0.25,0.2,0.05,335,3000,20.0,16,0.015,0.0,0.75,0.05,15,-6.289566272098146
-36.181274747994884,-40.477293275340145,15,10018,15,2113,12000,4.0,8,0.05,0.25,0.2,0.05,345,3000,20.0,16,0.015,0.0,0.75,0.05,15,-6.289566272098146
-36.181274747994884,-40.477293275340145,15,10019,15,2113,12000,4.0,8,0.05,0.25,0.2,0.05,355,3000,20.0,16,0.015,0.0,0.75,0.05,15,-6.289566272098146
-36.181274747994884,-40.477293275340145,15,10217,15,2114,12000,4.0,8,0.05,0.25,0.2,0.05,335,3000,20.0,16,0.015,0.0,0.75,0.05,15,-6.289566272098146
-36.181274747994884,-40.477293275340145,15,10218,15,2114,12000,4.0,8,0.05,0.25,0.2,0.05,345,3000,20.0,16,0.015,0.0,0.75,0.05,15,-6.289566272098146
-36.181274747994884,-40.477293275340145,15,10219,15,2114,12000,4.0,8,0.05,0.25,0.2,0.05,355,3000,20.0,16,0.015,0.0,0.75,0.05,15,-6.289566272098146
-36.181232262276644,-40.477293275340145,15,9814,15,2112,12000,4.0,8,0.05,0.25,0.2,0.05,235,3000,20.0,12,0.015,0.0,0.75,0.05,15,-6.289579347448537
-36.181232262276644,-40.477293275340145,15,9815,15,2112,12000,4.0,8,0.05,0.25,0.2,0.05,245,3000,20.0,12,0.015,0.0,0.75,0.05,15,-6.289579347448537
-36.181232262276644,-40.477293275340145,15,9816,15,2112,12000,4.0,8,0.05,0.25,0.2,0.05,255,3000,20.0,12,0.015,0.0,0.75,0.05,15,-6.289579347448537
-36.181232262276644,-40.477293275340145,15,10014,15,2113,12000,4.0,8,0.05,0.25,0.2,0.05,235,3000,20.0,12,0.015,0.0,0.75,0.05,15,-6.289579347448537
-36.181232262276644,-40.477293275340145,15,10015,15,2113,12000,4.0,8,0.05,0.25,0.2,0.05,245,3000,20.0,12,0.015,0.0,0.75,0.05,15,-6.289579347448537
-36.181232262276644,-40.477293275340145,15,10016,15,2113,12000,4.0,8,0.05,0.25,0.2,0.05,255,3000,20.0,12,0.015,0.0,0.75,0.05,15,-6.289579347448537
-36.181232262276644,-40.477293275340145,15,10214,15,2114,12000,4.0,8,0.05,0.25,0.2,0.05,235,3000,20.0,12,0.015,0.0,0.75,0.05,15,-6.289579347448537
-36.181232262276644,-40.477293275340145,15,10215,15,2114,12000,4.0,8,0.05,0.25,0.2,0.05,245,3000,20.0,12,0.015,0.0,0.75,0.05,15,-6.289579347448537
-36.181232262276644,-40.477293275340145,15,10216,15,2114,12000,4.0,8,0.05,0.25,0.2,0.05,255,3000,20.0,12,0.015,0.0,0.75,0.05,15,-6.289579347448537
-36.1811230552591,-40.47614276278092,15,9217,15,2012,12000,4.0,12,0.05,0.25,0.2,0.05,335,3000,20.0,16,0.015,0.0,0.75,0.05,15,-6.289566272098146
-36.1811230552591,-40.47614276278092,15,9218,15,2012,12000,4.0,12,0.05,0.25,0.2,0.05,345,3000,20.0,16,0.015,0.0,0.75,0.05,15,-6.289566272098146
-36.1811230552591,-40.47614276278092,15,9219,15,2012,12000,4.0,12,0.05,0.25,0.2,0.05,355,3000,20.0,16,0.015,0.0,0.75,0.05,15,-6.289566272098146
-36.1811230552591,-40.47614276278092,15,9417,15,2013,12000,4.0,12,0.05,0.25,0.2,0.05,335,3000,20.0,16,0.015,0.0,0.75,0.05,15,-6.289566272098146
-36.1811230552591,-40.47614276278092,15,9418,15,2013,12000,4.0,12,0.05,0.25,0.2,0.05,345,3000,20.0,16,0.015,0.0,0.75,0.05,15,-6.289566272098146
-36.1811230552591,-40.47614276278092,15,9419,15,2013,12000,4.0,12,0.05,0.25,0.2,0.05,355,3000,20.0,16,0.015,0.0,0.75,0.05,15,-6.289566272098146
-36.1811230552591,-40.47614276278092,15,9617,15,2014,12000,4.0,12,0.05,0.25,0.2,0.05,335,3000,20.0,16,0.015,0.0,0.75,0.05,15,-6.289566272098146
-36.1811230552591,-40.47614276278092,15,9618,15,2014,12000,4.0,12,0.05,0.25,0.2,0.05,345,3000,20.0,16,0.015,0.0,0.75,0.05,15,-6.289566272098146
-36.1811230552591,-40.47614276278092,15,9619,15,2014,12000,4.0,12,0.05,0.25,0.2,0.05,355,3000,20.0,16,0.015,0.0,0.75,0.05,15,-6.289566272098146
-36.18111165425659,-40.47600157834289,15,8617,15,1912,12000,4.0,16,0.05,0.25,0.2,0.05,335,3000,20.0,16,0.015,0.0,0.75,0.05,15,-6.289566272098146
-36.18111165425659,-40.47600157834289,15,8618,15,1912,12000,4.0,16,0.05,0.25,0.2,0.05,345,3000,20.0,16,0.015,0.0,0.75,0.05,15,-6.289566272098146
-36.18111165425659,-40.47600157834289,15,8619,15,1912,12000,4.0,16,0.05,0.25,0.2,0.05,355,3000,20.0,16,0.015,0.0,0.75,0.05,15,-6.289566272098146
-36.18111165425659,-40.47600157834289,15,8817,15,1913,12000,4.0,16,0.05,0.25,0.2,0.05,335,3000,20.0,16,0.015,0.0,0.75,0.05,15,-6.289566272098146
-36.18111165425659,-40.47600157834289,15,8818,15,1913,12000,4.0,16,0.05,0.25,0.2,0.05,345,3000,20.0,16,0.015,0.0,0.75,0.05,15,-6.289566272098146
-36.18111165425659,-40.47600157834289,15,8819,15,1913,12000,4.0,16,0.05,0.25,0.2,0.05,355,3000,20.0,16,0.015,0.0,0.75,0.05,15,-6.289566272098146
-36.18111165425659,-40.47600157834289,15,9017,15,1914,12000,4.0,16,0.05,0.25,0.2,0.05,335,3000,20.0,16,0.015,0.0,0.75,0.05,15,-6.289566272098146
-36.18111165425659,-40.47600157834289,15,9018,15,1914,12000,4.0,16,0.05,0.25,0.2,0.05,345,3000,20.0,16,0.015,0.0,0.75,0.05,15,-6.289566272098146
-36.18111165425659,-40.47600157834289,15,9019,15,1914,12000,4.0,16,0.05,0.25,0.2,0.05,355,3000,20.0,16,0.015,0.0,0.75,0.05,15,-6.289566272098146
-36.181080569540846,-40.47614276278092,15,9214,15,2012,12000,4.0,12,0.05,0.25,0.2,0.05,235,3000,20.0,12,0.015,0.0,0.75,0.05,15,-6.289579347448537
-36.181080569540846,-40.47614276278092,15,9215,15,2012,12000,4.0,12,0.05,0.25,0.2,0.05,245,3000,20.0,12,0.015,0.0,0.75,0.05,15,-6.289579347448537
-36.181080569540846,-40.47614276278092,15,9216,15,2012,12000,4.0,12,0.05,0.25,0.2,0.05,255,3000,20.0,12,0.015,0.0,0.75,0.05,15,-6.289579347448537
-36.181080569540846,-40.47614276278092,15,9414,15,2013,12000,4.0,12,0.05,0.25,0.2,0.05,235,3000,20.0,12,0.015,0.0,0.75,0.05,15,-6.289579347448537
-36.181080569540846,-40.47614276278092,15,9415,15,2013,12000,4.0,12,0.05,0.25,0.2,0.05,245,3000,20.0,12,0.015,0.0,0.75,0.05,15,-6.289579347448537
-36.181080569540846,-40.47614276278092,15,9416,15,2013,12000,4.0,12,0.05,0.25,0.2,0.05,255,3000,20.0,12,0.015,0.0,0.75,0.05,15,-6.289579347448537
-36.181080569540846,-40.47614276278092,15,9614,15,2014,12000,4.0,12,0.05,0.25,0.2,0.05,235,3000,20.0,12,0.015,0.0,0.75,0.05,15,-6.289579347448537
-36.181080569540846,-40.47614276278092,15,9615,15,2014,12000,4.0,12,0.05,0.25,0.2,0.05,245,3000,20.0,12,0.015,0.0,0.75,0.05,15,-6.289579347448537
-36.181080569540846,-40.47614276278092,15,9616,15,2014,12000,4.0,12,0.05,0.25,0.2,0.05,255,3000,20.0,12,0.015,0.0,0.75,0.05,15,-6.289579347448537
-36.18106916853834,-40.47600157834289,15,8614,15,1912,12000,4.0,16,0.05,0.25,0.2,0.05,235,3000,20.0,12,0.015,0.0,0.75,0.05,15,-6.289579347448537
-36.18106916853834,-40.47600157834289,15,8615,15,1912,12000,4.0,16,0.05,0.25,0.2,0.05,245,3000,20.0,12,0.015,0.0,0.75,0.05,15,-6.289579347448537
-36.18106916853834,-40.47600157834289,15,8616,15,1912,12000,4.0,16,0.05,0.25,0.2,0.05,255,3000,20.0,12,0.015,0.0,0.75,0.05,15,-6.289579347448537
-36.18106916853834,-40.47600157834289,15,8814,15,1913,12000,4.0,16,0.05,0.25,0.2,0.05,235,3000,20.0,12,0.015,0.0,0.75,0.05,15,-6.289579347448537
-36.18106916853834,-40.47600157834289,15,8815,15,1913,12000,4.0,16,0.05,0.25,0.2,0.05,245,3000,20.0,12,0.015,0.0,0.75,0.05,15,-6.289579347448537
-36.18106916853834,-40.47600157834289,15,8816,15,1913,12000,4.0,16,0.05,0.25,0.2,0.05,255,3000,20.0,12,0.015,0.0,0.75,0.05,15,-6.289579347448537
-36.18106916853834,-40.47600157834289,15,9014,15,1914,12000,4.0,16,0.05,0.25,0.2,0.05,235,3000,20.0,12,0.015,0.0,0.75,0.05,15,-6.289579347448537
-36.18106916853834,-40.47600157834289,15,9015,15,1914,12000,4.0,16,0.05,0.25,0.2,0.05,245,3000,20.0,12,0.015,0.0,0.75,0.05,15,-6.289579347448537
-36.18106916853834,-40.47600157834289,15,9016,15,1914,12000,4.0,16,0.05,0.25,0.2,0.05,255,3000,20.0,12,0.015,0.0,0.75,0.05,15,-6.289579347448537
-36.17994103962576,-40.477293275340145,15,9820,15,2112,12000,4.0,8,0.05,0.25,0.2,0.05,435,3000,20.0,8,0.015,0.0,0.75,0.05,15,-6.287910028526755
-36.17994103962576,-40.477293275340145,15,9821,15,2112,12000,4.0,8,0.05,0.25,0.2,0.05,445,3000,20.0,8,0.015,0.0,0.75,0.05,15,-6.287910028526755
-36.17994103962576,-40.477293275340145,15,9822,15,2112,12000,4.0,8,0.05,0.25,0.2,0.05,455,3000,20.0,8,0.015,0.0,0.75,0.05,15,-6.287910028526755
-36.17994103962576,-40.477293275340145,15,10020,15,2113,12000,4.0,8,0.05,0.25,0.2,0.05,435,3000,20.0,8,0.015,0.0,0.75,0.05,15,-6.287910028526755
-36.17994103962576,-40.477293275340145,15,10021,15,2113,12000,4.0,8,0.05,0.25,0.2,0.05,445,3000,20.0,8,0.015,0.0,0.75,0.05,15,-6.287910028526755
-36.17994103962576,-40.477293275340145,15,10022,15,2113,12000,4.0,8,0.05,0.25,0.2,0.05,455,3000,20.0,8,0.015,0.0,0.75,0.05,15,-6.287910028526755
-36.17994103962576,-40.477293275340145,15,10220,15,2114,12000,4.0,8,0.05,0.25,0.2,0.05,435,3000,20.0,8,0.015,0.0,0.75,0.05,15,-6.287910028526755
-36.17994103962576,-40.477293275340145,15,10221,15,2114,12000,4.0,8,0.05,0.25,0.2,0.05,445,3000,20.0,8,0.015,0.0,0.75,0.05,15,-6.287910028526755
-36.17994103962576,-40.477293275340145,15,10222,15,2114,12000,4.0,8,0.05,0.25,0.2,0.05,455,3000,20.0,8,0.015,0.0,0.75,0.05,15,-6.287910028526755
-36.17978934688996,-40.47614276278092,15,9220,15,2012,12000,4.0,12,0.05,0.25,0.2,0.05,435,3000,20.0,8,0.015,0.0,0.75,0.05,15,-6.287910028526755
-36.17978934688996,-40.47614276278092,15,9221,15,2012,12000,4.0,12,0.05,0.25,0.2,0.05,445,3000,20.0,8,0.015,0.0,0.75,0.05,15,-6.287910028526755
-36.17978934688996,-40.47614276278092,15,9222,15,2012,12000,4.0,12,0.05,0.25,0.2,0.05,455,3000,20.0,8,0.015,0.0,0.75,0.05,15,-6.287910028526755
-36.17978934688996,-40.47614276278092,15,9420,15,2013,12000,4.0,12,0.05,0.25,0.2,0.05,435,3000,20.0,8,0.015,0.0,0.75,0.05,15,-6.287910028526755
-36.17978934688996,-40.47614276278092,15,9421,15,2013,12000,4.0,12,0.05,0.25,0.2,0.05,445,3000,20.0,8,0.015,0.0,0.75,0.05,15,-6.287910028526755
-36.17978934688996,-40.47614276278092,15,9422,15,2013,12000,4.0,12,0.05,0.25,0.2,0.05,455,3000,20.0,8,0.015,0.0,0.75,0.05,15,-6.287910028526755
-36.17978934688996,-40.47614276278092,15,9620,15,2014,12000,4.0,12,0.05,0.25,0.2,0.05,435,3000,20.0,8,0.015,0.0,0.75,0.05,15,-6.287910028526755
-36.17978934688996,-40.47614276278092,15,9621,15,2014,12000,4.0,12,0.05,0.25,0.2,0.05,445,3000,20.0,8,0.015,0.0,0.75,0.05,15,-6.287910028526755
-36.17978934688996,-40.47614276278092,15,9622,15,2014,12000,4.0,12,0.05,0.25,0.2,0.05,455,3000,20.0,8,0.015,0.0,0.75,0.05,15,-6.287910028526755
-36.179777945887466,-40.47600157834289,15,8620,15,1912,12000,4.0,16,0.05,0.25,0.2,0.05,435,3000,20.0,8,0.015,0.0,0.75,0.05,15,-6.287910028526755
-36.179777945887466,-40.47600157834289,15,8621,15,1912,12000,4.0,16,0.05,0.25,0.2,0.05,445,3000,20.0,8,0.015,0.0,0.75,0.05,15,-6.287910028526755
-36.179777945887466,-40.47600157834289,15,8622,15,1912,12000,4.0,16,0.05,0.25,0.2,0.05,455,3000,20.0,8,0.015,0.0,0.75,0.05,15,-6.287910028526755
-36.179777945887466,-40.47600157834289,15,8820,15,1913,12000,4.0,16,0.05,0.25,0.2,0.05,435,3000,20.0,8,0.015,0.0,0.75,0.05,15,-6.287910028526755
-36.179777945887466,-40.47600157834289,15,8821,15,1913,12000,4.0,16,0.05,0.25,0.2,0.05,445,3000,20.0,8,0.015,0.0,0.75,0.05,15,-6.287910028526755
-36.179777945887466,-40.47600157834289,15,8822,15,1913,12000,4.0,16,0.05,0.25,0.2,0.05,455,3000,20.0,8,0.015,0.0,0.75,0.05,15,-6.287910028526755
-36.179777945887466,-40.47600157834289,15,9020,15,1914,12000,4.0,16,0.05,0.25,0.2,0.05,435,3000,20.0,8,0.015,0.0,0.75,0.05,15,-6.287910028526755
-36.179777945887466,-40.47600157834289,15,9021,15,1914,12000,4.0,16,0.05,0.25,0.2,0.05,445,3000,20.0,8,0.015,0.0,0.75,0.05,15,-6.287910028526755
-36.179777945887466,-40.47600157834289,15,9022,15,1914,12000,4.0,16,0.05,0.25,0.2,0.05,455,3000,20.0,8,0.015,0.0,0.75,0.05,15,-6.287910028526755
