curvature_lambda,curvature_mode,curvature_tau,mean_delta,median_delta,nonharm,rows,shrink_curvature,signed_curvature_coef,source_config_id,step_fit_start_step,step_lambda,step_max_mode,step_nuisance_lambda,step_retention_power,step_rho,step_ridge_tau,wins,worst_delta
4.0,signed_d2_lr,0.01,-23.880159771547767,-17.265769411712874,15,15,0,0,24586,3000,20.0,8,0.03,0.25,0.2,0.05,15,-8.352988329233856
4.0,signed_d2_lr,0.01,-23.880159771547767,-17.265769411712874,15,15,0,1,24587,3000,20.0,8,0.03,0.25,0.2,0.05,15,-8.352988329233856
4.0,signed_d2_lr,0.01,-23.880159771547767,-17.265769411712874,15,15,0,0,25610,3000,20.0,8,0.03,0.25,0.2,0.05,15,-8.352988329233856
4.0,signed_d2_lr,0.01,-23.880159771547767,-17.265769411712874,15,15,0,1,25611,3000,20.0,8,0.03,0.25,0.2,0.05,15,-8.352988329233856
4.0,signed_d2_lr,0.01,-23.880159771547767,-17.265769411712874,15,15,0,0,26634,3000,20.0,8,0.03,0.25,0.2,0.05,15,-8.352988329233856
4.0,signed_d2_lr,0.01,-23.880159771547767,-17.265769411712874,15,15,0,1,26635,3000,20.0,8,0.03,0.25,0.2,0.05,15,-8.352988329233856
4.0,signed_d2_lr,0.01,-23.878764678856935,-17.261652386238335,15,15,0,0,19466,3000,20.0,12,0.03,0.25,0.2,0.05,15,-8.35835736777203
4.0,signed_d2_lr,0.01,-23.878764678856935,-17.261652386238335,15,15,0,1,19467,3000,20.0,12,0.03,0.25,0.2,0.05,15,-8.35835736777203
4.0,signed_d2_lr,0.01,-23.878764678856935,-17.261652386238335,15,15,0,0,22538,3000,20.0,12,0.03,0.25,0.2,0.05,15,-8.35835736777203
4.0,signed_d2_lr,0.01,-23.878764678856935,-17.261652386238335,15,15,0,1,22539,3000,20.0,12,0.03,0.25,0.2,0.05,15,-8.35835736777203
4.0,signed_d2_lr,0.01,-23.878764678856935,-17.261652386238335,15,15,0,0,23562,3000,20.0,12,0.03,0.25,0.2,0.05,15,-8.35835736777203
4.0,signed_d2_lr,0.01,-23.878764678856935,-17.261652386238335,15,15,0,1,23563,3000,20.0,12,0.03,0.25,0.2,0.05,15,-8.35835736777203
4.0,signed_d2_lr,0.01,-23.87847245336428,-17.26130060336064,15,15,0,0,18442,3000,20.0,16,0.03,0.25,0.2,0.05,15,-8.358809677568635
4.0,signed_d2_lr,0.01,-23.87847245336428,-17.26130060336064,15,15,0,1,18443,3000,20.0,16,0.03,0.25,0.2,0.05,15,-8.358809677568635
4.0,signed_d2_lr,0.01,-23.87847245336428,-17.26130060336064,15,15,0,0,20490,3000,20.0,16,0.03,0.25,0.2,0.05,15,-8.358809677568635
4.0,signed_d2_lr,0.01,-23.87847245336428,-17.26130060336064,15,15,0,1,20491,3000,20.0,16,0.03,0.25,0.2,0.05,15,-8.358809677568635
4.0,signed_d2_lr,0.01,-23.87847245336428,-17.26130060336064,15,15,0,0,21514,3000,20.0,16,0.03,0.25,0.2,0.05,15,-8.358809677568635
4.0,signed_d2_lr,0.01,-23.87847245336428,-17.26130060336064,15,15,0,1,21515,3000,20.0,16,0.03,0.25,0.2,0.05,15,-8.358809677568635
4.0,signed_d2_lr,0.01,-23.842497165221815,-16.467462305045334,15,15,0,0,6154,3000,20.0,8,0.015,0.0,0.75,0.05,15,-9.417229297133488
4.0,signed_d2_lr,0.01,-23.842497165221815,-16.467462305045334,15,15,0,1,6155,3000,20.0,8,0.015,0.0,0.75,0.05,15,-9.417229297133488
4.0,signed_d2_lr,0.01,-23.842497165221815,-16.467462305045334,15,15,0,0,7178,3000,20.0,8,0.015,0.0,0.75,0.05,15,-9.417229297133488
4.0,signed_d2_lr,0.01,-23.842497165221815,-16.467462305045334,15,15,0,1,7179,3000,20.0,8,0.015,0.0,0.75,0.05,15,-9.417229297133488
4.0,signed_d2_lr,0.01,-23.842497165221815,-16.467462305045334,15,15,0,0,8202,3000,20.0,8,0.015,0.0,0.75,0.05,15,-9.417229297133488
4.0,signed_d2_lr,0.01,-23.842497165221815,-16.467462305045334,15,15,0,1,8203,3000,20.0,8,0.015,0.0,0.75,0.05,15,-9.417229297133488
4.0,signed_d2_lr,0.01,-23.842497165221815,-16.467462305045334,15,15,0,0,33802,3000,20.0,8,0.015,0.0,0.75,0.05,15,-9.417229297133488
4.0,signed_d2_lr,0.01,-23.842497165221815,-16.467462305045334,15,15,0,1,33803,3000,20.0,8,0.015,0.0,0.75,0.05,15,-9.417229297133488
4.0,signed_d2_lr,0.01,-23.842497165221815,-16.467462305045334,15,15,0,0,34826,3000,20.0,8,0.015,0.0,0.75,0.05,15,-9.417229297133488
4.0,signed_d2_lr,0.01,-23.842497165221815,-16.467462305045334,15,15,0,1,34827,3000,20.0,8,0.015,0.0,0.75,0.05,15,-9.417229297133488
4.0,signed_d2_lr,0.01,-23.842497165221815,-16.467462305045334,15,15,0,0,35850,3000,20.0,8,0.015,0.0,0.75,0.05,15,-9.417229297133488
4.0,signed_d2_lr,0.01,-23.842497165221815,-16.467462305045334,15,15,0,1,35851,3000,20.0,8,0.015,0.0,0.75,0.05,15,-9.417229297133488
4.0,signed_d2_lr,0.01,-23.839895187345732,-16.457395238288676,15,15,0,0,1034,3000,20.0,12,0.015,0.0,0.75,0.05,15,-9.430722621848709
4.0,signed_d2_lr,0.01,-23.839895187345732,-16.457395238288676,15,15,0,1,1035,3000,20.0,12,0.015,0.0,0.75,0.05,15,-9.430722621848709
4.0,signed_d2_lr,0.01,-23.839895187345732,-16.457395238288676,15,15,0,0,4106,3000,20.0,12,0.015,0.0,0.75,0.05,15,-9.430722621848709
4.0,signed_d2_lr,0.01,-23.839895187345732,-16.457395238288676,15,15,0,1,4107,3000,20.0,12,0.015,0.0,0.75,0.05,15,-9.430722621848709
4.0,signed_d2_lr,0.01,-23.839895187345732,-16.457395238288676,15,15,0,0,5130,3000,20.0,12,0.015,0.0,0.75,0.05,15,-9.430722621848709
4.0,signed_d2_lr,0.01,-23.839895187345732,-16.457395238288676,15,15,0,1,5131,3000,20.0,12,0.015,0.0,0.75,0.05,15,-9.430722621848709
4.0,signed_d2_lr,0.01,-23.839895187345732,-16.457395238288676,15,15,0,0,28682,3000,20.0,12,0.015,0.0,0.75,0.05,15,-9.430722621848709
4.0,signed_d2_lr,0.01,-23.839895187345732,-16.457395238288676,15,15,0,1,28683,3000,20.0,12,0.015,0.0,0.75,0.05,15,-9.430722621848709
4.0,signed_d2_lr,0.01,-23.839895187345732,-16.457395238288676,15,15,0,0,31754,3000,20.0,12,0.015,0.0,0.75,0.05,15,-9.430722621848709
4.0,signed_d2_lr,0.01,-23.839895187345732,-16.457395238288676,15,15,0,1,31755,3000,20.0,12,0.015,0.0,0.75,0.05,15,-9.430722621848709
4.0,signed_d2_lr,0.01,-23.839895187345732,-16.457395238288676,15,15,0,0,32778,3000,20.0,12,0.015,0.0,0.75,0.05,15,-9.430722621848709
4.0,signed_d2_lr,0.01,-23.839895187345732,-16.457395238288676,15,15,0,1,32779,3000,20.0,12,0.015,0.0,0.75,0.05,15,-9.430722621848709
4.0,signed_d2_lr,0.01,-23.839295342285652,-16.456431352359314,15,15,0,0,10,3000,20.0,16,0.015,0.0,0.75,0.05,15,-9.432007815100329
4.0,signed_d2_lr,0.01,-23.839295342285652,-16.456431352359314,15,15,0,1,11,3000,20.0,16,0.015,0.0,0.75,0.05,15,-9.432007815100329
4.0,signed_d2_lr,0.01,-23.839295342285652,-16.456431352359314,15,15,0,0,2058,3000,20.0,16,0.015,0.0,0.75,0.05,15,-9.432007815100329
4.0,signed_d2_lr,0.01,-23.839295342285652,-16.456431352359314,15,15,0,1,2059,3000,20.0,16,0.015,0.0,0.75,0.05,15,-9.432007815100329
4.0,signed_d2_lr,0.01,-23.839295342285652,-16.456431352359314,15,15,0,0,3082,3000,20.0,16,0.015,0.0,0.75,0.05,15,-9.432007815100329
4.0,signed_d2_lr,0.01,-23.839295342285652,-16.456431352359314,15,15,0,1,3083,3000,20.0,16,0.015,0.0,0.75,0.05,15,-9.432007815100329
4.0,signed_d2_lr,0.01,-23.839295342285652,-16.456431352359314,15,15,0,0,27658,3000,20.0,16,0.015,0.0,0.75,0.05,15,-9.432007815100329
4.0,signed_d2_lr,0.01,-23.839295342285652,-16.456431352359314,15,15,0,1,27659,3000,20.0,16,0.015,0.0,0.75,0.05,15,-9.432007815100329
4.0,signed_d2_lr,0.01,-23.839295342285652,-16.456431352359314,15,15,0,0,29706,3000,20.0,16,0.015,0.0,0.75,0.05,15,-9.432007815100329
4.0,signed_d2_lr,0.01,-23.839295342285652,-16.456431352359314,15,15,0,1,29707,3000,20.0,16,0.015,0.0,0.75,0.05,15,-9.432007815100329
4.0,signed_d2_lr,0.01,-23.839295342285652,-16.456431352359314,15,15,0,0,30730,3000,20.0,16,0.015,0.0,0.75,0.05,15,-9.432007815100329
4.0,signed_d2_lr,0.01,-23.839295342285652,-16.456431352359314,15,15,0,1,30731,3000,20.0,16,0.015,0.0,0.75,0.05,15,-9.432007815100329
10.0,signed_d2_lr,0.003,-23.76993684520058,-15.72402280783024,15,15,1,0,15620,3000,20.0,8,0.01,0.0,0.35,0.05,15,-10.801466736917275
10.0,signed_d2_lr,0.003,-23.76993684520058,-15.72402280783024,15,15,1,0,16644,3000,20.0,8,0.01,0.0,0.35,0.05,15,-10.801466736917275
10.0,signed_d2_lr,0.003,-23.76993684520058,-15.72402280783024,15,15,1,0,17668,3000,20.0,8,0.01,0.0,0.35,0.05,15,-10.801466736917275
10.0,signed_d2_lr,0.003,-23.765551650472975,-15.702372846416868,15,15,1,0,9476,3000,20.0,12,0.01,0.0,0.35,0.05,15,-10.831329611881024
10.0,signed_d2_lr,0.003,-23.765551650472975,-15.702372846416868,15,15,1,0,11524,3000,20.0,12,0.01,0.0,0.35,0.05,15,-10.831329611881024
10.0,signed_d2_lr,0.003,-23.765551650472975,-15.702372846416868,15,15,1,0,12548,3000,20.0,12,0.01,0.0,0.35,0.05,15,-10.831329611881024
10.0,signed_d2_lr,0.003,-23.765551650472975,-15.702372846416868,15,15,1,0,37124,3000,20.0,12,0.01,0.0,0.35,0.05,15,-10.831329611881024
10.0,signed_d2_lr,0.003,-23.765551650472975,-15.702372846416868,15,15,1,0,39172,3000,20.0,12,0.01,0.0,0.35,0.05,15,-10.831329611881024
10.0,signed_d2_lr,0.003,-23.765551650472975,-15.702372846416868,15,15,1,0,40196,3000,20.0,12,0.01,0.0,0.35,0.05,15,-10.831329611881024
10.0,signed_d2_lr,0.003,-23.76450708146509,-15.700350761654935,15,15,1,0,10500,3000,20.0,16,0.01,0.0,0.35,0.05,15,-10.834074675190774
10.0,signed_d2_lr,0.003,-23.76450708146509,-15.700350761654935,15,15,1,0,13572,3000,20.0,16,0.01,0.0,0.35,0.05,15,-10.834074675190774
10.0,signed_d2_lr,0.003,-23.76450708146509,-15.700350761654935,15,15,1,0,14596,3000,20.0,16,0.01,0.0,0.35,0.05,15,-10.834074675190774
10.0,signed_d2_lr,0.003,-23.76450708146509,-15.700350761654935,15,15,1,0,38148,3000,20.0,16,0.01,0.0,0.35,0.05,15,-10.834074675190774
10.0,signed_d2_lr,0.003,-23.76450708146509,-15.700350761654935,15,15,1,0,41220,3000,20.0,16,0.01,0.0,0.35,0.05,15,-10.834074675190774
10.0,signed_d2_lr,0.003,-23.76450708146509,-15.700350761654935,15,15,1,0,42244,3000,20.0,16,0.01,0.0,0.35,0.05,15,-10.834074675190774
10.0,signed_d2_lr,0.003,-23.763362777627226,-16.45826518054465,15,15,0,0,262,3000,20.0,16,0.015,0.0,0.75,0.05,15,-9.725894571824545
10.0,signed_d2_lr,0.003,-23.763362777627226,-16.45826518054465,15,15,0,0,2310,3000,20.0,16,0.015,0.0,0.75,0.05,15,-9.725894571824545
10.0,signed_d2_lr,0.003,-23.763362777627226,-16.45826518054465,15,15,0,0,3334,3000,20.0,16,0.015,0.0,0.75,0.05,15,-9.725894571824545
10.0,signed_d2_lr,0.003,-23.763362777627226,-16.45826518054465,15,15,0,0,27910,3000,20.0,16,0.015,0.0,0.75,0.05,15,-9.725894571824545
10.0,signed_d2_lr,0.003,-23.763362777627226,-16.45826518054465,15,15,0,0,29958,3000,20.0,16,0.015,0.0,0.75,0.05,15,-9.725894571824545
10.0,signed_d2_lr,0.003,-23.763362777627226,-16.45826518054465,15,15,0,0,30982,3000,20.0,16,0.015,0.0,0.75,0.05,15,-9.725894571824545
10.0,signed_d2_lr,0.003,-23.762930165279965,-16.459229406485065,15,15,0,0,1286,3000,20.0,12,0.015,0.0,0.75,0.05,15,-9.724649109227169
10.0,signed_d2_lr,0.003,-23.762930165279965,-16.459229406485065,15,15,0,0,4358,3000,20.0,12,0.015,0.0,0.75,0.05,15,-9.724649109227169
10.0,signed_d2_lr,0.003,-23.762930165279965,-16.459229406485065,15,15,0,0,5382,3000,20.0,12,0.015,0.0,0.75,0.05,15,-9.724649109227169
10.0,signed_d2_lr,0.003,-23.762930165279965,-16.459229406485065,15,15,0,0,28934,3000,20.0,12,0.015,0.0,0.75,0.05,15,-9.724649109227169
10.0,signed_d2_lr,0.003,-23.762930165279965,-16.459229406485065,15,15,0,0,32006,3000,20.0,12,0.015,0.0,0.75,0.05,15,-9.724649109227169
10.0,signed_d2_lr,0.003,-23.762930165279965,-16.459229406485065,15,15,0,0,33030,3000,20.0,12,0.015,0.0,0.75,0.05,15,-9.724649109227169
10.0,signed_d2_lr,0.003,-23.759125813253558,-16.469299063534947,15,15,0,0,6406,3000,20.0,8,0.015,0.0,0.75,0.05,15,-9.711268027216779
10.0,signed_d2_lr,0.003,-23.759125813253558,-16.469299063534947,15,15,0,0,7430,3000,20.0,8,0.015,0.0,0.75,0.05,15,-9.711268027216779
10.0,signed_d2_lr,0.003,-23.759125813253558,-16.469299063534947,15,15,0,0,8454,3000,20.0,8,0.015,0.0,0.75,0.05,15,-9.711268027216779
10.0,signed_d2_lr,0.003,-23.759125813253558,-16.469299063534947,15,15,0,0,34054,3000,20.0,8,0.015,0.0,0.75,0.05,15,-9.711268027216779
10.0,signed_d2_lr,0.003,-23.759125813253558,-16.469299063534947,15,15,0,0,35078,3000,20.0,8,0.015,0.0,0.75,0.05,15,-9.711268027216779
10.0,signed_d2_lr,0.003,-23.759125813253558,-16.469299063534947,15,15,0,0,36102,3000,20.0,8,0.015,0.0,0.75,0.05,15,-9.711268027216779
10.0,signed_d2_lr,0.003,-23.702702380772234,-15.700823405356012,15,15,0,0,10502,3000,20.0,16,0.01,0.0,0.35,0.05,15,-11.081728897339527
10.0,signed_d2_lr,0.003,-23.702702380772234,-15.700823405356012,15,15,0,0,13574,3000,20.0,16,0.01,0.0,0.35,0.05,15,-11.081728897339527
10.0,signed_d2_lr,0.003,-23.702702380772234,-15.700823405356012,15,15,0,0,14598,3000,20.0,16,0.01,0.0,0.35,0.05,15,-11.081728897339527
10.0,signed_d2_lr,0.003,-23.702702380772234,-15.700823405356012,15,15,0,0,38150,3000,20.0,16,0.01,0.0,0.35,0.05,15,-11.081728897339527
10.0,signed_d2_lr,0.003,-23.702702380772234,-15.700823405356012,15,15,0,0,41222,3000,20.0,16,0.01,0.0,0.35,0.05,15,-11.081728897339527
10.0,signed_d2_lr,0.003,-23.702702380772234,-15.700823405356012,15,15,0,0,42246,3000,20.0,16,0.01,0.0,0.35,0.05,15,-11.081728897339527
10.0,signed_d2_lr,0.003,-23.70229740227711,-15.702845582957469,15,15,0,0,9478,3000,20.0,12,0.01,0.0,0.35,0.05,15,-11.079032479969275
10.0,signed_d2_lr,0.003,-23.70229740227711,-15.702845582957469,15,15,0,0,11526,3000,20.0,12,0.01,0.0,0.35,0.05,15,-11.079032479969275
10.0,signed_d2_lr,0.003,-23.70229740227711,-15.702845582957469,15,15,0,0,12550,3000,20.0,12,0.01,0.0,0.35,0.05,15,-11.079032479969275
10.0,signed_d2_lr,0.003,-23.70229740227711,-15.702845582957469,15,15,0,0,37126,3000,20.0,12,0.01,0.0,0.35,0.05,15,-11.079032479969275
10.0,signed_d2_lr,0.003,-23.70229740227711,-15.702845582957469,15,15,0,0,39174,3000,20.0,12,0.01,0.0,0.35,0.05,15,-11.079032479969275
10.0,signed_d2_lr,0.003,-23.70229740227711,-15.702845582957469,15,15,0,0,40198,3000,20.0,12,0.01,0.0,0.35,0.05,15,-11.079032479969275
10.0,signed_d2_lr,0.003,-23.698799243033093,-15.724496223852336,15,15,0,0,15622,3000,20.0,8,0.01,0.0,0.35,0.05,15,-11.049525637351987
10.0,signed_d2_lr,0.003,-23.698799243033093,-15.724496223852336,15,15,0,0,16646,3000,20.0,8,0.01,0.0,0.35,0.05,15,-11.049525637351987
10.0,signed_d2_lr,0.003,-23.698799243033093,-15.724496223852336,15,15,0,0,17670,3000,20.0,8,0.01,0.0,0.35,0.05,15,-11.049525637351987
4.0,signed_d2_lr,0.01,-23.681475212486486,-15.722039025026502,15,15,0,0,15370,3000,20.0,8,0.01,0.0,0.35,0.05,15,-10.52771123328573
4.0,signed_d2_lr,0.01,-23.681475212486486,-15.722039025026502,15,15,0,1,15371,3000,20.0,8,0.01,0.0,0.35,0.05,15,-10.52771123328573
4.0,signed_d2_lr,0.01,-23.681475212486486,-15.722039025026502,15,15,0,0,16394,3000,20.0,8,0.01,0.0,0.35,0.05,15,-10.52771123328573
4.0,signed_d2_lr,0.01,-23.681475212486486,-15.722039025026502,15,15,0,1,16395,3000,20.0,8,0.01,0.0,0.35,0.05,15,-10.52771123328573
4.0,signed_d2_lr,0.01,-23.681475212486486,-15.722039025026502,15,15,0,0,17418,3000,20.0,8,0.01,0.0,0.35,0.05,15,-10.52771123328573
4.0,signed_d2_lr,0.01,-23.681475212486486,-15.722039025026502,15,15,0,1,17419,3000,20.0,8,0.01,0.0,0.35,0.05,15,-10.52771123328573
4.0,signed_d2_lr,0.01,-23.675251209133055,-15.700391785054302,15,15,0,0,9226,3000,20.0,12,0.01,0.0,0.35,0.05,15,-10.557365619582349
4.0,signed_d2_lr,0.01,-23.675251209133055,-15.700391785054302,15,15,0,1,9227,3000,20.0,12,0.01,0.0,0.35,0.05,15,-10.557365619582349
4.0,signed_d2_lr,0.01,-23.675251209133055,-15.700391785054302,15,15,0,0,11274,3000,20.0,12,0.01,0.0,0.35,0.05,15,-10.557365619582349
4.0,signed_d2_lr,0.01,-23.675251209133055,-15.700391785054302,15,15,0,1,11275,3000,20.0,12,0.01,0.0,0.35,0.05,15,-10.557365619582349
4.0,signed_d2_lr,0.01,-23.675251209133055,-15.700391785054302,15,15,0,0,12298,3000,20.0,12,0.01,0.0,0.35,0.05,15,-10.557365619582349
4.0,signed_d2_lr,0.01,-23.675251209133055,-15.700391785054302,15,15,0,1,12299,3000,20.0,12,0.01,0.0,0.35,0.05,15,-10.557365619582349
4.0,signed_d2_lr,0.01,-23.675251209133055,-15.700391785054302,15,15,0,0,36874,3000,20.0,12,0.01,0.0,0.35,0.05,15,-10.557365619582349
4.0,signed_d2_lr,0.01,-23.675251209133055,-15.700391785054302,15,15,0,1,36875,3000,20.0,12,0.01,0.0,0.35,0.05,15,-10.557365619582349
4.0,signed_d2_lr,0.01,-23.675251209133055,-15.700391785054302,15,15,0,0,38922,3000,20.0,12,0.01,0.0,0.35,0.05,15,-10.557365619582349
4.0,signed_d2_lr,0.01,-23.675251209133055,-15.700391785054302,15,15,0,1,38923,3000,20.0,12,0.01,0.0,0.35,0.05,15,-10.557365619582349
4.0,signed_d2_lr,0.01,-23.675251209133055,-15.700391785054302,15,15,0,0,39946,3000,20.0,12,0.01,0.0,0.35,0.05,15,-10.557365619582349
4.0,signed_d2_lr,0.01,-23.675251209133055,-15.700391785054302,15,15,0,1,39947,3000,20.0,12,0.01,0.0,0.35,0.05,15,-10.557365619582349
4.0,signed_d2_lr,0.01,-23.674130423898195,-15.698370087376512,15,15,0,0,10250,3000,20.0,16,0.01,0.0,0.35,0.05,15,-10.560119880225738
4.0,signed_d2_lr,0.01,-23.674130423898195,-15.698370087376512,15,15,0,1,10251,3000,20.0,16,0.01,0.0,0.35,0.05,15,-10.560119880225738
4.0,signed_d2_lr,0.01,-23.674130423898195,-15.698370087376512,15,15,0,0,13322,3000,20.0,16,0.01,0.0,0.35,0.05,15,-10.560119880225738
4.0,signed_d2_lr,0.01,-23.674130423898195,-15.698370087376512,15,15,0,1,13323,3000,20.0,16,0.01,0.0,0.35,0.05,15,-10.560119880225738
4.0,signed_d2_lr,0.01,-23.674130423898195,-15.698370087376512,15,15,0,0,14346,3000,20.0,16,0.01,0.0,0.35,0.05,15,-10.560119880225738
