config_id,curvature_lambda,curvature_mode,curvature_tau,mean_delta,mean_step_curvature_coef,mean_step_primary_coef,median_delta,nonharm,pair_index,rows,shrink_curvature,signed_curvature_coef,smooth_fit_start_step,smooth_lambda,smooth_max_mode,smooth_nuisance_lambda,smooth_retention_power,smooth_rho,smooth_ridge_tau,source_decoupled_mean_delta,source_decoupled_worst_delta,source_pair_config_id,step_fit_start_step,step_lambda,step_max_mode,step_nuisance_lambda,step_retention_power,step_rho,step_ridge_tau,wins,worst_delta
15620,10.0,signed_d2_lr,0.003,-37.530973471456385,0.018702484406347662,0.04073728894221205,-40.477293275340145,15,15,15,1,0,12000,4.0,8,0.05,0.25,0.2,0.05,-36.17898289741352,-6.3129230545310495,9995,3000,20.0,8,0.01,0.0,0.35,0.05,15,-10.801466736917275
16644,10.0,signed_d2_lr,0.003,-37.53082177872059,0.018702484406347662,0.04073728894221205,-40.47614276278092,15,16,15,1,0,12000,4.0,12,0.05,0.25,0.2,0.05,-36.17883120467772,-6.3129230545310495,9395,3000,20.0,8,0.01,0.0,0.35,0.05,15,-10.801466736917275
17668,10.0,signed_d2_lr,0.003,-37.53081037771809,0.018702484406347662,0.04073728894221205,-40.47600157834289,15,17,15,1,0,12000,4.0,16,0.05,0.25,0.2,0.05,-36.17881980367522,-6.3129230545310495,8795,3000,20.0,8,0.01,0.0,0.35,0.05,15,-10.801466736917275
9476,10.0,signed_d2_lr,0.003,-37.5283461783014,0.01865918675370171,0.04072902078503118,-40.477293275340145,15,9,15,1,0,12000,4.0,8,0.05,0.25,0.2,0.05,-36.179421584866645,-6.3157428352411005,9996,3000,20.0,12,0.01,0.0,0.35,0.05,15,-10.831329611881024
11524,10.0,signed_d2_lr,0.003,-37.528194485565606,0.01865918675370171,0.04072902078503118,-40.47614276278092,15,11,15,1,0,12000,4.0,12,0.05,0.25,0.2,0.05,-36.17926989213085,-6.3157428352411005,9396,3000,20.0,12,0.01,0.0,0.35,0.05,15,-10.831329611881024
12548,10.0,signed_d2_lr,0.003,-37.5281830845631,0.01865918675370171,0.04072902078503118,-40.47600157834289,15,12,15,1,0,12000,4.0,16,0.05,0.25,0.2,0.05,-36.17925849112835,-6.3157428352411005,8796,3000,20.0,12,0.01,0.0,0.35,0.05,15,-10.831329611881024
10500,10.0,signed_d2_lr,0.003,-37.52761240209755,0.018649505538208835,0.040727147872719534,-40.477293275340145,15,10,15,1,0,12000,4.0,8,0.05,0.25,0.2,0.05,-36.179364219807674,-6.3156883827064085,9997,3000,20.0,16,0.01,0.0,0.35,0.05,15,-10.834074675190774
13572,10.0,signed_d2_lr,0.003,-37.52746070936176,0.018649505538208835,0.040727147872719534,-40.47614276278092,15,13,15,1,0,12000,4.0,12,0.05,0.25,0.2,0.05,-36.17921252707188,-6.3156883827064085,9397,3000,20.0,16,0.01,0.0,0.35,0.05,15,-10.834074675190774
14596,10.0,signed_d2_lr,0.003,-37.52744930835926,0.018649505538208835,0.040727147872719534,-40.47600157834289,15,14,15,1,0,12000,4.0,16,0.05,0.25,0.2,0.05,-36.17920112606938,-6.3156883827064085,8797,3000,20.0,16,0.01,0.0,0.35,0.05,15,-10.834074675190774
6154,4.0,signed_d2_lr,0.01,-37.47747936023204,0.018023152978992454,0.04145195654907642,-40.477293275340145,15,6,15,0,0,12000,4.0,8,0.05,0.25,0.2,0.05,-36.17994103962576,-6.287910028526755,9820,3000,20.0,8,0.015,0.0,0.75,0.05,15,-9.417229297133488
