con18_center,con18_config_id,con18_gate_sign,con18_gate_tau,con18_mean_delta,con18_shrink_gate,con18_time_power,con18_width,con18_worst_delta,con9_center,con9_config_id,con9_gate_sign,con9_gate_tau,con9_mean_delta,con9_shrink_gate,con9_time_power,con9_width,con9_worst_delta,mean_delta,median_delta,nonharm,rows,wins,worst_delta
0.2,202,signed,0.001,-13.334903054534301,1,1.0,0.25,-12.263820039640983,0.2,23,signed,0.001,-17.560997686564807,0,1.0,0.05,-11.80064391895933,-37.84916082886312,-40.477293275340145,15,15,15,-11.80064391895933
0.2,202,signed,0.001,-13.334903054534301,1,1.0,0.25,-12.263820039640983,0.2,27,signed,0.003,-17.559047769812455,0,1.0,0.05,-11.797014374541225,-37.84877084551265,-40.477293275340145,15,15,15,-11.797014374541225
0.2,206,signed,0.003,-13.327884606365023,1,1.0,0.25,-12.260256251274072,0.2,23,signed,0.001,-17.560997686564807,0,1.0,0.05,-11.80064391895933,-37.84775713922927,-40.477293275340145,15,15,15,-11.80064391895933
0.2,206,signed,0.003,-13.327884606365023,1,1.0,0.25,-12.260256251274072,0.2,27,signed,0.003,-17.559047769812455,0,1.0,0.05,-11.797014374541225,-37.8473671558788,-40.477293275340145,15,15,15,-11.797014374541225
0.2,202,signed,0.001,-13.334903054534301,1,1.0,0.25,-12.263820039640983,0.2,31,signed,0.01,-17.538633083764214,0,1.0,0.05,-11.759015403496864,-37.844687908302994,-40.477293275340145,15,15,15,-11.759015403496864
0.2,206,signed,0.003,-13.327884606365023,1,1.0,0.25,-12.260256251274072,0.2,31,signed,0.01,-17.538633083764214,0,1.0,0.05,-11.759015403496864,-37.843284218669154,-40.477293275340145,15,15,15,-11.759015403496864
0.2,202,signed,0.001,-13.334903054534301,1,1.0,0.25,-12.263820039640983,0.2,2,signed,0.001,-17.496060948292847,1,0.0,0.05,-11.706361339257654,-37.836173481208725,-40.477293275340145,15,15,15,-11.706361339257654
0.2,202,signed,0.001,-13.334903054534301,1,1.0,0.25,-12.263820039640983,0.2,6,signed,0.003,-17.49512605499751,1,0.0,0.05,-11.704506458753283,-37.83598650254966,-40.477293275340145,15,15,15,-11.704506458753283
0.2,210,signed,0.01,-13.264213211192365,1,1.0,0.25,-12.227926750152163,0.2,23,signed,0.001,-17.560997686564807,0,1.0,0.05,-11.80064391895933,-37.83502286019474,-40.477293275340145,15,15,15,-11.80064391895933
0.2,206,signed,0.003,-13.327884606365023,1,1.0,0.25,-12.260256251274072,0.2,2,signed,0.001,-17.496060948292847,1,0.0,0.05,-11.706361339257654,-37.83476979157488,-40.477293275340145,15,15,15,-11.706361339257654
0.2,210,signed,0.01,-13.264213211192365,1,1.0,0.25,-12.227926750152163,0.2,27,signed,0.003,-17.559047769812455,0,1.0,0.05,-11.797014374541225,-37.83463287684426,-40.477293275340145,15,15,15,-11.797014374541225
