center,gate_sign,gate_tau,mean_delta,median_delta,mid_config_id,mid_mean_delta,mid_median_delta,mid_nonharm,mid_rows,mid_wins,mid_worst_delta,nonharm,rows,shrink_gate,time_power,width,wins,worst_delta
,,,-37.668246127276035,-40.477293275340145,base,,,,,,,15,15,,,,15,-10.801466736917275
0.2,nonpos,0.001,-37.668246127276035,-40.477293275340145,0,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,1,0.0,0.05,15,-10.801466736917275
0.2,nonpos,0.001,-37.668246127276035,-40.477293275340145,1,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,0,0.0,0.05,15,-10.801466736917275
0.2,signed,0.001,-37.76634291267922,-40.477293275340145,2,-17.496060948292847,-18.71293628987505,3,3,3,-11.706361339257654,15,15,1,0.0,0.05,15,-11.706361339257654
0.2,signed,0.001,-37.724877539270004,-40.477293275340145,3,-17.288734081246815,-18.800608468010893,3,3,3,-11.339990570488867,15,15,0,0.0,0.05,15,-11.339990570488867
0.2,nonpos,0.003,-37.668246127276035,-40.477293275340145,4,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,1,0.0,0.05,15,-10.801466736917275
0.2,nonpos,0.003,-37.668246127276035,-40.477293275340145,5,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,0,0.0,0.05,15,-10.801466736917275
0.2,signed,0.003,-37.766155934020155,-40.477293275340145,6,-17.49512605499751,-18.71436544509274,3,3,3,-11.704506458753283,15,15,1,0.0,0.05,15,-11.704506458753283
0.2,signed,0.003,-37.72469686269969,-40.477293275340145,7,-17.287830698395172,-18.800503031166738,3,3,3,-11.33827907702174,15,15,0,0.0,0.05,15,-11.33827907702174
0.2,nonpos,0.01,-37.668246127276035,-40.477293275340145,8,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,1,0.0,0.05,15,-10.801466736917275
0.2,nonpos,0.01,-37.668246127276035,-40.477293275340145,9,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,0,0.0,0.05,15,-10.801466736917275
0.2,signed,0.01,-37.764137618220666,-40.477293275340145,10,-17.485034476000102,-18.72979219653459,3,3,3,-11.6844842337675,15,15,1,0.0,0.05,15,-11.6844842337675
0.2,signed,0.01,-37.722746577207495,-40.477293275340145,11,-17.278079270934224,-18.799364912672345,3,3,3,-11.319804621556917,15,15,0,0.0,0.05,15,-11.319804621556917
0.2,nonpos,0.03,-37.668246127276035,-40.477293275340145,12,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,1,0.0,0.05,15,-10.801466736917275
0.2,nonpos,0.03,-37.668246127276035,-40.477293275340145,13,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,0,0.0,0.05,15,-10.801466736917275
0.2,signed,0.03,-37.747964024169654,-40.477293275340145,14,-17.404166505745042,-18.777388675121685,3,3,3,-11.546609391401152,15,15,1,0.0,0.05,15,-11.546609391401152
0.2,signed,0.03,-37.70978450640199,-40.477293275340145,15,-17.21326891690666,-18.792613894899535,3,3,3,-11.189317748400518,15,15,0,0.0,0.05,15,-11.189317748400518
0.2,nonpos,0.1,-37.668246127276035,-40.477293275340145,16,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,1,0.0,0.05,15,-10.801466736917275
0.2,nonpos,0.1,-37.668246127276035,-40.477293275340145,17,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,0,0.0,0.05,15,-10.801466736917275
0.2,signed,0.1,-37.69376331308336,-40.477293275340145,18,-17.13316295031355,-18.776512344796547,3,3,3,-11.037505986826668,15,15,1,0.0,0.05,15,-11.037505986826668
0.2,signed,0.1,-37.67865130920602,-40.477293275340145,19,-17.057602930926855,-18.780035060834834,3,3,3,-10.89876907535161,15,15,0,0.0,0.05,15,-10.89876907535161
0.2,nonpos,0.001,-37.668246127276035,-40.477293275340145,20,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,1,1.0,0.05,15,-10.801466736917275
0.2,nonpos,0.001,-37.668246127276035,-40.477293275340145,21,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,0,1.0,0.05,15,-10.801466736917275
0.2,signed,0.001,-37.75153069911936,-40.477293275340145,22,-17.421999880493544,-18.18136666844158,3,3,3,-11.808931128014555,15,15,1,1.0,0.05,15,-11.808931128014555
0.2,signed,0.001,-37.77933026033361,-40.477293275340145,23,-17.560997686564807,-18.66623834980201,3,3,3,-11.80064391895933,15,15,0,1.0,0.05,15,-11.80064391895933
0.2,nonpos,0.003,-37.668246127276035,-40.477293275340145,24,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,1,1.0,0.05,15,-10.801466736917275
0.2,nonpos,0.003,-37.668246127276035,-40.477293275340145,25,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,0,1.0,0.05,15,-10.801466736917275
0.2,signed,0.003,-37.75254592466058,-40.477293275340145,26,-17.427076008199645,-18.198053331915354,3,3,3,-11.808812145838854,15,15,1,1.0,0.05,15,-11.808812145838854
0.2,signed,0.003,-37.778940276983136,-40.477293275340145,27,-17.559047769812455,-18.66885577235261,3,3,3,-11.797014374541225,15,15,0,1.0,0.05,15,-11.797014374541225
0.2,nonpos,0.01,-37.668246127276035,-40.477293275340145,28,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,1,1.0,0.05,15,-10.801466736917275
