config_id,extra_center,extra_tau,extra_time_power,extra_width,mean_delta,median_delta,nonharm,rows,shrink_gates,target_mean_delta,target_worst_delta,wins,worst_delta
351,0.15,0.001,2.0,0.25,-37.904286843730546,-40.477293275340145,15,15,1,-17.662810039207024,-11.811457262779278,15,-11.811457262779278
353,0.15,0.003,2.0,0.25,-37.9039256495658,-40.477293275340145,15,15,1,-17.661004068383317,-11.811345088106028,15,-11.811345088106028
352,0.15,0.003,2.0,0.25,-37.89865242209871,-40.477293275340145,15,15,0,-17.63463793104786,-11.757798859441548,15,-11.757798859441548
354,0.15,0.01,2.0,0.25,-37.89847412195307,-40.477293275340145,15,15,0,-17.63374643031969,-11.772177603702083,15,-11.772177603702083
355,0.15,0.01,2.0,0.25,-37.89796263854013,-40.477293275340145,15,15,1,-17.631189013254936,-11.810534966350483,15,-11.810534966350483
350,0.15,0.001,2.0,0.25,-37.89651278387046,-40.477293275340145,15,15,0,-17.623939739906614,-11.755807885940339,15,-11.755807885940339
356,0.15,0.03,2.0,0.25,-37.89107265761779,-40.477293275340145,15,15,0,-17.59673910864327,-11.793437836691512,15,-11.793437836691512
505,0.2,0.01,2.0,0.15,-37.89018852546111,-40.477293275340145,15,15,1,-17.59231844785985,-11.779681668616249,15,-11.779681668616249
1197,0.5,0.03,2.0,0.1,-37.88977536996779,-40.477293275340145,15,15,1,-17.59025267039328,-11.810605521525142,15,-11.810605521525142
537,0.2,0.03,2.0,0.25,-37.88975104260888,-40.477293275340145,15,15,1,-17.59013103359868,-11.75204814694315,15,-11.75204814694315
957,0.4,0.03,2.0,0.05,-37.889350936856395,-40.477293275340145,15,15,1,-17.588130504836275,-11.81624046787647,15,-11.81624046787647
1157,0.5,0.03,1.0,0.08,-37.88829228949583,-40.477293275340145,15,15,1,-17.582837268033433,-11.816417430585446,15,-11.816417430585446
1080,0.5,0.001,0.0,0.03,-37.88768363821975,-40.477293275340145,15,15,0,-17.579794011653053,-11.795430685134445,15,-11.795430685134445
1082,0.5,0.003,0.0,0.03,-37.88763607121165,-40.477293275340145,15,15,0,-17.579556176612574,-11.795496648716297,15,-11.795496648716297
1165,0.5,0.01,2.0,0.08,-37.88759443793586,-40.477293275340145,15,15,1,-17.579348010233602,-11.713802846756604,15,-11.713802846756604
1090,0.5,0.001,1.0,0.03,-37.88755722490475,-40.477293275340145,15,15,0,-17.579161945078052,-11.795726761568858,15,-11.795726761568858
1092,0.5,0.003,1.0,0.03,-37.88741075643646,-40.477293275340145,15,15,0,-17.578429602736612,-11.795924935729584,15,-11.795924935729584
1100,0.5,0.001,2.0,0.03,-37.88739977198802,-40.477293275340145,15,15,0,-17.578374680494385,-11.796007118599249,15,-11.796007118599249
1049,0.4,0.1,2.0,0.15,-37.88719223140519,-40.477293275340145,15,15,1,-17.577336977580238,-11.816324769529507,15,-11.816324769529507
1084,0.5,0.01,0.0,0.03,-37.88716906021349,-40.477293275340145,15,15,0,-17.57722112162175,-11.796144277759124,15,-11.796144277759124
1102,0.5,0.003,2.0,0.03,-37.886983137068164,-40.477293275340145,15,15,0,-17.576291505895167,-11.796562597165018,15,-11.796562597165018
128,0.1,0.1,0.0,0.15,-37.88680228630358,-40.477293275340145,15,15,0,-17.575387252072222,-11.815284041010067,15,-11.815284041010067
248,0.15,0.1,0.0,0.08,-37.886572826696145,-40.477293275340145,15,15,0,-17.574239954035033,-11.816736763034397,15,-11.816736763034397
98,0.1,0.1,0.0,0.1,-37.88633363369599,-40.477293275340145,15,15,0,-17.573043989034247,-11.816718228043255,15,-11.816718228043255
1094,0.5,0.01,1.0,0.03,-37.886314575004384,-40.477293275340145,15,15,0,-17.572948695576255,-11.79740828566802,15,-11.79740828566802
939,0.4,0.1,0.0,0.05,-37.88593568229195,-40.477293275340145,15,15,1,-17.571054232014088,-11.816133897611058,15,-11.816133897611058
1110,0.5,0.001,0.0,0.05,-37.88592496188558,-40.477293275340145,15,15,0,-17.571000629982162,-11.735690363902462,15,-11.735690363902462
