config_id,max_mode,mean_delta,mean_kappa,mean_source_retention,mean_target_retention,median_delta,nonharm,nuisance_lambda,response_lambda,retention_power,rho,ridge_tau,rows,wins,worst_delta
23934,8,-22.020377803770604,0.04224158960410765,0.038752736603382305,0.5684267618035307,-16.054003282713857,15,0.07,20.0,0.5,0.0,0.05,15,15,-6.481576625343521
24060,12,-22.0200600108159,0.042239636015137055,0.03874681814939541,0.5682327523443399,-16.052756098812328,15,0.07,20.0,0.5,0.0,0.05,15,15,-6.481485090467376
24186,16,-22.020042452314968,0.042239460336185614,0.03874646576528821,0.5681990191968722,-16.052651010406883,15,0.07,20.0,0.5,0.0,0.05,15,15,-6.481484961399464
23542,8,-22.00083556707532,0.04205410460938933,0.035872594395301924,0.5428523595973527,-15.856905710104973,15,0.05,20.0,0.5,0.5,0.03,15,15,-6.446348937985769
23668,12,-22.00019598902708,0.04205314936471693,0.03586431704684089,0.5425810248170395,-15.855658466444478,15,0.05,20.0,0.5,0.5,0.03,15,15,-6.445859730130077
23794,16,-22.000155987100506,0.04205298813247884,0.0358638238263175,0.5425338090714406,-15.855529941144953,15,0.05,20.0,0.5,0.5,0.03,15,15,-6.4458399096681385
23555,8,-21.99357893654804,0.043152269479964395,0.035872594395301924,0.5428523595973527,-16.27172193634936,15,0.05,20.0,0.25,0.75,0.05,15,15,-6.170949836770556
23681,12,-21.992884332450092,0.04315147494320967,0.03586431704684089,0.5425810248170395,-16.270512842147088,15,0.05,20.0,0.25,0.75,0.05,15,15,-6.169767001911353
23807,16,-21.99284810901158,0.04315132056533848,0.0358638238263175,0.5425338090714406,-16.270385174643554,15,0.05,20.0,0.25,0.75,0.05,15,15,-6.169718018809212
23176,8,-21.954534354696406,0.04275706261113351,0.0340453626364087,0.5265047700849724,-15.99900967132446,15,0.04,20.0,0.25,0.5,0.05,15,15,-6.14035873473272
23302,12,-21.9535272534112,0.04275577485188463,0.03403502521635951,0.5261659056010803,-15.997200268230715,15,0.04,20.0,0.25,0.5,0.05,15,15,-6.138676894938988
23428,16,-21.953474700713162,0.04275554211627773,0.03403440881886796,0.5261068975746535,-15.997011300631092,15,0.04,20.0,0.25,0.5,0.05,15,15,-6.138607877636093
23147,8,-21.926957104248526,0.04334305905216584,0.0340453626364087,0.5265047700849724,-16.225769214513942,15,0.04,20.0,0.5,0.75,0.02,15,15,-5.9675509817928685
23273,12,-21.92565041270503,0.04334404177029209,0.03403502521635951,0.5261659056010803,-16.22479240860264,15,0.04,20.0,0.5,0.75,0.02,15,15,-5.965147468560527
23399,16,-21.92558296792802,0.04334394224763631,0.03403440881886796,0.5261068975746535,-16.22465194718935,15,0.04,20.0,0.5,0.75,0.02,15,15,-5.9650358427793755
24313,8,-21.92218565585494,0.04472629391695298,0.04209379248112243,0.5961411946057514,-17.100982609694114,15,0.1,20.0,0.5,0.2,0.05,15,15,-5.232600814708343
24439,12,-21.92207851416805,0.04472507217386331,0.04208964637512356,0.5960052833757576,-17.100215629026206,15,0.1,20.0,0.5,0.2,0.05,15,15,-5.233824681422005
