config_id,curvature_lambda,curvature_mode,curvature_tau,mean_delta,mean_step_curvature_coef,mean_step_primary_coef,median_delta,nonharm,rows,shrink_curvature,signed_curvature_coef,step_fit_start_step,step_lambda,step_max_mode,step_nuisance_lambda,step_rho,wins,worst_delta
11197,10.0,signed_d2_lr,0.003,-37.530973471456385,0.018702484406347662,0.04073728894221205,-40.477293275340145,15,15,1,0,3000,20.0,8,0.01,0.35,15,-10.801466736917275
11533,10.0,signed_d2_lr,0.003,-37.5283461783014,0.01865918675370171,0.04072902078503118,-40.477293275340145,15,15,1,0,3000,20.0,12,0.01,0.35,15,-10.831329611881024
11869,10.0,signed_d2_lr,0.003,-37.52761240209755,0.018649505538208835,0.040727147872719534,-40.477293275340145,15,15,1,0,3000,20.0,16,0.01,0.35,15,-10.834074675190774
12373,10.0,signed_d2_lr,0.003,-37.16589905744602,0.013831464598601635,0.041453236925103804,-40.477293275340145,15,15,1,0,3000,20.0,8,0.015,0.75,15,-9.419100631772736
12709,10.0,signed_d2_lr,0.003,-37.16558817664365,0.013808882131747439,0.04145109977444192,-40.477293275340145,15,15,1,0,3000,20.0,12,0.015,0.75,15,-9.432901819869045
13045,10.0,signed_d2_lr,0.003,-37.16528110544646,0.01380388263233159,0.04145027878287932,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-9.434202832881233
11174,4.0,signed_d2_lr,0.01,-37.11518850472154,0.013029509562451093,0.0407357041649585,-40.477293275340145,15,15,1,0,3000,20.0,8,0.01,0.35,15,-10.414989874212532
11510,4.0,signed_d2_lr,0.01,-37.111994770525456,0.012983214590814897,0.040727428937669174,-40.477293275340145,15,15,1,0,3000,20.0,12,0.01,0.35,15,-10.444962263197343
11846,4.0,signed_d2_lr,0.01,-37.111379986867966,0.012975166516528906,0.04072555615895589,-40.477293275340145,15,15,1,0,3000,20.0,16,0.01,0.35,15,-10.447750182395865
12350,4.0,signed_d2_lr,0.01,-36.92133958420036,0.010298944559424258,0.04145195654907642,-40.477293275340145,15,15,1,0,3000,20.0,8,0.015,0.75,15,-9.25113916099043
12686,4.0,signed_d2_lr,0.01,-36.920731465445485,0.010274782380509134,0.04144981569493524,-40.477293275340145,15,15,1,0,3000,20.0,12,0.015,0.75,15,-9.265004645811004
13022,4.0,signed_d2_lr,0.01,-36.920485503017154,0.010270623142312382,0.04144899477758193,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-9.266328367319165
13056,14.0,signed_d2_lr,0.001,-36.89029015412414,0.02710733655150404,0.04145055223243425,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-9.045298593448237
12720,14.0,signed_d2_lr,0.001,-36.88948244195503,0.027118725210986714,0.04145137331550816,-40.477293275340145,15,15,1,0,3000,20.0,12,0.015,0.75,15,-9.043923526525944
12384,14.0,signed_d2_lr,0.001,-36.883951118804006,0.027168771670225623,0.041453510562718315,-40.477293275340145,15,15,1,0,3000,20.0,8,0.015,0.75,15,-9.029562369858024
11785,10.0,signed_d2_lr,0.003,-36.88272417648152,0.020980693730484945,0.045818041356809475,-40.477293275340145,15,15,1,0,3000,20.0,16,0.01,0.2,15,-8.123266255555961
11449,10.0,signed_d2_lr,0.003,-36.8824467577251,0.020991585097914427,0.04582014838316008,-40.477293275340145,15,15,1,0,3000,20.0,12,0.01,0.2,15,-8.120178059332483
11113,10.0,signed_d2_lr,0.003,-36.878068879704514,0.02104029495714112,0.04582945005998856,-40.477293275340145,15,15,1,0,3000,20.0,8,0.01,0.2,15,-8.08658232499896
13033,7.0,signed_d2_lr,0.003,-36.62463702194406,0.039272621585663,0.041449650518183216,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.8776961647887935
12697,7.0,signed_d2_lr,0.003,-36.62370358190044,0.03928724487778988,0.04145047178144648,-40.477293275340145,15,15,1,0,3000,20.0,12,0.015,0.75,15,-6.8717259034186124
12361,7.0,signed_d2_lr,0.003,-36.61775443029309,0.03935465966421309,0.04145261526529193,-40.477293275340145,15,15,1,0,3000,20.0,8,0.015,0.75,15,-6.837719872205916
11281,10.0,signed_d2_lr,0.003,-36.52858887697392,0.016832235965712896,0.036663560047990845,-40.477293275340145,15,15,1,0,3000,20.0,8,0.01,0.5,15,-11.264588496208317
