estimator,train_curve,train_label,test_curve,test_label,mean_delta_pct,wins,tests,mean_kappa,max_kappa
amp_cap_tau_0p03_c_1p0,cosine_72000.csv,Cosine,cosine_72000.csv,Cosine,-0.0002105798220760254,3,3,1.4261305136109012e-06,1.8882660783551719e-06
amp_cap_tau_0p03_c_1p0,cosine_72000.csv,Cosine,wsd_20000_24000.csv,WSD sharp,-0.0011032011447401995,3,3,1.4261305136109012e-06,1.8882660783551719e-06
amp_cap_tau_0p03_c_1p0,cosine_72000.csv,Cosine,wsdld_20000_24000.csv,WSD linear,-0.0009219943879331302,3,3,1.4261305136109012e-06,1.8882660783551719e-06
amp_cap_tau_0p03_c_1p0,cosine_72000.csv,Cosine,wsdcon_3.csv,WSD-con 3e-5,-0.0032141453544576315,3,3,1.4261305136109012e-06,1.8882660783551719e-06
amp_cap_tau_0p03_c_1p0,cosine_72000.csv,Cosine,wsdcon_9.csv,WSD-con 9e-5,-0.0012494735286231833,3,3,1.4261305136109012e-06,1.8882660783551719e-06
amp_cap_tau_0p03_c_1p0,cosine_72000.csv,Cosine,wsdcon_18.csv,WSD-con 18e-5,-0.0011737819203124407,3,3,1.4261305136109012e-06,1.8882660783551719e-06
amp_cap_tau_0p03_c_1p0,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,-0.21260802458121417,3,3,0.001439063110624995,0.0017752369783525256
amp_cap_tau_0p03_c_1p0,wsd_20000_24000.csv,WSD sharp,wsd_20000_24000.csv,WSD sharp,-1.1354874484386435,3,3,0.001439063110624995,0.0017752369783525256
amp_cap_tau_0p03_c_1p0,wsd_20000_24000.csv,WSD sharp,wsdld_20000_24000.csv,WSD linear,-0.9398539241217326,3,3,0.001439063110624995,0.0017752369783525256
amp_cap_tau_0p03_c_1p0,wsd_20000_24000.csv,WSD sharp,wsdcon_3.csv,WSD-con 3e-5,-3.470346914024821,3,3,0.001439063110624995,0.0017752369783525256
amp_cap_tau_0p03_c_1p0,wsd_20000_24000.csv,WSD sharp,wsdcon_9.csv,WSD-con 9e-5,-1.4506129236303862,3,3,0.001439063110624995,0.0017752369783525256
amp_cap_tau_0p03_c_1p0,wsd_20000_24000.csv,WSD sharp,wsdcon_18.csv,WSD-con 18e-5,-1.1510944251285737,3,3,0.001439063110624995,0.0017752369783525256
amp_cap_tau_0p03_c_1p0,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,-0.21649919152771924,3,3,0.0014578507825035883,0.0015901299139493483
amp_cap_tau_0p03_c_1p0,wsdld_20000_24000.csv,WSD linear,wsd_20000_24000.csv,WSD sharp,-1.1646309916866289,3,3,0.0014578507825035883,0.0015901299139493483
amp_cap_tau_0p03_c_1p0,wsdld_20000_24000.csv,WSD linear,wsdld_20000_24000.csv,WSD linear,-0.9603338886604584,3,3,0.0014578507825035883,0.0015901299139493483
