scale,train_family,lambda,kappa
25,Cosine decay,10.0,0.4814157232423704
25,WSD sharp,10.0,0.04769636075258369
25,WSD linear,10.0,0.0510121945505036
25,WSD-con step,10.0,0.017738466523894558
100,Cosine decay,10.0,0.5358652541815775
100,WSD sharp,10.0,0.07542027714846399
100,WSD linear,10.0,0.07879446245039477
100,WSD-con step,10.0,0.020195301411305173
400,Cosine decay,10.0,0.3423761046470629
400,WSD sharp,10.0,0.10121370162592605
400,WSD linear,10.0,0.1016427946242594
400,WSD-con step,10.0,0.03469206327068293
