scale,curve,base_mae,corr_mae,delta_pct,win,mode,train_family,test_family,train_curves,lambda,kappa
25,cosine_72000.csv,0.00744534704076948,0.004345099768276944,-41.64006399589031,1,fixed10_per_scale_nonnegative,Cosine decay,Cosine decay,cosine_72000,10.0,0.4814157232423704
100,cosine_72000.csv,0.007265129575917493,0.00371242056060038,-48.900834846685456,1,fixed10_per_scale_nonnegative,Cosine decay,Cosine decay,cosine_72000,10.0,0.5358652541815775
400,cosine_72000.csv,0.005612615040270773,0.004266571104636405,-23.9824738731668,1,fixed10_per_scale_nonnegative,Cosine decay,Cosine decay,cosine_72000,10.0,0.3423761046470629
25,wsd_20000_24000.csv,0.003408385839825258,0.015470415375954455,353.89272526574035,0,fixed10_per_scale_nonnegative,Cosine decay,WSD sharp,cosine_72000,10.0,0.4814157232423704
100,wsd_20000_24000.csv,0.0037480705220761528,0.01572215569304798,319.4733156818798,0,fixed10_per_scale_nonnegative,Cosine decay,WSD sharp,cosine_72000,10.0,0.5358652541815775
400,wsd_20000_24000.csv,0.004701998914275349,0.009194826033613436,95.55142825953847,0,fixed10_per_scale_nonnegative,Cosine decay,WSD sharp,cosine_72000,10.0,0.3423761046470629
25,wsdld_20000_24000.csv,0.0031360955249893426,0.011536787902402356,267.87106165847933,0,fixed10_per_scale_nonnegative,Cosine decay,WSD linear,cosine_72000,10.0,0.4814157232423704
100,wsdld_20000_24000.csv,0.003248313740665229,0.011567670933998962,256.11310536863334,0,fixed10_per_scale_nonnegative,Cosine decay,WSD linear,cosine_72000,10.0,0.5358652541815775
400,wsdld_20000_24000.csv,0.0038535563963712593,0.007085840617648275,83.87795295589106,0,fixed10_per_scale_nonnegative,Cosine decay,WSD linear,cosine_72000,10.0,0.3423761046470629
25,wsdcon_3.csv,0.004487187642230267,0.10072641545471428,2144.756036202895,0,fixed10_per_scale_nonnegative,Cosine decay,WSD-con step,cosine_72000,10.0,0.4814157232423704
25,wsdcon_9.csv,0.002926482771138891,0.033443252243333756,1042.7797413725673,0,fixed10_per_scale_nonnegative,Cosine decay,WSD-con step,cosine_72000,10.0,0.4814157232423704
25,wsdcon_18.csv,0.002504818961791151,0.010249793640630406,309.2029722300155,0,fixed10_per_scale_nonnegative,Cosine decay,WSD-con step,cosine_72000,10.0,0.4814157232423704
100,wsdcon_3.csv,0.0056693997340904675,0.1055497541558105,1761.7447896843998,0,fixed10_per_scale_nonnegative,Cosine decay,WSD-con step,cosine_72000,10.0,0.5358652541815775
100,wsdcon_9.csv,0.004934623402238123,0.034933977309715133,607.9360360888057,0,fixed10_per_scale_nonnegative,Cosine decay,WSD-con step,cosine_72000,10.0,0.5358652541815775
100,wsdcon_18.csv,0.0013816404339982303,0.010355449778304738,649.5039609066625,0,fixed10_per_scale_nonnegative,Cosine decay,WSD-con step,cosine_72000,10.0,0.5358652541815775
400,wsdcon_3.csv,0.008173606778800102,0.0642349586144753,685.8826629766631,0,fixed10_per_scale_nonnegative,Cosine decay,WSD-con step,cosine_72000,10.0,0.3423761046470629
400,wsdcon_9.csv,0.006687305974578527,0.023924814494396526,257.76461530765243,0,fixed10_per_scale_nonnegative,Cosine decay,WSD-con step,cosine_72000,10.0,0.3423761046470629
400,wsdcon_18.csv,0.0025579541942073844,0.007767964176311729,203.67878337707035,0,fixed10_per_scale_nonnegative,Cosine decay,WSD-con step,cosine_72000,10.0,0.3423761046470629
