cap_name,cap_saturation_rate,cosine_to_wsd,estimator,max_cosine_kappa,max_kappa,mean_offdiag,median_offdiag,rho,worst_offdiag,wsdcon9_to_wsd
cap_0p02,0.8333333333333334,-11.603705268995194,orth_deg2_rho_0p0_cap_0p02,0.02,0.02,-13.008341202222727,-11.10467904281492,0.0,-2.8259939188046737,-15.285791858485922
cap_0p02,0.6666666666666666,-9.883926368851697,orth_deg2_rho_0p25_cap_0p02,0.02,0.02,-12.783321679966926,-11.10467904281492,0.25,-2.7291783618668393,-14.708863596643633
cap_0p03,0.3888888888888889,-10.222245377195708,orth_deg2_rho_0p25_cap_0p03,0.021228131554663247,0.03,-12.764911702064,-10.77877469322613,0.25,-0.9772535589153737,-16.923395402237748
cap_0p04,0.1111111111111111,-4.272656284804155,orth_deg2_rho_0p5_cap_0p04,0.008872855850635438,0.04,-12.470485122420126,-10.263684853636654,0.5,-2.7249185632545228,-15.977747413000229
cap_0p03,0.16666666666666666,-4.272656284804155,orth_deg2_rho_0p5_cap_0p03,0.008872855850635438,0.03,-12.380937891269303,-10.616074666716884,0.5,-2.7249185632545228,-15.907041112523409
cap_0p05,0.05555555555555555,-4.272656284804155,orth_deg2_rho_0p5_cap_0p05,0.008872855850635438,0.05,-12.155884252726622,-9.984551704002955,0.5,-2.7249185632545228,-15.977747413000229
none,0.0,-4.272656284804155,orth_deg2_rho_0p5_none,0.008872855850635438,0.05271901553143667,-12.078853252037236,-9.984551704002955,0.5,-2.7249185632545228,-15.977747413000229
cap_0p02,0.5,-4.272656284804155,orth_deg2_rho_0p5_cap_0p02,0.008872855850635438,0.02,-11.654170403062317,-11.114731191416801,0.5,-2.4527501017362785,-13.692509306929296
cap_0p04,0.0,-1.7858690585537351,orth_deg2_rho_0p75_cap_0p04,0.003708643445299414,0.035688816624451995,-11.312971431779184,-9.980613827813134,0.75,-1.445960350554202,-14.426110484780713
cap_0p05,0.0,-1.7858690585537351,orth_deg2_rho_0p75_cap_0p05,0.003708643445299414,0.035688816624451995,-11.312971431779184,-9.980613827813134,0.75,-1.445960350554202,-14.426110484780713
none,0.0,-1.7858690585537351,orth_deg2_rho_0p75_none,0.003708643445299414,0.035688816624451995,-11.312971431779184,-9.980613827813134,0.75,-1.445960350554202,-14.426110484780713
cap_0p03,0.1111111111111111,-1.7858690585537351,orth_deg2_rho_0p75_cap_0p03,0.003708643445299414,0.03,-11.234700069752998,-10.074984357424174,0.75,-1.445960350554202,-14.426110484780713
cap_0p02,0.3333333333333333,-1.7858690585537351,orth_deg2_rho_0p75_cap_0p02,0.003708643445299414,0.02,-10.446716981893738,-9.821070888376694,0.75,-1.445960350554202,-12.776843698240532
cap_0p03,0.0,-0.7464509386449417,orth_deg2_rho_1p0_cap_0p03,0.0015501250596083218,0.025349176121368444,-9.54992752424516,-8.521772637421797,1.0,-0.6043771550578447,-13.025405551021583
cap_0p04,0.0,-0.7464509386449417,orth_deg2_rho_1p0_cap_0p04,0.0015501250596083218,0.025349176121368444,-9.54992752424516,-8.521772637421797,1.0,-0.6043771550578447,-13.025405551021583
cap_0p05,0.0,-0.7464509386449417,orth_deg2_rho_1p0_cap_0p05,0.0015501250596083218,0.025349176121368444,-9.54992752424516,-8.521772637421797,1.0,-0.6043771550578447,-13.025405551021583
none,0.0,-0.7464509386449417,orth_deg2_rho_1p0_none,0.0015501250596083218,0.025349176121368444,-9.54992752424516,-8.521772637421797,1.0,-0.6043771550578447,-13.025405551021583
cap_0p02,0.2222222222222222,-0.7464509386449417,orth_deg2_rho_1p0_cap_0p02,0.0015501250596083218,0.02,-9.135175720950507,-8.414401985977218,1.0,-0.6043771550578447,-11.951871575780439
cap_0p03,0.6111111111111112,-17.377593783834996,orth_deg2_rho_0p0_cap_0p03,0.03,0.03,-12.167360958575212,-10.864181985935591,0.0,1.7537399756701284,-18.05153785042842
cap_0p04,0.2222222222222222,-10.222245377195708,orth_deg2_rho_0p25_cap_0p04,0.021228131554663247,0.04,-11.981981947754372,-10.277224650819974,0.25,3.911217134846656,-17.687827678047324
cap_0p05,0.1111111111111111,-10.222245377195708,orth_deg2_rho_0p25_cap_0p05,0.021228131554663247,0.05,-11.4309834388365,-9.828567477673662,0.25,7.366696186916639,-17.687827678047324
cap_0p04,0.3888888888888889,-21.366631049294284,orth_deg2_rho_0p0_cap_0p04,0.04,0.04,-9.46269919028833,-7.556958260902132,0.0,12.090604955810306,-19.578342465392282
none,0.0,-10.222245377195708,orth_deg2_rho_0p25_none,0.021228131554663247,0.0778757846708664,-9.634080809264155,-9.735359836677658,0.25,22.596580483818006,-17.687827678047324
cap_0p05,0.2777777777777778,-24.12137672014208,orth_deg2_rho_0p0_cap_0p05,0.05,0.05,-7.115769425749721,-7.455402017762362,0.0,32.352254323986074,-19.578342465392282
none,0.0,-24.337893373475747,orth_deg2_rho_0p0_none,0.0507878835053786,0.11503700850572161,-0.8260007415570934,-9.113220964539952,0.0,100.06539935351971,-19.578342465392282
