cap_name,estimator,max_kappa,mean_delta_pct,mean_kappa,rho,test_curve,test_label,tests,train_curve,train_label,wins
cap_0p02,orth_deg2_rho_0p0_cap_0p02,0.02,-2.059520681244846,0.013333333333333334,0.0,cosine_72000.csv,Cosine,3,cosine_72000.csv,Cosine,2
cap_0p02,orth_deg2_rho_0p0_cap_0p02,0.02,-11.603705268995194,0.013333333333333334,0.0,wsd_20000_24000.csv,WSD sharp,3,cosine_72000.csv,Cosine,2
cap_0p02,orth_deg2_rho_0p0_cap_0p02,0.02,-9.340709383006606,0.013333333333333334,0.0,wsdld_20000_24000.csv,WSD linear,3,cosine_72000.csv,Cosine,2
cap_0p02,orth_deg2_rho_0p0_cap_0p02,0.02,-19.35287418405803,0.013333333333333334,0.0,wsdcon_3.csv,WSD-con 3e-5,3,cosine_72000.csv,Cosine,2
cap_0p02,orth_deg2_rho_0p0_cap_0p02,0.02,-8.51452295875405,0.013333333333333334,0.0,wsdcon_9.csv,WSD-con 9e-5,3,cosine_72000.csv,Cosine,2
cap_0p02,orth_deg2_rho_0p0_cap_0p02,0.02,-9.238443069456784,0.013333333333333334,0.0,wsdcon_18.csv,WSD-con 18e-5,3,cosine_72000.csv,Cosine,2
cap_0p02,orth_deg2_rho_0p0_cap_0p02,0.02,-2.950687959558374,0.02,0.0,cosine_72000.csv,Cosine,3,wsd_20000_24000.csv,WSD sharp,3
cap_0p02,orth_deg2_rho_0p0_cap_0p02,0.02,-16.03276888018341,0.02,0.0,wsd_20000_24000.csv,WSD sharp,3,wsd_20000_24000.csv,WSD sharp,3
cap_0p02,orth_deg2_rho_0p0_cap_0p02,0.02,-13.223458558269561,0.02,0.0,wsdld_20000_24000.csv,WSD linear,3,wsd_20000_24000.csv,WSD sharp,3
cap_0p02,orth_deg2_rho_0p0_cap_0p02,0.02,-28.70332211018044,0.02,0.0,wsdcon_3.csv,WSD-con 3e-5,3,wsd_20000_24000.csv,WSD sharp,3
cap_0p02,orth_deg2_rho_0p0_cap_0p02,0.02,-10.825454450421551,0.02,0.0,wsdcon_9.csv,WSD-con 9e-5,3,wsd_20000_24000.csv,WSD sharp,3
cap_0p02,orth_deg2_rho_0p0_cap_0p02,0.02,-11.10467904281492,0.02,0.0,wsdcon_18.csv,WSD-con 18e-5,3,wsd_20000_24000.csv,WSD sharp,3
cap_0p02,orth_deg2_rho_0p0_cap_0p02,0.02,-2.950687959558374,0.02,0.0,cosine_72000.csv,Cosine,3,wsdld_20000_24000.csv,WSD linear,3
cap_0p02,orth_deg2_rho_0p0_cap_0p02,0.02,-16.03276888018341,0.02,0.0,wsd_20000_24000.csv,WSD sharp,3,wsdld_20000_24000.csv,WSD linear,3
cap_0p02,orth_deg2_rho_0p0_cap_0p02,0.02,-13.223458558269561,0.02,0.0,wsdld_20000_24000.csv,WSD linear,3,wsdld_20000_24000.csv,WSD linear,3
cap_0p02,orth_deg2_rho_0p0_cap_0p02,0.02,-28.70332211018044,0.02,0.0,wsdcon_3.csv,WSD-con 3e-5,3,wsdld_20000_24000.csv,WSD linear,3
cap_0p02,orth_deg2_rho_0p0_cap_0p02,0.02,-10.825454450421551,0.02,0.0,wsdcon_9.csv,WSD-con 9e-5,3,wsdld_20000_24000.csv,WSD linear,3
cap_0p02,orth_deg2_rho_0p0_cap_0p02,0.02,-11.10467904281492,0.02,0.0,wsdcon_18.csv,WSD-con 18e-5,3,wsdld_20000_24000.csv,WSD linear,3
cap_0p02,orth_deg2_rho_0p0_cap_0p02,0.02,-2.950687959558374,0.02,0.0,cosine_72000.csv,Cosine,3,wsdcon_3.csv,WSD-con 3e-5,3
cap_0p02,orth_deg2_rho_0p0_cap_0p02,0.02,-16.03276888018341,0.02,0.0,wsd_20000_24000.csv,WSD sharp,3,wsdcon_3.csv,WSD-con 3e-5,3
cap_0p02,orth_deg2_rho_0p0_cap_0p02,0.02,-13.223458558269561,0.02,0.0,wsdld_20000_24000.csv,WSD linear,3,wsdcon_3.csv,WSD-con 3e-5,3
cap_0p02,orth_deg2_rho_0p0_cap_0p02,0.02,-28.70332211018044,0.02,0.0,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
cap_0p02,orth_deg2_rho_0p0_cap_0p02,0.02,-10.825454450421551,0.02,0.0,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
cap_0p02,orth_deg2_rho_0p0_cap_0p02,0.02,-11.10467904281492,0.02,0.0,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
cap_0p02,orth_deg2_rho_0p0_cap_0p02,0.02,-2.8259939188046737,0.019182856579909546,0.0,cosine_72000.csv,Cosine,3,wsdcon_9.csv,WSD-con 9e-5,3
cap_0p02,orth_deg2_rho_0p0_cap_0p02,0.02,-15.285791858485922,0.019182856579909546,0.0,wsd_20000_24000.csv,WSD sharp,3,wsdcon_9.csv,WSD-con 9e-5,3
cap_0p02,orth_deg2_rho_0p0_cap_0p02,0.02,-12.639266028809063,0.019182856579909546,0.0,wsdld_20000_24000.csv,WSD linear,3,wsdcon_9.csv,WSD-con 9e-5,3
cap_0p02,orth_deg2_rho_0p0_cap_0p02,0.02,-29.429739375808712,0.019182856579909546,0.0,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
cap_0p02,orth_deg2_rho_0p0_cap_0p02,0.02,-12.146842993481366,0.019182856579909546,0.0,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
cap_0p02,orth_deg2_rho_0p0_cap_0p02,0.02,-10.437194848542042,0.019182856579909546,0.0,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
cap_0p02,orth_deg2_rho_0p0_cap_0p02,0.02,-2.8666315853759783,0.01946231658103123,0.0,cosine_72000.csv,Cosine,3,wsdcon_18.csv,WSD-con 18e-5,3
cap_0p02,orth_deg2_rho_0p0_cap_0p02,0.02,-15.588414558976288,0.01946231658103123,0.0,wsd_20000_24000.csv,WSD sharp,3,wsdcon_18.csv,WSD-con 18e-5,3
cap_0p02,orth_deg2_rho_0p0_cap_0p02,0.02,-12.854507738627563,0.01946231658103123,0.0,wsdld_20000_24000.csv,WSD linear,3,wsdcon_18.csv,WSD-con 18e-5,3
cap_0p02,orth_deg2_rho_0p0_cap_0p02,0.02,-28.68971752615434,0.01946231658103123,0.0,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
cap_0p02,orth_deg2_rho_0p0_cap_0p02,0.02,-11.021160307175174,0.01946231658103123,0.0,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
cap_0p02,orth_deg2_rho_0p0_cap_0p02,0.02,-11.134619309857575,0.01946231658103123,0.0,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
cap_0p03,orth_deg2_rho_0p0_cap_0p03,0.03,-3.089281021867333,0.02,0.0,cosine_72000.csv,Cosine,3,cosine_72000.csv,Cosine,2
