eval_region,train_family,test_family,lambda,fit_min_step,base_mae,corr_mae,delta_pct,wins,tests,mean_kappa
full,Cosine decay,Cosine decay,10.0,5000,0.006774363885652582,0.0041079880666552784,-39.359796196428384,3,3,0.4532961111947285
after5k,Cosine decay,Cosine decay,10.0,5000,0.006737499379038653,0.003956499010282775,-41.27644712529366,3,3,0.4532961111947285
full,Cosine decay,WSD sharp,10.0,5000,0.003952818425392253,0.013464895611704929,240.64037764063895,0,3,0.4532961111947285
after5k,Cosine decay,WSD sharp,10.0,5000,0.004159169740343654,0.015153721924327712,264.34487819378165,0,3,0.4532961111947285
full,Cosine decay,WSD-con step,10.0,5000,0.0043692244325636825,0.0434713325771606,894.9439139168549,0,9,0.4532961111947285
after5k,Cosine decay,WSD-con step,10.0,5000,0.004846228539084866,0.055182432884741825,1038.6675729321291,0,9,0.4532961111947285
full,WSD sharp,Cosine decay,10.0,5000,0.006774363885652582,0.006087374310252163,-10.141019688289754,3,3,0.07477677984232457
after5k,WSD sharp,Cosine decay,10.0,5000,0.006737499379038653,0.006020301573928996,-10.64486636304508,3,3,0.07477677984232457
full,WSD sharp,WSD sharp,10.0,5000,0.003952818425392253,0.0019131794067970408,-51.59961321503936,3,3,0.07477677984232457
after5k,WSD sharp,WSD sharp,10.0,5000,0.004159169740343654,0.0018020873790755949,-56.67194436438903,3,3,0.07477677984232457
full,WSD sharp,WSD-con step,10.0,5000,0.0043692244325636825,0.007480070890289203,71.19905387648404,1,9,0.07477677984232457
after5k,WSD sharp,WSD-con step,10.0,5000,0.004846228539084866,0.00881572672152197,81.90901750553185,1,9,0.07477677984232457
full,WSD-con step,Cosine decay,10.0,5000,0.006774363885652582,0.006545911417601639,-3.3723087792018713,3,3,0.024208610401960883
after5k,WSD-con step,Cosine decay,10.0,5000,0.006737499379038653,0.0064989876302472445,-3.5400633881088495,3,3,0.024208610401960883
full,WSD-con step,WSD sharp,10.0,5000,0.003952818425392253,0.003199469608571433,-19.058523204137867,3,3,0.024208610401960883
after5k,WSD-con step,WSD sharp,10.0,5000,0.004159169740343654,0.0032885516845403673,-20.932496391247348,3,3,0.024208610401960883
full,WSD-con step,WSD-con step,10.0,5000,0.0043692244325636825,0.0034551590779458804,-20.92054021773988,9,9,0.024208610401960883
after5k,WSD-con step,WSD-con step,10.0,5000,0.004846228539084866,0.0036714936171920987,-24.24018827049782,9,9,0.024208610401960883
