estimator,scale,train_curve,train_label,tau,sigma,k0,reliable_n
current_smooth_cap,25,cosine_72000.csv,Cosine,nan,nan,nan,0
current_smooth_cap,100,cosine_72000.csv,Cosine,nan,nan,nan,0
current_smooth_cap,400,cosine_72000.csv,Cosine,nan,nan,nan,0
current_smooth_cap,25,wsd_20000_24000.csv,WSD sharp,nan,nan,nan,0
current_smooth_cap,100,wsd_20000_24000.csv,WSD sharp,nan,nan,nan,0
current_smooth_cap,400,wsd_20000_24000.csv,WSD sharp,nan,nan,nan,0
current_smooth_cap,25,wsdld_20000_24000.csv,WSD linear,nan,nan,nan,0
current_smooth_cap,100,wsdld_20000_24000.csv,WSD linear,nan,nan,nan,0
current_smooth_cap,400,wsdld_20000_24000.csv,WSD linear,nan,nan,nan,0
current_smooth_cap,25,wsdcon_3.csv,WSD-con 3e-5,nan,nan,nan,0
current_smooth_cap,100,wsdcon_3.csv,WSD-con 3e-5,nan,nan,nan,0
current_smooth_cap,400,wsdcon_3.csv,WSD-con 3e-5,nan,nan,nan,0
current_smooth_cap,25,wsdcon_9.csv,WSD-con 9e-5,nan,nan,nan,0
current_smooth_cap,100,wsdcon_9.csv,WSD-con 9e-5,nan,nan,nan,0
current_smooth_cap,400,wsdcon_9.csv,WSD-con 9e-5,nan,nan,nan,0
current_smooth_cap,25,wsdcon_18.csv,WSD-con 18e-5,nan,nan,nan,0
current_smooth_cap,100,wsdcon_18.csv,WSD-con 18e-5,nan,nan,nan,0
current_smooth_cap,400,wsdcon_18.csv,WSD-con 18e-5,nan,nan,nan,0
fixed_map_tau_0p03,25,cosine_72000.csv,Cosine,0.03,nan,nan,0
fixed_map_tau_0p03,100,cosine_72000.csv,Cosine,0.03,nan,nan,0
fixed_map_tau_0p03,400,cosine_72000.csv,Cosine,0.03,nan,nan,0
fixed_map_tau_0p03,25,wsd_20000_24000.csv,WSD sharp,0.03,nan,nan,0
fixed_map_tau_0p03,100,wsd_20000_24000.csv,WSD sharp,0.03,nan,nan,0
fixed_map_tau_0p03,400,wsd_20000_24000.csv,WSD sharp,0.03,nan,nan,0
fixed_map_tau_0p03,25,wsdld_20000_24000.csv,WSD linear,0.03,nan,nan,0
fixed_map_tau_0p03,100,wsdld_20000_24000.csv,WSD linear,0.03,nan,nan,0
fixed_map_tau_0p03,400,wsdld_20000_24000.csv,WSD linear,0.03,nan,nan,0
fixed_map_tau_0p03,25,wsdcon_3.csv,WSD-con 3e-5,0.03,nan,nan,0
