bootstrap,full_kappa,kappa,retention,scale,subset_n,tau,train_curve,train_label
0,0.0060004790851013465,0.01203020019754721,0.01264262430161057,25,547,0.030898198785299612,cosine_72000.csv,Cosine
1,0.0060004790851013465,0.023521746894116412,0.01411575522765409,25,551,0.030898198785299612,cosine_72000.csv,Cosine
2,0.0060004790851013465,0.015529136296943793,0.043475180748634414,25,547,0.030898198785299612,cosine_72000.csv,Cosine
3,0.0060004790851013465,0.00515445504784529,0.047323951100799434,25,543,0.030898198785299612,cosine_72000.csv,Cosine
4,0.0060004790851013465,0.010179914541536291,0.026720755088853264,25,547,0.030898198785299612,cosine_72000.csv,Cosine
5,0.0060004790851013465,0.0,0.01273406757578197,25,546,0.030898198785299612,cosine_72000.csv,Cosine
6,0.0060004790851013465,0.0021230134392725155,0.028890196891699495,25,543,0.030898198785299612,cosine_72000.csv,Cosine
7,0.0060004790851013465,0.0024887815397751176,0.032506380062892984,25,546,0.030898198785299612,cosine_72000.csv,Cosine
8,0.0060004790851013465,0.008636210523215995,0.03491525890504003,25,548,0.030898198785299612,cosine_72000.csv,Cosine
9,0.0060004790851013465,0.0,0.023634187582819495,25,545,0.030898198785299612,cosine_72000.csv,Cosine
10,0.0060004790851013465,0.0,0.020898840979537495,25,547,0.030898198785299612,cosine_72000.csv,Cosine
11,0.0060004790851013465,0.0,0.04453534573675577,25,545,0.030898198785299612,cosine_72000.csv,Cosine
12,0.0060004790851013465,0.011319074745741547,0.006068720784754664,25,545,0.030898198785299612,cosine_72000.csv,Cosine
13,0.0060004790851013465,0.0,0.0252360140451365,25,544,0.030898198785299612,cosine_72000.csv,Cosine
14,0.0060004790851013465,0.003992562555744399,0.02383113610892405,25,548,0.030898198785299612,cosine_72000.csv,Cosine
15,0.0060004790851013465,0.00738198199235945,0.03565119012398841,25,548,0.030898198785299612,cosine_72000.csv,Cosine
16,0.0060004790851013465,0.0,0.028528706950848713,25,547,0.030898198785299612,cosine_72000.csv,Cosine
17,0.0060004790851013465,0.007426083616424297,0.015849601769411574,25,548,0.030898198785299612,cosine_72000.csv,Cosine
18,0.0060004790851013465,0.01611186180907298,0.011502788024559294,25,548,0.030898198785299612,cosine_72000.csv,Cosine
19,0.0060004790851013465,0.004772869951851709,0.012814238474407368,25,548,0.030898198785299612,cosine_72000.csv,Cosine
20,0.0060004790851013465,0.0,0.02507042190474795,25,543,0.030898198785299612,cosine_72000.csv,Cosine
21,0.0060004790851013465,0.013122676375287046,0.05487536561653886,25,550,0.030898198785299612,cosine_72000.csv,Cosine
22,0.0060004790851013465,0.0019576555669112796,0.03263866615089331,25,547,0.030898198785299612,cosine_72000.csv,Cosine
23,0.0060004790851013465,0.004123144808286378,0.03134165529943061,25,544,0.030898198785299612,cosine_72000.csv,Cosine
24,0.0060004790851013465,0.009240622943123876,0.004791605936795349,25,548,0.030898198785299612,cosine_72000.csv,Cosine
25,0.0060004790851013465,0.0,0.022592971657951235,25,542,0.030898198785299612,cosine_72000.csv,Cosine
26,0.0060004790851013465,0.013844765770133289,0.0316509286683518,25,546,0.030898198785299612,cosine_72000.csv,Cosine
27,0.0060004790851013465,0.013478119662915379,0.01768452115759819,25,545,0.030898198785299612,cosine_72000.csv,Cosine
28,0.0060004790851013465,0.0,0.03650784392984817,25,550,0.030898198785299612,cosine_72000.csv,Cosine
29,0.0060004790851013465,0.013677262975038572,0.03659460867630223,25,547,0.030898198785299612,cosine_72000.csv,Cosine
30,0.0060004790851013465,0.0026317155203209783,0.011676764103253377,25,546,0.030898198785299612,cosine_72000.csv,Cosine
31,0.0060004790851013465,0.0,0.028456826165617222,25,546,0.030898198785299612,cosine_72000.csv,Cosine
32,0.0060004790851013465,0.0,0.032946790083532414,25,545,0.030898198785299612,cosine_72000.csv,Cosine
33,0.0060004790851013465,0.0,0.03514749886253812,25,546,0.030898198785299612,cosine_72000.csv,Cosine
34,0.0060004790851013465,0.021306399764848955,0.011924191399118315,25,549,0.030898198785299612,cosine_72000.csv,Cosine
35,0.0060004790851013465,0.0,0.01032278204359095,25,549,0.030898198785299612,cosine_72000.csv,Cosine
36,0.0060004790851013465,0.0,0.02524086564444603,25,546,0.030898198785299612,cosine_72000.csv,Cosine
37,0.0060004790851013465,0.02427443316841998,0.01894282540667645,25,548,0.030898198785299612,cosine_72000.csv,Cosine
38,0.0060004790851013465,0.0025062913503877855,0.025085155375563786,25,547,0.030898198785299612,cosine_72000.csv,Cosine
39,0.0060004790851013465,0.006663341366019262,0.041030102337368785,25,544,0.030898198785299612,cosine_72000.csv,Cosine
40,0.0060004790851013465,0.003299405362757946,0.03044828906647055,25,548,0.030898198785299612,cosine_72000.csv,Cosine
