heldout_tests,max_kappa,mean_heldout,mean_kappa,mean_retention,median_heldout,train_id,train_label,train_size,wins,worst_heldout
15,0.027697500098823703,-14.938495056146547,0.022084621257425302,0.8184974485355304,-15.687635511199682,wsdcon_18.csv,WSD-con 18e-5,1,15,-2.597147367007535
15,0.029200123464588616,-14.478245879360195,0.020041562347913763,0.662959989644374,-11.915606889087382,wsdcon_9.csv,WSD-con 9e-5,1,15,-2.0691582495028227
15,0.02620046129192558,-10.173920242426618,0.01876780161304308,0.3631370263303311,-10.689651407775669,wsdcon_3.csv,WSD-con 3e-5,1,15,-1.9969548937943338
15,0.01169129555833696,-7.392444480386473,0.00653260376737982,0.030562906333131776,-6.458443109257816,cosine_72000.csv,Cosine,1,10,0.0
15,0.049636215126269034,-13.310817051463529,0.03150919156010149,0.19050060886546127,-12.46204940299438,wsd_20000_24000.csv,WSD sharp,1,13,0.347496432068195
15,0.05498916147322445,-12.164599173368222,0.03563145595706579,0.2093849274093302,-11.24403942626595,wsdld_20000_24000.csv,WSD linear,1,12,4.307816708249357
12,0.02853376108612842,-17.168520755001857,0.019664294123804996,0.6386781894036854,-13.17153940577062,cosine_72000.csv|wsdcon_9.csv,Cosine + WSD-con 9e-5,2,12,-6.91376145112681
12,0.024625829130071223,-17.537649991415254,0.020050078292566605,0.6767267549233237,-15.363469980400613,cosine_72000.csv|wsdcon_18.csv,Cosine + WSD-con 18e-5,2,12,-5.613845603384404
12,0.026053242420203394,-12.004104140998242,0.018687817608173927,0.36023833778023695,-11.594563474047282,cosine_72000.csv|wsdcon_3.csv,Cosine + WSD-con 3e-5,2,12,-5.430447997317033
12,0.03686141633918186,-16.48568958614106,0.026223435181049543,0.47042403358016477,-18.181590720888025,wsdld_20000_24000.csv|wsdcon_18.csv,WSD linear + WSD-con 18e-5,2,12,-3.1513928044319073
12,0.036625954752036845,-16.05872367518499,0.025334582507945857,0.3876691124300329,-13.77592615586894,wsd_20000_24000.csv|wsdcon_18.csv,WSD sharp + WSD-con 18e-5,2,12,-2.82186268150052
12,0.029735717182950094,-16.16863770352531,0.02093373464342187,0.6869081307180588,-14.336567730155569,wsdcon_9.csv|wsdcon_18.csv,WSD-con 9e-5 + WSD-con 18e-5,2,12,-2.343606451649183
12,0.032715591375587987,-15.665976597783251,0.022201721164979926,0.5743767729008149,-12.721079417825976,wsdld_20000_24000.csv|wsdcon_9.csv,WSD linear + WSD-con 9e-5,2,12,-2.242893304456961
12,0.03275426213914611,-14.885872103758883,0.022056280950436557,0.5285330499373567,-11.542620091563627,wsd_20000_24000.csv|wsdcon_9.csv,WSD sharp + WSD-con 9e-5,2,12,-2.1780616796809427
12,0.026247815809355764,-10.423694926102714,0.01893104531921569,0.38067784759731,-10.674940635205942,wsdcon_3.csv|wsdcon_18.csv,WSD-con 3e-5 + WSD-con 18e-5,2,12,-2.071727336084095
12,0.027448554792468976,-9.922065309830947,0.019505879727914958,0.35533791904266293,-9.532280152707173,wsdld_20000_24000.csv|wsdcon_3.csv,WSD linear + WSD-con 3e-5,2,12,-2.0529995176088223
12,0.027663569989253636,-9.306555611379496,0.019572389286050516,0.3492358423761448,-8.823721623299463,wsd_20000_24000.csv|wsdcon_3.csv,WSD sharp + WSD-con 3e-5,2,12,-2.040234749377623
12,0.02686997707925855,-9.842734097350595,0.01904834574726949,0.4172262922919486,-11.161813518610881,wsdcon_3.csv|wsdcon_9.csv,WSD-con 3e-5 + WSD-con 9e-5,2,12,-2.014288873891401
12,0.04660089822393069,-16.288518411411705,0.02993376703650209,0.1759061702534679,-15.855305420069921,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2,12,-0.6601660655660146
12,0.04990365555792393,-15.944520721248894,0.03284815177557293,0.1841152823170953,-17.258579055333854,cosine_72000.csv|wsdld_20000_24000.csv,Cosine + WSD linear,2,10,1.7812014909862173
12,0.05178643252391149,-10.538281061121447,0.03314891706206661,0.19765713659947096,-5.813423811423441,wsd_20000_24000.csv|wsdld_20000_24000.csv,WSD sharp + WSD linear,2,9,1.7949420509294711
9,0.029158756320174065,-20.34088594591949,0.02059767052404335,0.6654602630273537,-16.982420558077038,cosine_72000.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD-con 9e-5 + WSD-con 18e-5,3,9,-10.830891211535832
9,0.03210860513312195,-19.698746373400937,0.021860411525766243,0.5574470440518638,-15.66843162250965,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_9.csv,Cosine + WSD linear + WSD-con 9e-5,3,9,-6.964355731011141
9,0.03220701204661981,-18.6930638482115,0.021753495530546434,0.5147018100334194,-12.994491853386481,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_9.csv,Cosine + WSD sharp + WSD-con 9e-5,3,9,-6.950131787933145
9,0.026748922800589613,-12.173284252178345,0.018981888333113685,0.414460129814231,-11.687367868321841,cosine_72000.csv|wsdcon_3.csv|wsdcon_9.csv,Cosine + WSD-con 3e-5 + WSD-con 9e-5,3,9,-6.704072504732461
9,0.026106851343092242,-12.945495454223769,0.01885347063705516,0.3777429042323808,-12.371258658695316,cosine_72000.csv|wsdcon_3.csv|wsdcon_18.csv,Cosine + WSD-con 3e-5 + WSD-con 18e-5,3,9,-5.436469659545484
9,0.02730258873012129,-12.262342036435243,0.019426551455497192,0.35264960460815487,-11.513904250914687,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_3.csv,Cosine + WSD linear + WSD-con 3e-5,3,9,-5.351759636415698
9,0.027520786839325677,-11.44277312815046,0.01949518270949889,0.34668017392541867,-10.88876707058618,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_3.csv,Cosine + WSD sharp + WSD-con 3e-5,3,9,-5.342619640825086
