mean_delta_pct,mean_target_factor,mode,non_harm_cells,tests,train_size,wins,worst_delta_pct
-6.376446120207802,1.0,no_predictive_shrinkage,116,144,1,80,32.6431297998754
-5.780483962389917,1.0,no_predictive_shrinkage,262,315,2,172,27.68801009594737
-5.084994745892659,1.0,no_predictive_shrinkage,297,360,3,177,26.292448048222596
-3.753334516973368,1.0,no_predictive_shrinkage,180,225,4,90,21.00906222674841
-1.4395012265148894,1.0,no_predictive_shrinkage,54,72,5,18,16.51481377023858
-6.565144735081972,1.0,rho0p5_shrinkage,126,144,1,90,21.762086533250226
-5.508800546526326,1.0,rho0p5_shrinkage,270,315,2,180,22.150408076758097
-4.8018528396640825,1.0,rho0p5_shrinkage,300,360,3,180,22.53638404133347
-3.6089092110309777,1.0,rho0p5_shrinkage,180,225,4,90,18.6747219793318
-1.4370201892746266,1.0,rho0p5_shrinkage,54,72,5,18,15.013467063853291
-7.469653863709556,0.625,rho0p5_plus_Rtarget_gate,144,144,1,90,0.0
-6.446760580825293,0.5714285714285714,rho0p5_plus_Rtarget_gate,315,315,2,180,0.0
-5.904880122728673,0.5,rho0p5_plus_Rtarget_gate,360,360,3,180,0.0
-4.981780321513362,0.4,rho0p5_plus_Rtarget_gate,225,225,4,90,0.0
-3.144437966455837,0.25,rho0p5_plus_Rtarget_gate,72,72,5,18,0.0
