is_lower_edge,is_upper_edge,kappa,pooled_retention,scale,selected_lambda,train_id,train_label,train_size,within_band
0,0,0.013703333359633963,0.0193948960046347,25,0.025,cosine_72000.csv,Cosine,1,1
0,0,0.024621858654901116,0.0193948960046347,100,0.025,cosine_72000.csv,Cosine,1,1
0,0,0.04339152898551728,0.01949860601860202,400,0.025,cosine_72000.csv,Cosine,1,1
0,0,0.010909916582745333,0.19363028951346634,25,0.025,wsd_20000_24000.csv,WSD sharp,1,1
0,0,0.01815960589314969,0.19560070632069068,100,0.025,wsd_20000_24000.csv,WSD sharp,1,1
0,0,0.032059781729567555,0.1934498952473633,400,0.025,wsd_20000_24000.csv,WSD sharp,1,1
0,0,0.012782087961293407,0.24367405422491062,25,0.025,wsdld_20000_24000.csv,WSD linear,1,1
0,0,0.020929858904824464,0.2460170141173665,100,0.025,wsdld_20000_24000.csv,WSD linear,1,1
0,0,0.03628052616288001,0.24470286758072735,400,0.025,wsdld_20000_24000.csv,WSD linear,1,1
0,0,0.006725602475758705,0.24303548473632608,25,0.025,wsdcon_3.csv,WSD-con 3e-5,1,1
0,0,0.009914506199782415,0.2610431617090627,100,0.025,wsdcon_3.csv,WSD-con 3e-5,1,1
0,0,0.01521201147061758,0.2610431617090627,400,0.025,wsdcon_3.csv,WSD-con 3e-5,1,1
0,0,0.006998725388320618,0.520084044338764,25,0.025,wsdcon_9.csv,WSD-con 9e-5,1,1
0,0,0.01001851663533715,0.5584955389588916,100,0.025,wsdcon_9.csv,WSD-con 9e-5,1,1
0,0,0.017176311666961347,0.5584955389588916,400,0.025,wsdcon_9.csv,WSD-con 9e-5,1,1
0,0,0.011845477237462546,0.7093385120550632,25,0.025,wsdcon_18.csv,WSD-con 18e-5,1,1
0,0,0.009943362553739713,0.7413329414952441,100,0.025,wsdcon_18.csv,WSD-con 18e-5,1,1
0,0,0.016855625656798698,0.7413329414952441,400,0.025,wsdcon_18.csv,WSD-con 18e-5,1,1
0,1,0.013434710664841512,0.19197729025037283,25,0.03,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2,1
0,1,0.022652097282016195,0.19384926235779112,100,0.03,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2,1
0,1,0.039876143566271956,0.1919331977229351,400,0.03,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2,1
0,1,0.015366772979307579,0.22761236368377916,25,0.03,cosine_72000.csv|wsdld_20000_24000.csv,Cosine + WSD linear,2,1
0,1,0.02548457949546632,0.2296648801215847,100,0.03,cosine_72000.csv|wsdld_20000_24000.csv,Cosine + WSD linear,2,1
0,1,0.04416580517843065,0.22935446371134802,400,0.03,cosine_72000.csv|wsdld_20000_24000.csv,Cosine + WSD linear,2,1
1,0,0.0068002228712847005,0.19076892648737584,25,0.01,cosine_72000.csv|wsdcon_3.csv,Cosine + WSD-con 3e-5,2,1
1,0,0.010501442049030243,0.21136142457995724,100,0.01,cosine_72000.csv|wsdcon_3.csv,Cosine + WSD-con 3e-5,2,1
1,0,0.016239978713685443,0.21136191333126755,400,0.01,cosine_72000.csv|wsdcon_3.csv,Cosine + WSD-con 3e-5,2,1
1,0,0.007105474817072655,0.43659592385706447,25,0.01,cosine_72000.csv|wsdcon_9.csv,Cosine + WSD-con 9e-5,2,1
1,0,0.010739399735072775,0.47712250652340843,100,0.01,cosine_72000.csv|wsdcon_9.csv,Cosine + WSD-con 9e-5,2,1
1,0,0.018646168875070368,0.47712380254854203,400,0.01,cosine_72000.csv|wsdcon_9.csv,Cosine + WSD-con 9e-5,2,1
1,0,0.011875526331608785,0.5397184614217317,25,0.01,cosine_72000.csv|wsdcon_18.csv,Cosine + WSD-con 18e-5,2,1
1,0,0.010528825696072783,0.5689759133488765,100,0.01,cosine_72000.csv|wsdcon_18.csv,Cosine + WSD-con 18e-5,2,1
1,0,0.018166043580093858,0.5689805802442433,400,0.01,cosine_72000.csv|wsdcon_18.csv,Cosine + WSD-con 18e-5,2,1
0,1,0.014459573452046435,0.2291946457328386,25,0.03,wsd_20000_24000.csv|wsdld_20000_24000.csv,WSD sharp + WSD linear,2,1
0,1,0.024147818208661048,0.23138087907059665,100,0.03,wsd_20000_24000.csv|wsdld_20000_24000.csv,WSD sharp + WSD linear,2,1
0,1,0.04226500028698868,0.22968872908082785,400,0.03,wsd_20000_24000.csv|wsdld_20000_24000.csv,WSD sharp + WSD linear,2,1
1,0,0.007106173694368373,0.18706902776650536,25,0.01,wsd_20000_24000.csv|wsdcon_3.csv,WSD sharp + WSD-con 3e-5,2,1
1,0,0.010968914846400571,0.20634815498233264,100,0.01,wsd_20000_24000.csv|wsdcon_3.csv,WSD sharp + WSD-con 3e-5,2,1
1,0,0.017206574037338006,0.2061787499518636,400,0.01,wsd_20000_24000.csv|wsdcon_3.csv,WSD sharp + WSD-con 3e-5,2,1
1,0,0.007840085937817756,0.3608838166089629,25,0.01,wsd_20000_24000.csv|wsdcon_9.csv,WSD sharp + WSD-con 9e-5,2,1
1,0,0.011889711428837477,0.3914695015775453,100,0.01,wsd_20000_24000.csv|wsdcon_9.csv,WSD sharp + WSD-con 9e-5,2,1
1,0,0.020765039658527138,0.39036273994597,400,0.01,wsd_20000_24000.csv|wsdcon_9.csv,WSD sharp + WSD-con 9e-5,2,1
0,0,0.011764084285510453,0.319501878701377,25,0.015,wsd_20000_24000.csv|wsdcon_18.csv,WSD sharp + WSD-con 18e-5,2,1
0,0,0.014239868705564354,0.33135870043169513,100,0.015,wsd_20000_24000.csv|wsdcon_18.csv,WSD sharp + WSD-con 18e-5,2,1
0,0,0.024877125416722535,0.3290163786478059,400,0.015,wsd_20000_24000.csv|wsdcon_18.csv,WSD sharp + WSD-con 18e-5,2,1
1,0,0.007140016144534585,0.19066554221787774,25,0.01,wsdld_20000_24000.csv|wsdcon_3.csv,WSD linear + WSD-con 3e-5,2,1
1,0,0.011009385677621643,0.21049832862881596,100,0.01,wsdld_20000_24000.csv|wsdcon_3.csv,WSD linear + WSD-con 3e-5,2,1
1,0,0.017195052356959464,0.21037899665027576,400,0.01,wsdld_20000_24000.csv|wsdcon_3.csv,WSD linear + WSD-con 3e-5,2,1
1,0,0.008073476508772265,0.39648745088215337,25,0.01,wsdld_20000_24000.csv|wsdcon_9.csv,WSD linear + WSD-con 9e-5,2,1
1,0,0.012206487668333819,0.43084474242044973,100,0.01,wsdld_20000_24000.csv|wsdcon_9.csv,WSD linear + WSD-con 9e-5,2,1
1,0,0.02120304043288808,0.4291302197991336,400,0.01,wsdld_20000_24000.csv|wsdcon_9.csv,WSD linear + WSD-con 9e-5,2,1
1,0,0.012047232477957767,0.37298756130366356,25,0.01,wsdld_20000_24000.csv|wsdcon_18.csv,WSD linear + WSD-con 18e-5,2,1
1,0,0.01369288422841718,0.3894712081679725,100,0.01,wsdld_20000_24000.csv|wsdcon_18.csv,WSD linear + WSD-con 18e-5,2,1
1,0,0.02370888588408957,0.3851745196282201,400,0.01,wsdld_20000_24000.csv|wsdcon_18.csv,WSD linear + WSD-con 18e-5,2,1
0,1,0.008408709790937633,0.30519314318168517,25,0.03,wsdcon_3.csv|wsdcon_9.csv,WSD-con 3e-5 + WSD-con 9e-5,2,1
0,1,0.012195046928759124,0.32599190185488136,100,0.03,wsdcon_3.csv|wsdcon_9.csv,WSD-con 3e-5 + WSD-con 9e-5,2,1
0,1,0.01924128086002032,0.32599190185488136,400,0.03,wsdcon_3.csv|wsdcon_9.csv,WSD-con 3e-5 + WSD-con 9e-5,2,1
0,1,0.008713277862525992,0.2724011377425929,25,0.03,wsdcon_3.csv|wsdcon_18.csv,WSD-con 3e-5 + WSD-con 18e-5,2,1
0,1,0.012174448034757836,0.29061154351293444,100,0.03,wsdcon_3.csv|wsdcon_18.csv,WSD-con 3e-5 + WSD-con 18e-5,2,1
0,1,0.018787676531812472,0.29061154351293444,400,0.03,wsdcon_3.csv|wsdcon_18.csv,WSD-con 3e-5 + WSD-con 18e-5,2,1
0,0,0.009703460159303028,0.549223798611966,25,0.025,wsdcon_9.csv|wsdcon_18.csv,WSD-con 9e-5 + WSD-con 18e-5,2,1
0,0,0.012387304302922546,0.5866469635024809,100,0.025,wsdcon_9.csv|wsdcon_18.csv,WSD-con 9e-5 + WSD-con 18e-5,2,1
0,0,0.02119748409137514,0.5866469635024809,400,0.025,wsdcon_9.csv|wsdcon_18.csv,WSD-con 9e-5 + WSD-con 18e-5,2,1
0,1,0.01536071527030903,0.21686724711243965,25,0.03,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv,Cosine + WSD sharp + WSD linear,3,1
0,1,0.02568220752110704,0.21892446484078376,100,0.03,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv,Cosine + WSD sharp + WSD linear,3,1
0,1,0.044935404510232056,0.21753397647502049,400,0.03,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv,Cosine + WSD sharp + WSD linear,3,1
0,0,0.008230052234262476,0.20699746645175376,25,0.015,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_3.csv,Cosine + WSD sharp + WSD-con 3e-5,3,1
0,0,0.01250769068544293,0.2251211021300019,100,0.015,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_3.csv,Cosine + WSD sharp + WSD-con 3e-5,3,1
0,0,0.019594985189253723,0.22493043716839056,400,0.015,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_3.csv,Cosine + WSD sharp + WSD-con 3e-5,3,1
0,0,0.009063769374814993,0.378952713486406,25,0.015,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_9.csv,Cosine + WSD sharp + WSD-con 9e-5,3,1
0,0,0.013633019041278826,0.4080439302034265,100,0.015,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_9.csv,Cosine + WSD sharp + WSD-con 9e-5,3,1
0,0,0.02369948086828398,0.40689468016706687,400,0.015,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_9.csv,Cosine + WSD sharp + WSD-con 9e-5,3,1
0,0,0.012343002996741431,0.2999574648649875,25,0.015,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD-con 18e-5,3,1
0,0,0.015071210934270215,0.3110485981451794,100,0.015,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD-con 18e-5,3,1
0,0,0.026402756980624362,0.3089855044226687,400,0.015,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD-con 18e-5,3,1
1,0,0.007633562398893593,0.189194953064789,25,0.01,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_3.csv,Cosine + WSD linear + WSD-con 3e-5,3,1
1,0,0.011782131337747546,0.2088856616803979,100,0.01,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_3.csv,Cosine + WSD linear + WSD-con 3e-5,3,1
1,0,0.018423692518779188,0.20877013676835438,400,0.01,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_3.csv,Cosine + WSD linear + WSD-con 3e-5,3,1
1,0,0.008556388759973813,0.3845830144421793,25,0.01,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_9.csv,Cosine + WSD linear + WSD-con 9e-5,3,1
1,0,0.01296868195644421,0.4178688669716801,100,0.01,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_9.csv,Cosine + WSD linear + WSD-con 9e-5,3,1
1,0,0.022568234601177708,0.41628029345983064,400,0.01,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_9.csv,Cosine + WSD linear + WSD-con 9e-5,3,1
1,0,0.012453507701681285,0.34204559799413636,25,0.01,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_18.csv,Cosine + WSD linear + WSD-con 18e-5,3,1
1,0,0.014306323843483727,0.3571053190565713,100,0.01,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_18.csv,Cosine + WSD linear + WSD-con 18e-5,3,1
1,0,0.02490339995369055,0.3536675706665465,400,0.01,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_18.csv,Cosine + WSD linear + WSD-con 18e-5,3,1
0,1,0.00901299669983756,0.30313789013516423,25,0.03,cosine_72000.csv|wsdcon_3.csv|wsdcon_9.csv,Cosine + WSD-con 3e-5 + WSD-con 9e-5,3,1
0,1,0.013080999301791534,0.32381429001225254,100,0.03,cosine_72000.csv|wsdcon_3.csv|wsdcon_9.csv,Cosine + WSD-con 3e-5 + WSD-con 9e-5,3,1
0,1,0.020647923455749305,0.3238148900613326,400,0.03,cosine_72000.csv|wsdcon_3.csv|wsdcon_9.csv,Cosine + WSD-con 3e-5 + WSD-con 9e-5,3,1
0,1,0.00934099964515502,0.27026704570871285,25,0.03,cosine_72000.csv|wsdcon_3.csv|wsdcon_18.csv,Cosine + WSD-con 3e-5 + WSD-con 18e-5,3,1
0,1,0.013065940666861581,0.2883569268044143,100,0.03,cosine_72000.csv|wsdcon_3.csv|wsdcon_18.csv,Cosine + WSD-con 3e-5 + WSD-con 18e-5,3,1
0,1,0.020177159386693157,0.2883576545549361,400,0.03,cosine_72000.csv|wsdcon_3.csv|wsdcon_18.csv,Cosine + WSD-con 3e-5 + WSD-con 18e-5,3,1
0,1,0.010649208856801689,0.5448472302116645,25,0.03,cosine_72000.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD-con 9e-5 + WSD-con 18e-5,3,1
0,1,0.013522146670232986,0.5800169583059192,100,0.03,cosine_72000.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD-con 9e-5 + WSD-con 18e-5,3,1
0,1,0.02313841016139568,0.58001899840304,400,0.03,cosine_72000.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD-con 9e-5 + WSD-con 18e-5,3,1
1,0,0.007862387551729851,0.1857776473984918,25,0.01,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv,WSD sharp + WSD linear + WSD-con 3e-5,3,1
1,0,0.012144138891964466,0.20427362790277204,100,0.01,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv,WSD sharp + WSD linear + WSD-con 3e-5,3,1
1,0,0.01922122094480039,0.20401209360633582,400,0.01,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv,WSD sharp + WSD linear + WSD-con 3e-5,3,1
0,0,0.010328720136318654,0.38271339802645127,25,0.02,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_9.csv,WSD sharp + WSD linear + WSD-con 9e-5,3,1
0,0,0.015577481455761818,0.4077662110827998,100,0.02,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_9.csv,WSD sharp + WSD linear + WSD-con 9e-5,3,1
0,0,0.027024291527847237,0.40577516997525565,400,0.02,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_9.csv,WSD sharp + WSD linear + WSD-con 9e-5,3,1
0,1,0.015013651636556723,0.3382197770601832,25,0.03,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_18.csv,WSD sharp + WSD linear + WSD-con 18e-5,3,1
0,1,0.02070819959146354,0.3468638501365297,100,0.03,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_18.csv,WSD sharp + WSD linear + WSD-con 18e-5,3,1
0,1,0.0360832155259567,0.34402181065093407,400,0.03,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_18.csv,WSD sharp + WSD linear + WSD-con 18e-5,3,1
0,1,0.009369103642399637,0.2987391727083196,25,0.03,wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,WSD sharp + WSD-con 3e-5 + WSD-con 9e-5,3,1
0,1,0.01374457324846123,0.3183682262308183,100,0.03,wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,WSD sharp + WSD-con 3e-5 + WSD-con 9e-5,3,1
0,1,0.02193348726411233,0.31814632570253515,400,0.03,wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,WSD sharp + WSD-con 3e-5 + WSD-con 9e-5,3,1
0,1,0.009723401033168141,0.2674686367750579,25,0.03,wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,WSD sharp + WSD-con 3e-5 + WSD-con 18e-5,3,1
0,1,0.013836131966259786,0.28450195186684607,100,0.03,wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,WSD sharp + WSD-con 3e-5 + WSD-con 18e-5,3,1
0,1,0.02171254505847156,0.2842699691298073,400,0.03,wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,WSD sharp + WSD-con 3e-5 + WSD-con 18e-5,3,1
0,1,0.011213531755935468,0.47384250302727504,25,0.03,wsd_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,WSD sharp + WSD-con 9e-5 + WSD-con 18e-5,3,1
0,1,0.01512725236056585,0.501587714621108,100,0.03,wsd_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,WSD sharp + WSD-con 9e-5 + WSD-con 18e-5,3,1
0,1,0.026087058845476397,0.5003078639924065,400,0.03,wsd_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,WSD sharp + WSD-con 9e-5 + WSD-con 18e-5,3,1
0,1,0.00937825300120405,0.30338585650768873,25,0.03,wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,WSD linear + WSD-con 3e-5 + WSD-con 9e-5,3,1
0,1,0.013704803028448833,0.3234446974307834,100,0.03,wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,WSD linear + WSD-con 3e-5 + WSD-con 9e-5,3,1
0,1,0.021812394996471,0.3233141722359515,400,0.03,wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,WSD linear + WSD-con 3e-5 + WSD-con 9e-5,3,1
0,1,0.009737102537345414,0.27189574065127897,25,0.03,wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,WSD linear + WSD-con 3e-5 + WSD-con 18e-5,3,1
0,1,0.013780385304390604,0.28935121095891947,100,0.03,wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,WSD linear + WSD-con 3e-5 + WSD-con 18e-5,3,1
0,1,0.02154419231156874,0.2892477719823821,400,0.03,wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,WSD linear + WSD-con 3e-5 + WSD-con 18e-5,3,1
0,0,0.011084536509290643,0.49760009991132526,25,0.025,wsdld_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,WSD linear + WSD-con 9e-5 + WSD-con 18e-5,3,1
0,0,0.014792590800393163,0.5290968271767431,100,0.025,wsdld_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,WSD linear + WSD-con 9e-5 + WSD-con 18e-5,3,1
0,0,0.0254388864591041,0.5274633269416358,400,0.025,wsdld_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,WSD linear + WSD-con 9e-5 + WSD-con 18e-5,3,1
0,1,0.009318491916245763,0.31847957225814894,25,0.03,wsdcon_3.csv|wsdcon_9.csv|wsdcon_18.csv,WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,3,1
0,1,0.013049517339241638,0.3394461635833354,100,0.03,wsdcon_3.csv|wsdcon_9.csv|wsdcon_18.csv,WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,3,1
0,1,0.020664039200691774,0.3394461635833354,400,0.03,wsdcon_3.csv|wsdcon_9.csv|wsdcon_18.csv,WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,3,1
0,0,0.008846644965156743,0.20643144718308662,25,0.015,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv,Cosine + WSD sharp + WSD linear + WSD-con 3e-5,4,1
0,0,0.013480621216093598,0.22383039813633582,100,0.015,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv,Cosine + WSD sharp + WSD linear + WSD-con 3e-5,4,1
0,0,0.021324563195375765,0.2235610899979305,400,0.015,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv,Cosine + WSD sharp + WSD linear + WSD-con 3e-5,4,1
0,0,0.011186131246000713,0.3913636803295632,25,0.025,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_9.csv,Cosine + WSD sharp + WSD linear + WSD-con 9e-5,4,1
0,0,0.016860265055566342,0.4150765319253828,100,0.025,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_9.csv,Cosine + WSD sharp + WSD linear + WSD-con 9e-5,4,1
0,0,0.029223083132459197,0.41316641745548255,400,0.025,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_9.csv,Cosine + WSD sharp + WSD linear + WSD-con 9e-5,4,1
0,1,0.015431438968378057,0.3234352090261,25,0.03,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD linear + WSD-con 18e-5,4,1
0,1,0.02137382577898893,0.3316772964201325,100,0.03,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD linear + WSD-con 18e-5,4,1
