group,mean_delta_pct,mean_shrink,mean_target_factor,non_harm_cells,rho,tests,wins,worst_delta_pct
main_matrix,-12.634404355703213,1.0,1.0,537,0.0,558,537,13.213719605467444
extra_holdout,0.0,1.0,0.0,558,0.0,558,0,0.0
all,-6.317202177851606,1.0,0.5,1095,0.0,1116,537,13.213719605467444
main_matrix,-12.55545108280328,0.9550040116597849,1.0,543,0.1,558,543,7.9952826683613365
extra_holdout,0.0,0.9614773827835008,0.0,558,0.1,558,0,0.0
all,-6.277725541401639,0.9582406972216428,0.5,1101,0.1,1116,543,7.9952826683613365
main_matrix,-12.412305855024773,0.9147102897102898,1.0,551,0.2,558,551,4.263964935775277
extra_holdout,0.0,0.9264727208275597,0.0,558,0.2,558,0,0.0
all,-6.206152927512386,0.9205915052689245,0.5,1109,0.2,1116,551,4.263964935775277
main_matrix,-12.325229582112204,0.8960619814509757,1.0,553,0.25,558,553,2.7925846570538315
extra_holdout,0.0,0.9101097510964683,0.0,558,0.25,558,0,0.0
all,-6.162614791056102,0.903085866273722,0.5,1111,0.25,1116,553,2.7925846570538315
main_matrix,-12.227997259938695,0.8782991654222178,1.0,554,0.3,558,554,1.4343874766952869
extra_holdout,0.0,0.8944281740105798,0.0,558,0.3,558,0,0.0
all,-6.113998629969347,0.8863636697163989,0.5,1112,0.3,1116,554,1.4343874766952869
main_matrix,-12.124785637584154,0.8613498861564737,1.0,556,0.35,558,556,0.24890184640404822
extra_holdout,0.0,0.8793778989715623,0.0,558,0.35,558,0,0.0
all,-6.062392818792076,0.870363892564018,0.5,1114,0.35,1116,556,0.24890184640404822
main_matrix,-12.016055051598258,0.8451507028357124,1.0,558,0.4,558,558,-0.532446696811828
extra_holdout,0.0,0.8649143919542401,0.0,558,0.4,558,0,0.0
all,-6.008027525799129,0.8550325473949763,0.5,1116,0.4,1116,558,0.0
main_matrix,-11.904743523936492,0.8296453728140941,1.0,558,0.45,558,558,-1.0063736958813796
extra_holdout,0.0,0.8509978478205089,0.0,558,0.45,558,0,0.0
all,-5.952371761968246,0.8403216103173016,0.5,1116,0.45,1116,558,0.0
main_matrix,-11.79106933591719,0.8147837825257179,1.0,558,0.5,558,558,-1.0263101049168721
extra_holdout,0.0,0.8375925150118698,0.0,558,0.5,558,0,0.0
all,-5.895534667958595,0.8261881487687939,0.5,1116,0.5,1116,558,0.0
main_matrix,-11.556656024726578,0.7868169114662803,1.0,558,0.6,558,558,-0.9621657233596093
extra_holdout,0.0,0.8121895052119456,0.0,558,0.6,558,0,0.0
all,-5.778328012363289,0.7995032083391129,0.5,1116,0.6,1116,558,0.0
main_matrix,-11.200030669290449,0.7487084407435777,1.0,558,0.75,558,558,-0.8796943756431252
extra_holdout,0.0,0.77720375144159,0.0,558,0.75,558,0,0.0
all,-5.600015334645224,0.7629560960925839,0.5,1116,0.75,1116,558,0.0
main_matrix,-10.620478231459892,0.6935483870967742,1.0,558,1.0,558,558,-0.7697325786877207
extra_holdout,0.0,0.7258064516129032,0.0,558,1.0,558,0,0.0
all,-5.310239115729946,0.7096774193548387,0.5,1116,1.0,1116,558,0.0
main_matrix,-10.074386296355359,0.646594055322708,1.0,558,1.25,558,558,-0.6842067366114368
extra_holdout,0.0,0.6813492642714654,0.0,558,1.25,558,0,0.0
all,-5.03719314817768,0.6639716597970866,0.5,1116,1.25,1116,558,0.0
main_matrix,-9.57039777541236,0.6060176382757028,1.0,558,1.5,558,558,-0.6157860629501744
extra_holdout,0.0,0.642407055310281,0.0,558,1.5,558,0,0.0
all,-4.785198887706181,0.624212346792992,0.5,1116,1.5,1116,558,0.0
main_matrix,-8.689585336052529,0.5391705069124424,1.0,558,2.0,558,558,-0.5131550524584472
extra_holdout,0.0,0.5771889400921658,0.0,558,2.0,558,0,0.0
all,-4.3447926680262645,0.558179723502304,0.5,1116,2.0,1116,558,0.0
