mean_delta_pct,mean_shrink,non_harm_cells,rho,tests,train_size,wins,worst_delta_pct
-7.778517981498429,1.0,134,0.0,144,1,80,13.213719605467444
-6.97220644027257,1.0,307,0.0,315,2,172,5.552850605051862
-6.3858512156039975,1.0,357,0.0,360,3,177,3.290192828930505
-5.310862677446074,1.0,225,0.0,225,4,90,0.0
-3.330492672471566,1.0,72,0.0,72,5,18,0.0
-7.975563644356167,0.9090909090909091,138,0.1,144,1,84,7.9952826683613365
-6.899651735188764,0.9523809523809523,309,0.1,315,2,174,3.7398319080365505
-6.295010199223617,0.9677419354838707,357,0.1,360,3,177,2.1350078334083866
-5.247737024967722,0.9756097560975613,225,0.1,225,4,90,0.0
-3.2934130624200293,0.9803921568627452,72,0.1,72,5,18,0.0
-7.982346136256451,0.8333333333333333,141,0.2,144,1,87,4.263964935775277
-6.805697779509723,0.9090909090909092,312,0.2,315,2,177,2.091633092568257
-6.201020204313541,0.9375,359,0.2,360,3,179,1.052021900105915
-5.182180144098215,0.9523809523809523,225,0.2,225,4,90,0.0
-3.2563363466994324,0.9615384615384615,72,0.2,72,5,18,0.0
-7.939821942291713,0.7999999999999999,141,0.25,144,1,87,2.7925846570538315
-6.754070604426888,0.8888888888888891,314,0.25,315,2,179,1.3224736453498087
-6.152970011886421,0.9230769230769232,359,0.25,360,3,179,0.5380039180621132
-5.1486649873607835,0.9411764705882354,225,0.25,225,4,90,0.0
-3.237398337483969,0.9523809523809523,72,0.25,72,5,18,0.0
-7.870543154443441,0.7692307692307692,142,0.3,144,1,88,1.4343874766952869
-6.697845212801408,0.8695652173913043,314,0.3,315,2,179,0.586755913227921
-6.103754057983964,0.9090909090909094,359,0.3,360,3,179,0.1343597689635434
-5.115344619214013,0.9302325581395349,225,0.3,225,4,90,0.0
-3.218597424668234,0.9433962264150944,72,0.3,72,5,18,0.0
-7.787132741489245,0.7407407407407406,143,0.35,144,1,89,0.24890184640404822
-6.637628583856796,0.8510638297872343,314,0.35,315,2,179,0.011597201606572405
-6.054366240462382,0.8955223880597016,360,0.35,360,3,180,0.0
-5.082152830889866,0.9195402298850578,225,0.35,225,4,90,0.0
-3.1996393550824562,0.9345794392523368,72,0.35,72,5,18,0.0
-7.68950376646112,0.7142857142857143,144,0.4,144,1,90,0.0
-6.575160045077273,0.8333333333333334,315,0.4,315,2,180,0.0
-6.004129492385397,0.8823529411764709,360,0.4,360,3,180,0.0
-5.048772511028749,0.9090909090909087,225,0.4,225,4,90,0.0
-3.1810323608593625,0.9259259259259258,72,0.4,72,5,18,0.0
-7.583521829468797,0.6896551724137931,144,0.45,144,1,90,0.0
-6.51145974709674,0.8163265306122448,315,0.45,315,2,180,0.0
-5.954358730864025,0.8695652173913045,360,0.45,360,3,180,0.0
-5.0152601476387035,0.8988764044943823,225,0.45,225,4,90,0.0
-3.162600642330918,0.9174311926605504,72,0.45,72,5,18,0.0
-7.469653863709556,0.6666666666666666,144,0.5,144,1,90,0.0
-6.446760580825294,0.7999999999999999,315,0.5,315,2,180,0.0
-5.904880122728673,0.8571428571428571,360,0.5,360,3,180,0.0
-4.981780321513362,0.8888888888888892,225,0.5,225,4,90,0.0
-3.144437966455837,0.9090909090909091,72,0.5,72,5,18,0.0
-7.223006681190924,0.625,144,0.6,144,1,90,0.0
-6.313620068688503,0.769230769230769,315,0.6,315,2,180,0.0
-5.80542853096365,0.8333333333333334,360,0.6,360,3,180,0.0
-4.91534170938403,0.8695652173913044,225,0.6,225,4,90,0.0
-3.108397532093594,0.8928571428571429,72,0.6,72,5,18,0.0
-6.8423835235617565,0.5714285714285713,144,0.75,144,1,90,0.0
-6.109890951700203,0.7272727272727274,315,0.75,315,2,180,0.0
-5.656136306227428,0.8,360,0.75,360,3,180,0.0
-4.815855982660644,0.8421052631578946,225,0.75,225,4,90,0.0
-3.0544662492374197,0.8695652173913044,72,0.75,72,5,18,0.0
-6.237636100436158,0.5,144,1.0,144,1,90,0.0
-5.772149991449764,0.6666666666666666,315,1.0,315,2,180,0.0
-5.413632561457045,0.75,360,1.0,360,3,180,0.0
-4.654616888274957,0.8,225,1.0,225,4,90,0.0
-2.9664372972046604,0.8333333333333333,72,1.0,72,5,18,0.0
-5.699464277053738,0.44444444444444453,144,1.25,144,1,90,0.0
-5.449641708103228,0.6153846153846153,315,1.25,315,2,180,0.0
-5.179870120853119,0.7058823529411765,360,1.25,360,3,180,0.0
-4.497111056414711,0.761904761904762,225,1.25,225,4,90,0.0
-2.8825601141333674,0.7999999999999999,72,1.25,72,5,18,0.0
-5.231172568593315,0.39999999999999997,144,1.5,144,1,90,0.0
-5.151649993351885,0.5714285714285713,315,1.5,315,2,180,0.0
-4.958955010496861,0.6666666666666666,360,1.5,360,3,180,0.0
-4.3438337163026635,0.7272727272727272,225,1.5,225,4,90,0.0
-2.8005134854145397,0.7692307692307693,72,1.5,72,5,18,0.0
-4.479874337136861,0.3333333333333333,144,2.0,144,1,90,0.0
-4.630283696739581,0.5,315,2.0,315,2,180,0.0
-4.560282304281023,0.5999999999999999,360,2.0,360,3,180,0.0
-4.05797891635972,0.6666666666666666,225,2.0,225,4,90,0.0
-2.6444508718684787,0.7142857142857143,72,2.0,72,5,18,0.0
