group,mean_delta_pct,mean_target_factor,mode,non_harm_cells,tests,threshold,wins,worst_delta_pct
main_matrix,-11.951446181935287,1.0,threshold_gate,90,90,1.5,90,-1.0263101049168721
extra_holdout,2.4120243430068893,0.3333333333333333,threshold_gate,36,54,1.5,0,21.762086533250226
all,-6.565144735081972,0.75,threshold_gate,126,144,1.5,90,21.762086533250226
main_matrix,-11.57531144628541,0.8333333333333334,threshold_gate,90,90,2.0,75,0.0
extra_holdout,0.0,0.0,threshold_gate,54,54,2.0,0,0.0
all,-7.234569653928383,0.5208333333333334,threshold_gate,144,144,2.0,75,0.0
main_matrix,-11.57531144628541,0.8333333333333334,threshold_gate,90,90,2.5,75,0.0
extra_holdout,0.0,0.0,threshold_gate,54,54,2.5,0,0.0
all,-7.234569653928383,0.5208333333333334,threshold_gate,144,144,2.5,75,0.0
main_matrix,-11.57531144628541,0.8333333333333334,threshold_gate,90,90,3.0,75,0.0
extra_holdout,0.0,0.0,threshold_gate,54,54,3.0,0,0.0
all,-7.234569653928383,0.5208333333333334,threshold_gate,144,144,3.0,75,0.0
main_matrix,-11.57531144628541,0.8333333333333334,threshold_gate,90,90,3.5,75,0.0
extra_holdout,0.0,0.0,threshold_gate,54,54,3.5,0,0.0
all,-7.234569653928383,0.5208333333333334,threshold_gate,144,144,3.5,75,0.0
main_matrix,-11.57531144628541,0.8333333333333334,threshold_gate,90,90,4.0,75,0.0
extra_holdout,0.0,0.0,threshold_gate,54,54,4.0,0,0.0
all,-7.234569653928383,0.5208333333333334,threshold_gate,144,144,4.0,75,0.0
main_matrix,-6.9428688415527136,0.6666666666666666,threshold_gate,90,90,5.0,60,0.0
extra_holdout,0.0,0.0,threshold_gate,54,54,5.0,0,0.0
all,-4.339293025970446,0.4166666666666667,threshold_gate,144,144,5.0,60,0.0
main_matrix,-6.9428688415527136,0.6666666666666666,threshold_gate,90,90,6.0,60,0.0
extra_holdout,0.0,0.0,threshold_gate,54,54,6.0,0,0.0
all,-4.339293025970446,0.4166666666666667,threshold_gate,144,144,6.0,60,0.0
