best_delta_pct,group,mean_delta_pct,mean_target_factor,non_harm_rows,rows,scale,slice,test_label,train_label,train_size,value,wins,worst_delta_pct
-21.872685382051216,,-4.883432871386796,0.5,372,372,100,scale,,,,100,186,0.0
-38.03579152474552,,-6.433184290110669,0.5,372,372,25,scale,,,,25,186,0.0
-38.04263854047187,,-6.369986842378323,0.5,372,372,400,scale,,,,400,186,0.0
-38.028075985815015,,-7.469653863709556,0.625,144,144,,train_size,,,1,1,90,0.0
-38.008591526181704,,-6.446760580825293,0.5714285714285714,315,315,,train_size,,,2,2,180,0.0
-38.04263854047187,,-5.904880122728673,0.5,360,360,,train_size,,,3,3,180,0.0
-38.03579152474552,,-4.981780321513362,0.4,225,225,,train_size,,,4,4,90,0.0
-36.47263273876212,,-3.144437966455837,0.25,72,72,,train_size,,,5,5,18,0.0
0.0,,0.0,0.0,186,186,,target_curve,Constant 24k,,,Constant 24k,0,0.0
0.0,,0.0,0.0,186,186,,target_curve,Constant 72k,,,Constant 72k,0,0.0
-5.452624065449385,,-2.293952324287327,1.0,93,93,,target_curve,Cosine,,,Cosine,93,-1.0263101049168721
0.0,,0.0,0.0,186,186,,target_curve,Cosine 24k,,,Cosine 24k,0,0.0
-25.271763507287393,,-9.859809749085017,1.0,93,93,,target_curve,WSD linear,,,WSD linear,93,-4.808270648528978
-29.190934124907574,,-11.840063631736076,1.0,93,93,,target_curve,WSD sharp,,,WSD sharp,93,-6.148089041587501
-12.552359632942501,,-8.097298042287578,1.0,93,93,,target_curve,WSD-con 18e-5,,,WSD-con 18e-5,93,-2.8390851126907646
-38.04263854047187,,-28.552373320698358,1.0,93,93,,target_curve,WSD-con 3e-5,,,WSD-con 3e-5,93,-16.33314298053866
-24.438942663352027,,-10.102918947408783,1.0,93,93,,target_curve,WSD-con 9e-5,,,WSD-con 9e-5,93,-1.3644864567528114
-36.63872643444116,,-10.772161998483272,0.625,24,24,,train_group,,Cosine,,Cosine,15,0.0
-38.008591526181704,,-9.964216996933889,0.5714285714285714,21,21,,train_group,,Cosine + WSD linear,,Cosine + WSD linear,12,0.0
-35.08418890127836,,-9.055655492795085,0.5,18,18,,train_group,,Cosine + WSD linear + WSD-con 18e-5,,Cosine + WSD linear + WSD-con 18e-5,9,0.0
-13.72102707269418,,-4.278324578557044,0.5,18,18,,train_group,,Cosine + WSD linear + WSD-con 3e-5,,Cosine + WSD linear + WSD-con 3e-5,9,0.0
-17.98464993325808,,-4.464351675455837,0.4,15,15,,train_group,,Cosine + WSD linear + WSD-con 3e-5 + WSD-con 18e-5,,Cosine + WSD linear + WSD-con 3e-5 + WSD-con 18e-5,6,0.0
-15.046987765988785,,-4.091941447395986,0.4,15,15,,train_group,,Cosine + WSD linear + WSD-con 3e-5 + WSD-con 9e-5,,Cosine + WSD linear + WSD-con 3e-5 + WSD-con 9e-5,6,0.0
-15.346605088390842,,-3.0538603351005436,0.25,12,12,,train_group,,Cosine + WSD linear + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,,Cosine + WSD linear + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,3,0.0
-30.74012854889966,,-7.513272562095927,0.5,18,18,,train_group,,Cosine + WSD linear + WSD-con 9e-5,,Cosine + WSD linear + WSD-con 9e-5,9,0.0
-34.63279848943594,,-8.76909852741938,0.4,15,15,,train_group,,Cosine + WSD linear + WSD-con 9e-5 + WSD-con 18e-5,,Cosine + WSD linear + WSD-con 9e-5 + WSD-con 18e-5,6,0.0
-36.86861238961572,,-9.637540756346997,0.5714285714285714,21,21,,train_group,,Cosine + WSD sharp,,Cosine + WSD sharp,12,0.0
-38.00604351480222,,-7.918803007962778,0.5,18,18,,train_group,,Cosine + WSD sharp + WSD linear,,Cosine + WSD sharp + WSD linear,9,0.0
-38.03579152474552,,-8.880507169032338,0.4,15,15,,train_group,,Cosine + WSD sharp + WSD linear + WSD-con 18e-5,,Cosine + WSD sharp + WSD linear + WSD-con 18e-5,6,0.0
-15.83208690519008,,-3.5550216531634273,0.4,15,15,,train_group,,Cosine + WSD sharp + WSD linear + WSD-con 3e-5,,Cosine + WSD sharp + WSD linear + WSD-con 3e-5,6,0.0
-18.87504072105328,,-2.685709225404491,0.25,12,12,,train_group,,Cosine + WSD sharp + WSD linear + WSD-con 3e-5 + WSD-con 18e-5,,Cosine + WSD sharp + WSD linear + WSD-con 3e-5 + WSD-con 18e-5,3,0.0
-11.648601408058902,,-2.2036342219672473,0.25,12,12,,train_group,,Cosine + WSD sharp + WSD linear + WSD-con 3e-5 + WSD-con 9e-5,,Cosine + WSD sharp + WSD linear + WSD-con 3e-5 + WSD-con 9e-5,3,0.0
-36.082611683366906,,-7.884925401198325,0.4,15,15,,train_group,,Cosine + WSD sharp + WSD linear + WSD-con 9e-5,,Cosine + WSD sharp + WSD linear + WSD-con 9e-5,6,0.0
-36.47263273876212,,-7.761353571706714,0.25,12,12,,train_group,,Cosine + WSD sharp + WSD linear + WSD-con 9e-5 + WSD-con 18e-5,,Cosine + WSD sharp + WSD linear + WSD-con 9e-5 + WSD-con 18e-5,3,0.0
-34.929308539720886,,-8.853028186730482,0.5,18,18,,train_group,,Cosine + WSD sharp + WSD-con 18e-5,,Cosine + WSD sharp + WSD-con 18e-5,9,0.0
-14.759065015830931,,-4.24873918359731,0.5,18,18,,train_group,,Cosine + WSD sharp + WSD-con 3e-5,,Cosine + WSD sharp + WSD-con 3e-5,9,0.0
-17.961636720856077,,-4.083497080034663,0.4,15,15,,train_group,,Cosine + WSD sharp + WSD-con 3e-5 + WSD-con 18e-5,,Cosine + WSD sharp + WSD-con 3e-5 + WSD-con 18e-5,6,0.0
-13.263880412628115,,-3.7136064273045744,0.4,15,15,,train_group,,Cosine + WSD sharp + WSD-con 3e-5 + WSD-con 9e-5,,Cosine + WSD sharp + WSD-con 3e-5 + WSD-con 9e-5,6,0.0
-13.525579627321626,,-2.5649385727182845,0.25,12,12,,train_group,,Cosine + WSD sharp + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,,Cosine + WSD sharp + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,3,0.0
-31.81227722293235,,-7.500207601782067,0.5,18,18,,train_group,,Cosine + WSD sharp + WSD-con 9e-5,,Cosine + WSD sharp + WSD-con 9e-5,9,0.0
-34.60385595786876,,-8.274306660499345,0.4,15,15,,train_group,,Cosine + WSD sharp + WSD-con 9e-5 + WSD-con 18e-5,,Cosine + WSD sharp + WSD-con 9e-5 + WSD-con 18e-5,6,0.0
-34.219710564438664,,-7.986071621928716,0.5714285714285714,21,21,,train_group,,Cosine + WSD-con 18e-5,,Cosine + WSD-con 18e-5,12,0.0
-12.270812839556477,,-4.334985438995199,0.5714285714285714,21,21,,train_group,,Cosine + WSD-con 3e-5,,Cosine + WSD-con 3e-5,12,0.0
