best_delta_pct,mean_delta_pct,mean_target_factor,non_harm_rows,rows,scale,train_size,wins,worst_delta_pct
-21.863770312043375,-6.107933935465865,0.625,48,48,100,1,30,0.0
-21.216640079854166,-5.304779210648991,0.5714285714285714,105,105,100,2,60,0.0
-21.872685382051216,-4.9289971483972215,0.5,120,120,100,3,60,0.0
-21.709225012583723,-4.157894661172857,0.4,75,75,100,4,30,0.0
-21.609734277692993,-2.63052603082297,0.25,24,24,100,5,6,0.0
-36.63872643444116,-8.161108207459975,0.625,48,48,25,1,30,0.0
-38.008591526181704,-7.158750757628555,0.5714285714285714,105,105,25,2,60,0.0
-38.00604351480222,-6.4079530086032666,0.5,120,120,25,3,60,0.0
-38.03579152474552,-5.336571125736683,0.4,75,75,25,4,30,0.0
-35.05387584402544,-3.3560557062270084,0.25,24,24,25,5,6,0.0
-38.028075985815015,-8.139919448202827,0.625,48,48,400,1,30,0.0
-36.86861238961572,-6.876751774198335,0.5714285714285714,105,105,400,2,60,0.0
-38.04263854047187,-6.377690211185529,0.5,120,120,400,3,60,0.0
-37.879005481514646,-5.450875177630547,0.4,75,75,400,4,30,0.0
-36.47263273876212,-3.446732162317534,0.25,24,24,400,5,6,0.0
