candidate,mean_delta_pct,mean_kappa,mean_shrink,test_label,tests,train_label,wins,worst_delta_pct
none,-30.651911780458857,0.04085836050002618,1.0,WSD sharp,3,Cosine,3,-18.789985127410482
none,-12.223958459972076,0.01592606007307935,1.0,WSD sharp,3,WSD-con 3e-5,3,-9.222133562381362
none,-13.044272802933,0.01709677684530956,1.0,WSD sharp,3,WSD-con 9e-5,3,-9.596639190341516
none,-15.121978537017258,0.01932223272400048,1.0,WSD sharp,3,WSD-con 18e-5,3,-12.32614572686288
none,-26.45210660008262,0.03499623651449894,1.0,WSD sharp,3,WSD linear,3,-17.526775156579145
train_size_rho0p35,-22.786607694675656,0.030265452222241612,0.7407407407407408,WSD sharp,3,Cosine,3,-13.918507501785593
train_size_rho0p35,-9.054784044423865,0.011797081535614332,0.7407407407407408,WSD sharp,3,WSD-con 3e-5,3,-6.831210046208424
train_size_rho0p35,-9.662424298468823,0.012664279144673747,0.7407407407407408,WSD sharp,3,WSD-con 9e-5,3,-7.108621622475142
train_size_rho0p35,-11.201465582975596,0.014312764980741096,0.7407407407407408,WSD sharp,3,WSD-con 18e-5,3,-9.130478316194768
train_size_rho0p35,-19.625682253178486,0.025923138158888106,0.7407407407407408,WSD sharp,3,WSD linear,3,-12.982796412281028
train_size_rho0p5,-20.52010819426767,0.02723890700001745,0.6666666666666666,WSD sharp,3,Cosine,3,-12.526656751606913
train_size_rho0p5,-8.149305639981364,0.0106173733820529,0.6666666666666666,WSD sharp,3,WSD-con 3e-5,3,-6.148089041587501
train_size_rho0p5,-8.696181868622018,0.011397851230206374,0.6666666666666666,WSD sharp,3,WSD-con 9e-5,3,-6.39775946022767
train_size_rho0p5,-10.081319024678137,0.012881488482666986,0.6666666666666666,WSD sharp,3,WSD-con 18e-5,3,-8.21743048457514
train_size_rho0p5,-17.675275296920265,0.023330824342999296,0.6666666666666666,WSD sharp,3,WSD linear,3,-11.68451677105271
train_size_rho0p75,-17.60603740802878,0.023347634571443527,0.5714285714285714,WSD sharp,3,Cosine,3,-10.737134358520429
train_size_rho0p75,-6.985119119983939,0.009100605756045342,0.5714285714285714,WSD sharp,3,WSD-con 3e-5,3,-5.269790607074853
train_size_rho0p75,-7.453870173104488,0.009769586768748319,0.5714285714285714,WSD sharp,3,WSD-con 9e-5,3,-5.483793823052185
train_size_rho0p75,-8.64113059258131,0.011041275842285989,0.5714285714285714,WSD sharp,3,WSD-con 18e-5,3,-7.043511843921701
train_size_rho0p75,-15.167074847807106,0.01999784943685654,0.5714285714285714,WSD sharp,3,WSD linear,3,-10.015300089474021
