candidate,mean_delta_pct,mean_kappa,test_curve,test_label,tests,train_curve,train_label,wins,worst_delta_pct
train_size_rho0p5,-20.52010819426767,0.02723890700001745,wsd_20000_24000.csv,WSD sharp,3,cosine_72000.csv,Cosine,3,-12.526656751606913
train_size_rho0p5,-17.321243525624407,0.02723890700001745,wsdld_20000_24000.csv,WSD linear,3,cosine_72000.csv,Cosine,3,-9.79679304829898
train_size_rho0p5,-30.23027620246383,0.02723890700001745,wsdcon_3.csv,WSD-con 3e-5,3,cosine_72000.csv,Cosine,3,-19.861906257729988
train_size_rho0p5,-9.806995705556185,0.02723890700001745,wsdcon_9.csv,WSD-con 9e-5,3,cosine_72000.csv,Cosine,3,-2.1666387356599426
train_size_rho0p5,-8.298672359954077,0.02723890700001745,wsdcon_18.csv,WSD-con 18e-5,3,cosine_72000.csv,Cosine,3,-3.5635829621668114
train_size_rho0p5,-2.904588879855711,0.02037643473515419,cosine_72000.csv,Cosine,3,wsd_20000_24000.csv,WSD sharp,3,-1.664825965113248
train_size_rho0p5,-12.977534265903948,0.02037643473515419,wsdld_20000_24000.csv,WSD linear,3,wsd_20000_24000.csv,WSD sharp,3,-7.799722310646828
train_size_rho0p5,-30.62392405929152,0.02037643473515419,wsdcon_3.csv,WSD-con 3e-5,3,wsd_20000_24000.csv,WSD sharp,3,-21.863770312043375
train_size_rho0p5,-10.87971216575668,0.02037643473515419,wsdcon_9.csv,WSD-con 9e-5,3,wsd_20000_24000.csv,WSD sharp,3,-5.211384512918881
train_size_rho0p5,-9.121326977449984,0.02037643473515419,wsdcon_18.csv,WSD-con 18e-5,3,wsd_20000_24000.csv,WSD sharp,3,-6.971412768859153
train_size_rho0p5,-3.3165467648880806,0.023330824342999296,cosine_72000.csv,Cosine,3,wsdld_20000_24000.csv,WSD linear,3,-1.950514631796274
train_size_rho0p5,-17.675275296920265,0.023330824342999296,wsd_20000_24000.csv,WSD sharp,3,wsdld_20000_24000.csv,WSD linear,3,-11.68451677105271
train_size_rho0p5,-31.79973869894754,0.023330824342999296,wsdcon_3.csv,WSD-con 3e-5,3,wsdld_20000_24000.csv,WSD linear,3,-21.826422136014667
train_size_rho0p5,-11.241929368935843,0.023330824342999296,wsdcon_9.csv,WSD-con 9e-5,3,wsdld_20000_24000.csv,WSD linear,3,-4.185289519606861
train_size_rho0p5,-9.376310631137473,0.023330824342999296,wsdcon_18.csv,WSD-con 18e-5,3,wsdld_20000_24000.csv,WSD linear,3,-6.361337455718486
train_size_rho0p5,-1.541387189647318,0.0106173733820529,cosine_72000.csv,Cosine,3,wsdcon_3.csv,WSD-con 3e-5,3,-1.0263101049168721
train_size_rho0p5,-8.149305639981364,0.0106173733820529,wsd_20000_24000.csv,WSD sharp,3,wsdcon_3.csv,WSD-con 3e-5,3,-6.148089041587501
train_size_rho0p5,-6.823709824660928,0.0106173733820529,wsdld_20000_24000.csv,WSD linear,3,wsdcon_3.csv,WSD-con 3e-5,3,-4.808270648528978
train_size_rho0p5,-7.7175068240428,0.0106173733820529,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_3.csv,WSD-con 3e-5,3,-5.309824428120913
train_size_rho0p5,-6.477971758561722,0.0106173733820529,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_3.csv,WSD-con 3e-5,3,-4.59224298800468
train_size_rho0p5,-1.6464354548144324,0.011397851230206374,cosine_72000.csv,Cosine,3,wsdcon_9.csv,WSD-con 9e-5,3,-1.0679879778000445
train_size_rho0p5,-8.696181868622018,0.011397851230206374,wsd_20000_24000.csv,WSD sharp,3,wsdcon_9.csv,WSD-con 9e-5,3,-6.39775946022767
train_size_rho0p5,-7.293931290809304,0.011397851230206374,wsdld_20000_24000.csv,WSD linear,3,wsdcon_9.csv,WSD-con 9e-5,3,-5.003531800023975
train_size_rho0p5,-21.338707872278913,0.011397851230206374,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_9.csv,WSD-con 9e-5,3,-16.413539904449202
train_size_rho0p5,-6.733084186663859,0.011397851230206374,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_9.csv,WSD-con 9e-5,3,-5.053693089086231
train_size_rho0p5,-1.875083780290802,0.012881488482666986,cosine_72000.csv,Cosine,3,wsdcon_18.csv,WSD-con 18e-5,3,-1.5544518836964838
train_size_rho0p5,-10.081319024678137,0.012881488482666986,wsd_20000_24000.csv,WSD sharp,3,wsdcon_18.csv,WSD-con 18e-5,3,-8.21743048457514
train_size_rho0p5,-8.369498211880725,0.012881488482666986,wsdld_20000_24000.csv,WSD linear,3,wsdcon_18.csv,WSD-con 18e-5,3,-6.822995902006623
train_size_rho0p5,-24.980631308999108,0.012881488482666986,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_18.csv,WSD-con 18e-5,3,-16.33314298053866
train_size_rho0p5,-10.724448125174016,0.012881488482666986,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_18.csv,WSD-con 18e-5,3,-5.312375122196222
