candidate,heldout_tests,max_kappa,mean_heldout,mean_kappa,mean_shrink,median_heldout,median_rho,train_id,train_label,train_size,wins,worst_heldout
constant_0p85,15,0.05532419945653453,-15.634706636377246,0.03472960642502226,0.85,-14.271811663588407,0.0,cosine_72000.csv,Cosine,1,12,4.999655075136666
constant_0p85,12,0.04236840253916395,-16.757336328578383,0.026903545327566752,0.85,-14.087530532125886,0.0,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2,12,-2.4969768420875615
constant_0p85,9,0.026182734005785826,-17.61068939296057,0.017789498718013014,0.85,-15.249148330064122,0.0,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD-con 18e-5,3,9,-5.621179991155422
constant_0p85,9,0.01943169364600994,-8.43801573322545,0.013332207347128157,0.85,-6.791790228470451,0.0,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_3.csv,Cosine + WSD sharp + WSD-con 3e-5,3,9,-5.491016723456843
constant_0p85,6,0.021570254404865156,-9.835113971699828,0.01498498464442681,0.85,-8.344396114598002,0.0,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD-con 3e-5 + WSD-con 18e-5,4,6,-5.639490413559156
constant_0p85,6,0.021777671905571557,-8.96782239810817,0.014904590400826844,0.85,-8.476393386587706,0.0,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,Cosine + WSD sharp + WSD-con 3e-5 + WSD-con 9e-5,4,6,-5.935567807984898
constant_0p85,3,0.021713853390472805,-9.592870261966347,0.014941365535685413,0.85,-9.30831125415411,0.0,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,5,3,-6.823882580199125
constant_0p85,9,0.023501985194381618,-14.90993105263215,0.015336544569002663,0.85,-11.581198477170073,0.0,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_9.csv,Cosine + WSD sharp + WSD-con 9e-5,3,9,-6.262316506309784
constant_0p85,6,0.02584629674726997,-20.069880944446147,0.0173056640766981,0.85,-17.83627024387223,0.0,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD-con 9e-5 + WSD-con 18e-5,4,6,-7.922910489531965
constant_0p85,9,0.04456094280598013,-15.980929122748213,0.028420613746933693,0.85,-12.442849627387142,0.0,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv,Cosine + WSD sharp + WSD linear,3,9,-1.5263910426473348
constant_0p85,6,0.03560655966977217,-22.256429176138685,0.02360053136148062,0.85,-22.948409418360438,0.0,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD linear + WSD-con 18e-5,4,6,-4.385717498313769
constant_0p85,6,0.020391613555578076,-8.633542881186948,0.013914020613799571,0.85,-6.970096389650193,0.0,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv,Cosine + WSD sharp + WSD linear + WSD-con 3e-5,4,6,-5.572911278989279
constant_0p85,3,0.02274932593873735,-10.29607149587474,0.015688873208903303,0.85,-7.490350945304947,0.0,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD linear + WSD-con 3e-5 + WSD-con 18e-5,5,3,-5.630255154507124
constant_0p85,3,0.0227640070754365,-8.527482536448405,0.015503278256206482,0.85,-7.828921370161968,0.0,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,Cosine + WSD sharp + WSD linear + WSD-con 3e-5 + WSD-con 9e-5,5,3,-6.122473363348401
constant_0p85,6,0.02794457324541411,-19.299131566781053,0.01825464656959587,0.85,-16.389201949845216,0.0,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_9.csv,Cosine + WSD sharp + WSD linear + WSD-con 9e-5,4,6,-6.844541635219359
constant_0p85,3,0.027989621602267103,-30.104595444976542,0.018601432797250312,0.85,-33.813369941777,0.0,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD linear + WSD-con 9e-5 + WSD-con 18e-5,5,3,-21.216031306599113
constant_0p85,12,0.019301421303849722,-14.652251051985905,0.014368681777753795,0.85,-11.387836911434096,0.0,cosine_72000.csv|wsdcon_18.csv,Cosine + WSD-con 18e-5,2,12,-5.4222928791661795
constant_0p85,12,0.017254977383290782,-8.010850423224387,0.011879332120375138,0.85,-7.130567211460898,0.0,cosine_72000.csv|wsdcon_3.csv,Cosine + WSD-con 3e-5,2,12,-5.072173106967215
constant_0p85,9,0.02000901639180405,-9.856282061262682,0.014076410733740172,0.85,-8.890951324012796,0.0,cosine_72000.csv|wsdcon_3.csv|wsdcon_18.csv,Cosine + WSD-con 3e-5 + WSD-con 18e-5,3,9,-5.578764101640809
constant_0p85,9,0.020475857426951394,-9.35627501249498,0.014128578931744526,0.85,-8.901198239530505,0.0,cosine_72000.csv|wsdcon_3.csv|wsdcon_9.csv,Cosine + WSD-con 3e-5 + WSD-con 9e-5,3,9,-5.688880509854066
constant_0p85,6,0.02052099124153686,-10.039385443902544,0.014239260309924867,0.85,-9.797293205287922,0.0,cosine_72000.csv|wsdcon_3.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,4,6,-6.607745461643311
constant_0p85,12,0.019811554429762266,-12.213270978128635,0.012923911213805594,0.85,-9.96995419862083,0.0,cosine_72000.csv|wsdcon_9.csv,Cosine + WSD-con 9e-5,2,12,-5.3973397198324164
constant_0p85,9,0.02294559007671738,-16.520245417911994,0.015638505880342254,0.85,-13.363795641944165,0.0,cosine_72000.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD-con 9e-5 + WSD-con 18e-5,3,9,-7.549892554523252
constant_0p85,12,0.04692616800208256,-16.89225128009657,0.030110243335509945,0.85,-16.046165387483608,0.0,cosine_72000.csv|wsdld_20000_24000.csv,Cosine + WSD linear,2,12,-0.021045432298694156
constant_0p85,9,0.024695871620743128,-18.0085161587417,0.017077568189899476,0.85,-16.40693795130129,0.0,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_18.csv,Cosine + WSD linear + WSD-con 18e-5,3,9,-5.632686258231178
constant_0p85,9,0.01827016174778936,-8.496693433228968,0.01250801934554172,0.85,-6.91993364007949,0.0,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_3.csv,Cosine + WSD linear + WSD-con 3e-5,3,9,-5.270912268965489
constant_0p85,6,0.021404185951822526,-10.745793237009172,0.014915718648558382,0.85,-10.069199993663924,0.0,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,Cosine + WSD linear + WSD-con 3e-5 + WSD-con 18e-5,4,6,-5.640325651799727
constant_0p85,6,0.02165797455829329,-9.872279555514027,0.014854516147528722,0.85,-9.872810617855077,0.0,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,Cosine + WSD linear + WSD-con 3e-5 + WSD-con 9e-5,4,6,-5.912885762518238
constant_0p85,3,0.02159835880643529,-11.42143765327612,0.014894032621772154,0.85,-11.178261198751994,0.0,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD linear + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,5,3,-8.736976003430874
constant_0p85,9,0.022380165979501227,-14.925429871490982,0.014575287035538587,0.85,-11.438286704540268,0.0,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_9.csv,Cosine + WSD linear + WSD-con 9e-5,3,9,-6.049737405634681
constant_0p85,6,0.02588359579678818,-21.257958565270645,0.017408478282522007,0.85,-18.925851144978225,0.0,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD linear + WSD-con 9e-5 + WSD-con 18e-5,4,6,-10.322796846646053
constant_0p85,15,0.04087622170519863,-14.242939781495098,0.025979954287321597,0.85,-10.943837918685439,0.0,wsd_20000_24000.csv,WSD sharp,1,15,-2.122653105519434
constant_0p85,12,0.02643194575526769,-13.9838402167845,0.018020381936094888,0.85,-9.65896565517253,0.0,wsd_20000_24000.csv|wsdcon_18.csv,WSD sharp + WSD-con 18e-5,2,12,-1.9073679324095205
constant_0p85,12,0.01828198491467163,-6.42937871900812,0.01249558882974621,0.85,-5.815550355286087,0.0,wsd_20000_24000.csv|wsdcon_3.csv,WSD sharp + WSD-con 3e-5,2,12,-1.1521583404043745
constant_0p85,9,0.021531607182984296,-7.272122367924354,0.014964936913583441,0.85,-6.893529280165289,0.0,wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,WSD sharp + WSD-con 3e-5 + WSD-con 18e-5,3,9,-1.471401939684791
constant_0p85,9,0.02175070820357806,-6.691434922070655,0.014890590373449475,0.85,-6.642345622429002,0.0,wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,WSD sharp + WSD-con 3e-5 + WSD-con 9e-5,3,9,-1.417787585383834
constant_0p85,6,0.021689214812052333,-5.870792942294224,0.014929035654017814,0.85,-4.85841514838552,0.0,wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv|wsdcon_18.csv,WSD sharp + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,4,6,-1.45637041181077
constant_0p85,12,0.022062854637185082,-11.122086445051323,0.014341921446418757,0.85,-7.736451944220534,0.0,wsd_20000_24000.csv|wsdcon_9.csv,WSD sharp + WSD-con 9e-5,2,12,-1.2711510851335706
constant_0p85,9,0.02586966668843076,-14.225776384166883,0.017330314756875968,0.85,-10.293607466392773,0.0,wsd_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,WSD sharp + WSD-con 9e-5 + WSD-con 18e-5,3,9,-1.6968972399797888
constant_0p85,12,0.044906562804925464,-12.901021478606623,0.028642305481475717,0.85,-7.384093770019163,0.0,wsd_20000_24000.csv|wsdld_20000_24000.csv,WSD sharp + WSD linear,2,12,-1.3835129030789206
constant_0p85,9,0.035782522063240396,-15.97732414520928,0.023735563732564607,0.85,-7.5781056915047,0.0,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_18.csv,WSD sharp + WSD linear + WSD-con 18e-5,3,9,-2.2719536162731924
constant_0p85,9,0.019061044103593723,-6.061851682807497,0.012966949831196862,0.85,-5.497962462250349,0.0,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv,WSD sharp + WSD linear + WSD-con 3e-5,3,9,-1.1897824901703768
constant_0p85,6,0.022716898964828796,-6.277814343660881,0.015672410795668838,0.85,-4.328682275546808,0.0,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,WSD sharp + WSD linear + WSD-con 3e-5 + WSD-con 18e-5,4,6,-1.5210325626078713
constant_0p85,6,0.02274103159381287,-5.380078483433761,0.015491604168874197,0.85,-4.574061149612385,0.0,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,WSD sharp + WSD linear + WSD-con 3e-5 + WSD-con 9e-5,4,6,-1.4622815702058811
constant_0p85,3,0.022622864501417487,-2.2356889442239054,0.015491905760895305,0.85,-2.195746002577903,0.0,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv|wsdcon_18.csv,WSD sharp + WSD linear + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,5,3,-1.4965731055936904
constant_0p85,9,0.02679908909844851,-13.427720859717589,0.017496468559087215,0.85,-8.366713999835284,0.0,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_9.csv,WSD sharp + WSD linear + WSD-con 9e-5,3,9,-1.5630023683274707
constant_0p85,6,0.028025812609886562,-16.404305251867083,0.018632336291106052,0.85,-12.463366343367843,0.0,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,WSD sharp + WSD linear + WSD-con 9e-5 + WSD-con 18e-5,4,6,-1.779336878790827
constant_0p85,15,0.021490922712418342,-13.415153736032542,0.01642389781540041,0.85,-10.797431519793088,0.0,wsdcon_18.csv,WSD-con 18e-5,1,15,-1.9819261517128428
constant_0p85,15,0.019395314625037418,-7.6425120598354805,0.013537151062117447,0.85,-7.004611895448177,0.0,wsdcon_3.csv,WSD-con 3e-5,1,15,-1.308545383769255
constant_0p85,12,0.019961906315050747,-7.890579700738884,0.014051705026971603,0.85,-7.693123879674441,0.0,wsdcon_3.csv|wsdcon_18.csv,WSD-con 3e-5 + WSD-con 18e-5,2,12,-1.412725918805835
constant_0p85,12,0.020443860913771584,-7.520054724718617,0.014111784142816464,0.85,-7.732520193003733,0.0,wsdcon_3.csv|wsdcon_9.csv,WSD-con 3e-5 + WSD-con 9e-5,2,12,-1.3633448230158884
constant_0p85,9,0.020491838874019345,-7.37195392320013,0.014224482684125897,0.85,-8.447346378590481,0.0,wsdcon_3.csv|wsdcon_9.csv|wsdcon_18.csv,WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,3,9,-1.4101287228337145
constant_0p85,15,0.02189979737537572,-11.290716419304772,0.014532260318513124,0.85,-8.765071112665513,0.0,wsdcon_9.csv,WSD-con 9e-5,1,15,-1.3616846716950515
constant_0p85,12,0.022522326847086084,-12.74481326827749,0.01533125469606692,0.85,-10.150809531774769,0.0,wsdcon_9.csv|wsdcon_18.csv,WSD-con 9e-5 + WSD-con 18e-5,2,12,-1.5732689678247258
constant_0p85,15,0.04625767085767202,-14.504599189725537,0.029746801037324102,0.85,-13.312348701110055,0.0,wsdld_20000_24000.csv,WSD linear,1,15,-0.3984308620679333
constant_0p85,12,0.025190691251845167,-14.392637658000567,0.017513188417456183,0.85,-11.862220611947572,0.0,wsdld_20000_24000.csv|wsdcon_18.csv,WSD linear + WSD-con 18e-5,2,12,-1.9532761195057646
constant_0p85,12,0.01826974312926943,-6.83177316288662,0.012517827521770141,0.85,-6.350171454908715,0.0,wsdld_20000_24000.csv|wsdcon_3.csv,WSD linear + WSD-con 3e-5,2,12,-1.157645380673289
constant_0p85,9,0.021364657375639,-7.875353747887284,0.014895388717342405,0.85,-7.221692475398012,0.0,wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,WSD linear + WSD-con 3e-5 + WSD-con 18e-5,3,9,-1.473475331469587
constant_0p85,9,0.02163062503816707,-7.291636665714512,0.014840440755857616,0.85,-7.596794147153463,0.0,wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,WSD linear + WSD-con 3e-5 + WSD-con 9e-5,3,9,-1.4191721198945184
constant_0p85,6,0.021573420025970187,-6.781236131305847,0.014881683141337356,0.85,-5.807421752654513,0.0,wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv|wsdcon_18.csv,WSD linear + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,4,6,-1.4583501412422373
constant_0p85,12,0.02252823045994358,-11.800405208698672,0.014691897466039596,0.85,-9.279850915995151,0.0,wsdld_20000_24000.csv|wsdcon_9.csv,WSD linear + WSD-con 9e-5,2,12,-1.3089918281918522
constant_0p85,9,0.025226895738611567,-14.728221448984524,0.016962793440238225,0.85,-12.123073076731405,0.0,wsdld_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,WSD linear + WSD-con 9e-5 + WSD-con 18e-5,3,9,-1.677376924456797
none,15,0.06508729347827592,-12.512793488972255,0.04085836050002618,1.0,-16.79036666304492,0.0,cosine_72000.csv,Cosine,1,9,13.213719605467444
none,12,0.04984517945783994,-15.195752153838916,0.03165122979713736,1.0,-14.564870282318253,0.0,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2,10,1.3211854339588491
none,9,0.03080321647739509,-19.269504063393363,0.020928822021191784,1.0,-17.940174505957717,0.0,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD-con 18e-5,3,9,-5.349385796355155
none,9,0.022860816054129342,-9.569450894865776,0.01568494982015077,1.0,-7.84317814666694,0.0,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_3.csv,Cosine + WSD sharp + WSD-con 3e-5,3,9,-5.626539554838638
none,6,0.025376769888076654,-11.222530314919501,0.01762939369932566,1.0,-9.602017259259053,0.0,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD-con 3e-5 + WSD-con 18e-5,4,6,-5.535948953354497
none,6,0.02562079047714301,-10.142147949161583,0.017534812236266874,1.0,-9.972227513632648,0.0,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,Cosine + WSD sharp + WSD-con 3e-5 + WSD-con 9e-5,4,6,-6.571535635586201
none,3,0.02554570987114448,-11.285729719960516,0.01757807710080637,1.0,-10.95095441665218,0.0,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,5,3,-8.028097153175551
none,9,0.027649394346331315,-16.63539660187764,0.018042993610591366,1.0,-11.6063294570665,0.0,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_9.csv,Cosine + WSD sharp + WSD-con 9e-5,3,9,-6.809863001951733
