best_worst_heldout,candidate,mean_heldout,mean_worst_heldout,median_rho,median_shrink,median_worst_heldout,subset_count,train_size,worst_worst_heldout
-2.3316778255444315,none,-12.445628770397485,2.1462634245381085,0.0,1.0,-0.7022136921962074,6,1,13.213719605467444
-6.225502541072803,none,-12.201361270476998,-1.4931968334438794,0.0,1.0,-1.6039350859009982,15,2,5.552850605051862
-8.882226534733274,none,-12.771702431207995,-3.5621413158051602,0.0,1.0,-2.2204209916459328,20,3,3.290192828930505
-12.144466878407012,none,-13.277156693615186,-5.163967488689973,0.0,1.0,-5.544459116558665,15,4,-1.713376955071566
-21.959806440171768,none,-13.321970689886262,-9.029514610522934,0.0,1.0,-7.36797995401749,6,5,-1.7606742418748267
-2.122653105519434,constant_0p85,-12.788437970461779,-0.36226418327130844,0.0,0.85,-1.3351150277321533,6,1,4.999655075136666
-5.4222928791661795,constant_0p85,-11.60950337631902,-2.19288475195972,0.0,0.85,-1.412725918805835,15,2,-0.021045432298694156
-7.549892554523252,constant_0p85,-11.75132017021902,-3.513137785044646,0.0,0.85,-1.9844254281264906,20,3,-1.1897824901703768
-10.322796846646053,constant_0p85,-12.112770992841266,-4.830817627390888,0.0,0.85,-5.639490413559156,15,4,-1.45637041181077
-21.216031306599113,constant_0p85,-12.029691056127676,-8.337698585613055,0.0,0.85,-6.473177971773763,6,5,-1.4965731055936904
-1.9977911581357977,train_size_rho0p25,-12.703715107666746,-0.8961093530537664,0.25,0.8000000000000002,-1.5372676154523313,6,1,2.7925846570538315
-5.644276831197392,train_size_rho0p25,-11.819623557747056,-2.048527535016926,0.25,0.8888888888888888,-1.4773604379670346,15,2,1.3224736453498087
-8.198978339753715,train_size_rho0p25,-12.305940023772841,-3.577198335351042,0.25,0.923076923076923,-2.1550321391419383,20,3,0.5380039180621132
-11.430086473794654,train_size_rho0p25,-12.871662468401956,-5.065049126614527,0.25,0.9411764705882352,-5.618060147877513,15,4,-1.612590075361442
-21.860219440255023,train_size_rho0p25,-12.949593349935876,-8.84627888695946,0.25,0.9523809523809522,-7.101921788740729,6,5,-1.6768326113093424
-2.167238479773703,train_size_rho0p35,-12.45941238638279,-1.303718315103558,0.35,0.7407407407407408,-1.456911034164582,6,1,0.24890184640404822
-5.423530475494875,train_size_rho0p35,-11.615850021749395,-2.189834936607143,0.35,0.851063829787234,-1.4144940363511882,15,2,0.011597201606572405
-7.95423271767155,train_size_rho0p35,-12.108732480924768,-3.558916394220094,0.35,0.8955223880597015,-2.0907028215555847,20,3,-0.2572353010578121
-11.16732586520195,train_size_rho0p35,-12.705382077224668,-5.015492892915249,0.35,0.9195402298850576,-5.623343767643463,15,4,-1.5755190391461893
-21.77071870351064,train_size_rho0p35,-12.798557420329827,-8.76906755909306,0.35,0.9345794392523366,-7.002460792375514,6,5,-1.6454899456775696
-2.1666387356599426,train_size_rho0p5,-11.951446181935289,-1.5717882164971442,0.5,0.6666666666666666,-1.609638924404866,6,1,-1.0263101049168721
-5.364125851714963,train_size_rho0p5,-11.281831016444263,-2.3089807628184627,0.5,0.8000000000000002,-1.5139917527891789,15,2,-1.084384320380627
