alpha,cap,cap_saturated,estimator,kappa,orth_corr,orth_feature_retention,scale,tau,train_curve,train_label
0.0,,0,alpha_0p00_nocap,0.03434651006178162,0.05660829382076779,0.030521552634579834,25,0.030898198785299612,cosine_72000.csv,Cosine
0.0,,0,alpha_0p00_nocap,0.0507878835053786,0.1164218063154714,0.030521552634579834,100,0.030898198785299612,cosine_72000.csv,Cosine
0.0,,0,alpha_0p00_nocap,0.0,-0.06920030328255317,0.03064561373023567,400,0.030898198785299612,cosine_72000.csv,Cosine
0.0,,0,alpha_0p00_nocap,0.03928228833772833,0.6382815799137878,0.18600000963731753,25,0.07351091520805572,wsd_20000_24000.csv,WSD sharp
0.0,,0,alpha_0p00_nocap,0.06059367203137018,0.8664946579254105,0.19446912064096752,100,0.07351091520805572,wsd_20000_24000.csv,WSD sharp
0.0,,0,alpha_0p00_nocap,0.11048438613027745,0.8713709901394882,0.19103269631809874,400,0.07351091520805572,wsd_20000_24000.csv,WSD sharp
0.0,,0,alpha_0p00_nocap,0.044955220254699724,0.6399229454560205,0.20518042801494696,25,0.07506249912819138,wsdld_20000_24000.csv,WSD linear
0.0,,0,alpha_0p00_nocap,0.06356939165689174,0.8680632812390924,0.21295494892368566,100,0.07506249912819138,wsdld_20000_24000.csv,WSD linear
0.0,,0,alpha_0p00_nocap,0.11503700850572161,0.8674836992552977,0.21001940528935797,400,0.07506249912819138,wsdld_20000_24000.csv,WSD linear
0.0,,0,alpha_0p00_nocap,0.021762929163001227,0.8887798661764775,0.3658893468630305,25,0.02145866287055983,wsdcon_3.csv,WSD-con 3e-5
0.0,,0,alpha_0p00_nocap,0.02845907215465939,0.8915096135371119,0.3617608660639815,100,0.02145866287055983,wsdcon_3.csv,WSD-con 3e-5
0.0,,0,alpha_0p00_nocap,0.043818633299580106,0.8746054734974097,0.3617608660639815,400,0.02145866287055983,wsdcon_3.csv,WSD-con 3e-5
0.0,,0,alpha_0p00_nocap,0.017548569739728636,0.7670813357573183,0.6456084819189877,25,0.02145866287055983,wsdcon_9.csv,WSD-con 9e-5
0.0,,0,alpha_0p00_nocap,0.02200096216569719,0.8085129712834455,0.6716357435070672,100,0.02145866287055983,wsdcon_9.csv,WSD-con 9e-5
0.0,,0,alpha_0p00_nocap,0.0369957665765904,0.7978561342066719,0.6716357435070672,400,0.02145866287055983,wsdcon_9.csv,WSD-con 9e-5
0.0,,0,alpha_0p00_nocap,0.024671018887317927,0.6344838213159744,0.801642156408999,25,0.03560141728027274,wsdcon_18.csv,WSD-con 18e-5
0.0,,0,alpha_0p00_nocap,0.018386949743093683,0.599510621488333,0.8269250945987962,100,0.03560141728027274,wsdcon_18.csv,WSD-con 18e-5
0.0,,0,alpha_0p00_nocap,0.03065474283818566,0.5667220505077348,0.8269250945987962,400,0.03560141728027274,wsdcon_18.csv,WSD-con 18e-5
0.0,0.03,1,alpha_0p00_cap_0p03,0.03,0.05660829382076779,0.030521552634579834,25,0.030898198785299612,cosine_72000.csv,Cosine
0.0,0.03,1,alpha_0p00_cap_0p03,0.03,0.1164218063154714,0.030521552634579834,100,0.030898198785299612,cosine_72000.csv,Cosine
0.0,0.03,0,alpha_0p00_cap_0p03,0.0,-0.06920030328255317,0.03064561373023567,400,0.030898198785299612,cosine_72000.csv,Cosine
0.0,0.03,1,alpha_0p00_cap_0p03,0.03,0.6382815799137878,0.18600000963731753,25,0.07351091520805572,wsd_20000_24000.csv,WSD sharp
0.0,0.03,1,alpha_0p00_cap_0p03,0.03,0.8664946579254105,0.19446912064096752,100,0.07351091520805572,wsd_20000_24000.csv,WSD sharp
0.0,0.03,1,alpha_0p00_cap_0p03,0.03,0.8713709901394882,0.19103269631809874,400,0.07351091520805572,wsd_20000_24000.csv,WSD sharp
0.0,0.03,1,alpha_0p00_cap_0p03,0.03,0.6399229454560205,0.20518042801494696,25,0.07506249912819138,wsdld_20000_24000.csv,WSD linear
0.0,0.03,1,alpha_0p00_cap_0p03,0.03,0.8680632812390924,0.21295494892368566,100,0.07506249912819138,wsdld_20000_24000.csv,WSD linear
