heldout_tests,inner_mean,inner_worst,max_kappa,mean_heldout,mean_kappa,mean_retention,median_heldout,rule,selected_lambda,train_id,train_label,train_size,wins,worst_heldout
15,0.0,0.0,0.06508729347827592,-12.512793488972259,0.04085836050002618,0.019429466009290474,-16.79036666304492,fixed_lam0p025,0.025,cosine_72000.csv,Cosine,1,9,13.213719605467444
12,-17.47462750993876,-2.4972389476697776,0.047607484004815175,-15.874156675519844,0.030238544833278525,0.17827620569523003,-15.258973782678929,fixed_lam0p025,0.025,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2,12,-0.13499534713150574
9,-8.483272821968297,-1.5851525148472767,0.03526033449287775,-20.11927515543667,0.023836055907331,0.3405278936610788,-20.536055200757474,fixed_lam0p025,0.025,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD-con 18e-5,3,9,-4.469402215919227
9,-14.28083479325055,-1.6207442568089259,0.024778418888186184,-10.205244445180002,0.017082958760388792,0.24829749700129874,-8.677121560156476,fixed_lam0p025,0.025,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_3.csv,Cosine + WSD sharp + WSD-con 3e-5,3,9,-5.577360203314463
6,-14.126996034601136,-1.6742810119722673,0.024629440076980046,-10.945995816582787,0.01709302279705621,0.26530527602783893,-9.30091807741261,fixed_lam0p025,0.025,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD-con 3e-5 + WSD-con 18e-5,4,6,-5.599536844727837
6,-14.088394972323073,-1.6107002628361178,0.024898888632709677,-9.911920423166123,0.01701206138759485,0.29802640566659044,-9.657024155161897,fixed_lam0p025,0.025,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,Cosine + WSD sharp + WSD-con 3e-5 + WSD-con 9e-5,4,6,-6.48672412163288
3,-13.160781853354301,-1.6565557856815238,0.02483676316856586,-10.954083149944955,0.017064278610182813,0.310805124118316,-10.638260297050717,fixed_lam0p025,0.025,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,5,3,-7.758750896441702
9,-8.193084554631497,-0.13499534713150574,0.030249836538764757,-17.6178218752879,0.01983906661264635,0.4338466907485084,-12.001172336234545,fixed_lam0p025,0.025,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_9.csv,Cosine + WSD sharp + WSD-con 9e-5,3,9,-7.0197865642025015
6,-9.580509199314523,-1.9316786969468924,0.029471666546627185,-21.82448285744161,0.01971844735273479,0.46720029789375567,-19.348346072273934,fixed_lam0p025,0.025,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD-con 9e-5 + WSD-con 18e-5,4,6,-9.009132264021535
9,-16.494661814897547,-2.6693324374791105,0.05021398552678295,-13.302305936694799,0.03205307936001007,0.20200624430045752,-14.1330277115303,fixed_lam0p025,0.025,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv,Cosine + WSD sharp + WSD linear,3,7,1.713542404906776
6,-11.16580775693181,-0.0031480619786194985,0.040006205298216926,-21.75984217921123,0.02657717834161503,0.31358398614551036,-23.064671254815003,fixed_lam0p025,0.025,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD linear + WSD-con 18e-5,4,6,-3.136709172395291
6,-13.121737523035627,-1.68364466375851,0.026168798565391685,-10.022311219949918,0.017921002910293138,0.24813463096048416,-8.497880272825492,fixed_lam0p025,0.025,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv,Cosine + WSD sharp + WSD linear + WSD-con 3e-5,4,6,-5.483642693658108
3,-13.558516483112506,-1.7304428495343749,0.025933286341320947,-11.127891574952214,0.0178739016457278,0.26438409246582134,-7.952000632685219,fixed_lam0p025,0.025,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD linear + WSD-con 3e-5 + WSD-con 18e-5,5,3,-5.511235613056808
3,-13.812729192461125,-1.6610890031699799,0.02598749618520047,-9.032258744502583,0.017675500687811638,0.2959498760063501,-8.889795146215551,fixed_lam0p025,0.025,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,Cosine + WSD sharp + WSD linear + WSD-con 3e-5 + WSD-con 9e-5,5,3,-6.614617484616348
6,-9.645419367886221,1.713542404906776,0.0328759685240166,-20.581439606577796,0.02147605478775985,0.40653554323680946,-16.69598343898476,fixed_lam0p025,0.025,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_9.csv,Cosine + WSD sharp + WSD linear + WSD-con 9e-5,4,6,-6.853439406085515
3,-10.366558589466614,-2.023431321341751,0.031802343019463664,-31.795867497953665,0.02113259051261021,0.4382115464681853,-36.12516721246591,fixed_lam0p025,0.025,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD linear + WSD-con 9e-5 + WSD-con 18e-5,5,3,-21.90767807710313
12,-1.5460306409828206,10.365835088779086,0.024928018789213805,-17.562144779686516,0.018767209173306668,0.6026970837632237,-14.900516415141285,fixed_lam0p025,0.025,cosine_72000.csv|wsdcon_18.csv,Cosine + WSD-con 18e-5,2,12,-5.625582365720893
12,-4.807812899099678,8.495470524451854,0.022867235923047277,-10.385573263490494,0.015949901039637105,0.25298765933961875,-9.721520771685586,fixed_lam0p025,0.025,cosine_72000.csv|wsdcon_3.csv,Cosine + WSD-con 3e-5,2,12,-5.6220159811434245
9,-13.86243062445049,-1.6088801991371415,0.022929313211874122,-11.115425587838798,0.016102201153997697,0.271236156710065,-10.178870459868516,fixed_lam0p025,0.025,cosine_72000.csv|wsdcon_3.csv|wsdcon_18.csv,Cosine + WSD-con 3e-5 + WSD-con 18e-5,3,9,-5.622873444393351
9,-13.773406822300409,-1.5497430250400068,0.02348133261929363,-10.501189090571318,0.016164594625056334,0.3054194603885571,-10.194912682851209,fixed_lam0p025,0.025,cosine_72000.csv|wsdcon_3.csv|wsdcon_9.csv,Cosine + WSD-con 3e-5 + WSD-con 9e-5,3,9,-6.258402947172015
6,-12.886068990786887,-1.6051644903913975,0.023544519144056978,-11.490342179833462,0.01630218373073043,0.318846482407992,-11.227867645097138,fixed_lam0p025,0.025,cosine_72000.csv|wsdcon_3.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,4,6,-7.5183473673636865
12,-0.39724626631534726,13.213719605467444,0.025709856545992327,-15.36314689072038,0.017045147025599398,0.5254851036696119,-12.021918911519913,fixed_lam0p025,0.025,cosine_72000.csv|wsdcon_9.csv,Cosine + WSD-con 9e-5,2,12,-6.581999423979779
9,-8.11877762612686,-1.8509046680291186,0.026442504751352687,-18.387208681801344,0.017979720068070387,0.5560448297987798,-15.400442027280159,fixed_lam0p025,0.025,cosine_72000.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD-con 9e-5 + WSD-con 18e-5,3,9,-8.615892150229499
12,-15.43213740293776,-2.925771947694422,0.052943003421064096,-14.895667728961476,0.033988808824959534,0.21294976341078495,-16.042358164086718,fixed_lam0p025,0.025,cosine_72000.csv|wsdld_20000_24000.csv,Cosine + WSD linear,2,9,3.9180206365500236
