estimator,max_kappa,mean_delta_pct,mean_kappa,test_curve,test_label,tests,train_curve,train_label,wins
dct_low_frequency_G_m1,0.19262848047609585,-17.43018501822377,0.13588295018403815,cosine_72000.csv,Cosine,3,cosine_72000.csv,Cosine,3
dct_low_frequency_G_m1,0.19262848047609585,-9.49567725626207,0.13588295018403815,wsd_20000_24000.csv,WSD sharp,3,cosine_72000.csv,Cosine,3
dct_low_frequency_G_m1,0.19262848047609585,-13.809957799446417,0.13588295018403815,wsdld_20000_24000.csv,WSD linear,3,cosine_72000.csv,Cosine,3
dct_low_frequency_G_m1,0.19262848047609585,304.0081536189173,0.13588295018403815,wsdcon_3.csv,WSD-con 3e-5,3,cosine_72000.csv,Cosine,0
dct_low_frequency_G_m1,0.19262848047609585,125.17270807404448,0.13588295018403815,wsdcon_9.csv,WSD-con 9e-5,3,cosine_72000.csv,Cosine,0
dct_low_frequency_G_m1,0.19262848047609585,77.18245828855088,0.13588295018403815,wsdcon_18.csv,WSD-con 18e-5,3,cosine_72000.csv,Cosine,0
dct_low_frequency_G_m1,0.07813490110816339,-6.469712644653181,0.04744322672416881,cosine_72000.csv,Cosine,3,wsd_20000_24000.csv,WSD sharp,3
dct_low_frequency_G_m1,0.07813490110816339,-34.71008116779447,0.04744322672416881,wsd_20000_24000.csv,WSD sharp,3,wsd_20000_24000.csv,WSD sharp,3
dct_low_frequency_G_m1,0.07813490110816339,-29.729875666238584,0.04744322672416881,wsdld_20000_24000.csv,WSD linear,3,wsd_20000_24000.csv,WSD sharp,3
dct_low_frequency_G_m1,0.07813490110816339,11.71639707422056,0.04744322672416881,wsdcon_3.csv,WSD-con 3e-5,3,wsd_20000_24000.csv,WSD sharp,1
dct_low_frequency_G_m1,0.07813490110816339,7.936590122743432,0.04744322672416881,wsdcon_9.csv,WSD-con 9e-5,3,wsd_20000_24000.csv,WSD sharp,1
dct_low_frequency_G_m1,0.07813490110816339,6.261405906844405,0.04744322672416881,wsdcon_18.csv,WSD-con 18e-5,3,wsd_20000_24000.csv,WSD sharp,1
dct_low_frequency_G_m1,0.0826638167163863,-6.829707376231863,0.05025988767119555,cosine_72000.csv,Cosine,3,wsdld_20000_24000.csv,WSD linear,3
dct_low_frequency_G_m1,0.0826638167163863,-36.49999171342653,0.05025988767119555,wsd_20000_24000.csv,WSD sharp,3,wsdld_20000_24000.csv,WSD linear,3
dct_low_frequency_G_m1,0.0826638167163863,-31.357773927078046,0.05025988767119555,wsdld_20000_24000.csv,WSD linear,3,wsdld_20000_24000.csv,WSD linear,3
dct_low_frequency_G_m1,0.0826638167163863,19.235946688021603,0.05025988767119555,wsdcon_3.csv,WSD-con 3e-5,3,wsdld_20000_24000.csv,WSD linear,1
dct_low_frequency_G_m1,0.0826638167163863,11.156549311590943,0.05025988767119555,wsdcon_9.csv,WSD-con 9e-5,3,wsdld_20000_24000.csv,WSD linear,1
dct_low_frequency_G_m1,0.0826638167163863,8.185166583059944,0.05025988767119555,wsdcon_18.csv,WSD-con 18e-5,3,wsdld_20000_24000.csv,WSD linear,1
dct_low_frequency_G_m1,0.03709697249867526,-3.716763198041795,0.025980630354870003,cosine_72000.csv,Cosine,3,wsdcon_3.csv,WSD-con 3e-5,3
dct_low_frequency_G_m1,0.03709697249867526,-19.923668332055282,0.025980630354870003,wsd_20000_24000.csv,WSD sharp,3,wsdcon_3.csv,WSD-con 3e-5,3
dct_low_frequency_G_m1,0.03709697249867526,-16.70141058059919,0.025980630354870003,wsdld_20000_24000.csv,WSD linear,3,wsdcon_3.csv,WSD-con 3e-5,3
dct_low_frequency_G_m1,0.03709697249867526,-32.08539525535172,0.025980630354870003,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
dct_low_frequency_G_m1,0.03709697249867526,-11.478767894714531,0.025980630354870003,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
dct_low_frequency_G_m1,0.03709697249867526,-9.940243325004795,0.025980630354870003,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
dct_low_frequency_G_m1,0.04090806245810139,-3.9458746185070765,0.027751671395965506,cosine_72000.csv,Cosine,3,wsdcon_9.csv,WSD-con 9e-5,3
dct_low_frequency_G_m1,0.04090806245810139,-21.242167051173862,0.027751671395965506,wsd_20000_24000.csv,WSD sharp,3,wsdcon_9.csv,WSD-con 9e-5,3
dct_low_frequency_G_m1,0.04090806245810139,-17.809607342551868,0.027751671395965506,wsdld_20000_24000.csv,WSD linear,3,wsdcon_9.csv,WSD-con 9e-5,3
dct_low_frequency_G_m1,0.04090806245810139,-31.478969062514107,0.027751671395965506,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
dct_low_frequency_G_m1,0.04090806245810139,-10.44290618194487,0.027751671395965506,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
