basis,cosine_to_wsd,estimator,mean_offdiag,median_offdiag,name,worst_offdiag,wsdcon9_to_wsd
mpl_core3,-24.02118920061733,tangent_map,-12.556513740994781,-12.901956592495075,tangent_map_mpl_core3,-0.9772535589153737,-16.91155440970161
mpl_core3,-24.02118920061733,tangent_map_retention,-12.45571235304677,-12.884436589487056,tangent_map_retention_mpl_core3,-0.9772535589153737,-16.600824627818177
mpl_all7,-4.272656284804155,poly_deg2,-12.380937891269303,-10.616074666716884,poly_deg2_mpl_all7,-2.7249185632545228,-15.907041112523409
mpl_core3,-4.272656284804155,poly_deg2,-12.380937891269303,-10.616074666716884,poly_deg2_mpl_core3,-2.7249185632545228,-15.907041112523409
mpl_ld4,-4.272656284804155,poly_deg2,-12.380937891269303,-10.616074666716884,poly_deg2_mpl_ld4,-2.7249185632545228,-15.907041112523409
mpl_no_L0,-4.272656284804155,poly_deg2,-12.380937891269303,-10.616074666716884,poly_deg2_mpl_no_L0,-2.7249185632545228,-15.907041112523409
mpl_all7,-3.075769616322873,eb_q75,-10.813808424571453,-10.856849642925122,eb_q75_mpl_all7,-0.9772535589153737,-15.44005241312896
mpl_core3,-3.075769616322873,eb_q75,-10.813808424571453,-10.856849642925122,eb_q75_mpl_core3,-0.9772535589153737,-15.44005241312896
mpl_ld4,-3.075769616322873,eb_q75,-10.813808424571453,-10.856849642925122,eb_q75_mpl_ld4,-0.9772535589153737,-15.44005241312896
mpl_no_L0,-3.075769616322873,eb_q75,-10.813808424571453,-10.856849642925122,eb_q75_mpl_no_L0,-0.9772535589153737,-15.44005241312896
mpl_all7,-0.0311438195844486,current_smooth_cap,-10.096944896851548,-10.856849642925122,current_smooth_cap_mpl_all7,-0.02555928890361307,-15.431790755534943
mpl_core3,-0.0311438195844486,current_smooth_cap,-10.096944896851548,-10.856849642925122,current_smooth_cap_mpl_core3,-0.02555928890361307,-15.431790755534943
mpl_ld4,-0.0311438195844486,current_smooth_cap,-10.096944896851548,-10.856849642925122,current_smooth_cap_mpl_ld4,-0.02555928890361307,-15.431790755534943
mpl_no_L0,-0.0311438195844486,current_smooth_cap,-10.096944896851548,-10.856849642925122,current_smooth_cap_mpl_no_L0,-0.02555928890361307,-15.431790755534943
mpl_ld4,-24.02118920061733,tangent_map,-8.962443342823674,-9.350381320308907,tangent_map_mpl_ld4,-0.20515701926943444,-1.2289887977642633
mpl_all7,-24.02118920061733,tangent_map,-8.990663335792387,-9.307606248428996,tangent_map_mpl_all7,-0.1878349788715409,-1.1252214800324862
mpl_no_L0,-24.02118920061733,tangent_map,-8.990663335792387,-9.307606248428996,tangent_map_mpl_no_L0,-0.1878349788715409,-1.1252214800324862
mpl_all7,-24.02118920061733,tangent_map_retention,-8.095964715249824,-7.223435613313756,tangent_map_retention_mpl_all7,-0.0641527502817727,-0.6133235033188337
mpl_no_L0,-24.02118920061733,tangent_map_retention,-8.095964715249824,-7.223435613313756,tangent_map_retention_mpl_no_L0,-0.0641527502817727,-0.6133235033188337
mpl_ld4,-24.02118920061733,tangent_map_retention,-7.992539483032939,-7.141633556062084,tangent_map_retention_mpl_ld4,0.05374600492289083,-0.6709157935183822
