group,mean_delta_pct,mean_peak_to_mean,mean_target_factor,mean_target_retention,mode,non_harm_cells,tests,wins,worst_delta_pct
main_matrix,-11.760941354928594,9.39666505851064,0.9838709677419355,0.32128262505855754,floor_train_relative_gate_0p05,558,558,549,0.0
extra_holdout,0.0,0.6094878128732173,0.0,0.0017650528495065734,floor_train_relative_gate_0p05,558,558,0,0.0
all,-5.880470677464297,5.003076435691928,0.49193548387096775,0.16152383895403205,floor_train_relative_gate_0p05,1116,1116,549,0.0
main_matrix,-11.475754643733813,9.39666505851064,0.8637992831541219,0.32128262505855754,floor_train_relative_gate_0p1,558,558,482,0.0
extra_holdout,0.0,0.6094878128732173,0.0,0.0017650528495065734,floor_train_relative_gate_0p1,558,558,0,0.0
all,-5.737877321866907,5.003076435691928,0.43189964157706096,0.16152383895403205,floor_train_relative_gate_0p1,1116,1116,482,0.0
main_matrix,-11.40874394853597,9.39666505851064,0.8333333333333334,0.32128262505855754,floor_train_relative_gate_0p2,558,558,465,0.0
extra_holdout,0.0,0.6094878128732173,0.0,0.0017650528495065734,floor_train_relative_gate_0p2,558,558,0,0.0
all,-5.704371974267985,5.003076435691928,0.4166666666666667,0.16152383895403205,floor_train_relative_gate_0p2,1116,1116,465,0.0
main_matrix,-10.725065487525619,9.39666505851064,0.7849462365591398,0.32128262505855754,floor_train_relative_gate_0p5,558,558,438,0.0
extra_holdout,0.0,0.6094878128732173,0.0,0.0017650528495065734,floor_train_relative_gate_0p5,558,558,0,0.0
all,-5.362532743762809,5.003076435691928,0.3924731182795699,0.16152383895403205,floor_train_relative_gate_0p5,1116,1116,438,0.0
main_matrix,-9.67056136890162,9.39666505851064,0.6971326164874552,0.32128262505855754,floor_train_relative_gate_1p0,558,558,389,0.0
extra_holdout,0.0,0.6094878128732173,0.0,0.0017650528495065734,floor_train_relative_gate_1p0,558,558,0,0.0
all,-4.83528068445081,5.003076435691928,0.3485663082437276,0.16152383895403205,floor_train_relative_gate_1p0,1116,1116,389,0.0
main_matrix,-11.40874394853597,9.39666505851064,0.8333333333333334,0.32128262505855754,peak_mean_gate,558,558,465,0.0
extra_holdout,0.0,0.6094878128732173,0.0,0.0017650528495065734,peak_mean_gate,558,558,0,0.0
all,-5.704371974267985,5.003076435691928,0.4166666666666667,0.16152383895403205,peak_mean_gate,1116,1116,465,0.0
main_matrix,-11.79106933591719,9.39666505851064,1.0,0.32128262505855754,raw_nextgen,558,558,558,-1.0263101049168721
extra_holdout,2.248434815493517,0.6094878128732173,1.0,0.0017650528495065734,raw_nextgen,372,558,0,22.53638404133347
all,-4.771317260211837,5.003076435691928,1.0,0.16152383895403205,raw_nextgen,930,1116,558,22.53638404133347
main_matrix,-9.346989374207194,9.39666505851064,0.6984549668538085,0.32128262505855754,retention_alpha_0p25,558,558,558,-0.3782061957496641
extra_holdout,0.5842887287999164,0.6094878128732173,0.08979711410851304,0.0017650528495065734,retention_alpha_0p25,372,558,0,6.198054159554878
all,-4.381350322703638,5.003076435691928,0.3941260404811608,0.16152383895403205,retention_alpha_0p25,930,1116,558,6.198054159554878
main_matrix,-7.316508974992495,9.39666505851064,0.5188174126668247,0.32128262505855754,retention_alpha_0p5,558,558,558,-0.13190888489914565
extra_holdout,0.15786471950632822,0.6094878128732173,0.024212869832769848,0.0017650528495065734,retention_alpha_0p5,372,558,0,1.7046157579813093
all,-3.5793221277430836,5.003076435691928,0.2715151412497972,0.16152383895403205,retention_alpha_0p5,930,1116,558,1.7046157579813093
main_matrix,-5.753300971445214,9.39666505851064,0.4021231934706833,0.32128262505855754,retention_alpha_0p75,558,558,558,-0.04600652794919391
