group,mean_delta_pct,mean_target_factor,mode,non_harm_cells,tests,train_size,wins,worst_delta_pct
main_matrix,-11.834062207431778,0.9333333333333333,floor_train_relative_gate_0p05,90,90,1,84,0.0
extra_holdout,0.0,0.0,floor_train_relative_gate_0p05,54,54,1,0,0.0
all,-7.396288879644863,0.5833333333333334,floor_train_relative_gate_0p05,144,144,1,84,0.0
main_matrix,-11.247126262631365,0.9833333333333333,floor_train_relative_gate_0p05,180,180,2,177,0.0
extra_holdout,0.0,0.0,floor_train_relative_gate_0p05,135,135,2,0,0.0
all,-6.4269292929322095,0.5619047619047619,floor_train_relative_gate_0p05,315,315,2,177,0.0
main_matrix,-11.809760245457346,1.0,floor_train_relative_gate_0p05,180,180,3,180,-1.199780662356864
extra_holdout,0.0,0.0,floor_train_relative_gate_0p05,180,180,3,0,0.0
all,-5.904880122728673,0.5,floor_train_relative_gate_0p05,360,360,3,180,0.0
main_matrix,-12.454450803783404,1.0,floor_train_relative_gate_0p05,90,90,4,90,-1.523001737841534
extra_holdout,0.0,0.0,floor_train_relative_gate_0p05,135,135,4,0,0.0
all,-4.981780321513362,0.4,floor_train_relative_gate_0p05,225,225,4,90,0.0
main_matrix,-12.57775186582335,1.0,floor_train_relative_gate_0p05,18,18,5,18,-1.6006129471590969
extra_holdout,0.0,0.0,floor_train_relative_gate_0p05,54,54,5,0,0.0
all,-3.144437966455837,0.25,floor_train_relative_gate_0p05,72,72,5,18,0.0
main_matrix,-11.640587718105925,0.8555555555555555,floor_train_relative_gate_0p1,90,90,1,77,0.0
extra_holdout,0.0,0.0,floor_train_relative_gate_0p1,54,54,1,0,0.0
all,-7.275367323816204,0.5347222222222222,floor_train_relative_gate_0p1,144,144,1,77,0.0
main_matrix,-11.018410497111615,0.8833333333333333,floor_train_relative_gate_0p1,180,180,2,159,0.0
extra_holdout,0.0,0.0,floor_train_relative_gate_0p1,135,135,2,0,0.0
all,-6.2962345697780675,0.5047619047619047,floor_train_relative_gate_0p1,315,315,2,159,0.0
main_matrix,-11.490817902399057,0.8666666666666667,floor_train_relative_gate_0p1,180,180,3,156,0.0
extra_holdout,0.0,0.0,floor_train_relative_gate_0p1,180,180,3,0,0.0
all,-5.745408951199528,0.43333333333333335,floor_train_relative_gate_0p1,360,360,3,156,0.0
main_matrix,-12.054701483769392,0.8333333333333334,floor_train_relative_gate_0p1,90,90,4,75,0.0
extra_holdout,0.0,0.0,floor_train_relative_gate_0p1,135,135,4,0,0.0
all,-4.821880593507757,0.3333333333333333,floor_train_relative_gate_0p1,225,225,4,75,0.0
main_matrix,-12.179663951264855,0.8333333333333334,floor_train_relative_gate_0p1,18,18,5,15,0.0
extra_holdout,0.0,0.0,floor_train_relative_gate_0p1,54,54,5,0,0.0
all,-3.044915987816213,0.20833333333333334,floor_train_relative_gate_0p1,72,72,5,15,0.0
main_matrix,-11.57531144628541,0.8333333333333334,floor_train_relative_gate_0p2,90,90,1,75,0.0
extra_holdout,0.0,0.0,floor_train_relative_gate_0p2,54,54,1,0,0.0
all,-7.234569653928383,0.5208333333333334,floor_train_relative_gate_0p2,144,144,1,75,0.0
main_matrix,-10.916961429289222,0.8333333333333334,floor_train_relative_gate_0p2,180,180,2,150,0.0
extra_holdout,0.0,0.0,floor_train_relative_gate_0p2,135,135,2,0,0.0
all,-6.2382636738795565,0.47619047619047616,floor_train_relative_gate_0p2,315,315,2,150,0.0
main_matrix,-11.417171951018393,0.8333333333333334,floor_train_relative_gate_0p2,180,180,3,150,0.0
extra_holdout,0.0,0.0,floor_train_relative_gate_0p2,180,180,3,0,0.0
all,-5.708585975509196,0.4166666666666667,floor_train_relative_gate_0p2,360,360,3,150,0.0
main_matrix,-12.054701483769392,0.8333333333333334,floor_train_relative_gate_0p2,90,90,4,75,0.0
extra_holdout,0.0,0.0,floor_train_relative_gate_0p2,135,135,4,0,0.0
all,-4.821880593507757,0.3333333333333333,floor_train_relative_gate_0p2,225,225,4,75,0.0
main_matrix,-12.179663951264855,0.8333333333333334,floor_train_relative_gate_0p2,18,18,5,15,0.0
extra_holdout,0.0,0.0,floor_train_relative_gate_0p2,54,54,5,0,0.0
all,-3.044915987816213,0.20833333333333334,floor_train_relative_gate_0p2,72,72,5,15,0.0
main_matrix,-8.883302460376472,0.6333333333333333,floor_train_relative_gate_0p5,90,90,1,57,0.0
extra_holdout,0.0,0.0,floor_train_relative_gate_0p5,54,54,1,0,0.0
all,-5.552064037735295,0.3958333333333333,floor_train_relative_gate_0p5,144,144,1,57,0.0
main_matrix,-10.143562693111608,0.7833333333333333,floor_train_relative_gate_0p5,180,180,2,141,0.0
extra_holdout,0.0,0.0,floor_train_relative_gate_0p5,135,135,2,0,0.0
all,-5.796321538920918,0.44761904761904764,floor_train_relative_gate_0p5,315,315,2,141,0.0
main_matrix,-11.417171951018393,0.8333333333333334,floor_train_relative_gate_0p5,180,180,3,150,0.0
extra_holdout,0.0,0.0,floor_train_relative_gate_0p5,180,180,3,0,0.0
all,-5.708585975509196,0.4166666666666667,floor_train_relative_gate_0p5,360,360,3,150,0.0
main_matrix,-12.054701483769392,0.8333333333333334,floor_train_relative_gate_0p5,90,90,4,75,0.0
extra_holdout,0.0,0.0,floor_train_relative_gate_0p5,135,135,4,0,0.0
all,-4.821880593507757,0.3333333333333333,floor_train_relative_gate_0p5,225,225,4,75,0.0
main_matrix,-12.179663951264855,0.8333333333333334,floor_train_relative_gate_0p5,18,18,5,15,0.0
extra_holdout,0.0,0.0,floor_train_relative_gate_0p5,54,54,5,0,0.0
all,-3.044915987816213,0.20833333333333334,floor_train_relative_gate_0p5,72,72,5,15,0.0
main_matrix,-7.096028416079874,0.5,floor_train_relative_gate_1p0,90,90,1,45,0.0
extra_holdout,0.0,0.0,floor_train_relative_gate_1p0,54,54,1,0,0.0
all,-4.435017760049921,0.3125,floor_train_relative_gate_1p0,144,144,1,45,0.0
main_matrix,-9.051283427249015,0.6777777777777778,floor_train_relative_gate_1p0,180,180,2,122,0.0
extra_holdout,0.0,0.0,floor_train_relative_gate_1p0,135,135,2,0,0.0
all,-5.172161958428009,0.3873015873015873,floor_train_relative_gate_1p0,315,315,2,122,0.0
main_matrix,-10.333037099413788,0.75,floor_train_relative_gate_1p0,180,180,3,135,0.0
extra_holdout,0.0,0.0,floor_train_relative_gate_1p0,180,180,3,0,0.0
