cap,cap_saturation_rate,cosine_to_wsd,estimator,max_cosine_kappa,max_kappa,mean_offdiag,mean_tau,median_offdiag,tau_multiplier,worst_offdiag,wsdcon9_to_wsd
,0.0,-5.678357190208897,tau_x_0p00_nocap,0.011792019169979252,0.0551199090228325,-12.143085199104688,0.0,-9.953923155980164,0.0,-2.725231911539431,-15.982397780586146
,0.0,-5.563948739422071,tau_x_0p25_nocap,0.011554431677735327,0.05496346473109166,-12.136153764497118,0.010749598172622464,-9.955844096127986,0.25,-2.7252123251194305,-15.98210705328181
,0.0,-5.246808145050907,tau_x_0p50_nocap,0.010895838383384053,0.05449941521263011,-12.118389522401795,0.021499196345244928,-9.961601577280023,0.5,-2.725153567581392,-15.981234934847073
,0.0,-4.272656284804155,tau_x_1p00_nocap,0.008872855850635438,0.05271901553143667,-12.078853252037236,0.042998392690489856,-9.984551704002955,1.0,-2.7249185632545228,-15.977747413000229
,0.0,-2.451797972559181,tau_x_2p00_nocap,0.005091551609889198,0.04662622916214077,-12.069532653774392,0.08599678538097971,-10.027306366507522,2.0,-1.985141429551951,-15.963812538447655
,0.0,-0.9065082081529822,tau_x_4p00_nocap,0.001882509643231732,0.033711738190755854,-11.496305804265395,0.17199357076195942,-11.015272082624179,4.0,-0.7339703435495134,-15.908315334279512
,0.0,-0.25745233980514204,tau_x_8p00_nocap,0.0005346410633646036,0.029779254510298298,-9.220781546026586,0.34398714152391885,-7.146553396410619,8.0,-0.20845082327423473,-15.690133394953572
0.03,0.2222222222222222,-5.678357190208897,tau_x_0p00_cap_0p03,0.011792019169979252,0.03,-12.58493725488608,0.0,-10.469200979714314,0.0,-2.725231911539431,-15.909758228335056
0.03,0.2222222222222222,-5.563948739422071,tau_x_0p25_cap_0p03,0.011554431677735327,0.03,-12.566934176674897,0.010749598172622464,-10.480591462264016,0.25,-2.7252123251194305,-15.909588361881815
0.03,0.2222222222222222,-5.246808145050907,tau_x_0p50_cap_0p03,0.010895838383384053,0.03,-12.516829854630437,0.021499196345244928,-10.514509237608959,0.5,-2.725153567581392,-15.909078799902439
0.03,0.16666666666666666,-4.272656284804155,tau_x_1p00_cap_0p03,0.008872855850635438,0.03,-12.380937891269303,0.042998392690489856,-10.616074666716884,1.0,-2.7249185632545228,-15.907041112523409
0.03,0.16666666666666666,-2.451797972559181,tau_x_2p00_cap_0p03,0.005091551609889198,0.03,-12.136461820509572,0.08599678538097971,-10.750575932134286,2.0,-1.985141429551951,-15.898899321273552
0.03,0.16666666666666666,-0.9065082081529822,tau_x_4p00_cap_0p03,0.001882509643231732,0.03,-11.427173409157039,0.17199357076195942,-11.046524253987496,4.0,-0.7339703435495134,-15.866474828963284
0.03,0.0,-0.25745233980514204,tau_x_8p00_cap_0p03,0.0005346410633646036,0.029779254510298298,-9.220781546026586,0.34398714152391885,-7.146553396410619,8.0,-0.20845082327423473,-15.690133394953572
