base_tau,cap,cap_saturated,estimator,kappa,orth_feature_retention,scale,tau,tau_multiplier,train_curve,train_label
0.030898198785299612,,0,tau_x_0p00_nocap,0.007974632473659229,0.030521552634579834,25,0.0,0.0,cosine_72000.csv,Cosine
0.030898198785299612,,0,tau_x_0p00_nocap,0.011792019169979252,0.030521552634579834,100,0.0,0.0,cosine_72000.csv,Cosine
0.030898198785299612,,0,tau_x_0p00_nocap,0.0,0.03064561373023567,400,0.0,0.0,cosine_72000.csv,Cosine
0.07351091520805572,,0,tau_x_0p00_nocap,0.01746305050464033,0.18600000963731753,25,0.0,0.0,wsd_20000_24000.csv,WSD sharp
0.07351091520805572,,0,tau_x_0p00_nocap,0.0275076992446868,0.19446912064096752,100,0.0,0.0,wsd_20000_24000.csv,WSD sharp
0.07351091520805572,,0,tau_x_0p00_nocap,0.04972318340312621,0.19103269631809874,400,0.0,0.0,wsd_20000_24000.csv,WSD sharp
0.07506249912819138,,0,tau_x_0p00_nocap,0.021340585307671644,0.20518042801494696,25,0.0,0.0,wsdld_20000_24000.csv,WSD linear
0.07506249912819138,,0,tau_x_0p00_nocap,0.03069187805017793,0.21295494892368566,100,0.0,0.0,wsdld_20000_24000.csv,WSD linear
0.07506249912819138,,0,tau_x_0p00_nocap,0.0551199090228325,0.21001940528935797,400,0.0,0.0,wsdld_20000_24000.csv,WSD linear
0.02145866287055983,,0,tau_x_0p00_nocap,0.01316568000838752,0.3658893468630305,25,0.0,0.0,wsdcon_3.csv,WSD-con 3e-5
0.02145866287055983,,0,tau_x_0p00_nocap,0.01711915721768343,0.3617608660639815,100,0.0,0.0,wsdcon_3.csv,WSD-con 3e-5
0.02145866287055983,,0,tau_x_0p00_nocap,0.02635848661695444,0.3617608660639815,400,0.0,0.0,wsdcon_3.csv,WSD-con 3e-5
0.02145866287055983,,0,tau_x_0p00_nocap,0.014104458246913082,0.6456084819189877,25,0.0,0.0,wsdcon_9.csv,WSD-con 9e-5
0.02145866287055983,,0,tau_x_0p00_nocap,0.018035724930483204,0.6716357435070672,100,0.0,0.0,wsdcon_9.csv,WSD-con 9e-5
0.02145866287055983,,0,tau_x_0p00_nocap,0.03032801313608387,0.6716357435070672,400,0.0,0.0,wsdcon_9.csv,WSD-con 9e-5
0.03560141728027274,,0,tau_x_0p00_nocap,0.022169659470691796,0.801642156408999,25,0.0,0.0,wsdcon_18.csv,WSD-con 18e-5
0.03560141728027274,,0,tau_x_0p00_nocap,0.01677938983390589,0.8269250945987962,100,0.0,0.0,wsdcon_18.csv,WSD-con 18e-5
0.03560141728027274,,0,tau_x_0p00_nocap,0.027974617189197106,0.8269250945987962,400,0.0,0.0,wsdcon_18.csv,WSD-con 18e-5
0.030898198785299612,0.03,0,tau_x_0p00_cap_0p03,0.007974632473659229,0.030521552634579834,25,0.0,0.0,cosine_72000.csv,Cosine
0.030898198785299612,0.03,0,tau_x_0p00_cap_0p03,0.011792019169979252,0.030521552634579834,100,0.0,0.0,cosine_72000.csv,Cosine
0.030898198785299612,0.03,0,tau_x_0p00_cap_0p03,0.0,0.03064561373023567,400,0.0,0.0,cosine_72000.csv,Cosine
0.07351091520805572,0.03,0,tau_x_0p00_cap_0p03,0.01746305050464033,0.18600000963731753,25,0.0,0.0,wsd_20000_24000.csv,WSD sharp
0.07351091520805572,0.03,0,tau_x_0p00_cap_0p03,0.0275076992446868,0.19446912064096752,100,0.0,0.0,wsd_20000_24000.csv,WSD sharp
0.07351091520805572,0.03,1,tau_x_0p00_cap_0p03,0.03,0.19103269631809874,400,0.0,0.0,wsd_20000_24000.csv,WSD sharp
0.07506249912819138,0.03,0,tau_x_0p00_cap_0p03,0.021340585307671644,0.20518042801494696,25,0.0,0.0,wsdld_20000_24000.csv,WSD linear
0.07506249912819138,0.03,1,tau_x_0p00_cap_0p03,0.03,0.21295494892368566,100,0.0,0.0,wsdld_20000_24000.csv,WSD linear
0.07506249912819138,0.03,1,tau_x_0p00_cap_0p03,0.03,0.21001940528935797,400,0.0,0.0,wsdld_20000_24000.csv,WSD linear
0.02145866287055983,0.03,0,tau_x_0p00_cap_0p03,0.01316568000838752,0.3658893468630305,25,0.0,0.0,wsdcon_3.csv,WSD-con 3e-5
0.02145866287055983,0.03,0,tau_x_0p00_cap_0p03,0.01711915721768343,0.3617608660639815,100,0.0,0.0,wsdcon_3.csv,WSD-con 3e-5
0.02145866287055983,0.03,0,tau_x_0p00_cap_0p03,0.02635848661695444,0.3617608660639815,400,0.0,0.0,wsdcon_3.csv,WSD-con 3e-5
0.02145866287055983,0.03,0,tau_x_0p00_cap_0p03,0.014104458246913082,0.6456084819189877,25,0.0,0.0,wsdcon_9.csv,WSD-con 9e-5
0.02145866287055983,0.03,0,tau_x_0p00_cap_0p03,0.018035724930483204,0.6716357435070672,100,0.0,0.0,wsdcon_9.csv,WSD-con 9e-5
0.02145866287055983,0.03,1,tau_x_0p00_cap_0p03,0.03,0.6716357435070672,400,0.0,0.0,wsdcon_9.csv,WSD-con 9e-5
0.03560141728027274,0.03,0,tau_x_0p00_cap_0p03,0.022169659470691796,0.801642156408999,25,0.0,0.0,wsdcon_18.csv,WSD-con 18e-5
0.03560141728027274,0.03,0,tau_x_0p00_cap_0p03,0.01677938983390589,0.8269250945987962,100,0.0,0.0,wsdcon_18.csv,WSD-con 18e-5
0.03560141728027274,0.03,0,tau_x_0p00_cap_0p03,0.027974617189197106,0.8269250945987962,400,0.0,0.0,wsdcon_18.csv,WSD-con 18e-5
0.030898198785299612,,0,tau_x_0p25_nocap,0.007813958300417785,0.030521552634579834,25,0.007724549696324903,0.25,cosine_72000.csv,Cosine
0.030898198785299612,,0,tau_x_0p25_nocap,0.011554431677735327,0.030521552634579834,100,0.007724549696324903,0.25,cosine_72000.csv,Cosine
0.030898198785299612,,0,tau_x_0p25_nocap,0.0,0.03064561373023567,400,0.007724549696324903,0.25,cosine_72000.csv,Cosine
0.07351091520805572,,0,tau_x_0p25_nocap,0.017429518234734553,0.18600000963731753,25,0.01837772880201393,0.25,wsd_20000_24000.csv,WSD sharp
0.07351091520805572,,0,tau_x_0p25_nocap,0.027457175475117706,0.19446912064096752,100,0.01837772880201393,0.25,wsd_20000_24000.csv,WSD sharp
0.07351091520805572,,0,tau_x_0p25_nocap,0.0496311038173303,0.19103269631809874,400,0.01837772880201393,0.25,wsd_20000_24000.csv,WSD sharp
0.07506249912819138,,0,tau_x_0p25_nocap,0.021276764805422236,0.20518042801494696,25,0.018765624782047845,0.25,wsdld_20000_24000.csv,WSD linear
0.07506249912819138,,0,tau_x_0p25_nocap,0.030603433115066237,0.21295494892368566,100,0.018765624782047845,0.25,wsdld_20000_24000.csv,WSD linear
0.07506249912819138,,0,tau_x_0p25_nocap,0.05496346473109166,0.21001940528935797,400,0.018765624782047845,0.25,wsdld_20000_24000.csv,WSD linear
0.02145866287055983,,0,tau_x_0p25_nocap,0.013165583251877179,0.3658893468630305,25,0.005364665717639957,0.25,wsdcon_3.csv,WSD-con 3e-5
0.02145866287055983,,0,tau_x_0p25_nocap,0.01711903193179727,0.3617608660639815,100,0.005364665717639957,0.25,wsdcon_3.csv,WSD-con 3e-5
0.02145866287055983,,0,tau_x_0p25_nocap,0.02635829371339548,0.3617608660639815,400,0.005364665717639957,0.25,wsdcon_3.csv,WSD-con 3e-5
0.02145866287055983,,0,tau_x_0p25_nocap,0.014104194197231627,0.6456084819189877,25,0.005364665717639957,0.25,wsdcon_9.csv,WSD-con 9e-5
0.02145866287055983,,0,tau_x_0p25_nocap,0.01803540037169776,0.6716357435070672,100,0.005364665717639957,0.25,wsdcon_9.csv,WSD-con 9e-5
0.02145866287055983,,0,tau_x_0p25_nocap,0.03032746737354057,0.6716357435070672,400,0.005364665717639957,0.25,wsdcon_9.csv,WSD-con 9e-5
0.03560141728027274,,0,tau_x_0p25_nocap,0.022164605174756918,0.801642156408999,25,0.008900354320068185,0.25,wsdcon_18.csv,WSD-con 18e-5
0.03560141728027274,,0,tau_x_0p25_nocap,0.016775681360134954,0.8269250945987962,100,0.008900354320068185,0.25,wsdcon_18.csv,WSD-con 18e-5
0.03560141728027274,,0,tau_x_0p25_nocap,0.02796843441764671,0.8269250945987962,400,0.008900354320068185,0.25,wsdcon_18.csv,WSD-con 18e-5
0.030898198785299612,0.03,0,tau_x_0p25_cap_0p03,0.007813958300417785,0.030521552634579834,25,0.007724549696324903,0.25,cosine_72000.csv,Cosine
0.030898198785299612,0.03,0,tau_x_0p25_cap_0p03,0.011554431677735327,0.030521552634579834,100,0.007724549696324903,0.25,cosine_72000.csv,Cosine
0.030898198785299612,0.03,0,tau_x_0p25_cap_0p03,0.0,0.03064561373023567,400,0.007724549696324903,0.25,cosine_72000.csv,Cosine
0.07351091520805572,0.03,0,tau_x_0p25_cap_0p03,0.017429518234734553,0.18600000963731753,25,0.01837772880201393,0.25,wsd_20000_24000.csv,WSD sharp
0.07351091520805572,0.03,0,tau_x_0p25_cap_0p03,0.027457175475117706,0.19446912064096752,100,0.01837772880201393,0.25,wsd_20000_24000.csv,WSD sharp
0.07351091520805572,0.03,1,tau_x_0p25_cap_0p03,0.03,0.19103269631809874,400,0.01837772880201393,0.25,wsd_20000_24000.csv,WSD sharp
0.07506249912819138,0.03,0,tau_x_0p25_cap_0p03,0.021276764805422236,0.20518042801494696,25,0.018765624782047845,0.25,wsdld_20000_24000.csv,WSD linear
0.07506249912819138,0.03,1,tau_x_0p25_cap_0p03,0.03,0.21295494892368566,100,0.018765624782047845,0.25,wsdld_20000_24000.csv,WSD linear
0.07506249912819138,0.03,1,tau_x_0p25_cap_0p03,0.03,0.21001940528935797,400,0.018765624782047845,0.25,wsdld_20000_24000.csv,WSD linear
0.02145866287055983,0.03,0,tau_x_0p25_cap_0p03,0.013165583251877179,0.3658893468630305,25,0.005364665717639957,0.25,wsdcon_3.csv,WSD-con 3e-5
0.02145866287055983,0.03,0,tau_x_0p25_cap_0p03,0.01711903193179727,0.3617608660639815,100,0.005364665717639957,0.25,wsdcon_3.csv,WSD-con 3e-5
0.02145866287055983,0.03,0,tau_x_0p25_cap_0p03,0.02635829371339548,0.3617608660639815,400,0.005364665717639957,0.25,wsdcon_3.csv,WSD-con 3e-5
0.02145866287055983,0.03,0,tau_x_0p25_cap_0p03,0.014104194197231627,0.6456084819189877,25,0.005364665717639957,0.25,wsdcon_9.csv,WSD-con 9e-5
0.02145866287055983,0.03,0,tau_x_0p25_cap_0p03,0.01803540037169776,0.6716357435070672,100,0.005364665717639957,0.25,wsdcon_9.csv,WSD-con 9e-5
0.02145866287055983,0.03,1,tau_x_0p25_cap_0p03,0.03,0.6716357435070672,400,0.005364665717639957,0.25,wsdcon_9.csv,WSD-con 9e-5
0.03560141728027274,0.03,0,tau_x_0p25_cap_0p03,0.022164605174756918,0.801642156408999,25,0.008900354320068185,0.25,wsdcon_18.csv,WSD-con 18e-5
0.03560141728027274,0.03,0,tau_x_0p25_cap_0p03,0.016775681360134954,0.8269250945987962,100,0.008900354320068185,0.25,wsdcon_18.csv,WSD-con 18e-5
0.03560141728027274,0.03,0,tau_x_0p25_cap_0p03,0.02796843441764671,0.8269250945987962,400,0.008900354320068185,0.25,wsdcon_18.csv,WSD-con 18e-5
0.030898198785299612,,0,tau_x_0p50_nocap,0.007368568974267535,0.030521552634579834,25,0.015449099392649806,0.5,cosine_72000.csv,Cosine
0.030898198785299612,,0,tau_x_0p50_nocap,0.010895838383384053,0.030521552634579834,100,0.015449099392649806,0.5,cosine_72000.csv,Cosine
0.030898198785299612,,0,tau_x_0p50_nocap,0.0,0.03064561373023567,400,0.015449099392649806,0.5,cosine_72000.csv,Cosine
0.07351091520805572,,0,tau_x_0p50_nocap,0.017329689657108134,0.18600000963731753,25,0.03675545760402786,0.5,wsd_20000_24000.csv,WSD sharp
0.07351091520805572,,0,tau_x_0p50_nocap,0.02730671163652387,0.19446912064096752,100,0.03675545760402786,0.5,wsd_20000_24000.csv,WSD sharp
0.07351091520805572,,0,tau_x_0p50_nocap,0.04935689995948835,0.19103269631809874,400,0.03675545760402786,0.5,wsd_20000_24000.csv,WSD sharp
0.07506249912819138,,0,tau_x_0p50_nocap,0.021087573249065142,0.20518042801494696,25,0.03753124956409569,0.5,wsdld_20000_24000.csv,WSD linear
0.07506249912819138,,0,tau_x_0p50_nocap,0.030341130561988533,0.21295494892368566,100,0.03753124956409569,0.5,wsdld_20000_24000.csv,WSD linear
0.07506249912819138,,0,tau_x_0p50_nocap,0.05449941521263011,0.21001940528935797,400,0.03753124956409569,0.5,wsdld_20000_24000.csv,WSD linear
0.02145866287055983,,0,tau_x_0p50_nocap,0.0131652929908789,0.3658893468630305,25,0.010729331435279914,0.5,wsdcon_3.csv,WSD-con 3e-5
0.02145866287055983,,0,tau_x_0p50_nocap,0.017118656085141338,0.3617608660639815,100,0.010729331435279914,0.5,wsdcon_3.csv,WSD-con 3e-5
0.02145866287055983,,0,tau_x_0p50_nocap,0.02635771501965931,0.3617608660639815,400,0.010729331435279914,0.5,wsdcon_3.csv,WSD-con 3e-5
0.02145866287055983,,0,tau_x_0p50_nocap,0.014103402107503245,0.6456084819189877,25,0.010729331435279914,0.5,wsdcon_9.csv,WSD-con 9e-5
0.02145866287055983,,0,tau_x_0p50_nocap,0.01803442676542415,0.6716357435070672,100,0.010729331435279914,0.5,wsdcon_9.csv,WSD-con 9e-5
0.02145866287055983,,0,tau_x_0p50_nocap,0.030325830203758414,0.6716357435070672,400,0.010729331435279914,0.5,wsdcon_9.csv,WSD-con 9e-5
0.03560141728027274,,0,tau_x_0p50_nocap,0.022149456104997963,0.801642156408999,25,0.01780070864013637,0.5,wsdcon_18.csv,WSD-con 18e-5
0.03560141728027274,,0,tau_x_0p50_nocap,0.01676456576778391,0.8269250945987962,100,0.01780070864013637,0.5,wsdcon_18.csv,WSD-con 18e-5
0.03560141728027274,,0,tau_x_0p50_nocap,0.02794990248985138,0.8269250945987962,400,0.01780070864013637,0.5,wsdcon_18.csv,WSD-con 18e-5
0.030898198785299612,0.03,0,tau_x_0p50_cap_0p03,0.007368568974267535,0.030521552634579834,25,0.015449099392649806,0.5,cosine_72000.csv,Cosine
0.030898198785299612,0.03,0,tau_x_0p50_cap_0p03,0.010895838383384053,0.030521552634579834,100,0.015449099392649806,0.5,cosine_72000.csv,Cosine
0.030898198785299612,0.03,0,tau_x_0p50_cap_0p03,0.0,0.03064561373023567,400,0.015449099392649806,0.5,cosine_72000.csv,Cosine
0.07351091520805572,0.03,0,tau_x_0p50_cap_0p03,0.017329689657108134,0.18600000963731753,25,0.03675545760402786,0.5,wsd_20000_24000.csv,WSD sharp
0.07351091520805572,0.03,0,tau_x_0p50_cap_0p03,0.02730671163652387,0.19446912064096752,100,0.03675545760402786,0.5,wsd_20000_24000.csv,WSD sharp
0.07351091520805572,0.03,1,tau_x_0p50_cap_0p03,0.03,0.19103269631809874,400,0.03675545760402786,0.5,wsd_20000_24000.csv,WSD sharp
0.07506249912819138,0.03,0,tau_x_0p50_cap_0p03,0.021087573249065142,0.20518042801494696,25,0.03753124956409569,0.5,wsdld_20000_24000.csv,WSD linear
0.07506249912819138,0.03,1,tau_x_0p50_cap_0p03,0.03,0.21295494892368566,100,0.03753124956409569,0.5,wsdld_20000_24000.csv,WSD linear
