scale,curve,points,step_min,step_max,lr_min,lr_max,loss_start,loss_end
25,constant_24000.csv,171,2176,23936,0.0003,0.0003,4.101,3.3473
25,constant_72000.csv,546,2176,71936,0.0003,0.0003,4.0723,3.2573
25,cosine_24000.csv,171,2160,23920,3.000893868085248e-05,0.0003,4.1114,3.3044
25,cosine_72000.csv,546,2160,71920,3.0000874127054774e-05,0.0003,4.0994,3.2038
25,wsd_20000_24000.csv,170,2176,23904,3.170452527640976e-05,0.0003,4.0723,3.2766
25,wsdld_20000_24000.csv,170,2176,23904,3.648e-05,0.0003,4.0723,3.2776
25,wsdcon_3.csv,95,2176,14144,3.0000000000000004e-05,0.0003,4.0723,3.3964
25,wsdcon_9.csv,95,2176,14144,9e-05,0.0003,4.0723,3.3901
25,wsdcon_18.csv,95,2176,14144,0.00018,0.0003,4.0723,3.3985
100,constant_24000.csv,171,2176,23936,0.0003,0.0003,3.7666,3.0354
100,constant_72000.csv,546,2176,71936,0.0003,0.0003,3.744,2.9413
100,cosine_24000.csv,171,2160,23920,3.000893868085248e-05,0.0003,3.7755,2.9791
100,cosine_72000.csv,546,2160,71920,3.0000874127054774e-05,0.0003,3.7754,2.8632
100,wsd_20000_24000.csv,171,2176,23904,3.170452527640976e-05,0.0003,3.7666,2.9514
100,wsdld_20000_24000.csv,171,2176,23904,3.648e-05,0.0003,3.7666,2.9535
100,wsdcon_3.csv,109,2176,15936,3.0000000000000004e-05,0.0003,3.7666,3.0676
100,wsdcon_9.csv,109,2176,15936,9e-05,0.0003,3.7666,3.0588
100,wsdcon_18.csv,109,2176,15936,0.00018,0.0003,3.7666,3.0725
400,constant_24000.csv,171,2176,23936,0.0003,0.0003,3.5581,2.8167
400,constant_72000.csv,546,2176,71936,0.0003,0.0003,3.5355,2.7157
400,cosine_24000.csv,171,2160,23920,3.000893868085248e-05,0.0003,3.5563,2.7396
400,cosine_72000.csv,546,2176,71936,3.000055944153241e-05,0.00029999996503488155,3.5414,2.6154
400,wsd_20000_24000.csv,171,2176,23936,3.112585247454037e-05,0.0003,3.5581,2.7222
400,wsdld_20000_24000.csv,171,2176,23936,3.4320000000000003e-05,0.0003,3.5581,2.7251
400,wsdcon_3.csv,109,2176,15936,3.0000000000000004e-05,0.0003,3.5581,2.8402
400,wsdcon_9.csv,109,2176,15936,9e-05,0.0003,3.5581,2.83
400,wsdcon_18.csv,109,2176,15936,0.00018,0.0003,3.5581,2.8506
