scale,fold_curve,variant,objective,mae,rmse,mape,r2,huber_log
25,cosine_24000.csv,pow,1.0721962408719592e-05,0.004466118810114898,0.0079040719162233,0.0012131700191626183,0.9982753886191085,1.8531676756366488e-05
25,cosine_24000.csv,pow_theta,1.0716255269456015e-05,0.004472466246079817,0.00788029962526823,0.001215090528471557,0.9982857469030958,1.8431813649493345e-05
25,constant_24000.csv,pow,1.5744430356024075e-05,0.009211589333664637,0.011202889677180309,0.0026302480542599,0.9959785862280891,4.746004179046297e-05
25,constant_24000.csv,pow_theta,1.5558787911557564e-05,0.009264075958816348,0.011247444029304412,0.002646008599261106,0.9959465359666692,4.7788070012997086e-05
25,wsdcon_9.csv,pow,1.9994752959935503e-05,0.00834082550164387,0.012149737507546589,0.0022625104410310556,0.9961612279633744,2.220318360148412e-05
25,wsdcon_9.csv,pow_theta,1.999980197491927e-05,0.00837680805526401,0.012187002988803892,0.0022728315130369383,0.9961376434088459,2.231685636001481e-05
100,cosine_24000.csv,pow,5.752099831862374e-07,0.0030821120512854916,0.00347902866134662,0.0009895906142589465,0.9996846852400643,1.2253174747386113e-05
100,cosine_24000.csv,pow_theta,5.735690610744576e-07,0.0031266266323461563,0.0035271515665077566,0.0010042080821658533,0.999675901864964,1.2533330735464486e-05
100,constant_24000.csv,pow,3.4606190477256986e-06,0.006830581400898226,0.007884022823538518,0.002200904044907277,0.9979880852299752,3.837091785586713e-05
100,constant_24000.csv,pow_theta,3.500438486807375e-06,0.0069423972321645995,0.008012788839590423,0.0022369704044445504,0.9979218292439938,3.914118397940802e-05
100,wsdcon_9.csv,pow,4.0191235578083235e-06,0.004438498281718336,0.006664686590980375,0.0014139609829180854,0.9988964688628024,1.4461717516450522e-05
100,wsdcon_9.csv,pow_theta,4.009080573501031e-06,0.004500920424005723,0.006812479142796867,0.0014337759101034106,0.9988469835584333,1.4739580559673908e-05
400,cosine_24000.csv,pow,3.876890012354795e-06,0.0026923953185506192,0.00319334675144448,0.0008981282174394723,0.9997548398960991,1.0389087639500978e-05
400,cosine_24000.csv,pow_theta,4.0741855078791956e-06,0.0026858788885850693,0.003198717032803141,0.0008958641076934896,0.9997540146266312,1.0373781881328129e-05
400,constant_24000.csv,pow,1.1147876654004e-05,0.0016437256892679103,0.002029584998204263,0.0005489717657505334,0.9998734192244165,4.93746099709479e-06
400,constant_24000.csv,pow_theta,1.1182205844694223e-05,0.0018499674799214388,0.0022330705022218953,0.0006211259788075867,0.9998467649431922,6.027911422825022e-06
400,wsdcon_9.csv,pow,1.0401703013708499e-05,0.003702428402419633,0.005567019734307161,0.0012377278681492486,0.9992867434507064,1.1895121755461191e-05
400,wsdcon_9.csv,pow_theta,1.0343938175242621e-05,0.00361878703113245,0.005374872343048076,0.0012092412558069704,0.9993351302801632,1.1500303954346586e-05
