group,mean_delta,median_delta,nonharm,power,rows,wins,worst_delta
core_wsd,-34.5598985317148,-36.502491592646145,15,0.0,15,15,-5.296443352845004
extra_control,14.020018774195579,0.0,6,0.0,9,0,56.429853099638215
core_wsd,-34.14905194514662,-40.88131957738541,15,0.5,15,15,-5.298410483067828
extra_control,0.0,0.0,9,0.5,9,0,0.0
core_wsd,-32.82569336684312,-39.347184548198214,15,1.0,15,15,-5.300377471151208
extra_control,0.0,0.0,9,1.0,9,0,0.0
core_wsd,-29.840018910829023,-32.960398583792205,15,2.0,15,15,-5.304311020943664
extra_control,0.0,0.0,9,2.0,9,0,0.0
core_wsd,-27.144951471841598,-27.01099436405646,15,3.0,15,15,-5.308244002303564
extra_control,0.0,0.0,9,3.0,9,0,0.0
