group,locality,mean_delta,median_delta,nonharm,nuisance,response_rule,rows,shrinkage,wins,worst_delta
core_wsd,linear,96.97879817934076,1.6429313499839449,7,constant_only,fixed_lambda_20,15,ridge_tau_0p05,2,471.92899624330494
extra_control,linear,0.0,0.0,9,constant_only,fixed_lambda_20,9,ridge_tau_0p05,0,0.0
core_wsd,none,103.70557905890377,31.587401093335643,7,constant_only,fixed_lambda_20,15,ridge_tau_0p05,2,472.01895648163116
extra_control,none,24.636186999835658,0.0,7,constant_only,fixed_lambda_20,9,ridge_tau_0p05,0,117.02634391100864
core_wsd,linear,47.9936017297491,0.0,9,constant_only,fixed_lambda_20,15,tau_free_sqrt_retention,4,277.53987188969916
extra_control,linear,0.0,0.0,9,constant_only,fixed_lambda_20,9,tau_free_sqrt_retention,0,0.0
core_wsd,none,52.29892582182874,0.0,9,constant_only,fixed_lambda_20,15,tau_free_sqrt_retention,4,277.6017371541344
extra_control,none,15.77091247404344,0.0,7,constant_only,fixed_lambda_20,9,tau_free_sqrt_retention,0,80.47850746765599
core_wsd,linear,-20.78248923011265,-13.936252961982088,15,dct_soft,fixed_lambda_20,15,ridge_tau_0p05,15,-5.300377471151208
extra_control,linear,0.0,0.0,9,dct_soft,fixed_lambda_20,9,ridge_tau_0p05,0,0.0
core_wsd,none,-22.061025834938636,-17.06097335704525,15,dct_soft,fixed_lambda_20,15,ridge_tau_0p05,15,-5.296443352845004
extra_control,none,3.037651541035971,0.0,6,dct_soft,fixed_lambda_20,9,ridge_tau_0p05,0,15.432947327358892
core_wsd,linear,-20.77206933332316,-13.552576240498782,15,dct_soft,fixed_lambda_20,15,tau_free_sqrt_retention,15,-5.863360741617296
extra_control,linear,0.0,0.0,9,dct_soft,fixed_lambda_20,9,tau_free_sqrt_retention,0,0.0
core_wsd,none,-21.92066532167876,-15.303083874985868,15,dct_soft,fixed_lambda_20,15,tau_free_sqrt_retention,15,-5.864060943658778
extra_control,none,2.691133029684109,0.0,6,dct_soft,fixed_lambda_20,9,tau_free_sqrt_retention,0,13.821177649728433
core_wsd,linear,-0.13822276342221254,-0.09799707487713194,15,mpl_all7,fixed_lambda_20,15,ridge_tau_0p05,15,-0.038782715025531544
extra_control,linear,0.0,0.0,9,mpl_all7,fixed_lambda_20,9,ridge_tau_0p05,0,0.0
core_wsd,none,-0.14408022708189305,-0.11843438741543366,15,mpl_all7,fixed_lambda_20,15,ridge_tau_0p05,15,-0.04747839104072282
extra_control,none,0.013696233714447873,0.0,6,mpl_all7,fixed_lambda_20,9,ridge_tau_0p05,0,0.08477195239156021
core_wsd,linear,-4.92466911151163,-3.7742535828967583,15,mpl_all7,fixed_lambda_20,15,tau_free_sqrt_retention,15,-1.4710095847940696
extra_control,linear,0.0,0.0,9,mpl_all7,fixed_lambda_20,9,tau_free_sqrt_retention,0,0.0
core_wsd,none,-5.154717080077736,-3.9011918311289695,15,mpl_all7,fixed_lambda_20,15,tau_free_sqrt_retention,15,-1.8008323616536148
extra_control,none,0.5410902982311776,0.0,6,mpl_all7,fixed_lambda_20,9,tau_free_sqrt_retention,0,3.37142033998159
core_wsd,linear,41.19881201744988,55.870817488541306,6,mpl_core3,fixed_lambda_20,15,ridge_tau_0p05,6,202.73435439376922
extra_control,linear,0.0,0.0,9,mpl_core3,fixed_lambda_20,9,ridge_tau_0p05,0,0.0
core_wsd,none,43.27238065616548,55.883952455496,6,mpl_core3,fixed_lambda_20,15,ridge_tau_0p05,6,202.78179939830744
extra_control,none,14.816789783225747,0.0,6,mpl_core3,fixed_lambda_20,9,ridge_tau_0p05,0,59.61642792390896
core_wsd,linear,15.19034664484222,30.519338133215257,7,mpl_core3,fixed_lambda_20,15,tau_free_sqrt_retention,7,111.37006574596447
extra_control,linear,0.0,0.0,9,mpl_core3,fixed_lambda_20,9,tau_free_sqrt_retention,0,0.0
core_wsd,none,12.925703323484953,30.528809062106088,7,mpl_core3,fixed_lambda_20,15,tau_free_sqrt_retention,7,111.40430591040294
extra_control,none,9.886403123972336,0.0,6,mpl_core3,fixed_lambda_20,9,tau_free_sqrt_retention,0,42.98624820279484
core_wsd,linear,-11.661601794938242,-7.389922002617977,15,mpl_ld4,fixed_lambda_20,15,ridge_tau_0p05,15,-3.001762892643167
extra_control,linear,0.0,0.0,9,mpl_ld4,fixed_lambda_20,9,ridge_tau_0p05,0,0.0
core_wsd,none,-12.226757988704062,-8.954825731014527,15,mpl_ld4,fixed_lambda_20,15,ridge_tau_0p05,15,-3.002049509217597
extra_control,none,1.202106065719609,0.0,6,mpl_ld4,fixed_lambda_20,9,ridge_tau_0p05,0,5.657479344612071
core_wsd,linear,-14.597885724099891,-15.0299098333602,12,mpl_ld4,fixed_lambda_20,15,tau_free_sqrt_retention,12,14.533294586237844
extra_control,linear,0.0,0.0,9,mpl_ld4,fixed_lambda_20,9,tau_free_sqrt_retention,0,0.0
core_wsd,none,-16.297510624293967,-15.492974267314896,12,mpl_ld4,fixed_lambda_20,15,tau_free_sqrt_retention,12,14.55353897510767
extra_control,none,4.15808174060866,0.0,6,mpl_ld4,fixed_lambda_20,9,tau_free_sqrt_retention,0,17.182657242459733
core_wsd,linear,598.8406413563563,267.8231668447806,0,none,fixed_lambda_20,15,ridge_tau_0p05,0,2322.741060099936
